回答者(or No.),問１ あなたの性別を教えてください。,問２　あなたがふだんからよく遊んだり、やりとりするのは、どのような友だちですか。,問３　放課後／A自分の家,問３　放課後／B友だちの家,問３　放課後／C塾や習い事,問３　放課後／D児童館・児童センター（学童クラブふくむ）,問３　放課後／E学校（クラブ活動、放課後子ども教室「KoKoA」など）,問３　放課後／Fスポーツクラブなどの活動の場,問３　放課後／G公園,問３　放課後／H図書館,問３　放課後／I商店街やショッピングモール,問３　放課後／Jゲームセンター,問３　放課後／Kインターネット上の仮想空間（メタバースなど）,問３　放課後／Lその他,問３　放課後／Lその他　記述,問３　休日に一番多く過ごす場所（複数回答１）,問３　休日に一番多く過ごす場所（複数回答２）,問３　休日に一番多く過ごす場所（複数回答３）,問３　休日に一番多く過ごす場所（複数回答４）,問４　問３のＡ～Lの場所の中で、あなたが一番ほっとできる居場所はどこですか。,問５　あなたは、体育の授業以外で30分以上からだを動かす遊びや習い事を、１週間でどれくらいしますか。,問６　あなたは、平日（学校に行く日）に毎日、朝ごはんを食べますか。,問７　あなたは、平日（学校に行く日）に夕ごはんをだれと食べますか。（複数回答１）,問７　あなたは、平日（学校に行く日）に夕ごはんをだれと食べますか。（複数回答２）,問７　あなたは、平日（学校に行く日）に夕ごはんをだれと食べますか。（複数回答３）,問７　あなたは、平日（学校に行く日）に夕ごはんをだれと食べますか。（複数回答４）,問７　あなたは、平日（学校に行く日）に夕ごはんをだれと食べますか。（複数回答５）,問８　あなたは、自分の健康状態についてどう感じていますか。,問９　全体として、あなたは最近の生活に、どのくらい満足していますか。,問10　あなたは、学校の授業がわからないことがありますか。,問10１　いつごろから、授業がわからなくなりましたか。,問11　勉強がわからないときは、だれに教えてもらいますか。（複数回答１）,問11　勉強がわからないときは、だれに教えてもらいますか。（複数回答２）,問11　勉強がわからないときは、だれに教えてもらいますか。（複数回答３）,問11　勉強がわからないときは、だれに教えてもらいますか。（複数回答４）,問11　勉強がわからないときは、だれに教えてもらいますか。（複数回答５）,問11　勉強がわからないときは、だれに教えてもらいますか。（複数回答６）,問12　あなたは、ふだん(月～金曜日)学校の授業以外にどれくらいの時間、勉強をしますか。１日あたりの勉強時間を教えてください。,問13　あなたは、学校以外でどのような勉強をしていますか。（複数回答１）,問13　あなたは、学校以外でどのような勉強をしていますか。（複数回答２）,問13　あなたは、学校以外でどのような勉強をしていますか。（複数回答３）,問13　あなたは、学校以外でどのような勉強をしていますか。（複数回答４）,問13　５　その他,問14　Aがんばれば、むくわれると思う,問14　B自分は価値のある人間だと思う,問14　C自分は家族に大事にされていると思う,問14　D不安に感じることはないと思う,問14　E孤独を感じることはないと思う,問14　F自分の将来が楽しみだと思う,問14　G自分のことが好きだと思う,問15　あなたは、自分や家族のことなどで、心配なことや困っていることはありますか。（複数回答１）,問15　あなたは、自分や家族のことなどで、心配なことや困っていることはありますか。（複数回答２）,問15　あなたは、自分や家族のことなどで、心配なことや困っていることはありますか。（複数回答３）,問15　あなたは、自分や家族のことなどで、心配なことや困っていることはありますか。（複数回答４）,問15　あなたは、自分や家族のことなどで、心配なことや困っていることはありますか。（複数回答５）,問15　あなたは、自分や家族のことなどで、心配なことや困っていることはありますか。（複数回答６）,問15　10　その他,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答１）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答２）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答３）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答４）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答５）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答６）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答７）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答８）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答９）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答10）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答11）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答12）,問16　14　その他,問17　「ヤングケアラー」という言葉をこれまでに聞いたことがありましたか。,問18　あなた自身は「ヤングケアラー」にあてはまると思いますか。,問19　あなたは「子どもの権利条約」について知っていますか。,問20　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答１）,問20　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答２）,問20　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答３）,問20　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答４）,問20　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答５）,問20　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答６）,問20　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答７）,問20　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答８）,問20　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答９）,問20　11　その他,問21　自分の意見や考えは、まわりの大人にきちんと聞いてもらえていると思いますか。,問22　A（家以外で）平日の放課後に夜までいることができる場所,問22　B（家以外で）休日にいることができる場所,問22　C家の人がいないとき、夕ごはんをみんなで食べることができる場所,問22　D家で勉強できないとき、静かに勉強ができる場所,問22　E大学生のお兄さんやお姉さんが、勉強を無料でみてくれる場所,問22　F（学校以外で）何でも相談できる場所,問22　G子どもに寄りそう人がいる居場所,問23　あなたは、狛江市が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答１）,問23　あなたは、狛江市が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答２）,問23　あなたは、狛江市が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答３）,問23　あなたは、狛江市が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答４）,問23　あなたは、狛江市が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答５）,問23　あなたは、狛江市が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答６）,問23　あなたは、狛江市が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答７）,問23　あなたは、狛江市が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答８）,問23　あなたは、狛江市が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答９）,問24　あなたが、狛江市に何でも要望できるとすれば、どのようなことを要望しますか。何でもいいので、書いてください。
154,2,1,1,3,2,3,4,4,3,4,4,4,4,4,,1,9,,,1,3,1,1,,,,,1,5,2,,3,7,,,,,2,6,,,,,1,1,1,2,1,1,1,11,,,,,,,1,4,,,,,,,,,,,,3,2,4,1,,,,,,,,,,1,5,5,3,3,5,4,3,1,3,4,5,8,9,,,,
155,1,1,3,4,2,4,4,4,4,4,4,4,4,4,,6,,,,1,3,1,1,2,,,,2,4,2,,1,5,,,,,5,1,,,,,1,2,2,2,2,1,1,7,8,,,,,,1,,,,,,,,,,,,,3,3,2,1,3,,,,,,,,,4,3,3,2,5,4,3,3,1,5,9,,,,,,,図書室の本の量や種類を多くしてほしい。
156,1,,1,3,3,4,3,3,4,4,4,4,3,4,,3,,,,5,3,1,2,,,,,3,3,2,,1,3,7,,,,2,5,,,,公文教室,2,3,2,2,1,3,4,11,,,,,,,4,5,,,,,,,,,,,,2,2,2,1,2,,,,,,,,,3,3,3,2,3,3,2,2,5,6,9,,,,,,,スポーツやボール遊びができる公園を作ってほしい。
157,2,1,1,4,3,4,4,4,4,4,4,4,4,4,,1,,,,1,2,1,1,2,,,,1,4,4,3,1,2,,,,,3,3,,,,,2,1,1,1,1,2,1,3,,,,,,,1,2,,,,,,,,,,,,3,3,4,1,,,,,,,,,,1,4,4,5,,3,5,3,3,9,,,,,,,,
158,1,1,1,4,3,4,,3,4,4,4,4,4,,,1,,,,1,2,1,1,,,,,2,5,1,,1,3,,,,,6,4,,,,,2,2,2,2,2,2,3,1,,,,,,,1,4,,,,,,,,,,,,1,2,4,1,,,,,,,,,,2,2,2,2,2,3,3,3,4,5,8,,,,,,,ケンカがおきない場所を作ってほしい。
159,1,1,1,4,4,4,4,4,4,4,4,4,4,4,,1,,,,1,3,1,1,2,,,,1,5,1,,1,3,5,7,,,4,1,3,4,,,1,1,1,4,4,1,1,11,,,,,,,1,2,3,4,6,7,8,,,,,,,1,2,2,1,2,3,4,5,,,,,,1,3,3,3,3,3,3,3,1,4,8,,,,,,,スポーツの大会を開いてほしい。（だれでも）
160,1,1,3,4,2,4,4,4,4,4,4,4,4,4,,1,2,3,,1,4,1,1,2,,,,3,3,1,,1,5,,,,,6,1,3,,,,1,1,1,1,1,3,1,8,9,,,,,,1,2,4,,,,,,,,,,,3,2,4,1,2,11,,,,,,,兄弟,1,1,1,2,2,2,2,5,3,4,9,,,,,,,もっとビルとかを建て、狛江市を発展させたい。
161,1,1,1,,,,,,,,,,,,,1,,,,5,2,1,1,2,,,,2,2,3,,1,3,5,,,,5,1,3,4,,,2,4,2,4,3,3,3,8,10,,,,,勉強がうまくいかない。,1,4,,,,,,,,,,,,2,3,2,1,,,,,,,,,,3,5,5,5,5,5,5,5,4,,,,,,,,,サッカーのできる公園がほしい。
162,2,1,3,4,2,4,4,4,4,4,4,4,4,4,,1,,,,1,1,1,1,,,,,1,5,1,,1,,,,,,6,1,3,,,,1,1,1,1,1,1,1,11,,,,,,,1,4,,,,,,,,,,,,2,2,4,1,,,,,,,,,,1,5,5,5,5,5,5,5,3,4,,,,,,,,ドロボーも殺人犯も産まれた時から悪い人なわけではないはずなので、何かきっかけがあって「それ」をやりはじめてしまったんだと思うから、そういう人達を減らしてあげてほしい。
163,1,1,4,4,1,4,4,4,4,4,4,4,4,,,1,,,,1,3,1,1,2,,,,1,4,3,,1,3,5,7,,,3,1,3,4,,,1,2,2,3,1,1,2,11,,,,,,,4,6,,,,,,,,,,,,3,3,4,1,2,3,,,,,,,,2,5,5,5,2,2,2,3,3,5,6,,,,,,,子供が困っていることを支援する。募金箱をおいておく。
164,1,1,2,4,2,4,4,4,4,4,4,4,4,4,,1,,,,1,2,1,1,,,,,2,3,1,,1,,,,,,6,1,,,,,1,2,1,3,2,2,1,10,,,,,,中学受験,1,4,,,,,,,,,,,,1,2,4,1,,,,,,,,,,2,3,3,3,2,3,2,3,2,5,7,8,,,,,,
165,2,1,,,,,,,,,,,,,,,,,,1,3,1,1,2,3,,,1,3,2,,1,3,5,7,,,4,1,3,,,,2,2,2,3,2,2,2,,,,,,,,1,2,3,4,,,,,,,,,,3,2,2,1,2,3,,,,,,,,1,,,,,,,,4,,,,,,,,,5時の音楽が少し暗いため、少し音を小さくしてほしいです。（明るいメロディーにかえてほしい）
166,2,1,3,4,3,4,4,4,4,4,4,4,4,2,下校中（電車など）,1,,,,1,2,1,1,,,,,1,5,1,,1,3,7,,,,3,2,3,4,,,1,1,1,2,1,2,2,11,,,,,,,1,4,,,,,,,,,,,,2,2,3,1,,,,,,,,,,1,5,1,5,1,5,5,1,4,6,7,,,,,,,みんなが楽しめるようなイベントをひらき、狛江市の人々の交流を深められるようなことをするといいと思います。
167,1,5,1,4,3,4,4,4,4,3,3,4,4,,,1,,,,1,2,1,1,2,,,,3,3,2,,1,2,3,,,,3,3,,,,,1,2,1,2,3,1,1,6,8,,,,,,1,2,3,4,6,8,,,,,,,,2,2,2,1,2,3,5,,,,,,,1,3,3,3,2,1,3,2,1,6,8,,,,,,,ワークショップなどで、一冊の本（物語）を作りたい。
168,1,1,1,,,,,,,,,,,,,1,,,,1,5,1,1,,,,,1,5,2,,1,3,7,,,,4,3,4,,,,2,1,1,2,2,1,1,11,,,,,,,1,4,6,,,,,,,,,,,1,2,2,1,3,,,,,,,,,1,5,5,5,4,3,5,5,4,8,9,,,,,,,もっと大きな公園（砧公園のような）があるとありがたいです。
169,2,1,1,4,2,4,4,4,4,4,4,4,4,4,,1,2,3,9,1,2,1,1,,,,,1,5,1,,5,,,,,,4,1,2,3,4,,2,2,1,2,1,3,2,11,,,,,,,1,4,13,,,,,,,,,,,3,2,1,1,,,,,,,,,,2,2,3,5,5,5,5,5,3,6,7,8,9,,,,,スターバックスコーヒーの店を狛江に作ってください。
170,2,1,2,4,2,4,4,4,4,4,4,4,4,,,1,,,,1,2,1,1,,,,,1,2,2,,1,,,,,,6,1,,,,,1,1,1,2,1,1,1,11,,,,,,,1,4,6,,,,,,,,,,,3,2,4,1,,,,,,,,,,1,5,5,2,2,2,3,5,1,4,7,,,,,,,
171,1,1,1,4,,,,3,,,,,,,,1,,,,1,2,1,1,,,,,1,5,2,,1,,,,,,4,6,,,,,1,1,1,1,1,1,1,11,,,,,,,1,,,,,,,,,,,,,3,3,4,1,,,,,,,,,,1,5,5,5,5,5,5,5,3,,,,,,,,,
172,2,1,3,4,2,4,4,3,4,4,3,4,1,1,バレエ,12,,,,1,4,1,1,2,,,,1,4,2,,1,2,3,7,,,3,3,,,,,2,2,1,3,4,1,1,1,,,,,,,1,2,3,4,5,6,7,,,,,,,2,2,4,1,2,3,,,,,,,,1,3,3,2,2,2,3,3,5,8,9,,,,,,,優しくお勉強を教えてくれるところです。
173,2,1,1,,3,,,,,,,,,,,1,,,,1,5,1,1,,,,,2,5,1,,1,5,7,,,,4,1,,,,,1,2,1,2,1,1,1,11,,,,,,,1,3,4,6,7,,,,,,,,,1,2,1,1,2,3,4,,,,,,,1,5,1,3,4,4,5,1,4,8,,,,,,,,・もっと自転車や車の運転が安全になってほしい。　・ゴミ袋を無料にしてほしい。　・もっとモールを作ってほしい。
174,1,1,3,4,2,4,3,4,4,4,4,4,4,4,,3,,,,3,2,1,1,,,,,3,5,1,,1,5,,,,,6,1,4,,,,1,1,1,2,1,1,1,11,,,,,,,1,4,5,6,,,,,,,,,,2,2,4,1,,,,,,,,,,1,5,5,5,5,5,5,5,5,7,9,,,,,,,
175,1,1,2,3,3,3,3,3,3,3,3,3,4,,,,,,,1,2,1,1,2,,,,1,5,1,,1,3,5,7,,,4,1,3,,,,1,1,1,1,1,1,,11,,,,,,,1,2,3,4,5,6,7,8,13,,,,,1,2,2,1,2,3,4,5,10,,,,,1,4,3,3,3,2,2,2,6,8,9,,,,,,,社会のこと・犯罪か犯罪ではないかなどの日本や世界（地域）の考え方で教えてくれる場所。
176,1,1,,,,,3,,,,,,,,,1,,,,1,3,1,2,,,,,1,4,1,,1,2,,,,,6,1,,,,,2,1,1,1,1,2,2,11,,,,,,,1,2,3,4,,,,,,,,,,3,2,4,1,2,,,,,,,,,1,3,5,5,5,5,5,5,5,9,,,,,,,,ボール遊びが出来る広い公園がほしい。
177,1,1,1,4,3,4,4,4,3,4,4,4,4,4,,1,,,,1,2,1,1,,,,,1,5,1,,1,7,,,,,3,5,,,,プロクラ（プログラム教室）,1,4,1,3,3,1,2,11,,,,,,,1,4,,,,,,,,,,,,3,3,3,1,3,,,,,,,,,1,5,5,5,3,5,3,5,6,7,8,,,,,,,障がい者や高齢者が犯罪（オレオレ詐欺など）をなくし、安全に暮らせる市にしてほしいです。
178,,,1,3,3,,,,,,,,,,,1,9,,,1,2,1,1,,,,,1,5,2,,1,5,,,,,3,2,,,,,1,2,1,3,2,1,1,11,,,,,,,1,4,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,1,3,2,4,3,4,4,4,4,4,4,4,4,4,,1,,,,1,2,3,1,,,,,3,4,2,,1,,,,,,6,1,,,,,2,1,1,2,1,3,3,11,,,,,,,1,4,5,,,,,,,,,,,3,2,2,1,,,,,,,,,,1,2,2,2,2,3,2,2,5,6,7,,,,,,,・公園を増やす　・明るくする　・祭りの規模を大きく
180,2,1,1,3,2,4,4,4,3,4,3,3,4,4,,,,,,1,2,1,1,,,,,2,4,2,,5,,,,,,4,1,,,,,1,2,2,1,1,1,1,11,,,,,,,1,4,13,,,,,,,,,,,2,3,4,1,10,,,,,,,,,1,3,2,2,5,5,3,3,5,,,,,,,,,・狛江市の学校に、誰でもトイレをつくる。　・狛江市に、飲食や学童保育もあるような広い公園をつくってほしい。（だれでも入れる。無料。何才でも。どんな人でも。）ごはんも食べれる。不審者が来たらかこめる所。みんなが仲良くなれる所がほしい。
181,2,1,1,4,3,4,4,4,4,4,4,4,4,4,,1,,,,1,2,1,1,2,,,,3,3,2,,1,2,7,,,,5,3,4,,,,2,2,2,2,2,1,1,11,,,,,,,2,4,,,,,,,,,,,,1,2,2,1,,,,,,,,,,2,2,3,2,3,2,5,5,4,8,9,,,,,,,学校の校庭を広くしたり、遊具を増やす。お店や飲食店を作ってほしい。（狛江にいろんなところに子どもから大人まで楽しめるイベントを増やしてほしい。
182,1,5,3,4,2,4,3,3,4,4,4,4,4,4,,1,,,,1,5,1,1,,,,,1,3,1,,1,,,,,,3,1,,,,,1,3,2,2,1,4,2,,,,,,,,1,5,,,,,,,,,,,,3,3,4,1,,,,,,,,,,1,5,3,2,5,5,5,5,1,,,,,,,,,多摩川が氾濫しないように予防する。
183,2,1,3,3,3,4,4,2,4,4,4,4,4,,,6,,,,1,4,1,1,2,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,4,5,6,8,,,,,,,,3,3,3,1,3,5,10,,,,,,,1,3,3,2,1,3,3,5,3,4,5,8,9,,,,,
184,1,1,1,,2,,,,,3,,,4,,,1,,,,1,2,1,1,2,,,,1,5,2,,1,,,,,,3,1,2,,,,1,2,1,3,1,1,1,11,,,,,,,1,2,3,4,13,,,,,,,,,1,2,3,1,2,3,10,,,,,,,1,5,5,5,5,2,3,3,1,7,9,,,,,,,夜でも暗い道があるから少しでも明るくしてほしい。
185,2,1,2,4,3,4,4,4,3,4,4,4,4,4,,1,,,,1,2,1,1,2,,,,1,4,2,,1,3,,,,,3,2,4,,,,2,3,1,4,4,1,3,4,9,,,,,,4,13,,,,,,,,,,,,3,2,4,2,11,,,,,,,,友だちのお母さん、お父さん,1,2,2,2,3,5,5,2,3,4,7,8,9,,,,,
186,2,1,2,3,2,4,4,3,4,4,4,4,4,4,,1,,,,1,2,1,1,2,,,,1,5,2,,1,3,5,7,,,5,1,3,,,,2,2,1,2,2,1,2,5,8,,,,,,1,2,3,4,5,6,8,,,,,,,3,3,3,1,2,3,5,11,,,,,兄弟,2,1,2,3,1,2,2,2,1,3,9,,,,,,,自分の欲しいものを1円で売る。
187,1,1,,,,,2,,,,,,,,,1,,,,1,3,1,1,2,,,,1,5,2,,3,7,,,,,2,6,,,,,1,1,1,1,1,1,1,11,,,,,,,1,2,3,4,5,6,7,11,,,,,,3,3,4,,,,,,,,,,,2,5,5,3,3,3,5,5,5,8,,,,,,,,特になし
188,2,1,1,3,2,4,4,4,4,4,3,3,4,4,,1,,,,1,1,4,1,,,,,2,4,2,,1,3,5,7,,,3,1,2,3,,,1,1,1,1,1,2,2,11,,,,,,,1,8,,,,,,,,,,,,1,2,4,1,5,,,,,,,,,1,5,5,5,5,5,5,5,5,8,9,,,,,,,特になし
189,1,1,1,3,2,3,4,3,3,4,4,4,4,4,,1,,,,1,2,1,1,5,,,,1,4,1,,1,3,5,7,,,6,1,3,4,,,1,3,2,2,2,1,3,8,,,,,,,1,6,,,,,,,,,,,,1,2,4,1,3,,,,,,,,,2,2,5,4,5,2,3,3,4,5,9,,,,,,,ポケカのパックの輸入量をもっと増やしてほしい。
190,1,1,,,,2,2,,,,,,,,,1,,,,1,5,1,1,,,,,1,4,2,,1,5,,,,,4,1,,,,,1,1,1,2,1,2,2,,,,,,,,1,4,5,,,,,,,,,,,3,2,4,1,,,,,,,,,,2,2,1,5,1,3,3,5,1,5,9,,,,,,,ボールが使って遊べる広い公園。花火ができる公園。100万円がほしい。インターネットが使い放題の場所。市民プールを無料にする。駄菓子屋を増やす。ゲームを半額にする。カードショップを作る。野球ができるところを増やす。充電ができる公園が欲しい。毎日学校4時間。ポケカを簡単に買えるようにする。イオンがほしい。学校で鬼ごっこをする。狛江湯をでかくする。狛江タワーを作る。
191,1,1,2,4,4,3,3,4,3,4,4,4,4,,,1,,,,1,5,1,1,2,,,,1,4,2,,1,3,7,,,,3,2,3,4,,,2,1,1,1,1,2,1,11,,,,,,,1,3,4,,,,,,,,,,,2,3,4,1,2,3,,,,,,,,1,5,3,4,3,4,5,5,3,4,5,,,,,,,ミニ4駆を走らせる場所をほしい。
192,2,1,2,3,3,4,4,3,4,2,3,4,4,3,おじいちゃんの家,1,,,,1,3,1,1,2,3,,,1,5,1,,1,7,,,,,4,2,3,4,,,1,4,1,4,4,1,2,11,,,,,,,1,,,,,,,,,,,,,3,1,3,1,11,,,,,,,,習い事の先生,3,5,3,5,2,3,2,2,6,9,,,,,,,,育児、子育て支援金を増やしてほしい。
193,2,1,2,4,3,4,4,4,4,4,4,4,4,4,,1,,,,1,3,1,1,2,,,,1,3,1,,1,7,,,,,6,1,4,,,,2,2,2,3,2,2,3,11,,,,,,,1,2,4,,,,,,,,,,,1,2,2,1,3,,,,,,,,,2,2,2,3,1,4,3,4,5,7,9,,,,,,,塾じゃない勉強を友達同士で伝えあって、休憩もできるところがほしい。
194,2,1,2,4,2,4,4,4,3,4,4,4,4,4,,1,,,,1,3,1,1,2,,,,2,5,2,,1,3,5,,,,4,1,,,,,2,2,1,2,1,2,1,11,,,,,,,1,2,4,6,8,,,,,,,,,3,2,4,1,,,,,,,,,,2,5,5,5,5,5,5,5,3,4,5,,,,,,,
195,2,1,2,4,2,4,4,3,4,4,4,4,4,4,,1,,,,6,2,1,1,2,,,,2,3,1,,7,,,,,,6,1,,,,,1,2,2,2,1,1,1,3,,,,,,,4,8,,,,,,,,,,,,1,2,1,5,,,,,,,,,,2,5,5,5,2,3,2,2,4,6,9,,,,,,,欲しい物を一つだけ支給する。
196,1,1,2,3,3,4,3,3,3,3,3,4,1,,,1,,,,1,2,1,1,,,,,2,3,2,,1,7,,,,,4,4,,,,,1,2,2,2,1,2,2,11,,,,,,,1,3,4,6,,,,,,,,,,1,2,4,1,2,3,,,,,,,,1,3,2,2,2,3,2,2,3,4,9,,,,,,,本屋復活よろしくお願いします!!
197,1,1,1,4,3,4,4,4,4,4,4,4,4,4,,,,,,1,1,1,1,,,,,1,5,1,,1,,,,,,6,1,,,,,1,1,1,1,1,1,1,11,,,,,,,15,,,,,,,,,,,,,3,3,1,1,3,,,,,,,,,1,5,5,1,5,5,5,5,1,3,4,,,,,,,リサイクルセンターの人が仕事をがんばっているので何か賞をあげてください。
198,1,1,2,4,3,3,4,3,3,4,4,4,4,4,,1,,,,1,3,1,1,2,,,,1,3,2,,1,3,5,,,,3,1,,,,,1,2,1,3,4,1,1,11,,,,,,,1,,,,,,,,,,,,,1,2,4,1,,,,,,,,,,2,4,3,3,3,3,4,4,3,8,9,,,,,,,野球のグラウンドを増やしてほしい。ボールやバットを使って遊べる公園を増やしてほしい。広くて遊べる公園を増やしてほしい。
199,1,1,3,4,3,4,4,2,4,4,4,4,4,4,,6,,,,1,5,1,1,2,5,,,1,3,2,,1,,,,,,3,1,,,,,1,3,2,3,3,2,3,8,,,,,,,1,15,,,,,,,,,,,,2,2,4,1,,,,,,,,,,3,5,5,5,3,5,5,5,5,7,8,,,,,,,サッカーや野球、スポーツが広々として時間が長く使えるグランド、公園、体育館。
200,3,1,2,3,3,4,4,4,3,4,3,4,4,4,,1,,,,1,2,1,1,2,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,3,3,4,1,,,,,,,,,,2,1,1,2,2,4,4,4,4,5,6,,,,,,,広い町にしてほしい。
201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,4,2,,,,,1,1,1,2,2,2,1,11,,,,,,,1,4,,,,,,,,,,,,3,2,2,1,3,,,,,,,,,1,5,5,2,5,5,5,5,4,7,9,,,,,,,自然をもっと豊かにしてほしい。
202,2,1,1,3,3,4,4,3,4,3,4,4,4,4,,1,,,,1,3,1,1,2,,,,1,5,1,,1,3,7,,,,4,1,2,3,,,1,1,1,1,1,2,2,11,,,,,,,1,2,15,,,,,,,,,,,2,2,2,1,,,,,,,,,,,5,5,3,2,5,5,5,3,5,8,,,,,,,
203,2,1,1,4,4,3,3,4,4,4,3,4,4,4,,,,,,1,3,1,1,,,,,1,4,2,,1,,,,,,4,1,4,,,,1,2,1,1,2,1,2,11,,,,,,,1,2,4,8,10,12,,,,,,,,3,3,4,1,5,9,,,,,,,,2,2,2,2,1,3,1,2,4,8,9,,,,,,,
204,1,1,,,1,,,,,,,,,,,1,,,,13,1,1,1,,,,,2,3,1,,1,,,,,,6,1,,,,,1,3,1,1,1,3,1,8,,,,,,,1,4,,,,,,,,,,,,1,3,4,1,,,,,,,,,,1,1,5,3,1,1,5,5,3,5,9,,,,,,,
205,1,,2,,3,,,,,,,,,,,1,,,,1,2,1,1,2,,,,1,3,1,,1,3,,,,,4,4,,,,,3,3,2,2,3,2,2,3,,,,,,,4,,,,,,,,,,,,,3,2,4,1,,,,,,,,,,2,3,3,4,2,4,3,3,2,4,9,,,,,,,
206,1,1,1,3,2,4,4,3,3,4,4,3,4,,外出,12,,,,1,2,1,1,2,,,,2,5,2,,1,5,7,,,,5,1,,,,,2,1,1,2,2,1,2,11,,,,,,,1,6,8,,,,,,,,,,,2,2,4,1,2,3,5,,,,,,,1,5,2,3,1,3,2,3,4,5,6,,,,,,,狛江市民全員が快適で住みやすい町にしていってほしい。
207,2,1,1,4,2,4,4,2,4,4,4,4,4,,,,,,,1,5,1,1,2,,,,1,4,3,,1,3,7,,,,3,3,,,,,1,1,1,3,3,1,2,11,,,,,,,1,2,4,5,,,,,,,,,,3,3,4,1,3,,,,,,,,,1,2,2,5,1,5,5,5,3,4,9,,,,,,,犬の遊べる場所がほしい。（ドッグランとか）
208,2,1,1,3,2,4,4,4,3,4,4,4,4,4,,1,,,,1,2,1,1,,,,,2,5,2,,1,5,7,,,,4,1,2,,,,2,1,1,2,1,1,1,8,,,,,,,1,4,8,,,,,,,,,,,2,2,4,1,2,3,,,,,,,,1,5,3,3,3,3,3,2,1,5,6,,,,,,,・ちゃんと子供たちが困っていることなどがあったら、ちゃんと言える環境。　・みどりの町こまえとあるが、自然が少なくなってきた。→（一小あたり。）
209,2,1,2,,,,,,,,,,,,,1,,,,1,1,1,1,,,,,4,4,1,,1,5,,,,,4,1,4,,,,1,1,1,1,1,2,2,8,,,,,,,1,,,,,,,,,,,,,2,2,4,1,,,,,,,,,,1,4,3,5,5,2,3,2,5,8,9,,,,,,,遊具をたくさん作ってほしい。（面白いの・アスレチック等）　内申をなくしてほしい。あゆみをなくす。先生の労働を少なくしてほしい。
210,2,1,3,4,3,4,3,4,4,4,4,4,1,4,,,,,,,1,1,1,,,,,1,2,5,4,1,5,,,,,2,1,,,,,1,3,2,3,2,3,3,4,,,,,,,1,,,,,,,,,,,,,3,3,4,1,,,,,,,,,,2,3,5,5,5,1,4,5,3,,,,,,,,,
211,2,1,2,,,,,,,,,,,,,1,,,,1,1,1,1,2,,,,1,4,2,,1,5,7,,,,4,1,,,,,2,3,1,3,2,2,2,11,,,,,,,1,4,13,,,,,,,,,,,3,2,3,1,10,,,,,,,,,1,2,3,3,3,3,3,4,3,7,8,,,,,,,
