"基準日","標準地番号","標準地の所在及び地番","標準地の住居表示","本年_標準地の１平方メートル当たりの価格_円","前年_標準地の１平方メートル当たりの価格_円","変動率_パーセント","標準地の面積_M2","標準地の形状","標準地の利用の現況","標準地の周辺の土地の利用の現況","標準地の前面道路の状況","標準地についての水道_ガス供給施設及び下水道の整備状況","標準地の鉄道その他の主要な交通施設との接近の状況","標準地に係る都市計画法_その他法令の制限で主要なもの","備考","経度","緯度","分類"
"令和6年1月1日","公23","新井４丁目４８番６","新井４－１１－１０","587,000","559,000","5.0","76㎡","1：1","住宅
LＳ３","一般住宅、マンション等が建ち並ぶ既成住宅地域","北4m区道","水道・ガス・下水","沼袋
500m","１中専（60・200）
準防","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.666345240515","35.7164905987442","令和6年1月1日"
"令和6年1月1日","公24","野方４丁目５７５番７","野方４－４０－１９","480,000","461,000","4.1","141㎡","1：1.2","住宅
W２","中小規模一般住宅にアパートも見られる住宅地域","北3.8m区道","水道・ガス・下水","野方
700m","１低専（60・150）
準防","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.657518945038","35.7213866633699","令和6年1月1日"
"令和6年1月1日","公25","東中野２丁目４７番１６外","東中野２－３３－２","765,000","714,000","7.1","165㎡","1：1.2","住宅
LS２","中規模一般住宅にマンションが見られる住宅地域","南5m区道","水道・ガス・下水","東中野
500m","１低専（60・150）
準防","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.679162674929","35.7053599356611","令和6年1月1日"
"令和6年1月1日","公26","上高田２丁目２２番６","上高田２－２２－８","588,000","560,000","5.0","158㎡","1：1.5","住宅
W２","一般住宅、アパート等が建ち並ぶ住宅地域","西4.1m区道","水道・ガス・下水","新井薬師前
350m","１中専（60・200）
準防","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.670281845691","35.7135289656287","令和6年1月1日"
"令和6年1月1日","公27","弥生町４丁目２６番３","弥生町４－１０－６","644,000","602,000","7.0","245㎡","1：1.2","住宅
W２","中規模一般住宅に共同住宅が見られる住宅地域","西5.4m区道","水道・ガス・下水","中野新橋
450m","１中専（60・200）
準防","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.671824945146","35.6898762376505","令和6年1月1日"
"令和6年1月1日","公28","中野４丁目６４９番１","中野４－６－８","1,150,000","1,090,000","5.5","721㎡","1：1","共同住宅
RC４F１B","住宅、マンション、事務所等が混在する住宅地域","西4.2m区道","水道・ガス・下水","中野
490m","１住居（60・200）
準防","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.663734824178","35.7089230996954","令和6年1月1日"
"令和6年1月1日","公29","中野３丁目１９番１０","中野３－４５－４","770,000","717,000","7.4","168㎡","1：1","共同住宅
S３","小規模共同住宅、戸建住宅等が建ち並ぶ住宅地域","南3.6m区道","水道・ガス・下水","中野
460m","１中専（60・200）
準防","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.66213097252","35.7045024534937","令和6年1月1日"
"令和6年1月1日","公5-1","中野３丁目１０７番１０外","中野３－３６－１５","5,390,000","4,800,000","12.3","192㎡","1：1","店舗ＳＲＣ６Ｆ１Ｂ","中高層の店舗ビル等が建ち並ぶ駅前の商業地域","東20m都道
北側道","水道・ガス・下水","中野近接","商業（80・600）
防火","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.665156648888","35.7053393212946","令和6年1月1日"
"令和6年1月1日","公5-2","沼袋１丁目２５７番９外","沼袋１－３９－３","625,000","594,000","5.2","109㎡","1：2","店舗兼
共同住宅
ＲＣ４","中低層の店舗兼住宅が建ち並ぶ近隣商業地域","南東4.5m区道","水道・ガス・下水","沼袋
90ｍ","近商（80・300）
防火","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.663964021387","35.7198879472945","令和6年1月1日"
"令和6年1月1日","公5-3","新井１丁目１３番４","新井１－１４－１７","862,000","806,000","6.9","95㎡","1：3","店舗、事務所兼共同住宅
RC４","小規模な小売店舗兼住宅等が多い商業地域","東5.1m区道","水道・ガス・下水","中野
620m","近商（80・300）
防火","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.666848891275","35.7106775208273","令和6年1月1日"
"令和6年1月1日","公5-4※","中央４丁目３４番１５","中央４－２７－５","1,350,000","1,240,000","8.9","177㎡","1.2：1","店舗兼
共同住宅
ＲＣ７","中高層の店舗兼共同住宅等が建ち並ぶ商業地域","西15m都道","水道・ガス・下水","新中野
460m","近商（80・400）
防火","代表標準地です。代表標準地とは、標準地相互の比較を容易に行いうるものとして選定された標準地を意味します。  https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.667030574728","35.7013577826812","令和6年1月1日"
"令和6年1月1日","公5-5※","野方６丁目７３４番１６","野方６－３１－１１","806,000","760,000","6.1","119㎡","1：2","店舗、事務所兼共同住宅
Ｓ３","低層の小規模店舗が建ち並ぶ駅前の商業地域","東5.5m区道
背面道","水道・ガス・下水","野方
70m","商業（80・400）
防火","代表標準地です。代表標準地とは、標準地相互の比較を容易に行いうるものとして選定された標準地を意味します。  https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.65225128554","35.720341302136","令和6年1月1日"
"令和6年1月1日","公5-6","新井５丁目１６番２","新井５－１６－１","780,000","735,000","6.1","144㎡","1：3","店舗兼住宅
Ｓ３","小規模な小売店舗等が建ち並ぶ駅前の商業地域","南東11m区道","水道・ガス・下水","新井薬師前
210m","商業（80・400）
防火","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.670097933522","35.7149325097214","令和6年1月1日"
"令和6年1月1日","公5-7","東中野３丁目２番１","東中野３－８－１５","2,470,000","2,250,000","9.8","427㎡","不整形
1：1","店舗兼
共同住宅
SRC１１F１B","中高層店舗、事務所ビル等が建ち並ぶ商業地域","東40m都道","水道・ガス・下水","東中野
130m","商業（80・500）
防火","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.682812439924","35.7071766166994","令和6年1月1日"
"令和6年1月1日","公5-8","東中野１丁目１２０番１８","東中野１－６－４","998,000","930,000","7.3","141㎡","1：2","店舗兼
共同住宅
ＲＣ６","中低層店舗兼共同住宅等が建ち並ぶ商業地域","南東11m都道 
南西側道","水道・ガス・下水","東中野
630m","近商 （80・400）
防火","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.684639481463","35.7015235940919","令和6年1月1日"
"令和6年1月1日","公5-9","南台２丁目９４番２２外","南台２－４９－８","961,000","885,000","8.6","170㎡","1：1.5","店舗兼
共同住宅
ＲＣ４","中層ビル、共同住宅等が建ち並ぶ路線商業地域","北20m都道","水道・ガス・下水","中野富士見町
840m","近商（80・400）
防火","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.67003278485","35.6861079545024","令和6年1月1日"
"令和6年1月1日","公5-10","東中野３丁目１２３番８","東中野３－１６－１４","1,010,000","935,000","8.0","115㎡","1：1.5","倉庫、事務所
兼住宅
ＲＣ５","店舗、マンション等が建ち並ぶ路線商業地域","北西15ｍ都道","水道・ガス・下水","落合
230ｍ","近商（80・400）
防火","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.681381226922","35.7093581706025","令和6年1月1日"
"令和6年1月1日","公5-11","本町２丁目４３２番１１","本町２－４９－１２","2,020,000","1,860,000","8.6","165㎡","1：3","店舗兼
共同住宅
ＳＲＣ９","中高層の店舗兼住宅等が建ち並ぶ商業地域","北25ｍ都道","水道・ガス・下水","中野坂上
50ｍ","商業（80・500）
防火","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.680394141493","35.6970958840709","令和6年1月1日"
"令和6年1月1日","公5-12※","中野５丁目２１番７","中野５－６７－５","3,530,000","3,140,000","12.4","129㎡","1：2","店舗、事務所
兼住宅
ＲＣ９","中高層店舗、事務所ビル等が建ち並ぶ商業地域","西20ｍ都道","水道・ガス・下水","中野
250ｍ","商業（80・600）
防火","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.665285422119","35.7082373902178","令和6年1月1日"
"令和6年1月1日","公5-13","弥生町２丁目２４番７外","弥生町２－２１－６","1,410,000","1,310,000","7.6","210㎡","1：2","店舗兼事務所
ＲＣ５Ｆ１Ｂ","中高層店舗兼共同住宅等が建ち並ぶ駅前商業地域","西11ｍ区道","水道・ガス・下水","中野新橋
近接","商業（80・400）
防火","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.674509310451","35.6923932890835","令和6年1月1日"
"令和6年1月1日","公5-14","中野１丁目９５番４外","中野１－５０－３","1,150,000","1,060,000","8.5","345㎡","1：1.5","事務所
ＲＣ６Ｆ１Ｂ","中高層の店舗兼共同住宅が多い商業地域","南11ｍ都道","水道・ガス・下水","中野
1ｋｍ","近商（80・400）
防火","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.674042028087","35.7023851982284","令和6年1月1日"
"令和6年1月1日","公5-15","野方１丁目１６３６番１","野方１－２９－２","1,030,000","940,000","9.6","108㎡","1：3","店舗、事務所
兼住宅
ＲＣ６","店舗、事務所、マンション等が建ち並ぶ商業地域","南15.5m都道","水道・ガス・下水","中野
1ｋｍ","近商（80・400）
防火","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.658402143323","35.7099803855802","令和6年1月1日"
"令和6年1月1日","公5-16","中野３丁目１１１番５２外","中野３－３４－１３","1,400,000","1,280,000","9.4","152㎡","1：2","店舗兼
共同住宅 
Ｓ４","中層店舗、事務所ビル等が建ち並ぶ商業地域","西6.2ｍ区道","水道・ガス・下水","中野
270ｍ","商業（80・600）
防火","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.66445806348","35.7041319464306","令和6年1月1日"
"令和6年1月1日","公5-17","東中野４丁目８番４","東中野４－１０－２０","1,160,000","1,070,000","8.4","133㎡","1：1.2","店舗兼住宅
Ｓ３Ｆ１Ｂ","中低層の店舗、事務所等が建ち並ぶ商業地域","東１0.6m区道","水道・ガス・下水","東中野
190m","近商（80・400）
防火","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.686054618829","35.7076793532029","令和6年1月1日"
"令和6年1月1日","公5-18","上鷺宮３丁目２８９番８","上鷺宮３－１６－５","536,000","536,000","0.0","165㎡","1：2","事務所兼倉庫
Ｓ３Ｆ１Ｂ","中低層店舗兼事務所、共同住宅等が多い商業地域","南14.5m都道","水道・ガス・下水","富士見台
400m","近商（80・300）
防火","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.632578655542","35.7353320978652","令和6年1月1日"
"令和6年1月1日","公5-19","江古田４丁目１６５８番５","江古田４－３０－３","673,000","641,000","5.0","132㎡","1：3","店舗、事務所
兼共同住宅
ＲＣ５","中高層の店舗兼共同住宅が建ち並ぶ路線商業地域","南15ｍ都道","水道・ガス・下水","沼袋
550ｍ","近商（80・300）
防火","","139.662241091685","35.7240131598728","令和6年1月1日"
"令和6年1月1日","公5-20","新井１丁目３６番７外","新井１－２５－６","1,370,000","1,260,000","8.7","216㎡","1：1","事務所
ＲＣ６","中層店舗、事務所、マンションの多い商業地域","西20ｍ都道","水道・ガス・下水","中野
700ｍ","近商（80・400）
防火","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.665766985739","35.7119246730201","令和6年1月1日"
"令和6年1月1日","公5-21","中野５丁目２０番２１","中野５－５６－１０","1,690,000","1,570,000","7.6","79㎡","1：2","店舗兼住宅
ＲＣ４Ｆ１Ｂ","小規模な飲食店舗が建ち並ぶ商業地域","北2.7ｍ区道","水道・ガス・下水","中野 
300ｍ","商業（80・600）
防火","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.665884716911","35.7084584619768","令和6年1月1日"
"令和6年1月1日","公5-22","大和町１丁目１４９７番４","大和町１－１３－９","719,000","666,000","8.0","142㎡","1：1","店舗兼
共同住宅
ＲＣ６Ｆ１Ｂ","中低層の店舗兼共同住宅が建ち並ぶ路線商業地域","東25ｍ都道","水道・ガス・下水","野方
740ｍ","近商（80・300）
防火","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.65353533992","35.7133559103429","令和6年1月1日"
"令和6年1月1日","公5-23","本町４丁目９２番６","本町４－３７－２５","1,190,000","1,090,000","9.2","75㎡","1：3","店舗兼
共同住宅
ＲＣ５","中高層の店舗兼共同住宅、事務所が多い商業地域","南東15ｍ区道","水道・ガス・下水","新中野
400m","近商（80・400）
防火","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.66855262176","35.6948483658589","令和6年1月1日"
"令和6年1月1日","公5-24","中野２丁目１２番１","中野２－１１－１","1,380,000","1,270,000","8.7","408㎡","1.2：1","店舗兼
共同住宅
ＲＣ３","中層の店舗、事務所、マンションが多い商業地域","南8ｍ区道","水道・ガス・下水","中野
280m","近商（80・300）
防火","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.668890128369","35.7054068481345","令和6年1月1日"
