都道府県コード又は市区町村コード,地域コード,都道府県名,市区町村名,調査年月日,地域名,総人口,男性,女性,0-4歳の男性,0-4歳の女性,5-9歳の男性,5-9歳の女性,10-14歳の男性,10-14歳の女性,15-19歳の男性,15-19歳の女性,20-24歳の男性,20-24歳の女性,25-29歳の男性,25-29歳の女性,30-34歳の男性,30-34歳の女性,35-39歳の男性,35-39歳の女性,40-44歳の男性,40-44歳の女性,45-49歳の男性,45-49歳の女性,50-54歳の男性,50-54歳の女性,55-59歳の男性,55-59歳の女性,60-64歳の男性,60-64歳の女性,65-69歳の男性,65-69歳の女性,70-74歳の男性,70-74歳の女性,75-79歳の男性,75-79歳の女性,80-84歳の男性,80-84歳の女性,85歳以上の男性,85歳以上の女性,不詳者の男性,不詳者の女性,世帯数,備考,KEY_CODE
131105,213,東京都,目黒区,2016-12-01,五本木三丁目,1979,894,1085,18,26,31,19,29,27,24,22,51,53,78,77,93,100,72,86,92,105,65,87,68,72,53,65,41,44,53,73,33,51,33,49,31,61,29,68,0,0,1201,,13110011003
131105,221,東京都,目黒区,2016-12-01,祐天寺一丁目,2382,1176,1206,54,37,42,33,22,22,30,21,59,37,102,94,125,107,114,111,103,109,94,81,73,78,49,47,50,53,75,95,70,67,43,83,41,62,30,69,0,0,1427,,13110012001
131105,222,東京都,目黒区,2016-12-01,祐天寺二丁目,2023,926,1097,25,20,14,16,23,20,20,23,58,64,117,121,121,151,104,124,75,76,74,83,54,79,49,56,44,35,43,58,35,45,30,48,23,43,17,35,0,0,1377,,13110012002
131105,231,東京都,目黒区,2016-12-01,中央町一丁目,3274,1555,1719,63,64,50,35,36,34,28,39,88,71,148,164,185,202,196,199,124,155,109,123,95,113,87,74,70,88,107,106,61,69,47,70,36,56,25,57,0,0,2050,,13110013001
131105,232,東京都,目黒区,2016-12-01,中央町二丁目,4649,2204,2445,68,64,65,70,67,68,60,79,129,117,231,216,249,235,225,241,199,212,193,220,131,172,136,127,89,106,111,156,94,109,60,74,52,85,45,94,0,0,2772,,13110013002
131105,241,東京都,目黒区,2016-12-01,目黒本町一丁目,2934,1432,1502,83,84,48,61,30,38,47,46,65,61,102,89,132,147,159,150,154,129,119,108,90,81,64,67,64,75,91,106,72,72,45,53,34,65,33,70,0,0,1515,,13110014001
131105,242,東京都,目黒区,2016-12-01,目黒本町二丁目,4450,2101,2349,106,109,104,93,78,67,73,59,88,94,136,146,203,244,239,245,226,243,178,228,160,162,110,130,95,101,84,104,81,96,55,89,48,58,37,81,0,0,2486,,13110014002
131105,243,東京都,目黒区,2016-12-01,目黒本町三丁目,2937,1453,1484,53,41,24,30,35,21,31,38,74,80,137,132,160,149,135,125,131,129,109,114,104,94,91,70,86,67,96,84,64,69,36,66,46,73,41,102,0,0,1796,,13110014003
131105,244,東京都,目黒区,2016-12-01,目黒本町四丁目,4143,2032,2111,69,61,97,83,75,88,80,68,108,75,140,138,161,170,201,165,166,209,180,188,136,139,132,109,108,82,120,146,101,89,73,97,42,99,43,105,0,0,2134,,13110014004
131105,245,東京都,目黒区,2016-12-01,目黒本町五丁目,5164,2499,2665,81,82,59,48,64,79,75,92,135,129,208,186,220,253,212,208,210,209,209,212,170,155,134,155,142,131,189,169,136,138,112,144,82,133,61,142,0,0,2960,,13110014005
131105,246,東京都,目黒区,2016-12-01,目黒本町六丁目,4229,2088,2141,84,99,77,72,62,58,67,59,93,87,151,155,193,191,198,185,183,182,175,157,143,121,109,105,110,91,138,126,95,112,83,123,65,90,62,128,0,0,2324,,13110014006
