平成28年12月１日現在,,,,
地域別（町丁目）,世帯数,人口（男）,人口（女）,総計
井口３丁目,947,974,1078,2052
井口４丁目,1419,1526,1512,3038
井口５丁目,470,465,511,976
小計,5623,6030,6186,12216
深大寺１丁目,795,830,835,1665
深大寺２丁目,2057,2167,1943,4110
深大寺３丁目,1080,1091,1007,2098
小計,3932,4088,3785,7873
野崎１丁目,548,511,547,1058
野崎２丁目,1187,1264,1238,2502
野崎３丁目,924,1030,1007,2037
野崎４丁目,289,336,264,600
小計,2948,3141,3056,6197
大沢１丁目,1309,1478,1412,2890
大沢２丁目,930,1011,974,1985
大沢３丁目,920,844,925,1769
大沢４丁目,1334,1437,1514,2951
大沢５丁目,862,1020,1031,2051
大沢６丁目,742,765,768,1533
小計,6097,6555,6624,13179
合計,91400,90108,93843,183951
平成28年３月１日現在,,,,
地域別（町丁目）,世帯数,人口（男）,人口（女）,総計
下連雀１丁目,1538,1442,1505,2947
下連雀２丁目,1771,1699,1745,3444
下連雀３丁目,5812,4464,5199,9663
下連雀４丁目,3218,2903,3109,6012
下連雀５丁目,1787,1793,2204,3997
下連雀６丁目,2032,1967,2091,4058
下連雀７丁目,2283,2301,2567,4868
下連雀８丁目,1568,1801,1962,3763
下連雀９丁目,1976,2399,2559,4958
小計,21985,20769,22941,43710
牟礼１丁目,1066,968,1026,1994
牟礼２丁目,1973,1830,2019,3849
牟礼３丁目,848,868,762,1630
牟礼４丁目,1517,1617,1715,3332
牟礼５丁目,1339,1323,1340,2663
牟礼６丁目,2513,2717,2797,5514
牟礼７丁目,850,901,862,1763
小計,10106,10224,10521,20745
井の頭１丁目,2491,2122,2364,4486
井の頭２丁目,2097,1595,1849,3444
井の頭３丁目,1239,1098,1204,2302
井の頭４丁目,1071,1009,987,1996
井の頭５丁目,1692,1674,1641,3315
小計,8590,7498,8045,15543
中原１丁目,2107,2013,2157,4170
中原２丁目,1385,1456,1482,2938
中原３丁目,1463,1536,1597,3133
中原４丁目,1896,2012,2127,4139
小計,6851,7017,7363,14380
北野１丁目,617,699,729,1428
北野２丁目,917,1005,1006,2011
北野３丁目,907,1084,1023,2107
北野４丁目,1013,977,1018,1995
小計,3454,3765,3776,7541
新川１丁目,1011,1044,1078,2122
新川２丁目,680,744,764,1508
新川３丁目,999,1071,1001,2072
新川４丁目,1566,1589,1712,3301
新川５丁目,1342,1224,1326,2550
新川６丁目,2478,2299,2101,4400
小計,8076,7971,7982,15953
上連雀１丁目,1758,1553,1491,3044
上連雀２丁目,1361,1141,1204,2345
上連雀３丁目,918,799,800,1599
上連雀４丁目,1691,1614,1562,3176
上連雀５丁目,1415,1366,1332,2698
