年齢,関戸１丁目,,関戸２丁目,,関戸３丁目,,関戸４丁目,,関戸５丁目,,関戸６丁目,,連光寺１丁目,,連光寺２丁目,,連光寺３丁目,,連光寺４丁目,,連光寺５丁目,,連光寺６丁目,,貝取,,乞田,,和田,,百草,,落川,,東寺方,,東寺方１丁目,,一ノ宮１丁目,,一ノ宮２丁目,,一ノ宮３丁目,,一ノ宮４丁目,,桜ヶ丘１丁目,,桜ヶ丘２丁目,,桜ヶ丘３丁目,,桜ヶ丘４丁目,,和田（百草団地）,,聖ヶ丘１丁目,,聖ヶ丘２丁目,,聖ヶ丘３丁目,,聖ヶ丘４丁目,,聖ヶ丘５丁目,,馬引沢１丁目,,馬引沢２丁目,,山王下１丁目,,中沢１丁目,,中沢２丁目,,唐木田１丁目,,諏訪１丁目,,諏訪２丁目,,諏訪３丁目,,諏訪４丁目,,諏訪５丁目,,永山１丁目,,永山２丁目,,永山３丁目,,永山４丁目,,永山５丁目,,永山６丁目,,永山７丁目,,貝取１丁目,,貝取２丁目,,貝取３丁目,,貝取４丁目,,貝取５丁目,,豊ヶ丘１丁目,,豊ヶ丘２丁目,,豊ヶ丘３丁目,,豊ヶ丘４丁目,,豊ヶ丘５丁目,,豊ヶ丘６丁目,,落合１丁目,,落合２丁目,,落合３丁目,,落合４丁目,,落合５丁目,,落合６丁目,,鶴牧１丁目,,鶴牧２丁目,,鶴牧３丁目,,鶴牧４丁目,,鶴牧５丁目,,鶴牧６丁目,,南野１丁目,,南野２丁目,,南野３丁目,,東寺方３丁目,,和田３丁目,,愛宕１丁目,,愛宕２丁目,,愛宕３丁目,,愛宕４丁目,,合計,,
72,3,8,15,14,9,8,13,14,7,6,1,4,12,13,10,8,10,9,4,1,3,1,13,7,3,3,6,10,27,27,7,7,3,7,12,15,2,5,15,14,10,9,3,8,4,12,8,16,7,11,12,18,4,10,13,23,13,17,22,20,25,20,10,9,0,0,1,8,2,2,2,3,4,5,10,10,19,10,10,17,21,29,10,11,16,36,6,12,8,4,16,23,38,31,29,32,19,32,6,11,0,0,12,17,49,39,13,16,13,12,7,12,12,9,20,26,13,18,8,7,17,24,11,10,8,9,5,7,39,41,15,29,21,23,8,9,9,8,6,1,28,22,9,5,30,25,8,8,0,0,6,9,4,6,3,11,17,21,5,9,10,13,5,21,10,27,944,"1,124","2,068"
73,5,6,13,10,7,14,8,16,8,6,3,3,14,19,10,12,9,10,5,7,2,2,2,4,4,4,3,10,39,52,2,8,4,15,15,14,2,1,13,9,4,7,4,1,7,14,12,9,14,9,7,13,8,13,16,22,16,15,18,25,18,17,10,7,0,1,5,6,7,5,3,3,5,2,8,8,15,15,27,28,21,30,12,12,28,46,9,20,9,13,20,23,33,55,33,44,35,36,10,8,0,0,15,13,32,29,7,10,8,15,5,7,10,10,29,30,12,10,8,10,17,28,6,14,5,8,6,11,23,41,26,25,20,18,10,7,3,8,4,2,20,31,8,14,23,21,11,8,0,0,3,2,8,7,1,6,8,20,6,11,13,20,11,19,23,27,963,"1,211","2,174"
74,7,6,5,14,5,9,13,15,6,5,3,2,18,20,10,9,8,11,1,3,1,2,5,1,6,6,6,8,46,47,4,5,7,7,8,7,4,3,6,10,10,13,4,9,7,10,22,22,15,10,16,6,12,10,9,21,9,10,21,25,21,19,4,5,0,0,8,3,5,4,0,6,3,5,9,6,14,12,12,33,20,24,8,12,20,31,11,12,7,7,20,13,36,31,30,38,25,31,8,9,0,0,6,16,36,32,10,10,17,17,6,9,13,14,31,29,19,13,6,4,14,13,7,11,8,12,8,11,30,28,25,18,24,24,11,14,6,7,1,2,22,23,13,9,23,15,8,9,0,0,3,5,3,1,5,10,17,24,11,12,8,13,9,12,23,27,978,"1,071","2,049"
75,4,8,10,13,6,9,13,14,3,3,2,3,17,15,9,13,6,9,5,9,0,1,6,1,4,4,8,9,31,43,4,8,4,8,12,14,3,8,7,11,2,9,6,3,5,8,13,11,9,13,5,10,8,8,9,26,15,7,23,18,17,11,12,13,0,1,5,7,4,4,1,4,2,1,5,6,8,14,21,14,31,33,11,7,28,30,11,14,12,11,13,23,27,38,44,48,29,24,7,3,0,0,10,9,26,25,6,10,9,16,3,15,12,15,17,25,14,8,9,8,9,23,8,6,8,8,6,7,31,31,20,22,21,15,9,11,2,11,6,1,19,21,8,15,23,24,5,8,0,0,3,6,4,7,6,5,16,16,14,8,12,20,8,16,12,24,893,"1,058","1,951"
76,4,10,11,22,6,5,3,13,5,4,4,1,13,18,8,8,10,10,3,7,0,2,2,4,3,2,7,8,25,34,5,6,11,8,11,7,6,4,8,11,8,3,4,4,5,8,13,11,6,6,10,17,5,12,19,20,11,12,12,24,17,15,8,4,0,1,2,2,1,4,2,3,2,3,5,9,10,8,18,22,19,20,4,12,27,41,16,9,5,8,15,15,28,34,22,48,30,14,8,7,0,0,12,5,29,21,10,15,16,11,3,11,11,15,29,20,12,11,6,15,11,19,11,13,6,8,4,4,25,31,23,21,20,22,5,6,9,8,0,3,18,20,9,11,22,14,8,7,0,0,1,3,5,3,1,8,10,21,4,7,5,13,4,20,13,18,819,984,"1,803"
77,5,3,6,8,9,6,11,8,2,6,1,4,15,16,2,16,5,5,2,3,2,0,3,4,0,4,4,6,20,40,12,1,7,7,10,13,0,3,5,9,5,6,3,2,5,4,7,15,5,12,5,8,8,15,17,26,8,14,14,17,23,21,4,4,1,0,4,2,2,5,1,5,3,1,4,4,9,8,16,13,22,24,6,6,24,35,8,8,2,7,14,13,29,20,25,38,17,20,6,4,0,0,6,8,20,18,5,9,14,14,4,10,6,6,14,21,11,5,5,6,16,13,4,9,3,7,4,5,28,21,21,15,21,8,8,10,6,4,3,1,14,7,6,4,16,17,3,2,0,0,9,5,2,3,2,6,18,12,10,8,6,15,10,10,11,16,724,814,"1,538"
78,1,4,8,10,4,9,9,11,1,7,4,2,11,11,7,6,5,12,2,4,0,1,0,4,2,0,7,10,24,34,5,5,3,8,6,8,2,1,4,8,4,4,4,4,8,5,2,16,7,5,6,11,14,9,19,18,10,6,11,7,15,8,4,1,0,0,2,5,3,6,2,3,1,2,8,8,7,7,9,11,11,15,5,6,13,22,6,7,2,7,10,11,14,34,20,33,8,18,4,7,0,0,11,6,17,22,10,9,14,12,3,6,10,10,20,22,8,7,4,9,18,17,5,11,4,6,5,0,11,19,11,17,4,6,10,9,2,3,2,1,14,11,11,8,14,11,3,6,0,0,1,1,3,6,4,4,10,10,3,4,9,4,9,16,18,20,602,744,"1,346"
79,4,4,7,9,2,8,3,11,4,6,0,1,6,13,4,9,5,3,5,2,0,4,4,1,3,2,7,6,28,27,3,4,4,4,9,11,2,5,5,11,10,4,2,2,3,10,10,12,2,9,2,7,9,14,15,21,12,6,20,13,11,17,7,4,0,0,5,6,1,3,3,6,2,3,5,7,8,8,10,17,13,19,5,12,24,23,12,9,6,5,14,14,25,22,23,25,20,17,7,10,0,0,4,10,22,16,8,11,11,8,3,6,9,13,22,13,7,5,6,11,12,13,7,13,2,4,4,2,25,16,19,15,11,9,7,5,7,5,2,1,14,13,6,9,13,8,7,2,0,0,0,4,2,2,2,4,9,13,6,6,8,9,10,14,12,17,668,743,"1,411"
80,2,7,9,9,4,7,5,18,2,5,4,1,13,14,1,8,8,9,7,2,0,3,2,0,3,2,5,10,17,30,3,4,6,10,6,10,5,2,3,6,3,12,2,3,6,10,8,12,4,11,9,4,11,7,13,9,4,6,13,13,17,16,3,3,1,0,3,2,1,6,3,4,1,0,8,5,10,5,11,20,12,16,6,8,15,15,8,7,4,5,12,16,29,24,17,38,13,7,2,2,0,0,13,8,14,19,6,5,9,12,11,7,10,8,16,13,9,7,6,9,9,16,7,10,7,6,4,3,11,17,9,16,9,9,3,4,2,7,2,10,9,8,13,4,11,10,3,3,0,0,3,2,1,1,7,4,12,16,3,10,4,5,10,20,13,17,600,729,"1,329"
81,1,2,5,9,6,6,6,14,6,6,2,3,11,13,6,5,5,7,5,5,1,1,0,5,0,1,0,6,16,26,8,6,6,7,3,3,0,1,9,11,4,6,0,2,6,9,7,9,5,9,9,10,9,6,11,19,2,8,11,14,13,10,2,2,0,0,1,1,1,2,6,5,0,2,1,8,3,10,12,12,14,15,2,7,14,29,5,9,2,10,13,9,15,24,25,38,13,15,4,3,0,0,6,5,10,14,5,4,10,11,4,6,7,13,16,15,4,6,6,16,10,18,9,4,5,6,4,1,21,19,13,12,6,10,6,4,1,7,0,2,14,11,5,1,9,9,5,4,0,0,4,0,3,2,1,2,3,10,3,4,9,10,10,13,10,13,525,692,"1,217"
82,5,5,10,7,4,5,3,12,2,3,1,2,16,13,3,5,5,4,1,5,0,3,1,3,2,0,8,5,18,23,5,1,1,0,8,3,0,6,6,3,11,3,3,3,7,14,10,14,1,4,8,9,8,3,14,11,2,4,14,11,12,10,1,0,0,0,0,3,3,1,5,6,1,6,3,5,7,9,12,13,5,11,10,4,6,15,5,4,2,3,7,14,13,15,28,30,17,10,2,3,0,0,4,5,10,5,4,2,3,13,7,2,6,7,16,8,4,9,3,6,6,15,7,4,4,3,3,1,11,15,4,7,8,4,5,0,2,2,1,3,7,7,4,1,6,5,3,0,0,0,3,1,4,2,0,2,7,11,5,0,4,4,9,6,13,12,489,508,997
83,4,5,9,15,6,6,4,7,2,3,1,1,10,13,4,5,6,10,2,3,1,1,3,3,0,1,2,3,11,28,4,6,7,7,3,6,0,0,7,8,6,5,2,4,10,8,9,14,8,6,3,12,1,4,7,12,4,9,10,9,6,10,4,2,0,0,2,1,2,1,2,5,1,0,6,7,2,5,11,18,10,13,7,4,10,14,2,7,1,9,14,8,12,26,20,26,13,8,3,2,0,0,7,8,10,11,6,3,3,4,3,5,4,6,9,15,4,10,5,6,9,12,1,4,3,8,0,4,4,11,8,11,11,4,7,8,3,3,1,0,11,10,3,5,7,7,3,3,0,0,1,0,3,2,1,1,6,7,3,8,6,7,10,11,9,9,435,583,"1,018"
84,2,11,3,4,3,11,6,14,4,5,1,3,11,17,3,4,3,6,2,1,1,0,0,3,1,0,4,4,13,17,2,3,1,4,2,1,2,3,4,9,6,4,0,5,4,11,9,14,8,13,5,4,4,4,6,12,4,3,6,12,10,6,2,3,1,0,2,2,1,1,3,8,1,1,1,5,5,2,8,4,8,9,1,1,9,18,2,7,3,5,11,9,12,16,14,20,10,13,2,4,0,0,3,3,12,9,0,4,5,6,2,4,2,3,7,10,5,2,8,7,5,14,3,11,2,9,2,3,16,10,4,8,7,7,3,2,5,0,1,1,4,8,4,4,3,3,2,4,0,0,0,1,2,0,3,2,4,4,5,5,7,4,4,10,6,11,362,505,867
85,3,2,7,7,4,2,6,8,1,5,2,1,10,4,1,1,3,6,0,3,0,2,0,1,1,3,3,3,8,15,4,3,2,3,1,2,0,5,5,6,4,5,3,3,5,10,8,8,10,14,6,3,5,8,5,10,1,4,5,6,2,6,0,1,0,0,2,2,2,1,0,3,0,0,0,4,4,5,8,8,9,12,1,3,5,11,2,5,4,3,4,9,8,15,9,16,7,9,0,4,0,0,3,2,4,6,1,3,4,3,3,4,5,2,4,4,3,3,3,3,13,11,6,5,2,5,1,1,4,6,9,10,2,10,0,3,0,5,1,2,4,6,2,3,7,8,1,4,0,0,0,2,2,4,0,2,2,10,4,0,7,0,9,5,6,9,292,411,703
86,3,3,7,8,1,6,4,8,2,6,1,1,1,13,2,3,2,9,0,2,1,0,0,2,1,0,2,5,13,18,2,4,2,2,3,4,0,2,3,3,1,3,3,2,7,7,8,12,4,11,4,6,5,7,8,8,1,7,1,8,5,5,1,1,0,0,2,2,1,2,2,4,2,1,1,4,2,4,10,7,2,6,1,1,6,11,2,3,1,3,6,8,14,5,9,12,5,4,4,1,0,0,3,7,2,5,1,3,5,3,1,2,1,8,2,7,1,3,1,7,11,4,3,7,1,4,1,3,7,4,6,5,1,4,3,4,2,2,1,3,4,9,3,0,4,10,2,4,0,0,0,0,3,2,1,1,3,6,1,3,1,0,5,3,5,7,253,384,637
87,2,5,4,7,2,4,5,5,1,1,0,2,5,9,0,1,3,2,1,2,1,1,0,3,0,3,1,2,9,23,1,4,2,3,1,2,0,2,2,5,1,0,0,2,9,7,1,16,2,8,6,8,1,8,5,9,2,2,2,10,13,7,1,1,0,0,1,1,1,1,2,9,0,1,1,3,0,3,5,6,2,7,2,3,1,4,3,2,3,3,5,4,3,13,5,13,5,4,4,1,0,0,3,4,5,5,1,0,3,1,4,1,6,3,8,7,1,4,1,5,7,1,5,6,2,4,3,4,1,3,5,4,5,4,2,2,2,0,0,1,4,1,2,0,6,3,2,1,0,0,0,1,0,2,1,1,1,3,1,3,1,5,2,3,3,7,213,331,544
88,3,5,5,8,2,9,2,11,0,6,0,0,6,8,3,2,3,2,2,4,1,2,1,2,0,2,0,3,1,21,0,3,2,1,1,2,0,1,3,3,0,6,0,2,4,6,10,16,3,5,1,6,3,10,3,5,0,3,1,5,3,6,2,2,0,0,1,2,0,1,2,13,0,1,0,3,2,5,0,10,1,7,0,1,3,7,0,3,0,3,5,7,4,8,8,12,2,2,0,4,0,0,2,3,1,3,2,1,1,2,0,4,2,1,2,3,4,6,1,2,5,5,0,2,1,4,1,1,5,5,3,4,2,1,3,5,2,3,1,2,0,2,0,1,1,4,0,0,0,0,0,1,0,3,0,1,0,1,1,2,0,4,2,1,1,1,136,334,470
89,2,1,3,3,1,3,3,4,0,3,0,0,4,10,1,2,4,3,2,3,0,0,0,0,0,0,4,5,9,19,2,0,0,2,1,2,0,1,0,3,1,5,0,2,2,6,3,7,4,5,4,9,3,9,1,5,1,2,5,6,5,6,0,2,0,0,0,1,0,1,0,7,0,2,4,4,1,4,1,5,2,3,0,2,3,4,1,2,1,2,1,7,3,8,5,11,1,3,1,0,0,0,0,2,1,4,0,2,0,4,0,1,2,2,2,6,3,5,0,4,6,5,1,0,1,3,0,3,1,1,1,0,1,3,1,1,0,4,1,3,1,5,0,1,3,4,0,0,0,0,1,1,0,1,0,0,3,3,0,1,2,3,0,1,0,2,120,269,389
90,0,7,1,6,1,1,0,3,1,2,0,1,6,11,0,3,0,1,0,2,1,1,0,2,0,0,0,0,2,14,1,1,1,1,1,2,0,2,1,5,1,0,0,1,4,7,6,8,3,7,2,4,1,7,0,6,1,1,1,6,1,3,1,1,1,0,0,8,0,0,2,7,0,0,3,5,1,6,3,4,0,7,1,1,2,5,0,2,1,1,1,0,6,8,1,5,2,3,1,0,0,0,0,2,1,3,0,0,1,3,0,0,1,1,1,5,1,0,1,3,1,6,0,2,1,0,2,1,2,2,1,2,1,1,3,2,1,0,0,0,2,4,1,0,3,2,0,2,0,0,0,1,0,0,0,0,1,2,1,1,0,0,0,2,2,4,90,229,319
91,1,0,2,2,2,3,2,3,1,2,0,0,0,7,0,5,2,0,1,1,0,2,0,0,0,0,0,2,3,15,0,3,0,1,0,2,0,2,1,1,0,0,2,0,1,2,6,14,1,7,2,3,1,6,1,2,0,3,2,3,1,2,0,0,0,0,0,1,0,0,0,9,1,0,0,3,1,3,1,4,1,2,0,1,3,3,0,2,0,0,1,2,1,13,3,7,2,3,0,2,0,0,1,2,0,3,1,0,0,1,1,1,2,3,3,1,1,2,0,3,2,4,1,1,2,1,1,1,2,2,2,0,0,3,2,1,1,5,1,2,0,3,1,2,2,2,0,2,0,0,1,0,1,0,0,1,0,0,0,2,2,0,2,3,2,6,80,205,285
92,0,0,0,2,0,2,1,1,1,4,0,1,2,8,0,2,0,2,0,0,0,2,0,1,0,1,0,2,2,13,1,1,0,0,0,1,0,1,4,1,0,3,0,1,0,2,4,6,1,7,2,4,1,6,1,3,0,1,1,2,1,6,0,0,0,0,0,0,0,1,1,8,1,1,0,0,2,3,1,5,1,2,1,1,1,4,1,1,0,3,0,3,1,8,1,7,0,0,1,1,0,0,0,0,0,4,0,0,0,0,0,3,0,2,1,0,1,5,1,0,1,4,0,0,0,1,0,1,0,1,0,1,1,3,0,3,0,0,0,1,1,1,0,0,1,4,0,1,0,0,0,1,1,2,0,0,0,3,1,1,1,2,1,2,2,2,47,182,229
93,1,0,0,1,0,0,1,4,0,1,1,0,1,5,0,1,0,1,1,0,0,0,1,2,0,1,0,0,4,17,0,0,0,1,0,0,0,1,1,1,1,1,0,1,1,2,3,6,1,4,0,2,1,4,3,1,0,0,1,3,0,2,0,0,0,0,0,1,0,1,0,8,0,1,0,4,1,1,0,1,1,2,0,0,0,2,0,0,0,2,2,1,0,2,1,6,1,3,0,0,0,0,1,0,0,2,0,0,0,2,0,0,0,2,0,0,1,1,1,3,0,3,0,0,0,1,0,1,0,2,0,2,0,2,0,2,1,1,0,0,0,2,1,0,2,4,0,1,0,0,0,2,0,0,0,0,1,1,1,0,0,1,0,2,0,1,37,135,172
94,0,0,1,2,0,0,0,2,0,2,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,13,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,3,3,0,0,6,0,2,3,1,0,0,0,0,0,1,0,2,0,0,0,0,0,3,0,0,1,4,0,0,0,2,1,3,0,2,0,2,0,2,0,2,0,0,0,0,0,3,0,6,0,4,1,0,1,0,0,0,0,1,2,1,0,0,0,1,1,0,1,2,1,2,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,1,0,0,0,0,1,2,0,2,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,21,97,118
95,0,0,1,2,0,0,0,1,0,0,0,0,0,8,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,1,3,1,5,1,2,1,1,1,0,0,2,0,4,0,1,0,0,0,0,0,1,0,5,0,0,0,1,0,0,0,1,1,2,0,0,1,0,0,1,0,0,0,1,1,4,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,2,1,0,0,3,0,2,0,1,0,1,1,2,0,0,0,1,0,1,0,0,0,2,0,1,0,0,0,1,0,0,0,1,0,0,0,1,16,81,97
96,1,0,0,1,1,1,0,0,0,1,0,0,0,3,0,0,0,1,2,0,1,1,0,0,0,0,0,2,1,9,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,2,1,8,1,2,1,2,0,2,1,0,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,4,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,2,0,3,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,16,73,89
97,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,2,1,1,0,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,9,34,43
98,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,8,31,39
99,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,21,26
100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,22
101,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,16,19
102,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,10
103,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
104,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
