20/09/12 11:00,0.002,0.003,0.010,0.018,1.92,0.11,0.004,ENE,4.0,0.002,0.008,0.023,1.89,0.09,0.006,NE ,4.0,0.002,0.003,0.008,0.017,0.006, N ,1.4,0.000,0.003,0.010,0.019,0.006,NE ,2.4,0.003,0.008,0.013,0.014,1.91,0.06,0.010,NNE,5.6,0.004,0.014,0.006,SE ,1.0,0.006,0.009,0.007, N ,1.9,0.006,0.011,0.009,ESE,1.3,0.003,0.010,0.008, E ,1.9
20/09/12 12:00,0.002,0.002,0.011,0.019,1.90,0.10,0.006, E ,3.6,0.001,0.007,0.024,1.89,0.08,0.008,ENE,2.5,0.001,0.001,0.007,0.018,0.006,NNE,1.1,0.000,0.002,0.011,0.019,0.010,NE ,2.2,0.003,0.007,0.017,0.015,1.92,0.08,0.016,NE ,4.9,0.003,0.013,0.006,SE ,1.1,0.006,0.012,0.006,NNW,1.8,0.003,0.012,0.009,ENE,0.8,0.002,0.011,0.008, E ,1.6
20/09/12 13:00,0.002,0.003,0.012,0.017,1.93,0.11,0.002,ESE,3.5,0.002,0.009,0.023,1.90,0.09,0.004,ENE,2.4,0.001,0.002,0.008,0.018,0.003, E ,1.0,0.000,0.002,0.009,0.017,0.005,ENE,1.9,0.003,0.006,0.013,0.017,1.96,0.10,0.005,ENE,3.1,0.005,0.016,0.003,ESE,1.0,0.009,0.015,0.005, N ,1.3,0.003,0.009,0.006,SW ,0.4,0.002,0.008,0.005,SE ,0.7
20/09/12 14:00,0.002,0.003,0.011,0.017,1.95,0.10,0.002,ENE,4.4,0.001,0.008,0.024,1.88,0.08,0.003,NE ,4.1,0.001,0.002,0.009,0.016,0.002,NNE,1.4,0.000,0.003,0.010,0.017,0.005,NE ,1.8,0.003,0.007,0.014,0.015,2.08,0.11,0.004,NE ,3.6,0.004,0.015,0.001, S ,0.9,0.007,0.012,0.003,NNW,2.2,0.004,0.011,0.006,NE ,1.1,0.003,0.009,0.003,ENE,2.7
20/09/12 15:00,0.002,0.002,0.010,0.018,1.89,0.10,0.004,NE ,2.7,0.001,0.006,0.025,1.87,0.07,0.004,NE ,3.3,0.001,0.001,0.006,0.019,0.003,NNE,1.5,0.000,0.002,0.010,0.016,0.007,NE ,1.8,0.003,0.009,0.017,0.012,1.91,0.07,0.011, N ,3.9,0.003,0.012,0.004,SE ,0.9,0.003,0.009,0.006,NNW,1.8,0.002,0.011,0.005,ENE,0.4,0.003,0.010,0.006,ENE,2.2
20/09/12 16:00,0.002,0.003,0.010,0.016,1.90,0.10,0.002,NE ,3.7,0.002,0.007,0.022,1.87,0.09,0.003,NE ,3.7,0.001,0.001,0.007,0.016,0.002,NNE,1.6,0.000,0.004,0.010,0.014,0.005,NE ,2.4,0.003,0.008,0.014,0.013,1.90,0.08,0.003,NNE,5.3,0.004,0.014,0.005,SSE,0.8,0.003,0.009,0.005,NNW,1.8,0.005,0.010,0.003,SE ,0.7,0.005,0.013,0.003,ENE,3.3
20/09/12 17:00,0.002,0.002,0.009,0.016,1.89,0.10,0.002,NNE,3.8,0.001,0.007,0.021,1.87,0.10,0.003,NNE,3.3,0.001,0.001,0.006,0.016,0.002, N ,3.7,0.000,0.004,0.011,0.013,0.004,NNE,2.4,0.003,0.004,0.010,0.015,1.89,0.06,0.007,NNE,3.6,0.003,0.013,0.003,SSE,0.8,0.002,0.008,0.004,NNW,2.2,0.003,0.011,0.005,NE ,1.1,0.003,0.009,0.003,ENE,2.8
20/09/12 18:00,0.002,0.001,0.009,0.015,1.94,0.13,0.003,NE ,4.2,0.001,0.006,0.020,1.88,0.09,0.004,NE ,3.2,0.001,0.000,0.006,0.016,0.003,NNE,2.4,0.000,0.002,0.010,0.013,0.005,NE ,2.8,0.003,0.004,0.013,0.012,1.88,0.07,0.003,NNE,3.3,0.002,0.011,0.004, S ,0.9,0.002,0.010,0.009,NNW,2.1,0.002,0.011,0.003,ENE,0.8,0.002,0.011,0.003,ENE,2.9
20/09/12 19:00,0.002,0.001,0.010,0.013,1.97,0.14,0.006, N ,3.3,0.001,0.007,0.018,1.89,0.10,0.007,NNE,2.9,0.001,0.000,0.006,0.014,0.006, N ,2.9,0.000,0.002,0.010,0.013,0.007, N ,2.0,0.003,0.003,0.014,0.010,1.89,0.07,0.008,NNE,4.2,0.002,0.012,0.008,NW ,0.8,0.001,0.009,0.006,NNW,1.5,0.002,0.010,0.008,NNE,1.2,0.002,0.012,0.009,ENE,2.5
20/09/12 20:00,0.002,0.001,0.007,0.014,1.95,0.14,0.005,NNE,3.4,0.001,0.007,0.017,1.88,0.10,0.005, N ,2.8,0.001,0.000,0.006,0.013,0.005, N ,3.4,0.000,0.001,0.008,0.013,0.008, N ,1.9,0.003,0.002,0.011,0.011,1.88,0.06,0.006,NNE,3.9,0.002,0.009,0.007,NW ,1.0,0.002,0.009,0.005,NNW,2.4,0.002,0.009,0.008,NE ,1.5,0.002,0.013,0.006,NE ,2.1
20/09/12 21:00,0.001,0.001,0.008,0.012,1.94,0.14,0.004,NNE,2.7,0.001,0.007,0.015,1.88,0.10,0.006,NNE,2.4,0.001,0.000,0.006,0.012,0.004, N ,2.5,0.000,0.002,0.009,0.010,0.007,NNW,1.4,0.003,0.002,0.013,0.008,1.89,0.07,0.010,NNE,3.9,0.002,0.009,0.009, N ,0.6,0.001,0.008,0.004,NW ,1.2,0.002,0.008,0.004,NE ,1.0,0.003,0.012,0.003,NE ,2.2
20/09/12 22:00,0.001,0.001,0.007,0.011,1.94,0.13,0.003, N ,3.5,0.001,0.006,0.015,1.87,0.10,0.003, N ,2.5,0.001,0.000,0.006,0.011,0.004, N ,2.9,0.000,0.002,0.008,0.010,0.006, N ,1.9,0.003,0.003,0.012,0.008,1.89,0.06,0.006, N ,3.5,0.002,0.008,0.007,WNW,0.9,0.001,0.008,0.003,NW ,1.6,0.002,0.008,0.003,NE ,1.7,0.003,0.014,0.003,ENE,2.1
20/09/12 23:00,0.002,0.001,0.006,0.011,1.93,0.12,0.004,NNE,3.4,0.000,0.006,0.014,1.88,0.10,0.004, N ,2.5,0.001,0.000,0.005,0.010,0.004, N ,3.7,0.000,0.001,0.006,0.010,0.004, N ,1.5,0.003,0.002,0.011,0.007,1.88,0.07,0.005, N ,2.7,0.001,0.007,0.007,NW ,1.1,0.001,0.006,0.004,NNW,1.9,0.002,0.007,0.005,NNE,1.1,0.004,0.012,0.006, N ,1.2
20/09/13 00:00,0.002,0.001,0.006,0.012,1.97,0.12,0.004,NNW,3.4,0.000,0.005,0.016,1.91,0.10,0.003, N ,2.3,0.001,0.000,0.004,0.012,0.003, N ,2.6,0.000,0.000,0.006,0.011,0.004,NW ,1.9,0.002,0.002,0.012,0.007,1.92,0.10,0.002,NNW,3.2,0.002,0.007,0.003,NW ,0.9,0.001,0.007,0.004,NNW,1.9,0.001,0.006,0.004,NNE,1.1,0.005,0.009,0.005,NNW,1.7
20/09/13 01:00,保守中,0.000,0.005,0.014,2.07,0.16,0.002, N ,4.2,0.000,0.005,0.019,1.94,0.10,0.005, N ,2.9,0.001,0.000,0.004,0.015,0.003,NNW,2.6,0.000,0.000,0.005,0.014,0.002,NW ,1.7,0.002,0.001,0.009,0.012,1.95,0.10,0.002, N ,3.3,0.002,0.008,0.004,NW ,1.0,0.001,0.005,0.006,NNW,1.4,保守中,保守中,0.002,NNE,1.2,0.004,0.008,0.005, N ,2.1
20/09/13 02:00,0.001,保守中,保守中,0.016,2.07,0.14,0.002,NNE,3.4,0.000,0.004,0.020,1.95,0.09,0.004, N ,2.1,0.002,保守中,保守中,0.015,0.003, N ,2.9,0.000,0.000,0.004,0.016,0.004,NW ,1.4,0.002,0.001,0.009,0.014,1.96,0.09,0.001, N ,2.0,保守中,保守中,0.004,WNW,0.8,0.001,0.005,0.004,NNW,1.5,0.001,0.005,0.004,NE ,1.1,0.002,0.008,0.003,NNW,2.0
20/09/13 03:00,0.002,0.000,0.004,0.018,2.07,0.13,0.003, N ,2.2,0.000,0.005,0.021,1.96,0.08,0.002, N ,2.4,0.002,0.000,0.003,0.017,0.002,NNW,2.1,0.000,0.000,0.004,0.018,0.002,NNW,1.4,0.003,0.001,0.011,0.013,1.98,0.08,0.002,NNW,1.6,0.001,0.006,0.004,NNW,0.6,0.001,0.004,0.001,NW ,1.6,0.001,0.006,0.004,NE ,1.4,0.002,0.008,0.003,NNW,1.4
20/09/13 04:00,0.002,0.000,0.005,0.017,2.17,0.16,0.002, N ,1.1,0.000,0.004,0.022,1.96,0.08,0.003, N ,1.3,0.002,0.000,0.003,0.018,0.002, N ,1.5,0.000,0.000,0.005,0.018,0.005, N ,0.8,0.002,0.001,0.008,0.016,1.98,0.08,0.002, N ,1.1,0.002,0.008,0.002,NNW,0.4,0.000,0.005,0.003,NNW,1.0,0.001,0.006,0.027,NE ,1.0,0.002,0.008,0.006, N ,1.0
20/09/13 05:00,0.002,0.000,0.006,0.015,2.35,0.23,0.002,NNE,0.9,0.000,0.006,0.020,1.97,0.09,0.002,NNE,1.2,0.002,0.000,0.003,0.015,0.002, C ,0.4,0.000,0.000,0.006,0.015,0.003,NE ,0.5,0.003,0.001,0.015,0.009,1.98,0.08,0.007,NNE,1.3,0.004,0.012,0.005,NNW,0.3,0.001,0.006,0.006,NNW,0.7,0.002,0.008,0.007,NE ,0.5,0.008,0.014,0.005,NNE,0.7
20/09/13 06:00,0.002,0.001,0.008,0.014,2.08,0.16,0.002,NNW,0.6,0.001,0.006,0.018,1.97,0.10,0.004,NW ,1.1,0.002,0.000,0.005,0.013,0.004,NW ,0.6,0.000,0.001,0.007,0.013,0.004,WNW,0.6,0.003,0.002,0.014,0.009,2.10,0.08,0.006,NE ,0.9,0.008,0.015,0.005,NNW,0.4,0.001,0.007,0.006,NW ,1.1,0.002,0.009,0.006,WSW,0.6,0.006,0.016,0.005,ESE,0.4
20/09/13 07:00,0.002,0.001,0.007,0.014,2.25,0.21,0.005,NNE,0.6,0.001,0.006,0.019,1.97,0.11,0.004, N ,1.0,0.002,0.001,0.006,0.013,0.002,NNW,0.7,0.000,0.001,0.006,0.014,0.005,WNW,1.0,0.003,0.008,0.017,0.007,2.07,0.08,0.004,NE ,0.9,0.007,0.014,0.005,NNW,0.4,0.005,0.008,0.006,NNW,0.5,0.004,0.009,0.003,NE ,0.5,0.008,0.017,0.007, E ,0.5
20/09/13 08:00,0.002,0.004,0.009,0.014,2.06,0.15,0.005, E ,0.7,0.002,0.006,0.020,1.97,0.11,0.005,NNE,0.6,0.002,0.002,0.006,0.015,0.004,NNW,0.6,0.001,0.007,0.013,0.009,0.005, C ,0.4,0.003,0.007,0.014,0.010,2.10,0.08,0.007,NNE,1.3,0.007,0.015,0.007,NNW,0.3,0.009,0.010,0.004,NNW,0.6,0.009,0.014,0.004,NNE,0.6,0.008,0.016,0.004,ENE,0.6
20/09/13 09:00,0.004,0.009,0.015,0.011,2.14,0.16,0.012,ESE,1.1,0.003,0.008,0.021,1.99,0.13,0.004,SE ,0.7,0.002,0.002,0.007,0.018,0.005, W ,0.8,0.001,0.009,0.016,0.008,0.006, C ,0.3,0.004,0.011,0.015,0.012,2.30,0.08,0.010, E ,1.3,0.011,0.018,0.007, E ,0.4,0.008,0.011,0.005,SE ,0.9,0.012,0.017,0.005,NE ,0.7,0.013,0.019,0.006, E ,0.6
20/09/13 10:00,0.008,0.006,0.016,0.020,2.11,0.17,0.010,ESE,1.3,0.008,0.017,0.017,2.09,0.17,0.009,ESE,1.1,0.006,0.007,0.019,0.014,0.010,SE ,1.1,0.008,0.009,0.025,0.013,0.013, E ,0.9,0.005,0.004,0.011,0.026,2.29,0.11,0.009,NE ,1.5,0.008,0.019,0.011, E ,0.5,0.014,0.024,0.010, S ,0.9,0.011,0.026,0.012, C ,0.2,0.008,0.023,0.012,SSE,0.5
20/09/13 11:00,0.009,0.004,0.024,0.034,2.18,0.30,0.017, S ,1.4,0.008,0.022,0.024,2.17,0.23,0.015, S ,1.9,0.005,0.007,0.022,0.017,0.013,SSW,1.1,0.009,0.006,0.029,0.018,0.018,ESE,1.0,0.007,0.002,0.016,0.046,2.03,0.19,0.016,NE ,1.4,0.003,0.029,0.020,ESE,0.6,0.013,0.027,0.019,SSE,1.5,0.008,0.031,0.019, W ,0.3,0.003,0.022,0.016, S ,0.6
20/09/13 12:00,0.008,0.006,0.025,0.030,2.06,0.27,0.025,SE ,1.5,0.008,0.022,0.027,2.08,0.22,0.019, S ,2.6,0.007,0.008,0.022,0.017,0.022, S ,2.5,0.006,0.010,0.022,0.014,0.018,SSW,1.9,0.008,0.003,0.021,0.048,2.04,0.17,0.017,SE ,1.6,0.002,0.029,0.022,ESE,0.4,0.015,0.024,0.021, S ,1.6,0.013,0.026,0.020,ENE,0.3,0.005,0.021,0.015, S ,1.7
20/09/13 13:00,0.005,0.009,0.019,0.013,1.99,0.17,0.017, S ,2.0,0.007,0.017,0.019,1.95,0.13,0.011,SSW,1.9,0.004,0.006,0.017,0.013,0.013, S ,1.3,0.003,0.009,0.018,0.012,0.015, S ,0.6,0.005,0.010,0.022,0.015,1.98,0.17,0.012,SSE,1.3,0.010,0.024,0.018,WSW,0.3,0.011,0.019,0.014, S ,1.7,0.012,0.022,0.015, C ,0.1,0.007,0.019,0.018, S ,1.0
20/09/13 14:00,0.004,0.004,0.017,0.017,1.96,0.19,0.019,SSE,2.4,0.003,0.016,0.020,1.93,0.12,0.014,SE ,2.0,0.003,0.005,0.018,0.013,0.019,SE ,1.7,0.003,0.004,0.015,0.016,0.016,SE ,1.0,0.005,0.005,0.020,0.016,1.92,0.12,0.010,ESE,1.6,0.006,0.022,0.017,ESE,0.9,0.011,0.021,0.017, S ,1.3,0.006,0.018,0.016, C ,0.2,0.007,0.022,0.010,SSE,0.8
20/09/13 15:00,0.004,0.002,0.021,0.019,1.97,0.18,0.012,SE ,3.7,0.002,0.018,0.023,1.94,0.16,0.019, S ,2.7,0.004,0.002,0.019,0.017,0.023,SSE,1.9,0.003,0.003,0.018,0.018,0.013,ESE,1.6,0.005,0.002,0.019,0.025,1.94,0.08,0.017, E ,1.8,0.003,0.024,0.013, E ,0.7,0.005,0.023,0.018, S ,1.8,0.004,0.022,0.015, C ,0.2,0.004,0.023,0.015,SSE,0.4
20/09/13 16:00,0.006,0.001,0.015,0.027,1.99,0.17,0.015,SE ,4.5,0.002,0.017,0.027,2.00,0.16,0.015, E ,3.3,0.006,0.002,0.018,0.022,0.017,ESE,2.3,0.004,0.002,0.019,0.022,0.020, E ,1.6,0.006,0.002,0.012,0.024,2.00,0.14,0.014, E ,3.7,0.002,0.020,0.015,ESE,0.9,0.005,0.022,0.018, N ,1.0,0.004,0.023,0.017,SSW,0.3,0.002,0.017,0.018, S ,1.3
20/09/13 17:00,0.005,0.000,0.012,0.024,1.98,0.20,0.017,SE ,5.9,0.000,0.011,0.027,1.98,0.20,0.014, E ,4.1,0.005,0.001,0.013,0.020,0.019,SE ,2.3,0.002,0.001,0.012,0.019,0.020,ENE,1.6,0.006,0.001,0.011,0.024,1.98,0.15,0.014, E ,3.8,0.002,0.017,0.018,ESE,1.2,0.004,0.017,0.021,NW ,1.4,0.002,0.015,0.017, S ,0.4,0.001,0.016,0.019,SSE,0.7
20/09/13 18:00,0.003,0.000,0.011,0.025,1.97,0.14,0.017,ESE,6.2,0.000,0.009,0.029,1.97,0.12,0.015, E ,4.7,0.003,0.001,0.010,0.023,0.019,ESE,2.9,0.002,0.001,0.014,0.021,0.018,ENE,1.9,0.004,0.001,0.009,0.026,1.96,0.09,0.018, E ,4.0,0.001,0.013,0.018,ESE,1.1,0.002,0.013,0.016,SSW,1.4,0.001,0.014,0.018,SW ,0.6,0.002,0.014,0.019,SE ,0.7
20/09/13 19:00,0.002,0.000,0.008,0.025,2.01,0.10,0.013,ESE,5.7,0.000,0.008,0.027,1.96,0.08,0.010,ENE,5.4,0.002,0.000,0.006,0.023,0.011,SE ,2.0,0.000,0.000,0.006,0.024,0.007,ENE,2.3,0.003,0.000,0.005,0.027,1.95,0.06,0.003,ENE,4.8,0.001,0.009,0.011,ESE,1.7,0.002,0.009,0.013,NNW,1.4,0.001,0.007,0.008,SW ,0.8,0.001,0.007,0.009,SSE,0.8
20/09/13 20:00,0.002,0.000,0.009,0.023,2.00,0.10,0.010,ESE,6.1,0.000,0.008,0.027,1.92,0.08,0.006,ENE,4.1,0.002,0.000,0.008,0.021,0.012,SE ,2.1,0.000,0.001,0.008,0.022,0.009, E ,2.3,0.003,0.000,0.006,0.026,1.95,0.06,0.004,ENE,4.7,0.001,0.011,0.008,ESE,1.2,0.002,0.009,0.010, N ,1.1,0.001,0.007,0.008,SW ,0.6,0.001,0.008,0.009,SE ,0.8
20/09/13 21:00,0.002,0.000,0.010,0.022,2.03,0.08,0.011, E ,4.6,0.000,0.006,0.028,1.92,0.06,0.009,ENE,4.5,0.003,0.000,0.007,0.021,0.011,ESE,2.7,0.000,0.000,0.007,0.021,0.011,ENE,2.2,0.003,0.000,0.006,0.024,1.94,0.05,0.010,ENE,4.5,0.002,0.013,0.011,ESE,1.4,0.001,0.009,0.011, N ,1.6,0.001,0.008,0.011,SW ,0.6,0.001,0.009,0.012,SE ,0.8
20/09/13 22:00,0.002,0.000,0.010,0.021,2.04,0.09,0.014, E ,4.6,0.000,0.006,0.027,1.92,0.06,0.010,ENE,3.4,0.002,0.000,0.008,0.019,0.014,ESE,1.5,0.001,0.000,0.007,0.020,0.019,ENE,1.8,0.003,0.000,0.005,0.024,1.95,0.05,0.015,ENE,3.7,0.001,0.012,0.012,ESE,1.2,0.002,0.009,0.012, N ,1.3,0.001,0.006,0.018,SW ,0.5,0.000,0.008,0.018,SE ,0.7
20/09/13 23:00,0.002,0.000,0.009,0.021,1.98,0.08,0.015, E ,3.1,0.000,0.007,0.025,1.92,0.06,0.013,ENE,2.3,0.002,0.000,0.007,0.020,0.017,SSE,0.7,0.001,0.000,0.006,0.019,0.018,ENE,1.8,0.003,0.000,0.006,0.023,1.96,0.05,0.014,ENE,2.9,0.001,0.011,0.016,SE ,0.8,0.001,0.009,0.017, N ,1.4,0.001,0.007,0.018,SW ,0.3,0.001,0.009,0.018,SE ,0.7
20/09/14 00:00,0.003,0.000,0.009,0.020,1.96,0.08,0.020,ENE,3.0,0.000,0.007,0.024,1.92,0.06,0.014,NE ,1.8,0.002,0.000,0.007,0.019,0.020,NNE,0.7,0.000,0.000,0.007,0.019,0.018,NE ,1.6,0.003,0.000,0.008,0.020,2.10,0.05,0.017,NE ,2.7,0.001,0.011,0.017,SSW,0.7,0.000,0.008,0.020,NNW,1.3,0.001,0.008,0.018,NE ,0.3,0.001,0.008,0.015,ESE,0.9
20/09/14 01:00,0.003,0.000,0.009,0.020,1.95,0.08,0.016,NE ,1.5,0.000,0.007,0.025,1.93,0.07,0.014,NNE,1.5,0.002,0.000,0.008,0.018,0.017, C ,0.4,0.000,0.000,0.009,0.018,0.015,NE ,1.4,保守中,0.001,0.012,0.018,2.07,0.06,0.012,NNE,2.5,0.001,0.011,0.019,SE ,0.4,0.000,0.009,0.019,NNW,1.2,0.001,0.010,0.013,ENE,0.5,0.001,0.009,0.013,ENE,2.1
20/09/14 02:00,0.002,0.000,0.008,0.022,1.96,0.08,0.011,ENE,2.0,0.000,0.005,0.027,1.94,0.07,0.012,NE ,2.1,0.002,0.000,0.006,0.020,0.013,NNE,0.6,0.000,0.000,0.010,0.018,0.014,NNE,1.9,0.003,保守中,保守中,0.021,1.97,0.06,0.009,NNE,2.5,0.001,0.010,0.010,SSW,0.5,0.000,0.008,0.013,NNW,1.1,0.001,0.012,0.013,ENE,0.7,0.001,0.010,0.011, E ,1.4
20/09/14 03:00,0.002,0.000,0.008,0.023,1.95,0.08,0.011,ENE,1.9,0.000,0.005,0.029,1.94,0.07,0.010,NE ,2.0,0.002,0.000,0.004,0.023,0.010,NNE,0.7,0.000,0.000,0.008,0.021,0.010,NE ,1.6,0.003,0.001,0.008,0.024,1.96,0.05,0.009,NE ,2.1,0.001,0.010,0.011,ESE,0.8,0.001,0.006,0.010,NNW,1.1,0.002,0.010,0.010,ENE,0.7,0.000,0.008,0.010, E ,0.8
20/09/14 04:00,0.002,0.000,0.008,0.024,1.95,0.08,0.009,ENE,3.2,0.000,0.005,0.029,1.93,0.06,0.008,NE ,1.7,0.002,0.000,0.004,0.023,0.012,ENE,0.7,0.000,0.000,0.007,0.023,0.011,NE ,1.8,0.003,0.001,0.008,0.024,1.98,0.06,0.009,NE ,2.5,0.001,0.010,0.010,SSE,0.8,0.001,0.006,0.012,NNW,1.4,0.001,0.010,0.012,ENE,0.8,0.000,0.007,0.010, E ,1.3
20/09/14 05:00,0.002,0.000,0.008,0.025,1.95,0.07,0.011,NE ,1.6,0.000,0.005,0.026,1.93,0.06,0.006,NNE,1.9,0.002,0.000,0.004,0.025,0.011,NNE,1.3,0.000,0.001,0.008,0.022,0.007,ENE,1.3,0.003,0.000,0.009,0.023,2.00,0.08,0.009,NE ,2.5,0.003,0.013,0.011,SE ,0.5,0.001,0.006,0.010,NNW,1.0,0.002,0.011,0.012, C ,0.1,0.001,0.008,0.008,ESE,0.7
20/09/14 06:00,0.002,0.001,0.011,0.012,2.04,0.12,0.006,NNE,1.8,0.001,0.008,0.017,1.94,0.07,0.002,NE ,2.0,0.002,0.000,0.006,0.015,0.003,NNE,1.6,0.000,0.003,0.014,0.013,0.006, N ,1.3,0.003,0.002,0.016,0.010,1.97,0.06,0.005,NNE,2.4,0.013,0.019,0.004,SSE,0.5,0.007,0.011,0.005,NNW,1.2,0.007,0.018,0.007,NE ,1.0,0.003,0.016,0.004,NE ,2.0
20/09/14 07:00,0.002,0.003,0.013,0.009,2.06,0.14,0.003, N ,1.7,0.001,0.008,0.017,1.95,0.08,0.003,NNE,1.4,0.002,0.001,0.007,0.012,0.006, N ,1.8,0.000,0.006,0.015,0.007,0.005,NW ,0.8,0.003,0.011,0.021,0.005,1.97,0.07,0.005,NNE,1.7,0.017,0.020,0.004,NNW,0.5,0.015,0.014,0.004,NNW,1.1,0.019,0.018,0.006,NNE,0.7,0.010,0.019,0.005,NE ,1.6
20/09/14 08:00,0.001,0.003,0.012,0.011,2.12,0.19,0.006,NNW,1.3,0.003,0.010,0.015,1.96,0.09,0.003, N ,1.7,0.002,0.002,0.008,0.012,0.005, N ,1.6,0.000,0.006,0.014,0.009,0.005,WNW,0.9,0.003,0.015,0.022,0.005,2.00,0.07,0.005, N ,1.2,0.014,0.017,0.005,NNW,0.5,0.031,0.018,0.008,NW ,1.0,0.016,0.018,0.007, N ,0.4,0.013,0.020,0.007, N ,0.8
20/09/14 09:00,0.002,0.005,0.014,0.009,2.11,0.40,0.003, N ,1.3,0.004,0.012,0.016,1.97,0.11,0.004,NNW,1.1,0.002,0.004,0.010,0.011,0.003, N ,1.4,0.000,0.006,0.014,0.009,0.005,NNW,0.8,0.003,0.017,0.022,0.005,2.02,0.10,0.009, N ,1.3,0.017,0.020,0.008,WNW,0.4,0.025,0.017,0.006,NW ,1.0,0.010,0.016,0.006, N ,0.8,0.026,0.025,0.006,ENE,0.9
20/09/14 10:00,0.002,0.007,0.016,0.009,2.17,0.23,0.007, N ,1.9,0.005,0.013,0.016,1.97,0.13,0.003,NNE,1.6,0.002,0.003,0.011,0.013,0.005, N ,1.5,0.000,0.008,0.016,0.009,0.007,WNW,1.5,0.003,0.021,0.023,0.005,2.06,0.10,0.008, N ,1.4,0.024,0.024,0.007,NW ,0.8,0.023,0.017,0.006,NW ,1.4,0.019,0.019,0.007, W ,0.9,0.032,0.024,0.011, N ,0.9
20/09/14 11:00,0.002,0.008,0.016,0.014,2.08,0.25,0.007,SSE,1.3,0.006,0.011,0.022,1.97,0.13,0.007,ESE,1.2,0.002,0.004,0.011,0.016,0.008, C ,0.4,0.000,0.009,0.017,0.012,0.007,ENE,0.8,0.003,0.027,0.025,0.008,2.08,0.18,0.011,ENE,1.5,0.017,0.023,0.009,ENE,0.3,0.020,0.020,0.008,WNW,1.0,0.012,0.018,0.007, N ,0.3,0.026,0.023,0.010, E ,0.4
20/09/14 12:00,0.002,0.016,0.025,0.013,2.05,0.18,0.012,ESE,2.2,0.008,0.016,0.025,2.00,0.15,0.010,ENE,0.9,0.002,0.005,0.015,0.019,0.012, N ,0.7,保守中,保守中,保守中,保守中,0.013, E ,1.0,0.003,0.014,0.019,0.018,2.11,0.13,0.019, E ,2.4,0.027,0.034,0.013, E ,0.6,0.023,0.026,0.013,NNW,1.1,0.017,0.026,0.014, C ,0.2,0.026,0.027,0.012,ESE,0.6
20/09/14 13:00,0.002,0.013,0.024,0.020,2.11,0.18,0.012,ESE,2.7,0.012,0.024,0.023,2.03,0.17,0.014,ESE,1.9,0.003,0.009,0.025,0.017,0.014,SE ,1.4,保守中,保守中,保守中,0.019,0.012, E ,1.2,0.003,0.009,0.016,0.028,2.07,0.12,0.012, E ,2.8,0.018,0.035,0.013, E ,0.8,0.023,0.030,0.017,WSW,1.0,0.009,0.023,0.012,SSW,0.4,0.013,0.023,0.015,ESE,0.6
20/09/14 14:00,0.002,0.008,0.021,0.031,2.08,0.17,0.016,SE ,4.3,0.009,0.025,0.028,2.12,0.18,0.012, E ,2.2,0.003,0.009,0.024,0.024,0.014,ESE,1.7,0.003,0.004,0.020,0.032,0.016,ENE,1.7,0.003,0.006,0.017,0.041,2.00,0.12,0.016, E ,2.6,0.015,0.038,0.014,ESE,0.9,0.018,0.030,0.015, S ,1.8,0.004,0.019,0.014,SW ,0.4,0.008,0.022,0.017, E ,0.6
20/09/14 15:00,0.003,0.002,0.021,0.055,2.02,0.17,0.022,ESE,2.7,0.003,0.022,0.044,2.09,0.16,0.016, E ,2.9,0.003,0.002,0.020,0.041,0.019,ENE,0.9,0.004,0.002,0.021,0.046,0.022,ENE,1.4,0.005,0.003,0.024,0.065,1.99,0.18,0.039, E ,2.8,0.003,0.036,0.020,ESE,0.8,0.009,0.029,0.018,SW ,1.1,保守中,保守中,保守中,SSW,0.4,0.005,0.029,0.022, E ,0.8
20/09/14 16:00,0.004,0.001,0.020,0.062,2.00,0.20,0.032,ESE,5.8,0.001,0.020,0.065,2.01,0.17,0.025,ESE,2.6,0.005,0.001,0.020,0.057,0.028,SE ,1.9,0.005,0.002,0.019,0.055,0.027, E ,2.3,0.005,0.002,0.020,0.049,1.99,0.15,0.029,ESE,3.6,0.002,0.037,0.026,ESE,1.4,0.006,0.031,0.024,WNW,1.4,保守中,保守中,保守中,SW ,0.5,0.002,0.025,0.028,SSE,1.1
20/09/14 17:00,0.004,0.002,0.015,0.026,2.01,0.18,0.034,SE ,5.7,0.002,0.020,0.034,2.05,0.19,0.028, E ,3.1,0.004,0.001,0.015,0.030,0.036,ESE,4.1,0.005,0.003,0.016,0.024,0.031, E ,2.3,0.005,0.003,0.015,0.024,2.01,0.15,0.037, E ,4.5,0.004,0.025,0.031,ESE,1.1,0.006,0.023,0.029,SSW,1.5,0.007,0.015,0.034,SSW,0.6,0.003,0.018,0.033,SSE,1.1
20/09/14 18:00,0.004,0.001,0.017,0.019,1.99,0.16,0.033,SE ,4.6,0.001,0.016,0.022,1.99,0.15,0.024,ESE,3.0,0.004,0.001,0.015,0.018,0.032,ESE,3.2,0.004,0.002,0.015,0.021,0.026, E ,1.8,0.005,0.002,0.015,0.020,1.98,0.13,0.024,ESE,2.9,0.006,0.025,0.027,ESE,1.3,0.007,0.020,0.027, S ,2.4,0.003,0.018,0.028,SW ,0.4,0.002,0.017,0.028, S ,1.1
