,東京都　認定特定非営利活動法人一覧（令和2年2月29日現在）,,,,,,,
211,Ｌｉｖｉｎｇ　ｉｎ　Ｐｅａｃｅ,"中里　晋三
?　軼群",平成29年3月15日,令和4年3月14日,,東京都中央区日本橋兜町５番１号　兜町第１平和ビル,Ｌｉｖｉｎｇ　ｉｎ　Ｐｅａｃｅ,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0007738.html
212,日本セルプセンター,高江　智和理,平成29年3月17日,令和4年3月16日,,東京都新宿区新宿一丁目１３番１号　大橋御苑駅ビル別館２階,日本セルプセンター,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0000802.html
213,多文化共生センター東京,枦木　典子,平成29年3月17日,令和4年3月16日,,東京都荒川区荒川四丁目１９番１号２階,多文化共生センター東京,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0005631.html
214,３ｋｅｙｓ,森山　誉恵,平成29年3月21日,令和4年3月20日,,東京都新宿区矢来町９８―１　スキップビル２Ｆ,３ｋｅｙｓ,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0093836.html
215,地球環境共生ネットワーク,比嘉　照夫,平成29年3月29日,令和4年3月28日,,東京都港区芝２丁目６番３号三宅ビル４階,地球環境共生ネットワーク,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0090723.html
216,おやじ日本,竹花　豊,平成29年4月5日,令和4年4月4日,,東京都渋谷区渋谷一丁目１８番２１号　渋谷区役所第二美竹分庁舎３階,おやじ日本,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0007694.html
217,希望の会,轟　浩美,平成29年4月6日,令和4年4月5日,,東京都渋谷区広尾五丁目１６番２号,希望の会,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0011657.html
218,ＮＰＯ現代の理論・社会フォーラム,古川　純,平成29年5月18日,令和4年5月17日,,東京都千代田区神田神保町三丁目１１番地　望月ビル３階 ,ＮＰＯ現代の理論・社会フォーラム,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0004907.html
219,ジャパン・カインドネス協会,松谷　高顕,平成29年6月7日,令和4年6月6日,,東京都国立市中一丁目１８－４１　栄ビル３０１号室,ジャパン・カインドネス協会,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0091069.html
220,スマイリングホスピタルジャパン,松本　惠里,平成29年7月27日,令和4年7月26日,,東京都杉並区高井戸東三丁目３番１５―３０８号　ライフパティオ浜田山,スマイリングホスピタルジャパン,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0010120.html
221,日本多発性硬化症協会,水谷　裕之,平成29年7月28日,令和4年7月27日,,東京都台東区寿四丁目１番２号,日本多発性硬化症協会,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0010053.html
222,ＡＲＵＮ　Ｓｅｅｄ,山岡　聡子,平成29年7月28日,令和4年7月27日,,東京都文京区本郷三丁目４０番１０号　三翔ビル本郷４階,ＡＲＵＮ　Ｓｅｅｄ,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0010969.html
223,トラッソス,江木　ひかり,平成29年8月3日,令和4年8月2日,,東京都江戸川区中央四丁目２０番１８号　米冨ハイツ１階,トラッソス,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0005361.html
224,アニマルライツセンター,吉田　千尋,平成29年8月18日,令和4年8月17日,,東京都渋谷区宇田川町１２番３号　ニュー渋谷コーポラス１００９,アニマルライツセンター,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0004144.html
225,がんサポートコミュニティー,渥美　隆之,平成29年9月1日,令和4年8月31日,,東京都港区虎ノ門３丁目１０番４号虎ノ門ガーデン２１４号室,がんサポートコミュニティー,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0090356.html
226,ストップ結核パートナーシップ日本,"森　亨
田中　慶司
白須　紀子",平成29年9月11日,令和4年9月10日,,東京都千代田区神田三崎町一丁目３番１２号　結核予防会内,ストップ結核パートナーシップ日本,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0093063.html
227,ＥＤＧＥ,藤堂　栄子,平成29年9月14日,令和4年9月13日,,東京都港区芝三丁目６番５号　ＫＳ芝公園ビル,ＥＤＧＥ,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0001356.html
228,キリスト教メンタル・ケア・センター,藤崎　義宣,平成29年9月15日,令和4年9月14日,,東京都渋谷区代々木二丁目３６番４号　代々木プリンスマンション１０２,キリスト教メンタル・ケア・センター,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0000544.html
229,ブリッジフォースマイル,林　恵子,平成29年9月22日,令和4年9月21日,,東京都千代田区大手町二丁目６番２号　株式会社パソナグループ内,ブリッジフォースマイル,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0004795.html
230,ｍａｇｇｉｅ’ｓ　ｔｏｋｙｏ,"秋山　正子
濱松　美穂",平成29年10月10日,令和4年10月9日,,東京都江東区豊洲六丁目４番１８号,ｍａｇｇｉｅ’ｓ　ｔｏｋｙｏ,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0011612.html
231,ＥＴＩＣ．,宮城　治男,平成29年10月16日,令和4年10月15日,,東京都渋谷区神南一丁目５番７号　ＡＰＰＬＥ　ＯＨＭＩビル,ＥＴＩＣ．,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0002378.html
232,フレンズ・ウィズアウト・ア・ボーダーＪＡＰＡＮ,赤尾　和美,平成29年10月16日,令和4年10月15日,,東京都中央区日本橋小伝馬町１６―８　共同ビル７Ｆ,フレンズ・ウィズアウト・ア・ボーダーＪＡＰＡＮ,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0002473.html
233,パルシック,"井上　禮子
中村　尚司",平成29年11月1日,令和4年10月31日,,東京都千代田区神田淡路町一丁目７番地１１　東洋ビル,パルシック,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0001775.html
234,日本ＢＰＷ連合会,平松　昌子,平成29年11月7日,令和4年11月6日,,東京都渋谷区代々木二丁目２１番１１号　婦選会館３０３号,日本ＢＰＷ連合会,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0007989.html
235,マドレボニータ,吉岡　正枝（吉岡　マコ）,平成29年11月16日,令和4年11月15日,,東京都渋谷区恵比寿一丁目１５番９号　シルク恵比寿４０３,マドレボニータ,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0007083.html
236,環の会,星野　寛美,平成29年12月4日,令和4年12月3日,,東京都新宿区下落合四丁目２３番１３号,環の会,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0000486.html
237,Ｈａｎｄｓ　Ｏｎ　Ｔｏｋｙｏ,Ｔｈｅｏｄｏｒｅ　Ｃ．Ｇｕｉｌｄ,平成29年12月6日,令和4年12月5日,,東京都港区六本木五丁目１６番４６号　ガーデニア六本木１０１号室,Ｈａｎｄｓ　Ｏｎ　Ｔｏｋｙｏ,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0007675.html
238,プレーパークせたがや,登坂　真人,平成29年12月25日,令和4年12月24日,,東京都世田谷区桜一丁目３１番２３号　Ｋ邸Ｂ棟,プレーパークせたがや,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0004579.html
239,Ｄｏｏｏｏｏｏｏｏ,銅冶　勇人,平成29年12月27日,令和4年12月26日,,東京都渋谷区恵比寿一丁目１６番地２６号　協和ビル２階,Ｄｏｏｏｏｏｏｏｏ,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0008737.html
240,日本防災士機構,?田　恒,平成30年1月5日,令和5年1月4日,,東京都千代田区一番町２５番地　全国町村議員会館５階,日本防災士機構,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0090702.html
241,ゆぎの里,上田　紘治,平成30年1月24日,令和5年1月23日,,東京都八王子市越野７７３番地,ゆぎの里,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0002661.html
242,なかよし会,岡?　昌史,平成30年2月19日,令和5年2月18日,,東京都三鷹市井の頭二丁目２１番１８号,なかよし会,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0002159.html
243,ももの会,大井　妙子,平成30年2月20日,令和5年2月19日,,東京都杉並区宮前三丁目１４番８号,ももの会,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0000364.html
244,アビリティクラブたすけあい練馬たすけあいワーカーズふろしき,馬渕　さおり,平成30年3月16日,令和5年3月15日,,東京都練馬区練馬四丁目１７番２号　グリンデル豊島園１０２,アビリティクラブたすけあい練馬たすけあいワーカーズふろしき,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0000326.html
245,開発教育協会,上條　直美,平成30年3月16日,令和5年3月15日,,東京都文京区小石川二丁目１７番４１号　富坂キリスト教センター２号館３階,開発教育協会,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0090963.html
246,多摩草むらの会,風間　美代子,平成30年3月26日,令和5年3月25日,,東京都多摩市鶴牧一丁目４番地の１０　アネックス鶴牧１０１,多摩草むらの会,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0003780.html
247,セカンドハーベスト・ジャパン,ＢＡＹＬＥＳ　ＪＯＨＮ　ＣＲＡＶＥＮ,平成30年4月11日,令和5年4月10日,,東京都台東区浅草橋四丁目５番１号　水田ビル１Ｆ,セカンドハーベスト・ジャパン,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0001926.html
248,ボルネオ保全トラスト・ジャパン,石田　?,平成30年4月11日,令和5年4月10日,,東京都品川区東品川一丁目２５番８号　東京サラヤビル２階,ボルネオ保全トラスト・ジャパン,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0007543.html
249,ノーモア・ヒバクシャ記憶遺産を継承する会,岩佐　幹三,平成30年4月11日,令和5年4月10日,,東京都千代田区六番町１５番地　プラザエフ６階,ノーモア・ヒバクシャ記憶遺産を継承する会,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0009680.html
250,バイオメディカルサイエンス研究会,瀬島　俊介,平成30年5月15日,令和5年5月14日,,東京都品川区上大崎二丁目２０番８号の３,バイオメディカルサイエンス研究会,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0000417.html
251,こころのビタミン研究所,栗原　弘美,平成30年6月6日,令和5年6月5日,,東京都港区三田三丁目１番５号　第一奈半利川ビル３階,こころのビタミン研究所,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0090486.html
252,まな市民後見セーフティーネット,毛利　陽子,平成30年6月7日,令和5年6月6日,,東京都港区六本木七丁目８番５－１００１号,まな市民後見セーフティーネット,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0001412.html
253,フェアトレード・ラベル・ジャパン,堀木　一男,平成30年6月7日,令和5年6月6日,,東京都中央区日本橋富沢町１１番地―６号　英守東京ビルディング３階,フェアトレード・ラベル・ジャパン,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0003337.html
254,日本子宮内膜症啓発会議,百枝　幹雄,平成30年7月4日,令和5年7月3日,,東京都中央区築地一丁目４番８号　築地ホワイトビル８０３　ストラメッド株式会社内,日本子宮内膜症啓発会議,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0011280.html
255,太陽光発電所ネットワーク,都筑　建,平成30年7月4日,令和5年7月3日,,東京都文京区湯島一丁目９番１０号　湯島ビル６０２号室,太陽光発電所ネットワーク,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0092181.html
256,ＲｅＢｉｔ,藥師　実芳,平成30年7月26日,令和5年7月25日,,東京都新宿区戸山一丁目１番５号　エールプラザ戸山台３０１号室,ＲｅＢｉｔ,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0010944.html
257,プラチナ美容塾,伊藤　文子,平成30年7月26日,令和5年7月25日,,東京都港区港南四丁目６番５―１４０２号,プラチナ美容塾,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0011225.html
258,コミュニティケアリンク東京,山?　章郎,平成30年7月27日,令和5年7月26日,,東京都小平市御幸町１３１番５号,コミュニティケアリンク東京,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0004911.html
259,夢職人,岩切　準,平成30年9月6日,令和5年9月5日,,東京都江東区亀戸六丁目５４番５号　小川ビル２階,夢職人,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0007161.html
260,岡崎研究所,茂田　宏,平成30年9月7日,令和5年9月6日,,東京都千代田区永田町二丁目９番８―５０５号 ,岡崎研究所,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0090776.html
261,きぼうのいえ,下条　裕章,平成30年10月1日,令和5年9月30日,,東京都台東区清川二丁目２９番１２号,きぼうのいえ,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0005618.html
262,ＰＩＥＣＥＳ,浅谷　いぶき,平成30年10月4日,令和5年10月3日,,東京都文京区本郷三丁目４０番１０号　三翔ビル本郷４Ｆ,ＰＩＥＣＥＳ,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0012187.html
263,しんぐるまざあず・ふぉーらむ,赤石千衣子,平成30年10月15日,令和5年10月14日,,東京都千代田区飯田橋一丁目８番９号　ニューシティハイツ飯田橋４０２,しんぐるまざあず・ふぉーらむ,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0090824.html
264,大学宇宙工学コンソーシアム,宮崎　康行,平成30年10月17日,令和5年10月16日,,東京都文京区弥生二丁目３番２号,大学宇宙工学コンソーシアム,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0002336.html
265,認定ＮＰＯ法人東京フィルメックス,市山　尚三,平成30年11月8日,令和5年11月7日,,東京都新宿区西新宿二丁目６番１号　新宿住友ビル４５Ｆ,認定ＮＰＯ法人東京フィルメックス,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0002215.html
266,女性のスペース「結」,西山　美幸,平成30年11月15日,令和5年11月14日,,東京都中野区上高田二丁目５８番１３号,女性のスペース「結」,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0002669.html
267,健康体操指導ワーカーズ,小川　葉子,平成30年11月19日,令和5年11月18日,,東京都国分寺市戸倉四丁目１０番地５２,健康体操指導ワーカーズ,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0005449.html
268,ＮＰＯ法人Ｔｒｙ　Ｆｉｅｌｄ,橋本　珠樹,平成30年11月21日,令和5年11月20日,,東京都新宿区高田馬場三丁目３５番１４号,ＮＰＯ法人Ｔｒｙ　Ｆｉｅｌｄ,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0011403.html
269,日本がん登録協議会,猿木　信裕,平成30年11月27日,令和5年11月26日,,東京都中央区銀座八丁目１９番１８号　第三東栄ビル５０３,日本がん登録協議会,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0008223.html
270,日本沙漠緑化実践協会,藤田　佳久,平成30年12月20日,令和5年12月19日,,東京都千代田区外神田五丁目５番５号　沼田ビル２階,日本沙漠緑化実践協会,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0009805.html
271,ｇｒｅｅｎ ｂｉｒｄ,福田　圭祐,平成30年12月26日,令和5年12月25日,,東京都渋谷区神宮前６丁目３５番３号－７３２ ,ｇｒｅｅｎ ｂｉｒｄ,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0092676.html
272,全国ストップ・ザ・ロコモ協議会,藤野　圭司,平成31年1月7日,令和6年1月6日,,東京都台東区台東四丁目２６番８号　御徒町台東ビル６階,全国ストップ・ザ・ロコモ協議会,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0010172.html
273,インターナショナル・セイル・アンド・パワー・アソシエーション・ジャパン,Ｒｏｂｅｒｔ　Ｓｅｎｄｏｈ,平成31年2月20日,令和6年2月19日,,東京都世田谷区奥沢六丁目３３番７号　内海ビルⅢ２０１号室,インターナショナル・セイル・アンド・パワー・アソシエーション・ジャパン,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0090398.html
274,認定特定非営利活動法人えどがわエコセンター,岩瀬　耕二,平成31年3月1日,令和6年2月29日,,東京都江戸川区船堀四丁目１番１号　江戸川区総合区民ホール内,認定特定非営利活動法人えどがわエコセンター,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0003617.html
275,一人一票実現国民会議,伊藤　真,平成31年3月18日,令和6年3月17日,,東京都渋谷区桜丘町１７番６号,一人一票実現国民会議,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0008952.html
276,フィリピン日系人リーガルサポートセンター,河合　弘之,平成31年3月20日,令和6年3月19日,,東京都新宿区四谷本塩町４番１５号　新井ビル３階 ,フィリピン日系人リーガルサポートセンター,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0003776.html
277,全国脊髄小脳変性症・多系統萎縮症友の会,中村　元子,平成31年3月22日,令和6年3月21日,,東京都豊島区北大塚二丁目７番２号　第６不二ハイツ１階６１Ｂ号室,全国脊髄小脳変性症・多系統萎縮症友の会,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0007475.html
278,ケニア・コイノニア友の会ジャパン,大井　満,平成31年3月28日,令和6年3月27日,,東京都板橋区板橋三丁目３２番１号　日本キリスト合同教会板橋教会内,ケニア・コイノニア友の会ジャパン,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0011653.html
279,多摩子ども劇場,春田　祐子,平成31年4月11日,令和6年4月10日,,東京都多摩市落合一丁目４６番地１　４階４０７号室,多摩子ども劇場,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0000740.html
280,アフリカゾウの涙,岡本　愛理　（山脇　愛理）,平成31年4月16日,令和6年4月15日,,東京都渋谷区渋谷三丁目２７番１１号,アフリカゾウの涙,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0011714.html
281,おもちゃの図書館全国連絡会,小泉　康代,平成31年4月26日,令和6年4月25日,,東京都荒川区東日暮里二丁目２５番１１号,おもちゃの図書館全国連絡会,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0011396.html
282,ハビタット・フォー・ヒューマニティ・ジャパン,メリン・ビルギッタ・セシリア,令和1年5月14日,令和6年5月13日,,東京都新宿区新宿五丁目１１番２５号　アソルティ新宿５丁目３０１,ハビタット・フォー・ヒューマニティ・ジャパン,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0092267.html
283,ベトナム簿記普及推進協議会,大武　健一郎,令和1年5月23日,令和6年5月22日,,東京都千代田区丸の内一丁目８番１号　丸の内トラストタワーＮ館８階　税理士法人山田＆パートナーズ内,ベトナム簿記普及推進協議会,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0007269.html
284,日本マンガ・アニメトキワ荘フォーラム,尾中　哲夫,令和1年6月10日,令和6年6月9日,,東京都豊島区南長?三丁目１６番６号　日本加除出版株式会社内,日本マンガ・アニメトキワ荘フォーラム,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0010337.html
285,グローバル・スポーツ・アライアンス,三浦　雄一郎,令和1年6月14日,令和6年6月13日,,東京都渋谷区南平台町４番８号　２０７,グローバル・スポーツ・アライアンス,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0090073.html
286,日本チョウ類保全協会,松村　行栄,令和1年6月18日,令和6年6月17日,,東京都品川区大井四丁目１番５―２０１,日本チョウ類保全協会,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0009247.html
287,ベトナム子ども基金,近藤　?,令和1年8月5日,令和6年8月4日,,東京都文京区本駒込二丁目１２番１３号　アジア文化会館内,ベトナム子ども基金,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0008054.html
288,ＣＥＳ,加藤　彰,令和1年8月7日,令和6年8月6日,,東京都八王子市南町５番１３号　八王子ローヤルマンション１階,ＣＥＳ,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0003752.html
289,日本伝統文化協議会,波多野　誠,令和1年8月8日,令和6年8月7日,,東京都三鷹市牟礼一丁目５番１５号,日本伝統文化協議会,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0091413.html
290,わんぱくクラブ育成会,宮本　実,令和1年9月6日,令和6年9月5日,,東京都世田谷区若林二丁目３９番２号,わんぱくクラブ育成会,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0000375.html
291,消費者スマイル基金,阿南　久,令和1年10月7日,令和6年10月6日,,東京都千代田区六番町１５,消費者スマイル基金,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0012604.html
292,ＡｆｒｉＭｅｄｉｃｏ,安齊　恵理,令和1年11月8日,令和6年11月7日,,東京都港区新橋六丁目１８―３　中村ビル,ＡｆｒｉＭｅｄｉｃｏ,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0011648.html
293,八王子つばめ塾,小宮　位之,令和1年11月13日,令和6年11月12日,,東京都八王子市元横山町一丁目１０番３号,八王子つばめ塾,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0010747.html
294,演劇倶楽部・座,松本　敬通（壤　晴彦）,令和1年11月14日,令和6年11月13日,,東京都新宿区新宿五丁目９番１１号　アルメリア新宿１Ｆ,演劇倶楽部・座,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0011459.html
295,ぷれいす東京,生島　嗣,令和1年12月3日,令和6年12月2日,,東京都新宿区高田馬場四丁目１１番５号三幸ハイツ４０３号,ぷれいす東京,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0000716.html
296,ジービーパートナーズ,松井　昭,令和1年12月6日,令和6年12月5日,,東京都港区新橋一丁目１８番２号　明宏ビル本館４階,ジービーパートナーズ,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0010606.html
297,マザーリンク・ジャパン,寝占　理絵,令和1年12月9日,令和6年12月8日,,東京都世田谷区三軒茶屋一丁目５番９号,マザーリンク・ジャパン,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0009981.html
298,全国災害ボランティア支援団体ネットワーク,栗田　暢之,令和1年12月9日,令和6年12月8日,,東京都千代田区大手町二丁目２番１号　新大手町ビル２６７―Ｂ,全国災害ボランティア支援団体ネットワーク,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0012294.html
299,キッズドア基金,松見　幸太郎,令和2年1月8日,令和7年1月7日,,東京都中央区新川二丁目１番地１１号　八重洲第１パークビル７Ｆ,キッズドア基金,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0012766.html
300,全世代,"石川　善樹
石濱　人樹
枝廣　映子　（大宅　映子）
尾身　茂
桐野　?明
?津　晶
堀田　力",令和2年1月9日,令和7年1月8日,,東京都千代田区九段南四丁目８番３２号,全世代,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0012048.html
301,日本水フォーラム,竹村　公太郎,令和2年2月3日,令和7年2月2日,,東京都中央区日本橋箱崎町５番４号　アライズ第２ビル６階 ,日本水フォーラム,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0003637.html
