事業所規模,産業,和暦年,西暦年,年平均・月,前月末労働者数／計(人),前月末労働者数／男(人),前月末労働者数／女(人),本月中の増加労働者数／計(人),本月中の増加労働者数／男(人),本月中の増加労働者数／女(人),本月中の減少労働者数／計(人),本月中の減少労働者数／男(人),本月中の減少労働者数／女(人),本月末労働者数／計(人),本月末労働者数／男(人),本月末労働者数／女(人),パートタイム労働者比率／計(％),パートタイム労働者比率／男(％),パートタイム労働者比率／女(％)
30人以上,F 電気・ガス・熱供給・水道業,令和３,2021,3月,25324,21091,4233,26,24,2,2664,2206,458,22686,18909,3777,2.2,2.1,2.9
30人以上,F 電気・ガス・熱供給・水道業,令和３,2021,4月,22686,18942,3744,1758,1473,285,1416,1229,187,23028,19186,3842,2.2,2,2.8
30人以上,F 電気・ガス・熱供給・水道業,令和３,2021,5月,23028,19185,3843,117,100,17,292,229,63,22853,19056,3797,2.2,2.1,2.9
30人以上,F 電気・ガス・熱供給・水道業,令和３,2021,6月,22853,19056,3797,109,88,21,308,291,17,22654,18853,3801,2.3,2.1,3
30人以上,F 電気・ガス・熱供給・水道業,令和３,2021,7月,22654,18779,3875,224,193,31,336,314,22,22542,18658,3884,2.1,2,2.7
30人以上,F 電気・ガス・熱供給・水道業,令和３,2021,8月,22542,18545,3997,108,88,20,74,58,16,22576,18575,4001,2.1,2,2.5
30人以上,F 電気・ガス・熱供給・水道業,令和３,2021,9月,22576,18853,3723,43,41,2,170,124,46,22449,18770,3679,2.5,2.3,3.3
30人以上,F 電気・ガス・熱供給・水道業,令和３,2021,10月,22449,18667,3782,108,91,17,197,143,54,22360,18615,3745,2.2,2,2.9
30人以上,F 電気・ガス・熱供給・水道業,令和３,2021,11月,22360,18425,3935,67,52,15,205,174,31,22222,18303,3919,2,1.9,2.2
30人以上,F 電気・ガス・熱供給・水道業,令和３,2021,12月,22222,18303,3919,141,119,22,59,44,15,22304,18378,3926,2,2,2.3
30人以上,G 情報通信業,平成28,2016,年平均,652135,497881,154254,10296,6950,3346,9690,6772,2918,652741,498059,154682,2.6,0.9,8
30人以上,G 情報通信業,平成29,2017,年平均,670196,506109,164087,11327,7807,3520,9420,6856,2563,672103,507060,165044,2.8,1.1,8.3
30人以上,G 情報通信業,平成30,2018,年平均,706266,518228,188037,11171,7225,3946,10875,7663,3212,706562,517790,188771,3.2,1.3,8.5
30人以上,G 情報通信業,平成31・令和元,2019,年平均,721787,538961,182826,11334,7578,3756,8718,6256,2462,724403,540283,184120,2.3,0.9,6.4
30人以上,G 情報通信業,令和２,2020,年平均,744821,539888,204932,11666,7057,4609,9816,6341,3475,746671,540604,206066,3.2,1.4,8.1
