"施設名称","施設郵便番号","施設所在地","施設方書","許可日","許可番号","施設種別","客室数総計[室]","客室定員総計[人]"
"三井ガーデンホテル六本木プレミア","106-0032","東京都港区六本木三丁目15番17号",,"2020/1/8","31港み生環き第123号","旅館・ホテル営業","257","532"
"Ｒ－ＨＯＴＥＬ　六本木","106-0032","東京都港区六本木三丁目15番28号","善隣会館504・505","2024/2/20","5港み生環き第212号","旅館・ホテル営業","1","6"
"アパホテル＆リゾート＜六本木駅東＞","106-0032","東京都港区六本木三丁目18番6号",,"2022/10/4","2港み生環き第78号","旅館・ホテル営業","696","1392"
"５４Ｊｏｕｒｎｅｙ六本木ホステル","106-0032","東京都港区六本木四丁目1番26号",,"2023/8/15","5港み生環き第70号","簡易宿所営業","3","18"
"メゾン六本木２０１","106-0032","東京都港区六本木四丁目4番4号","メゾン六本木201号室","2022/1/5","3港み生環き第175号","旅館・ホテル営業","1","6"
"国際文化会館","106-0032","東京都港区六本木五丁目11番16号",,"1976/1/10","50港麻保衛環き第36号","旅館・ホテル営業","44","96"
"谷島ハイツ４０１","106-0032","東京都港区六本木五丁目11番30号","谷島ハイツ401号室","2019/11/18","31港み生環き第130号","旅館・ホテル営業","1","6"
"谷島ハイツ４０２","106-0032","東京都港区六本木五丁目11番30号","谷島ハイツ402号室","2020/1/28","31港み生環き第191号","旅館・ホテル営業","1","6"
"谷島ハイツ５０２","106-0032","東京都港区六本木五丁目11番30号","谷島ハイツ502号室","2019/12/3","31港み生環き第131号","旅館・ホテル営業","1","6"
"角井ハウス４０３","106-0032","東京都港区六本木五丁目11番31号","角井ハウス403号室","2019/11/18","31港み生環き第132号","旅館・ホテル営業","1","4"
"角井ハウス５０５","106-0032","東京都港区六本木五丁目11番31号","角井ハウス505号室","2019/11/18","31港み生環き第133号","旅館・ホテル営業","1","4"
"角井ハウス４０４","106-0032","東京都港区六本木五丁目11番31号","角井ハウス404号室","2020/8/27","31港み生環き第274号","旅館・ホテル営業","1","3"
"角井ハウス５０６","106-0032","東京都港区六本木五丁目11番31号","角井ハウス506号室","2020/8/27","31港み生環き第275号","旅館・ホテル営業","1","3"
"アパホテル＜六本木駅前＞","106-0032","東京都港区六本木六丁目7番8号",,"2015/12/10","25港み生環き第179号","旅館・ホテル営業","125","250"
"カンデオホテルズ東京六本木","106-0032","東京都港区六本木六丁目7番11号","3～16階","2017/10/6","29港み生環き第68号","旅館・ホテル営業","149","447"
"グランドハイアット東京","106-0032","東京都港区六本木六丁目10番3号",,"2003/4/14","14港み生環き第145号","旅館・ホテル営業","387","867"
"ＳＴＵＤＩＯ　ＢＬＵＥ（スタジオ　ブルー）","106-0032","東京都港区六本木六丁目11番17号","第2竹皮屋ビル5階","2019/3/4","30港み生環き第145号","旅館・ホテル営業","1","7"
"ＳＴＵＤＩＯ　ＷＨＩＴＥ（スタジオ　ホワイト）","106-0032","東京都港区六本木六丁目11番17号","第2竹皮屋ビル6階","2019/3/4","30港み生環き第146号","旅館・ホテル営業","1","6"
"Ｖｉｌｌａ　Ｒｏｐｐｏｎｇｉ","106-0032","東京都港区六本木七丁目10番19号",,"2021/7/19","3港み生環き第11号","旅館・ホテル営業","3","17"
"ＴＯＷＥＲ　ＯＦ　ＶＡＢＥＬ（タワーオブバベル）","106-0032","東京都港区六本木七丁目13番7号",,"2017/8/8","29港み生環き第51号","旅館・ホテル営業","8","14"
"レム六本木","106-0032","東京都港区六本木七丁目14番4号",,"2017/3/14","27港み生環き第145号","旅館・ホテル営業","400","800"
"カプセルインミナミ","106-0032","東京都港区六本木七丁目15番13号","3階","2017/5/12","28港み生環き第195号","簡易宿所営業","1","58"
"六本木プラザホテル","106-0032","東京都港区六本木七丁目15番13号","六本木ダイヤハイツ6階","2020/12/2","2港み生環き第164号","旅館・ホテル営業","12","24"
"アクトホテル六本木","106-0032","東京都港区六本木七丁目17番15号",,"2018/3/9","29港み生環き第18号","旅館・ホテル営業","68","151"
"ホテル六本木","106-0032","東京都港区六本木七丁目19番4号",,"2006/6/14","18港み生環き第25号","旅館・ホテル営業","21","42"
"ホテルＩＲＯＨＡ（イロハ）","106-0032","東京都港区六本木七丁目20番7号",,"2014/5/19","26港み生環き第19号","旅館・ホテル営業","23","46"

"旅館業施設一覧(令和6年3月31日現在)","Ver202403",,,,,,,
