自治体名,人口,自治体面積（k㎡）,A　施設各自治体の図書館（設置）条例に記載された図書館数,A　施設サービスポイント数,A　施設自動車図書館台数（台）,A　施設自動車図書館巡回箇所,A　施設年間開館日数,B　蔵書数図書総数(冊),B　蔵書数図書総数内訳うち児童資料,B　蔵書数図書総数内訳うち外国語資料,B　蔵書数図書総数内訳うち地域資料（郷土及び行政資料）,B　蔵書数図書総数内訳うち閉架資料 ,B　蔵書数雑誌（種） ,B　蔵書数新聞（種）,B　蔵書数レコード（枚） ,B　蔵書数カセット（巻） ,B　蔵書数 ＣＤ（枚） ,B　蔵書数ＬＤ（枚）,B　蔵書数ビデオ（巻）,B　蔵書数DVD（枚）,B　蔵書数フィルム（巻）,B　蔵書数その他（点） ,C　サービス・貸出・予約来館者数（人）       ,C　サービス・貸出・予約個人貸出登録者登録者総数(人)   ,C　サービス・貸出・予約個人貸出登録者登録者総数(人)内訳うち児童      ,C　サービス・貸出・予約個人貸出登録者有効登録者数(人)       ,C　サービス・貸出・予約個人貸出登録者有効登録者数(人) 内訳うち自治体内有効登録者数,C　サービス・貸出・予約個人貸出貸出冊数貸出総数(冊),C　サービス・貸出・予約個人貸出貸出冊数貸出総数(冊)内訳うち自治体内貸出数,C　サービス・貸出・予約個人貸出貸出冊数貸出総数(冊)内訳うち児童資料      ,C　サービス・貸出・予約個人貸出貸出冊数貸出総数(冊)内訳うち視聴覚資料   ,C　サービス・貸出・予約団体貸出団体数      ,C　サービス・貸出・予約団体貸出貸出冊数（冊）      ,C　サービス・貸出・予約他自治体への貸出貸出総数(冊)      ,C　サービス・貸出・予約他自治体への貸出貸出総数(冊)内訳23区へ      ,C　サービス・貸出・予約他自治体への貸出貸出総数(冊)内訳多摩地区へ      ,C　サービス・貸出・予約他自治体への貸出貸出総数(冊)内訳他県その他へ      ,C　サービス・貸出・予約予約受付予約受付総数(冊),C　サービス・貸出・予約予約受付予約受付総数(冊)予約内訳所蔵資料を提供 ,C　サービス・貸出・予約予約受付予約受付総数(冊)予約内訳購入して提供      ,C　サービス・貸出・予約予約受付予約受付総数(冊)予約内訳他から借用して提供     ,C　サービス・貸出・予約予約受付予約受付総数(冊)予約内訳他から借用して提供内訳都立から     ,C　サービス・貸出・予約予約受付予約受付総数(冊)予約内訳他から借用して提供内訳23区から     ,C　サービス・貸出・予約予約受付予約受付総数(冊)予約内訳他から借用して提供内訳多摩地区から     ,C　サービス・貸出・予約予約受付予約受付総数(冊)予約内訳他から借用して提供内訳他県から     ,C　サービス・貸出・予約予約受付予約受付総数(冊)予約内訳他から借用して提供内訳国会     ,C　サービス・貸出・予約予約受付予約受付総数(冊)予約内訳他から借用して提供内訳大学等     ,C　サービス・貸出・予約予約受付予約受付総数(冊)予約内訳他から借用して提供内訳不明     ,C　サービス・貸出・予約予約受付予約受付総数(冊)予約内訳未提供等,C　サービス・貸出・予約文献複写枚数（枚）,C　サービス・貸出・予約参考業務専用カウンター設置数（館）,C　サービス・貸出・予約参考業務受付件数（件）,D　電子資料等の利用利用者向けCD-ROMの利用可能館数,D　電子資料等の利用利用者向けｲﾝﾀｰﾈｯﾄ情報の利用可能館数,D　電子資料等の利用利用者向け商用ｵﾝﾗｲﾝﾃﾞｰﾀﾍﾞｰｽの利用可能館数,D　電子資料等の利用利用者向け電子書籍サービスの利用館外貸出可能館数,D　電子資料等の利用利用者向け電子書籍サービスの利用機器提供館数,E　職員数館長専任事務,E　職員数館長専任司書資格あり,E　職員数館長兼任事務,E　職員数館長兼任司書資格あり,E　職員数館長その他非常勤資格なし,E　職員数館長その他非常勤資格あり,E　職員数館長その他PFI・指定管理資格なし,E　職員数館長その他PFI・指定管理資格あり,E　職員数常勤職員（人）総数,E　職員数常勤職員（人）総数うち司書,E　職員数非常勤職員（人）総数,E　職員数非常勤職員（人）総数うち司書,E　職員数臨時職員（人）総数,E　職員数臨時職員（人）総数うち司書,F　運営形態・ボランティアの受入運営形態直営(委託なし）（館）,F　運営形態・ボランティアの受入運営形態直営（一部業務委託導入）（館）,F　運営形態・ボランティアの受入運営形態直営（一部業務委託導入）（館）内訳窓口業務導入,F　運営形態・ボランティアの受入運営形態直営（一部業務委託導入）（館）内訳窓口業務一部導入,F　運営形態・ボランティアの受入運営形態直営（一部業務委託導入）（館）内訳装備導入,F　運営形態・ボランティアの受入運営形態直営（一部業務委託導入）（館）内訳装備一部導入,F　運営形態・ボランティアの受入運営形態直営（一部業務委託導入）（館）内訳資料搬送（車）導入,F　運営形態・ボランティアの受入運営形態直営（一部業務委託導入）（館）内訳資料搬送（車）一部導入,F　運営形態・ボランティアの受入運営形態直営（一部業務委託導入）（館）内訳その他委託,F　運営形態・ボランティアの受入運営形態PFI・指定管理による運営（館）,F　運営形態・ボランティアの受入運営形態PFI・指定管理による運営（館）内訳業務全部,F　運営形態・ボランティアの受入運営形態PFI・指定管理による運営（館）内訳一部除外業務あり,F　運営形態・ボランティアの受入ボランティアの受入児童サービス（館）,F　運営形態・ボランティアの受入ボランティアの受入配架・製本・補修（館）,F　運営形態・ボランティアの受入ボランティアの受入障害者サービス（館）,F　運営形態・ボランティアの受入ボランティアの受入その他（館）,G　図書館の予算（千円）図書館費(a+b+c+d+e+f)（一般職員給料は除く） ,G　図書館の予算（千円）経常費資料費総額(ｱ+ｲ+ｳ+ｴ+ｵ),G　図書館の予算（千円）経常費 a ア図書費（千円）,G　図書館の予算（千円）経常費 a ア図書費（千円）うち児童関係図書費（千円）,G　図書館の予算（千円）経常費 a イ雑誌・新聞費（千円）,G　図書館の予算（千円）経常費 a ウ視聴覚資料費（千円）,G　図書館の予算（千円）経常費 a エその他図書館資料費（千円）,G　図書館の予算（千円）経常費 a オ資料費区分せず(千円),G　図書館の予算（千円）経常費 ｂ 賃金・報酬（千円）,G　図書館の予算（千円）経常費 ｃ 講師・謝礼（千円）,G　図書館の予算（千円）経常費 ｄ 委託費（千円）,G　図書館の予算（千円）経常費 ｄ 委託費（千円）うち図書館関連委託費（千円）,G　図書館の予算（千円）経常費 ｅ その他の図書館費（千円）,G　図書館の予算（千円）臨時的経費 ｆ 臨時的経費（千円）,G　図書館の予算（千円）臨時的経費 ｆ 臨時的経費（千円）うち臨時資料費（千円）,H　備考備考
稲城市,"92,585",17.97,6,2,0,0,"1,543","663,130","235,126","3,036","23,674","186,147",742,58,0,0,"15,002",0,"1,616","9,372",0,0,"382,243","34,142","6,762","34,142","23,020","896,139","613,467","368,871","76,974",366,"40,291","2,555",126,"2,424",5,"208,569","192,181","1,199","2,780","1,037",211,"1,501",7,14,10,0,"12,409","6,267",1,341,1,6,1,0,0,1,0,0,0,0,0,0,0,4,2,12.1,12.1,7.3,5.5,0,4,2,0,6,0,6,0,2,2,0,2,6,1,1,1,"249,853","37,573","23,405","8,522","9,551","3,839",778,0,"12,972",527,"181,708","181,504","17,073",0,0,"登録更新は３年に１度ため、有効登録者数には令和２年度以外の数を含む。
令和２年３月９日午後２時から５月３１日まで、全館で新型コロナウイルス感染症拡大防止のため臨時休館。"
羽村市　,"54,622",9.9,1,0,0,0,255,"420,685","113,583","2,951","21,863","113,111",204,26,0,857,"11,485",0,"4,180","2,471",0,241,"85,984","20,947","2,282","20,011","15,207","216,380","186,195","50,880","13,405",90,"5,026",551,43,505,3,"24,315","17,772",907,"2,267",762,87,"1,401",4,13,0,0,"3,369","2,086",1,"3,218",1,1,1,0,0,1,0,0,0,0,0,0,0,7,5,7.3,7,14.3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"95,570","14,044","10,449","2,842","2,276",576,743,0,"45,443",120,"11,341",67,"24,622",0,0,令和2年4月9日～5月31日まで新型コロナウイルス感染症拡大防止対策のため臨時休館。
あきる野市,"80,177",73.47,4,0,0,0,"1,038","620,856","180,409","2,057","29,569","263,576",554,67,0,149,"8,614",0,113,"4,870",666,0,"291,765","18,154","3,110","18,154","14,821","461,582","374,966","140,478","17,562",65,"5,383","2,719",143,"2,566",10,"89,638","85,031",961,"3,611","1,154",146,"2,247",7,57,0,0,35,"4,860",2,171,1,4,1,0,0,1,0,0,0,0,0,0,0,13,8,19.4,16.2,15.5,4.3,0,4,1,0,0,4,0,0,0,0,0,0,3,0,3,0,"200,355","36,922","26,775",不明,"7,691","1,694",762,0,"56,658",230,"59,192","59,192","47,353",0,0,令和２年４月８日から５月２５日まで、全館で新型コロナウイルス感染症拡大防止対策のため臨時休館。
西東京市,"206,067",15.75,6,2,0,0,"1,453","777,801","199,096","4,339","90,964","226,318",733,78,0,594,"19,839",0,0,0,0,0,"710,777","88,694","9,003","36,544","26,928","1,714,416","1,364,779","507,234","43,659",348,"35,481","6,869",441,"6,403",25,"647,248","554,872","12,348","7,797","2,326",723,"4,615",17,90,19,7,"72,231","19,850",0,"6,228",0,4,4,0,0,0,6,0,0,0,0,0,0,16,11,50.9,40.8,0,0,0,6,0,0,6,0,6,0,6,0,0,0,6,0,6,0,"942,079","64,602","53,522","10,705","10,160",920,0,0,"88,977","1,719","97,057","97,057","6,477","683,247",0,"令和２年３月１日から６月１日まで、全館で新型コロナウイルス感染拡大防止対策のため臨時休館。
「臨時的経費」683,247（千円）＝中央図書館の耐震補強等改修事業費。"
市部計,"4,190,636",783.96,152,21,8,118,"39,338","19,305,751","5,299,293","113,779","1,004,583","6,043,378","15,448","1,840","8,165","47,364","388,857","15,526","45,908","54,770","6,532","4,020","9,565,696","2,361,864","155,579","676,928","549,520","26,048,176","14,326,141","7,908,193","902,831","9,480","451,799","90,049","5,950","68,844",343,"7,390,372","5,268,887","36,599","134,246","45,510","8,118","76,796",439,855,237,"2,291","292,049","664,043",23,"223,036",20,94,58,13,23,33,33,5,0,1,0,3,6,498,232,815.1,537.7,230,50.9,7,117,11,5,38,44,114,0,60,31,17,14,107,42,76,19,"10,087,169","1,239,406","926,372","80,176","214,952","33,433","36,608","28,041","2,152,354","27,890","2,289,658","1,929,078","2,450,186","1,927,675","21,650",
瑞穂町,"32,458",16.85,1,4,0,0,207,"210,424","85,457",260,不明,"77,793",94,10,692,0,"5,538",0,1,599,0,0,"29,252","4,783",966,"2,567","2,220","78,348","68,692","29,341","2,351",20,"5,091","1,129",8,"1,118",3,"12,278","10,860",449,941,389,16,534,2,0,0,0,28,220,0,未取得,0,1,1,0,0,0,0,1,0,0,0,0,0,4,1,11.1,3.7,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"651,022","13,343","10,800",不明,"1,180",812,551,0,"17,669",128,"5,187","5,187","10,388","604,307",0,"令和2年4月11日から6月1日まで、新型コロナウイルス感染拡大防止対策のため臨時休室（元狭山ふるさと思い出館図書室、長岡コミュニティセンター図書室、武蔵野コミュニティセンター図書室は令和2年4月8日から6月1日まで、新型コロナウイルス感染拡大防止対策のため臨時休室。殿ケ谷図書室は令和2年4月8日から6月8日まで、新型コロナウイルス感染拡大防止対策のため臨時休室）
瑞穂町図書館は令和2年12月～令和4年1月（予定）で改修工事中、令和3年2月～令和3年12月（予定）は既存社会教育施設に臨時図書室を開設。このため、「形態」「面積」「閲覧席数」「収容能力」については臨時図書室の現況を入力。令和2年11月～令和3年2月は移転のため臨時休館。"
日の出町　,"16,563",28.07,1,1,0,0,233,"110,132","44,010",不明,"2,638","8,679",47,7,0,162,171,0,0,0,0,0,"10,208","11,358","1,716",不明,不明,"31,039","29,476","11,241",不明,14,330,179,6,173,0,"2,504","1,339",161,941,494,20,427,0,0,0,0,63,613,0,164,0,1,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"21,467","3,723","3,000",不明,723,0,0,0,"9,151",0,311,311,"5,814","2,468",0,令和２年３月14日から５月31日まで、新型コロナウイルス感染症拡大防止対策のため臨時休館。
檜原村　,"2,101",105.41,1,0,1,17,246,"43,507","13,312",0,455,"5,381",59,12,0,0,314,0,0,647,0,0,未取得,"1,551",59,278,262,"11,267","10,236","3,521",378,19,"1,394",0,0,0,0,"2,758","2,234",79,445,268,1,176,0,0,0,0,不明,157,0,849,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"19,544","2,880","2,000",不明,880,図書費に含む,0,0,"10,296",0,"2,988","2,988","3,209",171,0,令和２年３月２日から３月３１日までと４月１２日から５月２６日まで新型コロナウイルス感染症拡大防止対策のため臨時休館
奥多摩町,"4,949",225.53,2,0,1,20,496,"83,203","23,074",31,264,"11,289",77,6,0,0,0,0,0,0,0,0,"7,058","4,579",177,545,493,"23,247","17,951","2,554",0,107,"3,287",388,24,362,2,"1,972","1,523",127,317,122,19,174,2,0,0,0,5,513,0,22,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,"16,656","3,499","2,880",0,619,0,0,0,0,0,"8,064",0,"5,093",0,0,令和２年４月１３日から５月２７日まで全館で新型コロナウイルス感染拡大防止対策のため臨時休館。
町村部計,"56,071",375.86,5,5,2,37,"1,182","447,266","165,853",291,"3,357","103,142",277,35,692,162,"6,023",0,1,"1,246",0,0,"46,518","22,271","2,918","3,390","2,975","143,901","126,355","46,657","2,729",160,"10,102","1,696",38,"1,653",5,"19,512","15,956",816,"2,644","1,273",56,"1,311",4,0,0,0,96,"1,503",0,"1,035",0,2,1,0,0,0,0,3,0,0,0,2,0,6,2,11.1,3.7,17,3,1,2,0,0,1,1,0,0,0,2,2,0,2,0,0,3,"708,689","23,445","18,680",0,"3,402",812,551,0,"37,116",128,"16,550","8,486","24,504","606,946",0,
大島町　,"7,327",90.76,1,0,0,0,199,"35,000","2,553",不明,不明,不明,15,4,0,0,不明,不明,不明,0,不明,0,不明,619,未実施,619,619,"7,129","7,129",不明,不明,1,7,0,0,0,0,27,4,13,0,0,0,0,0,0,0,0,10,117,0,未実施,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,553","2,087","1,614",不明,361,不明,112,0,"6,576",0,890,109,0,0,0,"令和３年２月より図書館が別住所にある施設へ移転した。
（旧図書館：令和2年4月～令和2年10月　新図書館：令和3年2月～令和3年3月）"
神津島村　,"1,868",18.58,1,0,0,0,248,"17,792","4,675",0,79,不明,22,0,0,0,0,0,0,0,0,0,"6,531",877,157,640,640,"5,941","5,941",不明,不明,10,10,0,0,0,0,未取得,未取得,未取得,未実施,未実施,未実施,未実施,未実施,未実施,未実施,未実施,未取得,未取得,0,未取得,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.5,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"10,909","1,776","1,288",800,288,50,100,50,"6,095",0,175,175,"2,063",800,0,令和2年4月6日から５月5日まで、新型コロナウイルス感染症拡大防止対策のため臨時休館。
三宅村　,"2,294",55.26,1,0,0,0,253,"14,015",不明,不明,不明,不明,32,3,0,0,0,0,0,0,0,0,"1,597",720,不明,不明,不明,"5,019","5,019",不明,不明,0,0,0,0,0,0,62,0,0,62,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,979",707,291,不明,416,0,0,0,33,0,"2,845","2,845","1,794",600,0,令和２年4月１日～5月31日まで新型コロナウイルス感染症対策により臨時休館。また、キッズスペース撤去や座席数を減らすなど人が集中しないよう調整。
八丈町　,"7,062",72.23,1,0,0,0,223,"36,683","12,280",91,"2,379","1,487",31,5,0,0,0,0,30,"1,172",0,0,"8,303","4,797",465,776,739,"22,914","22,531","9,497","3,145",4,66,0,0,0,0,362,193,20,143,不明,不明,不明,不明,不明,不明,143,6,113,0,878,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"8,978","2,485","1,860",不明,454,171,0,0,"3,319",242,398,398,"2,534",0,0,令和２年４月４日から６月１８日まで、全館で新型コロナウイルス感染症拡大防止対策のため臨時休館。
青ヶ島村　,166,5.96,1,0,0,0,184,"3,000",200,100,700,0,0,0,0,0,0,0,80,20,0,0,85,未取得,未取得,未取得,未取得,72,72,22,1,0,0,0,0,0,0,48,0,0,48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,218",360,0,0,0,0,0,360,0,0,858,858,0,0,0,令和２年４月１日から６月３０日まで、新型コロナウィルス感染拡大防止対策のため臨時休館
島嶼部計,"18,717",242.79,5,0,0,0,"1,107","106,490","19,708",191,"3,158","1,487",100,12,0,0,0,0,110,"1,192",0,0,"16,516","7,013",622,"2,035","1,998","41,075","40,692","9,519","3,146",15,83,0,0,0,0,499,197,33,253,110,0,0,0,0,0,143,16,230,0,878,0,2,0,0,0,0,0,5,0,0,0,0,0,3,1,7.5,2,0,0,2,3,2,0,0,1,0,0,0,0,0,0,1,0,0,0,"36,637","7,415","5,053",800,"1,519",221,212,410,"16,023",242,"5,166","4,385","6,391","1,400",0,
区市町村島嶼計,"13,834,838","2,021.58",390,67,10,155,"104,077","47,756,535","12,493,947","385,894","1,863,566","11,872,404","52,180","5,912","38,043","70,794","1,538,534","18,210","67,897","159,322","12,608","12,476","38,630,391","5,711,777","528,965","1,671,771","1,245,261","89,124,627","42,308,207","27,144,038","4,670,404","42,665","1,729,777","255,815","136,123","79,656","2,172","28,568,405","16,444,631","105,844","278,441","54,702","126,343","83,592",991,"1,554",288,"10,961","845,144","2,979,075",109,"884,258",48,286,168,18,27,77,49,14,0,3,0,37,105,"1,179",431,"1,601.10","1,059.70",340.9,59,22,203,62,12,88,72,215,0,83,169,100,69,297,55,152,30,"37,852,519","4,111,613","3,024,303","379,991","647,361","158,688","160,374","120,887","3,488,418","81,715","18,121,216","14,696,407","6,051,623","5,997,934","373,650",
東京都計,,,392,67,10,155,"104,463","50,452,742","12,745,718","703,938","2,126,064","13,642,998","78,316","7,301","42,091","71,932","1,540,260","18,853","74,195","161,089","24,118","12,853","38,711,993","5,711,777","528,965","1,671,771","1,245,261","89,124,627","42,308,207","27,144,038","4,670,404","42,665","1,729,777","315,496","145,563","129,375","2,694","28,568,438","16,444,631","105,844","278,474","54,702","126,343","83,592","1,015","1,563",288,"10,961","845,144","3,710,376",111,"932,534",50,288,170,18,29,78,49,15,0,3,0,37,105,"1,277",501,"1,644.80","1,081.60",348.3,59,22,205,62,12,90,72,217,0,85,169,100,69,297,55,152,30,"39,816,363","4,428,621","3,195,431","385,031","720,831","159,704","231,768","120,887","3,604,187","97,333","18,771,614","15,346,805","6,350,846","6,563,762","373,650",
,注１）出典：東京都総務局『住民基本台帳による世帯と人口　令和３年4月1日現在』,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,注２）出典：東京都総務局『東京都統計年鑑　令和元年　1土地・気象』,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
