施設名称,所在地,水飲み栓設置場所,入場料等,タイプ
若葉図書館,立川市若葉町３－３４－１,図書館入口,,飲み口型
西部図書館,三鷹市大沢２－６－４７,１階,,飲み口型
芸術文化センター,三鷹市上連雀６－１２－１４,１階風のホールホワイエ・星のホールホワイエ,催しにより有料,飲み口型
上連雀分庁舎,三鷹市上連雀８－３－１０,１・２階,,飲み口型
三鷹図書館,三鷹市上連雀８－３－３,１・２階,,飲み口型
三鷹駅前図書館,三鷹市下連雀３－１３－１０,２階図書館入口,,飲み口型
南部図書館,三鷹市新川５－１４－１６,１階,,飲み口型
三鷹市教育センター,三鷹市下連雀９-１１-7,地下１階、１階、２階、３階,,飲み口型
公会堂,三鷹市野崎１－１－１,ホールホワイエ,催しにより有料,飲み口型
公会堂さんさん館,三鷹市野崎１－１－１,１・２・３・４階,,飲み口型
三鷹市役所本庁舎,三鷹市野崎１－１－１,１階おくやみ窓口・３階議場棟横・４階休憩室・５階文書庫前,,飲み口型
三鷹市役所第二庁舎,三鷹市野崎１－１－１,１階ホール・２階休憩室・３階休憩室,,飲み口型
三鷹市役所第三庁舎,三鷹市野崎１－１－１,廊下,,飲み口型
東部図書館,三鷹市牟礼５－８－１６,１階,,飲み口型
三鷹中央防災公園・元気創造プラザ,三鷹市新川６－３７－１,"スポーツセンター：地下２階、地下１階、１階
プラザ：２階、３階、４階、５階",,飲み口型
三鷹ネットワーク大学,三鷹市下連雀３－２４－３　三鷹駅前協同ビル,３階,,ボトルディスペンサー型・飲み口型
朝日体育館,府中市朝日町２－１０,１階廊下,,飲み口型
府中市美術館,府中市浅間町１－３,１階エントランスロビー,,飲み口型
生涯学習センター,府中市浅間町１－７,１・２・３・４階,,飲み口型
栄町体育館,府中市栄町１－１,１階廊下,,ボトルディスペンサー型・飲み口型
押立体育館,府中市押立町１－３７,１階廊下,,飲み口型
押立文化センター,府中市押立町５－４,１階,,飲み口型
四谷文化センター,府中市四谷２－７５,１・２階,,飲み口型
片町文化センター,府中市片町２－１７,１階,,飲み口型
府中駅北第２庁舎,府中市寿町１－５,１階,,飲み口型
水道局府中サービスステーション,府中市寿町３－４－６,１階,,飲み口型
是政文化センター,府中市是政２－２０,１・２・３階,,飲み口型
白糸台体育館,府中市白糸台１－５０,１階廊下,,ボトルディスペンサー型・飲み口型
白糸台文化センター,府中市白糸台１－６０,１階,,飲み口型
新町文化センター,府中市新町１－６６,１・２・３階,,飲み口型
住吉文化センター,府中市住吉町１－６１,１・２・３階,,飲み口型
女性センター,府中市住吉町１－８４,４階,,飲み口型
西府文化センター,府中市西府町１－６０,１・２階,,飲み口型
ルミエール府中,府中市府中町２－２４,１・２・３・４・５階休憩コーナー,,飲み口型
中央文化センター,府中市府中町２－２５,１階ひばりホール前,,飲み口型
保健センター,府中市府中町２－２５,１・２・３階,,飲み口型
本宿体育館,府中市本宿町４－２３,１階廊下,,ボトルディスペンサー型
府中市郷土の森博物館,府中市南町６－３２,博物館本館エントランス,有料,飲み口型
府中市本庁舎,府中市宮西町２－２４,西庁舎１階、東庁舎１～８階、北庁舎３階,,飲み口型
市民活動センタープラッツ,府中市宮町１－１００　５・６階,６階,,ボトルディスペンサー型・飲み口型
府中市ふるさと府中歴史館,府中市宮町３－１,１階東側入口付近,,飲み口型
武蔵台文化センター,府中市武蔵台２－２,１～２階,,飲み口型
紅葉丘文化センター,府中市紅葉丘２－１,１～３階,,飲み口型
総合体育館,府中市矢崎町５－５,レクリエーションホール横廊下・武道場前・第１体育室横・第２体育室横,,ボトルディスペンサー型・飲み口型
四谷体育館,府中市四谷５－６,１Ｆ廊下,,飲み口型
調布市郷土博物館,調布市小島町３－２６－２,１階フロアーだれでもトイレ前,,飲み口型
調布市民西調布体育館,調布市上石原２－４－１,ロビー,,飲み口型
菊野台地域福祉センター,調布市菊野台１－３８－１,１階廊下,,飲み口型
北部公民館,調布市柴崎２－５－１８,１階,,飲み口型
下石原地域福祉センター,調布市下石原３－７２－１,ホール,,飲み口型
神代植物公園,調布市深大寺北町１－４－６,植物多様性センター,有料,飲み口型
調布市総合体育館,調布市深大寺北町２－１－６５,体育館,,ボトルディスペンサー型・飲み口型
図書館深大寺分館,調布市深大寺北町５－１７－３,玄関正面,,飲み口型
神代植物公園,調布市深大寺元町５－３１－１０,植物会館１階ロビー,有料,飲み口型
染地地域福祉センター,調布市染地３－３－１,１階廊下,,飲み口型
神代出張所,調布市西つつじケ丘３－１９－１,１階入口,,飲み口型
金子地域福祉センター,調布市西つつじヶ丘４－４３－３,１階廊下,,飲み口型
武蔵野の森総合スポーツプラザ,調布市西町２９０－１１,サブアリーナ,有料,飲み口型
富士見地域福祉センター,調布市富士見町４－１５－６,１階廊下,,飲み口型
緑ケ丘地域福祉センター,調布市緑ケ丘２－１８－４９,玄関ホール,,飲み口型
調布市東部公民館,調布市若葉町１－２９－２１,２階玄関外,,飲み口型
武蔵野の森総合スポーツプラザ,調布市西町２９０－１１,サブアリーナ前自販機並び,,ボトルディスペンサー型
サン町田旭体育館,町田市旭町３－２０－６０,１・２階ロビー,,飲み口型
鶴川市民センター,町田市大蔵町１９８１－４,１階ロビー・２階ホワイエ,,飲み口型
小山市民センター,町田市小山町２５０７番地１,１階,,飲み口型
南市民センター,町田市金森４－５－６,１階,,飲み口型
木曽森野コミュニティセンター,町田市木曽東１－２,１階,,飲み口型
水道局町田サービスステーション,町田市木曽東１－４－１,１階,,飲み口型
相原中央公園管理棟,町田市相原町２０１８,管理事務所１階,,飲み口型
町田市立室内プール,町田市図師町１９９－１,室内プール１階プールサイド・２階ロビー,一部有料,飲み口型
忠生市民センター,町田市忠生３－１４－２,１階エントランスロビー・２階ホワイエ,,飲み口型
つくし野コミュニティセンター,町田市つくし野２－２６－５,２階,,飲み口型
町田GIONスタジアム,町田市野津田町２０３５,１階　待機場所,,ボトルディスペンサー型
成瀬コミュニティセンター,町田市西成瀬２－４９－１,１階,,飲み口型
町田市立鶴川駅前図書館,町田市能ヶ谷１－２－１,２階,,飲み口型
町田市立中央図書館,町田市原町田３－２－９,４・６階,,飲み口型
町田市民フォーラム,町田市原町田４－９－８サウスフロントタワー町田,３・４階,,飲み口型
町田市健康福祉会館,町田市原町田５－８ー２１,１階ロビー,,飲み口型
なるせ駅前市民センター,町田市南成瀬１－２－５,１階,,飲み口型
町田市立総合体育館,町田市南成瀬５－１２,体育館内１階・トレーニング室前,,ボトルディスペンサー型・飲み口型
成瀬クリーンセンター,町田市南成瀬８－１－１,１階ロビー,,飲み口型
三輪コミュニティセンター,町田市三輪緑山４－１４－４,１階,,飲み口型
町田市庁舎,町田市森野２－２－２２,１階,,飲み口型
町田市民ホール,町田市森野２－２－３６,１階、２階,,飲み口型
木曽山崎コミュニティセンター,町田市山崎町２１６０－４,Ａ館１・３階ロビー,,飲み口型
小金井市総合体育館,小金井市関野町１－１３－１,地下１階・２階,有料,飲み口型
栗山公園健康運動センター,小金井市中町２－２１－１,１・４階,,飲み口型
公民館貫井北分館,小金井市貫井北町１－１１－１２,１階,,飲み口型
小金井 宮地楽器ホール,小金井市本町６－１４－４５,１階自動販売機付近,,飲み口型
前原町西之台会館,小金井市前原町３－８－１,１階廊下,,飲み口型
小平市立大沼図書館・公民館,小平市大沼町７－１－１７,風除室,,飲み口型
大沼地域センター,小平市大沼町２－１７－３３,ロビー,,飲み口型
小川西町中宿地域センター,小平市小川西町２－３０－１,ロビー,,飲み口型
小平市西部市民センター,小平市小川西町４－１０－１３,１階ロビー,,飲み口型
小川西町地域センター,小平市小川西町５－４－１７,ロビー,,飲み口型
小川東町地域センター,小平市小川東町１８０５,ロビー,,飲み口型
小川東第二地域センター,小平市小川東町５－９－１,ロビー,,飲み口型
学園西町地域センター,小平市学園西町２－１２－２２,ロビー,,飲み口型
健康センター,小平市学園東町１－１９－１２,１階ロビー,,飲み口型
学園東町地域センター,小平市学園東町２－１６－１１,ロビー,,飲み口型
喜平地域センター,小平市喜平町１－１０－９,ロビー,,飲み口型
喜平図書館,小平市喜平町３－３－１８,１階エントランス,,飲み口型
小平市立小川公民館,小平市小川町１－１０１２,１階受付前,,飲み口型
小川町一丁目地域センター,小平市小川町１－３０４５,ロビー,,飲み口型
小平市立上宿公民館,小平市小川町１－３０８,１階受付前,,飲み口型
上宿図書館,小平市小川町１－３４５,１階エントランス,,飲み口型
小川町二丁目地域センター,小平市小川町２－１１５４,ロビー,,飲み口型
小平市中央公民館,小平市小川町２－１３２５,１階受付前,,飲み口型
中央図書館,小平市小川町２－１３２５,１階エントランス・２階,,飲み口型
御幸地域センター,小平市御幸町５８,ロビー,,飲み口型
上水新町地域センター,小平市上水新町１－１４－１８,ロビー,,飲み口型
上水本町地域センター,小平市上水本町３－１１－１１,ロビー,,飲み口型
小平市立上水南公民館,小平市上水南町１－２７－１,１階受付前,,飲み口型
鈴木地域センター,小平市鈴木町１－４００,ロビー,,飲み口型
小平市立鈴木公民館,小平市鈴木町２－７７２,２階ロビー,,飲み口型
小平市民総合体育館,小平市津田町１－１－１,１・２・３階,,飲み口型
小平市立津田図書館・公民館,小平市津田町３－１１－１,風除室,,飲み口型
天神地域センター,小平市天神町４－３－１,ロビー,,飲み口型
中島地域センター,小平市中島町２６－９,ロビー,,飲み口型
なかまちテラス,小平市仲町１４５,１階,,飲み口型
小平市東部市民センター,小平市花小金井１－８－１,２階図書館,,飲み口型
花小金井北地域センター,小平市花小金井３－１０－１,ロビー,,飲み口型
小平市立花小金井北公民館,小平市花小金井５－４１－３,２階受付前,,飲み口型
小平市立花小金井南公民館,小平市花小金井南町２－１２－６,１階ロビー,,飲み口型
花小金井南地域センター,小平市花小金井南町３－３－１７,ロビー,,飲み口型
美園地域センター,小平市美園町１－１９－２,ロビー,,飲み口型
東京都立大学　日野キャンパス,日野市旭が丘６－６,大学会館１階,,飲み口型
水道局日野サービスステーション,日野市多摩平２－７－２,１階,,飲み口型
日野市役所,日野市神明１－１２－１,１階,,ボトルディスペンサー型
生活・保健センター,日野市日野本町１－６－２,１階,,ボトルディスペンサー型
クリーンセンター,日野市石田１－２１０－２,２階,,ボトルディスペンサー型
カワセミハウス,日野市東豊田３ー２６－１,１階,,ボトルディスペンサー型
日野図書館,日野市日野本町７－５－１４,２階,,ボトルディスペンサー型
百草図書館,"日野市百草２０４－１
ガーデンビュー石神Ｄ２階",２階 エレベーター前,,ボトルディスペンサー型
中央公民館,日野市日野本町７－５ー２３,１階 談話室,,ボトルディスペンサー型
日野市発達教育・支援センター,日野市旭が丘２－４２－８,１階 玄関付近（※土足禁止）,,ボトルディスペンサー型
日野市社会福祉協議会,"日野市日野本町7－５―２３
中央福祉センター",２階,,ボトルディスペンサー型
ひの社会教育センター,日野市多摩平３－１－１３,１階,,ボトルディスペンサー型
湯沢福祉センター,日野市程久保８７３,１階,,ボトルディスペンサー型
七生公会堂,日野市三沢３ー５０－１,１、２階　計２か所,,ボトルディスペンサー型
秋津公民館,東村山市秋津町２－１７－１０,１階ロビー・２階ロビー,,飲み口型
秋津図書館,東村山市秋津町２－１７－１０,１階,,飲み口型
秋津児童館,東村山市秋津町３ー５１ー２５,児童館１階廊下,,飲み口型
栄町児童館,東村山市栄町３ー１４ー１,児童館廊下,,飲み口型
北山児童館,東村山市野口町３ー２６ー２,児童館１階廊下,,飲み口型
八国山たいけんの里,東村山市野口町３－４８－１,１階ロビー,,飲み口型
萩山公民館,東村山市萩山町２－１３－１,１階ロビー,,飲み口型
富士見図書館,東村山市富士見町１－７－３５,１階,,飲み口型
富士見公民館,東村山市富士見町５－４－５１,１階ロビー・２階ロビー,,飲み口型
中央図書館,東村山市本町１－１－１０,１・２階,,飲み口型
いきいきプラザ,東村山市本町１－２－３,"１・２・３・４階自販機コーナー
１階休日準夜応急診療所",,飲み口型
東村山市役所本庁舎,東村山市本町１－２－３,地下１階・１・２・３・４・６階,,飲み口型
中央公民館,東村山市本町２－３３－２,１・２・３階,,飲み口型
美住リサイクルショップ,東村山市美住町２－１１－３２,１階,,飲み口型
廻田公民館,東村山市廻田町４－１９－１,１階ロビー,,飲み口型
都立多摩図書館,国分寺市泉町２－２－２６,閲覧室,,飲み口型
恋ケ窪図書館,国分寺市西恋ヶ窪４－１２－８,１階,,飲み口型
もとまち図書館,国分寺市東元町２－３－13,１階,,飲み口型
本多公民館,国分寺市本多１－７－１,２階,,飲み口型
光公民館,国分寺市光町３－13－19,１階,,飲み口型
並木公民館,国分寺市並木町２－12－３,１階,,飲み口型
"東京都多摩障害者
スポーツセンター",国立市富士見台２－１－１,１階本館ロビー・宿泊棟ロビー,,ボトルディスペンサー型・飲み口型
くにたち中央図書館,国立市富士見台２－３４,２階洗面台前,,飲み口型
くにたち福祉会館,国立市富士見台２－３８－５,１・３階,,飲み口型
国立市役所本庁舎,国立市富士見台２－４７－１,地下１階・１・２・３階,,飲み口型
くにたち市民芸術小ホール,国立市富士見台２－４８－１,芸術小ホール１階,,飲み口型
くにたち市民総合体育館,国立市富士見台２－４８－１,地下２階プール・地下１階・１階,一部有料,飲み口型
国立市公民館,国立市中１－１５－１,１階正面玄関前,,飲み口型
中央体育館,福生市北田園２－９－１,１・２階,,飲み口型
わかぎり会館・図書館,福生市福生１２８０－１,１階,,飲み口型
白梅会館,福生市熊川５５９－１,１階,,飲み口型
中央図書館,福生市熊川８５０－１,１階,,飲み口型
わかたけ会館・図書館,福生市熊川１９９－１,１階,,飲み口型
福生市役所庁舎,福生市本町５,第二棟１階,,飲み口型
福祉センター,福生市南田園２－１３－１,１階,,飲み口型
武蔵野台図書館・児童館,福生市武蔵野台１－１２－２,１・３階,,飲み口型
松林会館,福生市武蔵野台１－１５－１,１階,,飲み口型
狛江市役所,狛江市和泉本町１－１－５,２・３階,,飲み口型
上和泉地域センター,狛江市和泉本町４－７－５１,１階,,飲み口型
南部地域センター,狛江市猪方４－１１－１,１階,,飲み口型
岩戸地域センター,狛江市岩戸南２－２－５,１階,,飲み口型
野川地域センター,狛江市西野川１－６－９,１階,,飲み口型
水道局東大和サービスステーション,東大和市上北台３－４４７,１階,,飲み口型
清原市民センター,東大和市清原４ー１ー１６号棟１階,清原市民センターロビー,,飲み口型
東大和市民体育館,東大和市桜が丘２－１６７－１３,地下１階・１・２階,,飲み口型
東大和市役所,東大和市中央３－９３０,１・２・３・４・５階,,飲み口型
東大和市立郷土博物館,東大和市奈良橋１－２６０－２,喫茶コーナー,,飲み口型
東大和市民会館ハミングホール,東大和市向原６－１,ハミングホール地下,,飲み口型
清瀬市立中央図書館,清瀬市梅園１－１－２１,１階入口,,飲み口型
清瀬市郷土博物館,清瀬市上清戸２－６－４１,１階,,飲み口型
清瀬市立市民体育館,清瀬市下宿２－５２４－１,１階　入口付近,,飲み口型
清瀬市立児童センター,清瀬市中清戸３－２３５－５,１階,,飲み口型
清瀬市役所,清瀬市中里５－８４２,１階,,ボトルディスペンサー型・飲み口型
野塩地域市民センター,清瀬市野塩１－３２２－２,１階　入口付近,,飲み口型
清瀬市消費生活センター,清瀬市元町１－４－１７,１階　ロビー,,飲み口型
東部地域センター,東久留米市大門町２－１０－５,１階ロビー・２階共有廊下,,飲み口型
東久留米市スポーツセンター,東久留米市大門町２－１４－３７,１・２階,,ボトルディスペンサー型・飲み口型
西武地域センター,東久留米市滝山４－１－１０,１・２・３階,,飲み口型
わくわく健康プラザ,東久留米市滝山４－３－１４,１階ロビー,,飲み口型
"水道局東久留米
サービスステーション",東久留米市滝山６－１－１,１階,,飲み口型
中央図書館,東久留米市中央町　２－６－２３,１階開架室,,飲み口型
南部地域センター,東久留米市ひばりが丘団地１８５,１階地区センター入口・２階エレベーターホール,,飲み口型
東久留米市役所庁舎,東久留米市本町３－１－１,１階,,飲み口型
武蔵村山市役所本庁舎,武蔵村山市本町１ー１ー１,１・２・３・４・５階,,飲み口型
武蔵村山市民総合センター,武蔵村山市学園四丁目５－１,１・２・３階,,飲み口型
緑が丘出張所,武蔵村山市緑が丘１４６０番地１１０４号棟　１階,１階,,飲み口型
"山王下庁舎内
（水道局多摩サービスステーション）",多摩市山王下１－１７,１階,,飲み口型
多摩市立総合体育館,多摩市東寺方５８８－１,１階第２スポーツホール・２階トレーニングルーム,,飲み口型
"東寺方老人福祉館
・地区市民ホール",多摩市東寺方６６２６－７,３階ロビー,,飲み口型
"多摩市立温水プール
（アクアブルー多摩）",多摩市南野３－１５－２,２階エントランス,,飲み口型
稲城中央公園総合体育館,稲城市長峰１ー１,１階ロビー,,飲み口型
稲城長峰ヴェルディフィールド,稲城市長峰３ー１０ー１,管理棟内,,飲み口型
稲城市福祉センター,稲城市百村７,１階ロビー,,飲み口型
あきる野市役所本庁舎,あきる野市二宮３５０,１階,,飲み口型
"西東京市障害者
総合支援センター（フレンドリー）",西東京市田無町４－１７－１４,２階給湯室,,飲み口型
田無総合福祉センター,西東京市田無町５－５－１２,１階～３階,,ボトルディスペンサー型・飲み口型
西東京市スポーツセンター,西東京市中町１－５－１,地下２階・地下１階・１・２階,,ボトルディスペンサー型・飲み口型
"防災センター・
保谷保健福祉総合センター",西東京市中町１－５－１,１階,,飲み口型
田無庁舎,西東京市南町５－６－１３,１・２・３階,,飲み口型
"西東京市南町スポーツ
・文化交流センター",西東京市南町５－６－５,地下階ホール,,飲み口型
西東京市総合体育館,西東京市向台町５－４－２０,地下１階・１階エントランス,,飲み口型
瑞穂町保健センター,西多摩郡瑞穂町石畑１９７０,１階ロビー,,飲み口型
瑞穂町子ども家庭支援センター,西多摩郡瑞穂町石畑１９７２,１階,,飲み口型
中央体育館,西多摩郡瑞穂町大字石畑１９８９－１,館内,,飲み口型
元狭山コミュニティセンター,"西多摩郡瑞穂町
大字二本木６７３ー１",１階ロビー,,飲み口型
長岡コミュニティセンター,"西多摩郡瑞穂町
大字箱根ケ崎１１８０",１階ロビー,,飲み口型
武蔵野コミュニティセンター,"西多摩郡瑞穂町むさし野１ー５
（瑞穂アパート２７号棟１階）",１階ロビー,,飲み口型
教育委員会,西多摩郡日の出町大字平井２７８０,１階図書館前,,飲み口型
奥多摩水と緑のふれあい館,西多摩郡奥多摩町原５,１階階段下,,ボトルディスペンサー型
