全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英語,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),設置位置,緯度,経度,高度の種別,高度の値,男性トイレ総数,男性トイレ数（小便器）,男性トイレ数（和式）,男性トイレ数（洋式）,女性トイレ総数,女性トイレ数（和式）,女性トイレ数（洋式）,男女共用トイレ総数,男女共用トイレ数（和式）,男女共用トイレ数（洋式）,バリアフリートイレ数,車椅子使用者用トイレ有無,乳幼児用設備設置トイレ有無,オストメイト設置トイレ有無,利用開始時間,利用終了時間,利用可能時間特記事項,画像,画像_ライセンス,備考
132098,,町田市,ファミリーマート 町田小山町店,,,132098,,東京都町田市小山町704-1,東京都,町田市,小山町,704-1,,,35.59065787,139.3839015,,,,,,,,,,,,,,無,,無,0:00,23:59,無休,,,
132098,,町田市,セブン-イレブン町田忠生公園入口店,,,132098,,東京都町田市木曽西3-25-5,東京都,町田市,木曽西,3-25-5,,,35.57217534,139.4200512,,,,,,,,,,,,,,有,,無,0:00,23:59,,,,
132098,,町田市,salon de みずき,,,132098,,東京都町田市木曽東3-24-15エムアイビル１階,東京都,町田市,木曽東,3-24-15,エムアイビル１階,,35.56508393,139.4228128,,,,,,,,,,,,,,有,,無,9:00,16:00,定休日：土・日,,,
132098,,町田市,セブン-イレブン町田市木曽町店,,,132098,,東京都町田市木曽東4-2-2,東京都,町田市,木曽東,2004/2/2,,,35.56238054,139.4283137,,,,,,,,,,,,,,有,,無,0:00,23:59,,,,
132098,,町田市,とんかつ　とん久,,,132098,,東京都町田市木曽東4-27-19,東京都,町田市,木曽東,4-27-19,,,35.56726948,139.4257041,,,,,,,,,,,,,,無,,無,,,11:00～14:0016:30～21:00定休日：火,,,
132098,,町田市,ローソン小山田桜台店,,,132098,,東京都町田市下小山田町3352-5,東京都,町田市,下小山田町,May-52,,,35.58939658,139.4076165,,,,,,,,,,,,,,無,,無,0:00,23:59,,,,
132098,,町田市,ファミリーマート町田図師店,,,132098,,東京都町田市図師町1896-6,東京都,町田市,図師町,1896-6,,,35.58306806,139.4246931,,,,,,,,,,,,,,有,,無,0:00,23:59,,,,
132098,,町田市,ローソン町田図師町店,,,132098,,東京都町田市図師町612-1,東京都,町田市,図師町,612-1,,,35.58128938,139.4170985,,,,,,,,,,,,,,有,,無,0:00,23:59,,,,
132098,,町田市,ファミリーマート町田忠生店,,,132098,,東京都町田市忠生1-27-8,東京都,町田市,忠生,1-27-8,,,35.57529055,139.4182291,,,,,,,,,,,,,,無,,無,0:00,23:59,,,,
132098,,町田市,でんかのヤマグチ　修理処,,,132098,,東京都町田市忠生4-1-3,東京都,町田市,忠生,2004/1/3,,,35.57882786,139.4103314,,,,,,,,,,,,,,無,,無,10:00,18:00,定休日：水,,,
