事業所名,受付番号,事業機関,事業名称,事業地住所,緯度,経度,座標系,対象事業,実施状況,詳細
東京都,149,－,調布都市計画道路3・2・6号調布保谷線三鷹都市計画道路3・2・6号調布保谷線(調布市富士見町～三鷹市野崎間)建設事業,調布市富士見町３丁目～三鷹市野崎２丁目,35.662884,139.540665,JGD2011,道路(道路の改築),事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/149dtl.html
東京都,150,－,都営桐ヶ丘団地建替・改善事業,北区桐ヶ丘１、２丁目　赤羽北３丁目,35.777180,139.707520,JGD2011,住宅団地の新設、駐車場(自動車駐車場の設置),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/150dtl.html
東京都,152,－,坂浜平尾土地区画整理事業　※H21.0716 廃止届提出,稲城市大字坂浜字６号、大字平尾字１０号,35.629196,139.495300,JGD2011,土地区画整理事業,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/152dtl.html
東京都,156,－,都営村山団地建替事業,武蔵村山市緑が丘１４６０ほか,35.740459,139.404831,JGD2011,住宅団地の新設、駐車場(自動車駐車場の設置),事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/156dtl.html
東京都,157,－,都営長房団地建替事業,八王子市長房町５８８番ほか,35.654999,139.290314,JGD2011,住宅団地の新設、駐車場(自動車駐車場の設置),事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/157dtl.html
東京都,161,－,京成電鉄押上線(押上駅～八広駅間)立体交差事業,墨田区押上２丁目～八広５丁目,35.713604,139.814453,JGD2011,鉄道等(鉄道の改良),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/161dtl.html
東京都,162,－,北西部幹線道路(八王子市谷野町～美山町)建設事業,八王子市谷野町～美山町,35.685417,139.325089,JGD2011,道路(道路の新設),事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/162dtl.html
東京都,163,－,「西国分寺地区」住宅建設事業　※h14.7対象外,国分寺市泉町２丁目地内,35.697849,139.470169,JGD2011,住宅団地の新設,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/163dtl.html
東京都,164,－,東京都市計画事業六町四丁目付近土地区画整理事業,足立区六町ほか,35.785656,139.822968,JGD2011,土地区画整理事業,事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/164dtl.html
東京都,165,－,大島空港拡張整備事業,大島町元町字北の山,34.777485,139.359161,JGD2011,飛行場(飛行場の変更),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/165dtl.html
東京都,169,－,京浜急行電鉄本線（平和島駅～六郷土手駅間）及び同空港線（京急蒲田駅～大鳥居駅間）の連続立体交差化事業,大田区大森北6丁目～仲六郷4丁目、蒲田4丁目～西糀谷町4丁目,35.579468,139.731934,JGD2011,鉄道等(鉄道の改良),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/169dtl.html
東京都,171,－,東京都市計画道路環状第2号線(港区新橋～虎ノ門間)建設事業及び環状第2号線新橋・虎ノ門地区第二種市街地再開発事業,港区東新橋2丁目～虎ノ門2丁目、新橋4丁目、西新橋2丁目、虎ノ門1丁目外,35.661961,139.757568,JGD2011,道路(道路の新設),事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/171dtl.html
東京都,174,－,都市高速鉄道東京臨海新交通臨海線（有明～豊洲間）建設事業,江東区有明２丁目（有明駅〈既設〉）～豊洲２丁目（豊洲駅）,35.636322,139.789978,JGD2011,鉄道等(軌道の新設),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/174dtl.html
東京都,175,－,西東京都市計画道路３・２・６号調布保谷線（保谷市東伏見～北町間）建設事業※旧保谷都市計画道路３・２・６号調布保谷線（保谷市東伏見～北町間）建設事業,保谷市東伏見６丁目～北町３丁目,35.741821,139.557983,JGD2011,道路(道路の新設),事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/175dtl.html
東京都,177,－,臨海副都心有明北地区埋立事業,江東区有明1丁目地先,35.640907,139.789581,JGD2011,埋立て等(埋立て),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/177dtl.html
東京都,179,－,都営東京街道団地建替事業,東大和市清原一丁目１番ほか,35.745159,139.447495,JGD2011,住宅団地の新設,事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/179dtl.html
東京都,186,－,三鷹都市計画道路３・２・６号調布保谷線、武蔵野都市計画道路３・３・６号調布保谷線（三鷹市野崎～武蔵野市関前間）建設事業,三鷹市野崎２丁目～武蔵野市関町１丁目,35.684345,139.547424,JGD2011,道路(道路の新設),事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/186dtl.html
東京都,191,都,京成電鉄押上線（四ツ木駅～青砥駅間）連続立体交差事業,葛飾区四つ木一丁目～立石六丁目,35.732960,139.833466,JGD2011,鉄道等(鉄道の改良),事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/191dtl.html
東京都,194,－,東京都市計画道路放射第35号線(練馬区早宮～北町間）建設事業,練馬区（早宮～北町間）,35.755180,139.653763,JGD2011,道路（道路の新設）,事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/194dtl.html
東京都,198,その他,一般国道１６号横浜町田立体建設事業,町田市鶴間字6号ほか,35.502251,139.470871,JGD2011,道路（道路の新設）,事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/198dtl.html
東京都,202,都,（仮称）馬込車両基地車両工場建設事業,大田区南馬込6-38-1,35.584019,139.705780,JGD2011,工場(工場の変更),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/202dtl.html
東京都,204,共同,京王電鉄京王線（柴崎駅～西調布駅間）及び同相模原線（調布駅～京王多摩川駅間）連続立体交差事業,調布市西つつじヶ丘三丁目～上石原二丁目ほか,35.657497,139.571869,JGD2011,鉄道等(鉄道の改良),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/204dtl.html
東京都,214,区市,多摩地域廃棄物エコセメント化施設建設事業,日の出町大字大久野7642,35.763477,139.249741,JGD2011,廃棄物処理施設の設置又は変更、工場(工場の設置),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/214dtl.html
東京都,219,－,小田急電鉄小田原線（代々木上原駅～梅ヶ丘駅間）の連続立体交差及び複々線化事業,渋谷区大山町及び上原三丁目～世田谷区代田三丁目及び四丁目,35.669144,139.675797,JGD2011,鉄道等(鉄道の改良),事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/219dtl.html
東京都,225,都,東京都市計画道路放射第５号線（杉並区久我山二丁目～久我山三丁目間）建設事業,杉並区久我山二丁目～三丁目間,35.684013,139.602722,JGD2011,道路（道路の新設）,事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/225dtl.html
東京都,238,都,西武池袋線（練馬高野台駅～大泉学園駅間）の連続立体交差化事業及び同線（練馬高野台駅～石神井公園駅間）の複々線化事業,練馬区高野台一丁目～練馬区東大泉五丁目,35.742447,139.617279,JGD2011,鉄道等(鉄道の改良),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/238dtl.html
東京都,239,都,東京都市計画道路環状第２号線（中央区晴海四丁目～銀座八丁目間）建設事業　（旧称：東京都市計画道路環状第２号線（中央区晴海四丁目～築地五丁目間）建設事業）　,中央区晴海四丁目～築地五丁目,35.652306,139.781448,JGD2011,道路（道路の新設）,事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/239dtl.html
東京都,242,都,豊洲新市場建設事業　（旧称：豊洲新市場建設計画）　,江東区豊洲六丁目地内,35.646683,139.786087,JGD2011,卸売市場（卸売市場の設置）、駐車場（自動車駐車場の設置）,事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/242dtl.html
東京都,243,都,国分寺都市計画道路３・２・８号府中所沢線（府中市武蔵台～国分寺市東戸倉間）建設事業　（旧称：国分寺都市計画道路３・３・８号府中所沢線（府中市武蔵台～国分寺市東戸倉間）建設事業）,府中市武蔵台～国分寺市東戸倉,35.687317,139.464401,JGD2011,道路（道路の新設）,事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/243dtl.html
東京都,259,都,(仮称）環二再開発（Ⅲ街区：虎ノ門街区）建設事業,港区虎ノ門一丁目２３番ほか,35.666832,139.749207,JGD2011,高層建築物の新築,事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/259dtl.html
東京都,261,都,府中都市計画道路３・２・２の２号東京八王子線及び国立都市計画道路３・３・２号東京八王子線(府中市西原町二丁目～国立市谷保間)建設事業,府中市西原町二丁目～国立市谷保(甲州街道交差点),35.683266,139.457993,JGD2011,道路（道路の新設）,事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/261dtl.html
東京都,263,都,大井ふ頭その１・その２間埋立事業,大田区東海６丁目地先,35.587429,139.771698,JGD2011,埋立て等(埋立て),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/263dtl.html
東京都,272,都,東京都市計画道路放射３５号線及び東京都市計画道路放射３６号線（板橋区小茂根四丁目～練馬区早宮二丁目間）建設事業,板橋区小茂根四丁目～練馬区早宮二丁目,35.747864,139.675339,JGD2011,道路（道路の新設）,事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/272dtl.html
東京都,279,－,東武伊勢崎線（竹ノ塚駅付近）連続立体交差事業,（起点）足立区栗原四丁目、（終点）足立区東伊興三丁目,35.785393,139.785461,JGD2011,鉄道等(鉄道の改良),事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/279dtl.html
東京都,283,都,国分寺都市計画道路３・２・８号府中所沢線及び小平都市計画道路３・３・８号府中所沢線（国分寺市東戸倉二丁目～小平市小川町一丁目間）建設事業,国分寺市東戸倉二丁目～小平市小川町一丁目,35.714142,139.464020,JGD2011,道路（道路の新設）,事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/283dtl.html
東京都,284,都,西武鉄道新宿線（中井駅～野方駅間）連続立体交差事業,中野区上高田五丁目～中野区野方四丁目,35.717800,139.675964,JGD2011,鉄道等(鉄道の改良),事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/284dtl.html
東京都,286,都,西武鉄道新宿線、国分寺線及び西武園線（東村山駅付近）連続立体交差事業,東村山市本町2-3-32,35.759666,139.466187,JGD2011,鉄道等(鉄道の改良),事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/286dtl.html
東京都,292,－,都営辰巳一丁目団地建替事業,東京都江東区辰巳一丁目２番、３番、８番、９番,35.650108,139.807373,JGD2011,住宅団地の新設,事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/292dtl.html
東京都,296,－,桐ヶ丘団地（第４期・第５期）建替事業,東京都北区桐ヶ丘一丁目・二丁目・赤羽北三丁目・赤羽台三丁目及び赤羽台四丁目の一部,35.777180,139.707520,JGD2011,住宅団地の新設,事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/296dtl.html
東京都,303,－,都営村山団地（後期）建替事業,武蔵村山市緑が丘1460番ほか,35.740459,139.404831,JGD2011,住宅団地の新設,事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/303dtl.html
東京都,307,－,東京港　国際海上コンテナターミナル整備事業（Ｙ３）,中央防波堤外側埋立地,35.681076,139.818878,JGD2011,ふ頭の新設,事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/307dtl.html
東京都,316,都,（仮称）東京港臨港道路中防内５号線、中防外５号線及び中防外３号線道路建設計画,中央防波堤内側埋立地、中央防波堤外側埋立地、新海面処分場,35.681076,139.818878,JGD2011,道路（道路の新設）,事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/316dtl.html
東京都,321,－,福生都市計画道路3･4･3の1号新五日市街道線（福生市大字熊川）建設事業,福生市大字熊川字武蔵野（立川市境）～福生市大字熊川字武蔵野（国道16号交差点）,35.723492,139.343048,JGD2011,道路(道路の改築),評価書,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/321dtl.html
東京都,323,－,（仮称）晴海五丁目西地区第一種市街地再開発事業,中央区晴海五丁目,35.649506,139.775055,JGD2011,住宅団地の新設,事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/323dtl.html
東京都,325,－,東日本旅客鉄道赤羽線（十条駅付近）連続立体交差事業,北区十条台一丁目～中十条四丁目,35.754955,139.725510,JGD2011,鉄道等(鉄道の改良),評価書,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/325dtl.html
東京都,336,－,立川都市計画道路3・3・30号立川東大和線（立川市羽衣町二丁目～栄町四丁目間）建設事業,,35.694115,139.427521,JGD2011,道路（道路の新設）,評価書,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/336dtl.html
東京都,339,－,京浜急行電鉄湘南線（泉岳寺駅～新馬場駅間）連続立体交差事業,,,,,鉄道等(鉄道の改良),事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/339dtl.html
東京都,340,－,東京都市計画道路幹線街路環状第4号線（港区港南一丁目～同区白金台三丁目間）建設事業,,35.634003,139.745224,JGD2011,道路（道路の新設）,事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/340dtl.html
東京都,343,－,多摩都市計画道路3・1・6号南多摩尾根幹線（多摩市聖ケ丘五丁目～南野三丁目間）建設事業,,35.626968,139.463638,JGD2011,道路(道路の改築),事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/343dtl.html
東京都,350,－,東武鉄道東上本線（大山駅付近）連続立体交差事業,板橋区板橋二丁目～板橋区仲町,35.748165,139.711090,JGD2011,鉄道等(鉄道の改良),評価書,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/350dtl.html
東京都,355,－,西武鉄道新宿線（井荻駅～西部柳沢駅間）連続立体交差事業,杉並区上井草一丁目～西東京市東伏見一丁目,35.722038,139.612335,JGD2011,鉄道等(鉄道の改良),評価書案に係る見解書,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/355dtl.html
東京都,360,－,多摩都市計画道路3・1・6号南多摩尾根幹線（稲城市百村～多摩市聖ケ丘五丁目間）建設事業,,35.633564,139.498520,JGD2011,道路（道路の新設）、道路(道路の改築),評価書,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/360dtl.html
東京都　小田急電鉄㈱,219,－,小田急電鉄小田原線（代々木上原駅～梅ヶ丘駅間）の連続立体交差及び複々線化事業,渋谷区大山町及び上原三丁目～世田谷区代田三丁目及び四丁目,35.669144,139.675797,JGD2011,鉄道等(鉄道の改良),事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/219dtl.html
東京都（下水道局）：東京都公営企業管理者,67,－,東京都東尾久浄化センター建設事業,荒川区東尾久７丁目,35.751602,139.774704,JGD2011,下水道等(公共下水道の終末処理場の設置),事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/67dtl.html
東京都（建設局）,1,都,東京都市計画白鬚西地区第二種市街地再開発事業　NO．20へ変更,荒川区南千住三丁目、四丁目及び八丁目の一部,35.731232,139.807022,JGD2011,市街地再開発事業,評価書,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/1dtl.html
東京都（建設局）,9,共同,小田急小田原線喜多見・和泉多摩川間高架化複々線化事業,世田谷区喜多見９丁目～狛江市東和泉４丁目,35.640457,139.587265,JGD2011,鉄道等(鉄道の改良),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/9dtl.html
東京都（建設局）,30,都,府中四谷橋関連道路建設事業(旧称 第２関戸橋(仮称)関連道路建設事業),多摩市和田地内～府中市四谷４丁目先,35.635723,139.433426,JGD2011,道路(道路の新設),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/30dtl.html
東京都（建設局）,46,共同,多摩都市ﾓﾉﾚｰﾙ及び都市計画道路立川３・２・３１、３・２・３２号線建設事業(旧称省略),ﾓﾉﾚｰﾙ:多摩市落合１丁目～東大和市上北台１丁目　道路:立川市内,35.624878,139.427094,JGD2011,鉄道等(モノレールの新設)、道路（道路の新設）,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/46dtl.html
東京都（建設局）,48,都,調布都市計画道路３・２・６号線（多摩川原橋～旧甲州街道）建設事業（旧称　調布都市計画道路３・４・６号線建設事業）,調布市多摩川２丁目地先～調布市小島町１丁目,35.646465,139.525497,JGD2011,道路(道路の改築),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/48dtl.html
東京都（建設局）,53,－,都市高速鉄道東京臨海新交通臨海線及び都市計画道路補助２９８号線、臨港道路建設事業,臨海線:港区海岸１丁目～江東区有明２丁目、298号線:港区台場～江東区青海２丁目、臨港道路:青海１丁目～有明３丁目,35.655380,139.761673,JGD2011,鉄道等(軌道の新設)、道路(道路の新設),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/53dtl.html
東京都（建設局）,59,－,都市高速鉄道東京臨海新交通臨海線(新橋～竹芝ふ頭間)及び都市計画道路補助３１３号線建設事業,臨海線:港区新橋２丁目～港区海岸１丁目　３１３号線:港区東新橋１丁目～港区海岸１丁目,35.666859,139.757095,JGD2011,鉄道等(軌道の新設)、道路(道路の新設),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/59dtl.html
東京都（建設局）,65,－,秋多都市計画道路３・４・６号線建設事業,あきる野市草花地内～西多摩郡日の出町平井地内,35.741169,139.305420,JGD2011,道路(道路の新設),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/65dtl.html
東京都（建設局）,66,－,東日本旅客鉄道東北線赤羽駅付近高架化事業,北区東十条３丁目～北区赤羽３丁目,35.765060,139.728699,JGD2011,鉄道等(鉄道の改良),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/66dtl.html
東京都（建設局）,73,－,東京都市計画道路環状第８号線(練馬区北町～板橋区若木間)建設事業,練馬区北町４丁目～板橋区若木３丁目,35.763252,139.659851,JGD2011,道路(道路の新設),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/73dtl.html
東京都（建設局）,75,－,東日本旅客鉄道南武線(稲田堤・府中本町間)連続立体交差事業,稲城市下中島～稲城市大丸２７号,35.638081,139.504272,JGD2011,鉄道等(鉄道の改良),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/75dtl.html
東京都（建設局）,76,－,是政橋及び関連道路建設事業,稲城市大丸８号地内～府中市是政５丁目地内,35.644585,139.477737,JGD2011,道路(道路の改築),事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/76dtl.html
東京都（建設局）,92,－,小田急小田原線(喜多見～梅ヶ丘駅付近間)複々線・連続立体交差事業,世田谷区喜多見９丁目～世田谷区代田３丁目,35.640457,139.587265,JGD2011,鉄道等(鉄道の改良),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/92dtl.html
東京都（建設局）,95,－,東京都市計画道路放射第１６号線(江東区南砂～江戸川区清新町間)建設事業,江東区南砂３丁目～江戸川区清新町１丁目,35.670910,139.830017,JGD2011,道路(道路の新設),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/95dtl.html
東京都（建設局）,116,－,東日本旅客鉄道中央本線(三鷹～立川間)連続立体交差化及び複々線化事業,三鷹市下連雀３丁目～立川市錦町１丁目,35.699108,139.562515,JGD2011,鉄道等(鉄道の改良),事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/116dtl.html
東京都（建設局）,128,－,東京都市計画道路環状第８号線(練馬区南田中～高松間)建設事業,練馬区南田中２丁目～高松１丁目,35.733852,139.617126,JGD2011,道路(道路の新設),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/128dtl.html
東京都（建設局）,133,－,白鬚西地区第二種市街地再開発事業８、９街区住宅建設事業　※h14.7対象外,荒川区南千住８丁目,35.736832,139.809692,JGD2011,住宅団地の新設、駐車場(自動車駐車場の設置),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/133dtl.html
東京都（建設局）,138,－,都市高速鉄道日暮里・舎人線建設事業,荒川区西日暮里２丁目(日暮里駅)～足立区舎人３丁目(見沼代親水公園駅),35.730396,139.771027,JGD2011,鉄道等(軌道の新設),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/138dtl.html
東京都（建設局）,147,－,（仮称）新滝山街道（八王子市丹木町一丁目～あきる野市牛沼）建設事業,八王子市丹木町１丁目～あきる野市牛沼,35.692314,139.330780,JGD2011,道路(道路の新設),事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/147dtl.html
東京都（建設局）,148,－,府中都市計画道路３・３・８号府中所沢線(府中市北山町～武蔵台間)建設事業,府中市北山町２丁目～武蔵野台３丁目,35.687397,139.456573,JGD2011,道路(道路の新設),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/148dtl.html
東京都（建設局）,149,－,調布都市計画道路3・2・6号調布保谷線三鷹都市計画道路3・2・6号調布保谷線(調布市富士見町～三鷹市野崎間)建設事業,調布市富士見町３丁目～三鷹市野崎２丁目,35.662884,139.540665,JGD2011,道路(道路の改築),事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/149dtl.html
東京都（建設局）,161,－,京成電鉄押上線(押上駅～八広駅間)立体交差事業,墨田区押上２丁目～八広５丁目,35.713604,139.814453,JGD2011,鉄道等(鉄道の改良),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/161dtl.html
東京都（建設局）,169,－,京浜急行電鉄本線（平和島駅～六郷土手駅間）及び同空港線（京急蒲田駅～大鳥居駅間）の連続立体交差化事業,大田区大森北6丁目～仲六郷4丁目、蒲田4丁目～西糀谷町4丁目,35.579468,139.731934,JGD2011,鉄道等(鉄道の改良),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/169dtl.html
東京都（建設局）,171,－,東京都市計画道路環状第2号線(港区新橋～虎ノ門間)建設事業及び環状第2号線新橋・虎ノ門地区第二種市街地再開発事業,港区東新橋2丁目～虎ノ門2丁目、新橋4丁目、西新橋2丁目、虎ノ門1丁目外,35.661961,139.757568,JGD2011,道路(道路の新設),事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/171dtl.html
東京都（建設局）,174,－,都市高速鉄道東京臨海新交通臨海線（有明～豊洲間）建設事業,江東区有明２丁目（有明駅〈既設〉）～豊洲２丁目（豊洲駅）,35.636322,139.789978,JGD2011,鉄道等(軌道の新設),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/174dtl.html
東京都（建設局）,175,－,西東京都市計画道路３・２・６号調布保谷線（保谷市東伏見～北町間）建設事業※旧保谷都市計画道路３・２・６号調布保谷線（保谷市東伏見～北町間）建設事業,保谷市東伏見６丁目～北町３丁目,35.741821,139.557983,JGD2011,道路(道路の新設),事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/175dtl.html
東京都（建設局）,186,－,三鷹都市計画道路３・２・６号調布保谷線、武蔵野都市計画道路３・３・６号調布保谷線（三鷹市野崎～武蔵野市関前間）建設事業,三鷹市野崎２丁目～武蔵野市関町１丁目,35.684345,139.547424,JGD2011,道路(道路の新設),事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/186dtl.html
東京都（建設局）,272,都,東京都市計画道路放射３５号線及び東京都市計画道路放射３６号線（板橋区小茂根四丁目～練馬区早宮二丁目間）建設事業,板橋区小茂根四丁目～練馬区早宮二丁目,35.747864,139.675339,JGD2011,道路（道路の新設）,事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/272dtl.html
東京都（建設局）,325,－,東日本旅客鉄道赤羽線（十条駅付近）連続立体交差事業,北区十条台一丁目～中十条四丁目,35.754955,139.725510,JGD2011,鉄道等(鉄道の改良),評価書,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/325dtl.html
東京都（交通局）,51,－,都市高速鉄道第１２号線新宿・練馬間建設事業,渋谷区代々木２丁目～練馬区豊玉北５丁目（新宿、東中野、豊玉通過）,35.685535,139.698746,JGD2011,鉄道等(鉄道の新設),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/51dtl.html
東京都（交通局）,64,－,都市高速鉄道第７号線目黒・溜池間建設事業、都市高速鉄道第６号線清正公前・三田間建設事業,７号線:品川区上大崎４丁目～港区赤坂２丁目、６号線:港区白金２丁目～港区芝５丁目,35.630981,139.715363,JGD2011,鉄道等(鉄道の新設),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/64dtl.html
東京都（港湾局）,6,都,羽田沖埋立事業の拡張,大田区羽田空港２丁目先,35.551201,139.764709,JGD2011,埋立て等(埋立て),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/6dtl.html
東京都（港湾局）,11,都,新島空港整備事業,新島本村字川原,34.377769,139.253525,JGD2011,飛行場(飛行場の設置),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/11dtl.html
東京都（港湾局）,23,公団,首都高速11号線・東京港連絡橋(臨港道路)建設事業(旧称 都市高速道路12号線・東京港連絡橋(臨港道路)建設事業),11号線(江東区有明２丁目～港区海岸２丁目)、連絡橋(港区台場～海岸３丁目),35.636322,139.789978,JGD2011,道路(道路の新設),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/23dtl.html
東京都（港湾局）,41,都,神津島空港整備事業,神津島村大字大沼、大字焼山、大字金長、大字葱,34.189140,139.127762,JGD2011,飛行場(飛行場の設置),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/41dtl.html
東京都（港湾局）,42,都,東京へリポート拡張事業,江東区新木場４丁目,35.640846,139.838898,JGD2011,飛行場(飛行場の変更),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/42dtl.html
東京都（港湾局）,45,都,若洲海浜公園ゴルフ場建設事業,江東区若洲及び１５号埋立地,35.622387,139.836166,JGD2011,特定工作物(第二種特定工作物の設置),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/45dtl.html
東京都（港湾局）,60,－,臨海副都心青海地区埋立事業,江東区青海１丁目地先,35.625057,139.778732,JGD2011,埋立て等(埋立て),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/60dtl.html
東京都（港湾局）,74,－,中防ばら物ふ頭建設事業,江東区青海２丁目地先(中央防波堤内側埋立地),35.594021,139.812210,JGD2011,ふ頭の新設,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/74dtl.html
東京都（港湾局）,97,－,東京港臨海道路建設事業,大田区城南島２丁目～江東区若洲,35.580658,139.776810,JGD2011,道路(道路の新設),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/97dtl.html
