表8-1  物質別月別調査結果（HAPｓ）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020年度  HAPs,,,,,,,,,,,
"注） ・２桁への有効数字処理は行っていない。
・検出下限値未満の値は「<」で示し、年平均値算出には検出下限値の1/2を充てる。右側のppb換算値の検出下限値付近の値においては、μg/m3と表示が異なる場合がある。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,江戸川区春江町,0.721,,0.505,,0.557,,0.5,,0.74,4.907,,,1.124,,,2.211,,,,1.787,,,,0.811,,,,1.127,,,,0.968,,,,4.907,,,0.5,,,,1.33,,,,0.981,,,,0.1,,,,0.266
,区部一般平均,0.956,,1.094,,1.077,,0.631,,1.082,2.232,,,1.308,,,1.918,,,,1.921,,,,1.058,,,,1.147,,,,0.441,,,,4.907,,,0.242,,,,1.239,,,,0.981,,,,0.048,,,,0.248
多,小金井市本町,0.861,,1.519,,1.174,,0.434,,0.68,1.395,,,1.483,,,1.649,,,,2.085,,,,1.375,,,,1.214,,,,0.92,,,,2.085,,,0.434,,,,1.232,,,,0.417,,,,0.087,,,,0.246
摩,東大和市奈良橋,0.73,,1.568,,1.889,,0.58,,0.888,1.097,,,1.289,,,1.177,,,,1.881,,,,1.477,,,,1.128,,,,0.264,,,,1.889,,,0.264,,,,1.164,,,,0.378,,,,0.053,,,,0.233
一般,多摩部一般平均,0.795,,1.544,,1.531,,0.507,,0.784,1.246,,,1.386,,,1.413,,,,1.983,,,,1.426,,,,1.171,,,,0.592,,,,2.085,,,0.264,,,,1.198,,,,0.417,,,,0.053,,,,0.24
都一般平均,,0.924,,1.184,,1.168,,0.606,,1.022,2.035,,,1.323,,,1.817,,,,1.933,,,,1.132,,,,1.152,,,,0.471,,,,4.907,,,0.242,,,,1.231,,,,0.981,,,,0.048,,,,0.246
,京葉道路亀戸,1.036,,1.18,,1.042,,0.792,,1.034,1.625,,,1.359,,,1.778,,,,1.931,,,,0.856,,,,1.368,,,,0.279,,,,1.931,,,0.279,,,,1.19,,,,0.386,,,,0.056,,,,0.238
,環八通り八幡山,0.761,,1.115,,0.897,,0.491,,0.834,1.681,,,1.458,,,1.47,,,,2.282,,,,1.297,,,,0.999,,,,0.254,,,,2.282,,,0.254,,,,1.128,,,,0.456,,,,0.051,,,,0.226
沿,２地点沿道平均,0.898,,1.148,,0.97,,0.642,,0.934,1.653,,,1.409,,,1.624,,,,2.106,,,,1.076,,,,1.184,,,,0.267,,,,2.282,,,0.254,,,,1.159,,,,0.456,,,,0.051,,,,0.232
道,甲州街道大原,0.79,,1.563,,1.012,,0.611,,1.531,1.689,,,1.539,,,1.532,,,,2.203,,,,1.106,,,,1.231,,,,0.375,,,,2.203,,,0.375,,,,1.265,,,,0.441,,,,0.075,,,,0.253
,中山道大和町,1.386,,1.884,,1.261,,0.62,,1.194,2.312,,,2.069,,,3.006,,,,2.985,,,,1.542,,,,2.662,,,,0.647,,,,3.006,,,0.62,,,,1.797,,,,0.601,,,,0.124,,,,0.359
,４地点沿道平均,0.993,,1.436,,1.053,,0.628,,1.149,1.827,,,1.606,,,1.947,,,,2.35,,,,1.2,,,,1.565,,,,0.389,,,,3.006,,,0.254,,,,1.345,,,,0.601,,,,0.051,,,,0.269
檜原(ﾊﾞｯｸｸﾞﾗｳﾝﾄﾞ),,0.111,,0.52,,0.305,,0.118,,0.335,0.173,,,0.276,,,0.338,,,,0.66,,,,0.49,,,,0.344,,,,0.26,,,,0.66,,,0.111,,,,0.328,,,,0.132,,,,0.022,,,,0.066
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,n-Propylbenzene,,,,,,,,,,,,,,,,,,,,基準値    ：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分子量：,,,,120.2
,,,,,,,,,,,,,,,,,,,,,定量下限値：,,,,,,,,0.04,,,,μg/m3,,,,(0.008 ppb,,,),,,,,,,,換算係数(→ppb）：,,,,,,,,0.2
,,2020年度,,,,,,,,,,,,,,,,,,,検出下限値：,,,,,,,,0.02,,,,,,,,(0.003 ppb,,,)       (単位：μg/m3）,,,,,,,,,,,,(単位：ｐｐｂ）,,,,
測定地点（局）,,4月,,5月,,6月,,7月,,8月,9月,,,10月,,,11月,,,,12月,,,,1月,,,,2月,,,,3月,,,,最大,,,最小,,,,平 均,,,,最大,,,,最小,,,,平 均
,中央区晴海,0.06,,0.092,,0.12,,0.062,,0.123,0.14,,,0.107,,,0.135,,,,0.161,,,,0.066,,,,0.143,,,,0.05,,,,0.161,,,0.05,,,,0.105,,,,0.027,,,,0.008,,,,0.018
区,国設東京新宿,0.067,,0.122,,0.112,,0.069,,0.122,0.151,,,0.119,,,0.125,,,,0.192,,,,0.075,,,,0.11,,,,0.045,,,,0.192,,,0.045,,,,0.109,,,,0.032,,,,0.008,,,,0.018
部,大田区東糀谷,0.102,,0.112,,0.123,,0.081,,0.233,0.182,,,0.108,,,0.211,,,,0.171,,,,0.119,,,,0.163,,,,0.067,,,,0.233,,,0.067,,,,0.139,,,,0.039,,,,0.011,,,,0.024
一,世田谷区世田谷,0.093,,0.12,,0.11,,0.055,,0.102,0.126,,,0.111,,,0.165,,,,0.166,,,,0.105,,,,0.07,,,,0.037,,,,0.166,,,0.037,,,,0.105,,,,0.028,,,,0.006,,,,0.018
般,板橋区氷川町,0.102,,0.126,,0.116,,0.066,,0.112,0.153,,,0.152,,,0.183,,,,0.196,,,,0.11,,,,0.106,,,,0.043,,,,0.196,,,0.043,,,,0.122,,,,0.033,,,,0.007,,,,0.021
環,練馬区石神井町,0.099,,0.145,,0.112,,0.043,,0.098,0.115,,,0.115,,,0.168,,,,0.227,,,,0.132,,,,0.087,,,,0.038,,,,0.227,,,0.038,,,,0.115,,,,0.038,,,,0.006,,,,0.019
境,足立区西新井,0.119,,0.156,,0.132,,0.063,,0.125,0.137,,,0.176,,,0.258,,,,0.248,,,,0.124,,,,0.168,,,,0.041,,,,0.258,,,0.041,,,,0.146,,,,0.044,,,,0.007,,,,0.025
,江戸川区春江町,0.079,,0.066,,0.057,,0.034,,0.068,0.112,,,0.137,,,0.238,,,,0.217,,,,0.1,,,,0.159,,,,0.126,,,,0.238,,,0.034,,,,0.116,,,,0.04,,,,0.006,,,,0.02
,区部一般平均,0.09,,0.118,,0.11,,0.059,,0.123,0.14,,,0.128,,,0.185,,,,0.197,,,,0.104,,,,0.126,,,,0.056,,,,0.258,,,0.034,,,,0.12,,,,0.044,,,,0.006,,,,0.02
多,小金井市本町,0.117,,0.148,,0.136,,0.053,,0.089,0.116,,,0.158,,,0.2,,,,0.234,,,,0.134,,,,0.143,,,,0.089,,,,0.234,,,0.053,,,,0.135,,,,0.04,,,,0.009,,,,0.023
摩,東大和市奈良橋,0.118,,0.195,,0.214,,0.088,,0.127,0.109,,,0.142,,,0.22,,,,0.258,,,,0.269,,,,0.183,,,,0.038,,,,0.269,,,0.038,,,,0.164,,,,0.046,,,,0.006,,,,0.028
一般,多摩部一般平均,0.118,,0.171,,0.175,,0.07,,0.108,0.113,,,0.15,,,0.21,,,,0.246,,,,0.202,,,,0.163,,,,0.063,,,,0.269,,,0.038,,,,0.149,,,,0.046,,,,0.006,,,,0.025
都一般平均,,0.096,,0.128,,0.123,,0.061,,0.12,0.134,,,0.133,,,0.19,,,,0.207,,,,0.124,,,,0.133,,,,0.057,,,,0.269,,,0.034,,,,0.126,,,,0.046,,,,0.006,,,,0.021
,京葉道路亀戸,0.094,,0.101,,0.119,,0.08,,0.095,0.134,,,0.141,,,0.21,,,,0.263,,,,0.116,,,,0.251,,,,0.042,,,,0.263,,,0.042,,,,0.137,,,,0.044,,,,0.007,,,,0.023
,環八通り八幡山,0.092,,0.129,,0.115,,0.035,,0.099,0.154,,,0.166,,,0.19,,,,0.248,,,,0.14,,,,0.122,,,,0.035,,,,0.248,,,0.035,,,,0.127,,,,0.042,,,,0.006,,,,0.021
沿,２地点沿道平均,0.093,,0.115,,0.117,,0.057,,0.097,0.144,,,0.154,,,0.2,,,,0.255,,,,0.128,,,,0.187,,,,0.038,,,,0.263,,,0.035,,,,0.132,,,,0.044,,,,0.006,,,,0.022
道,甲州街道大原,0.101,,0.171,,0.146,,0.102,,0.205,0.148,,,0.177,,,0.199,,,,0.252,,,,0.126,,,,0.148,,,,0.039,,,,0.252,,,0.039,,,,0.151,,,,0.042,,,,0.007,,,,0.026
,中山道大和町,0.101,,0.207,,0.178,,0.098,,0.162,0.209,,,0.252,,,0.267,,,,0.271,,,,0.169,,,,0.157,,,,0.042,,,,0.271,,,0.042,,,,0.176,,,,0.046,,,,0.007,,,,0.03
,４地点沿道平均,0.097,,0.152,,0.139,,0.079,,0.14,0.161,,,0.184,,,0.216,,,,0.258,,,,0.138,,,,0.17,,,,0.039,,,,0.271,,,0.035,,,,0.148,,,,0.046,,,,0.006,,,,0.025
檜原(ﾊﾞｯｸｸﾞﾗｳﾝﾄﾞ),,< 0.02,,0.072,,0.04,,< 0.02,,0.061,0.028,,,0.052,,,0.062,,,,0.105,,,,0.055,,,,0.051,,,,0.029,,,,0.105,,,< 0.02,,,,0.048,,,,0.018,,,,< 0.003,,,,0.008
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,m-Ethyltoluen,e,,,,,,,,,,,,,,,,,,,基準値    ：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分子量：,,,,120.2
,,,,,,,,,,,,,,,,,,,,,定量下限値：,,,,,,,,0.04,,,,μg/m3,,,,(0.008 ppb,,,),,,,,,,,換算係数(→ppb）：,,,,,,,,0.2
,,2020年度,,,,,,,,,,,,,,,,,,,検出下限値：,,,,,,,,0.02,,,,,,,,(0.003 ppb,,,)       (単位：μg/m3）,,,,,,,,,,,,(単位：ｐｐｂ）,,,,
測定地点（局）,,4月,,5月,,6月,,7月,,8月,9月,,,10月,,,11月,,,,12月,,,,1月,,,,2月,,,,3月,,,,最大,,,最小,,,,平 均,,,,最大,,,,最小,,,,平 均
,中央区晴海,0.164,,0.209,,0.301,,0.173,,0.291,0.409,,,0.253,,,0.374,,,,0.476,,,,0.215,,,,0.416,,,,0.11,,,,0.476,,,0.11,,,,0.283,,,,0.095,,,,0.022,,,,0.057
区,国設東京新宿,0.183,,0.315,,0.295,,0.194,,0.276,0.399,,,0.33,,,0.387,,,,0.72,,,,0.291,,,,0.328,,,,0.095,,,,0.72,,,0.095,,,,0.318,,,,0.144,,,,0.019,,,,0.064
部,大田区東糀谷,0.358,,0.311,,0.356,,0.209,,0.681,0.569,,,0.282,,,0.609,,,,0.539,,,,0.412,,,,0.523,,,,0.166,,,,0.681,,,0.166,,,,0.418,,,,0.136,,,,0.033,,,,0.084
一,世田谷区世田谷,0.285,,0.33,,0.319,,0.162,,0.271,0.35,,,0.307,,,0.501,,,,0.534,,,,0.352,,,,0.197,,,,0.097,,,,0.534,,,0.097,,,,0.309,,,,0.107,,,,0.019,,,,0.062
般,板橋区氷川町,0.307,,0.363,,0.34,,0.169,,0.306,0.458,,,0.494,,,0.525,,,,0.622,,,,0.377,,,,0.312,,,,0.112,,,,0.622,,,0.112,,,,0.365,,,,0.124,,,,0.022,,,,0.073
環,練馬区石神井町,0.318,,0.373,,0.326,,0.132,,0.235,0.32,,,0.343,,,0.485,,,,0.785,,,,0.443,,,,0.288,,,,0.101,,,,0.785,,,0.101,,,,0.346,,,,0.157,,,,0.02,,,,0.069
境,足立区西新井,0.382,,0.465,,0.36,,0.168,,0.353,0.42,,,0.536,,,0.833,,,,0.836,,,,0.426,,,,0.566,,,,0.108,,,,0.836,,,0.108,,,,0.454,,,,0.167,,,,0.022,,,,0.091
,江戸川区春江町,0.234,,0.179,,0.165,,0.109,,0.176,0.348,,,0.401,,,0.727,,,,0.739,,,,0.345,,,,0.538,,,,0.386,,,,0.739,,,0.109,,,,0.362,,,,0.148,,,,0.022,,,,0.072
,区部一般平均,0.279,,0.318,,0.308,,0.164,,0.323,0.409,,,0.368,,,0.555,,,,0.656,,,,0.358,,,,0.396,,,,0.147,,,,0.836,,,0.095,,,,0.357,,,,0.167,,,,0.019,,,,0.071
多,小金井市本町,0.421,,0.423,,0.4,,0.133,,0.232,0.34,,,0.499,,,0.597,,,,0.772,,,,0.458,,,,0.463,,,,0.266,,,,0.772,,,0.133,,,,0.417,,,,0.154,,,,0.027,,,,0.083
摩,東大和市奈良橋,0.411,,0.598,,0.7,,0.287,,0.365,0.31,,,0.449,,,0.683,,,,0.878,,,,0.936,,,,0.644,,,,0.096,,,,0.936,,,0.096,,,,0.53,,,,0.187,,,,0.019,,,,0.106
一般,多摩部一般平均,0.416,,0.511,,0.55,,0.21,,0.298,0.325,,,0.474,,,0.64,,,,0.825,,,,0.697,,,,0.553,,,,0.181,,,,0.936,,,0.096,,,,0.473,,,,0.187,,,,0.019,,,,0.095
都一般平均,,0.306,,0.357,,0.356,,0.174,,0.318,0.392,,,0.39,,,0.572,,,,0.69,,,,0.426,,,,0.427,,,,0.154,,,,0.936,,,0.095,,,,0.38,,,,0.187,,,,0.019,,,,0.076
,京葉道路亀戸,0.317,,0.302,,0.366,,0.253,,0.293,0.398,,,0.419,,,0.644,,,,0.919,,,,0.388,,,,0.933,,,,0.128,,,,0.933,,,0.128,,,,0.447,,,,0.187,,,,0.026,,,,0.089
,環八通り八幡山,0.294,,0.37,,0.319,,0.118,,0.234,0.468,,,0.494,,,0.586,,,,0.826,,,,0.499,,,,0.392,,,,0.111,,,,0.826,,,0.111,,,,0.393,,,,0.165,,,,0.022,,,,0.079
沿,２地点沿道平均,0.305,,0.336,,0.343,,0.186,,0.264,0.433,,,0.457,,,0.615,,,,0.872,,,,0.443,,,,0.662,,,,0.119,,,,0.933,,,0.111,,,,0.42,,,,0.187,,,,0.022,,,,0.084
道,甲州街道大原,0.323,,0.507,,0.481,,0.355,,0.641,0.429,,,0.512,,,0.605,,,,0.804,,,,0.467,,,,0.498,,,,0.13,,,,0.804,,,0.13,,,,0.479,,,,0.161,,,,0.026,,,,0.096
,中山道大和町,0.33,,0.688,,0.583,,0.332,,0.46,0.698,,,0.806,,,0.817,,,,0.937,,,,0.614,,,,0.514,,,,0.153,,,,0.937,,,0.153,,,,0.578,,,,0.187,,,,0.031,,,,0.116
,４地点沿道平均,0.316,,0.467,,0.437,,0.265,,0.407,0.498,,,0.558,,,0.663,,,,0.872,,,,0.492,,,,0.584,,,,0.13,,,,0.937,,,0.111,,,,0.474,,,,0.187,,,,0.022,,,,0.095
檜原(ﾊﾞｯｸｸﾞﾗｳﾝﾄﾞ),,0.048,,0.146,,0.078,,0.084,,0.119,0.066,,,0.152,,,0.121,,,,0.291,,,,0.166,,,,0.162,,,,0.048,,,,0.291,,,0.048,,,,0.123,,,,0.058,,,,0.01,,,,0.025
2020年度  PAMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,p-Ethyltoluene (46),,,,,,,,,,,,,,,,,,,,基準値    ：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分子量：,,,,120.2
,,,,,,,,,,,,,,,,,,,,,定量下限値：,,,,,,,,0.05,,,,μg/m3,,,,(0.009 ppb,,,),,,,,,,,換算係数(→ppb）：,,,,,,,,0.2
,,2020年度,,,,,,,,,,,,,,,,,,,検出下限値：,,,,,,,,0.02,,,,,,,,(0.003 ppb,,,)       (単位：μg/m3）,,,,,,,,,,,,(単位：ｐｐｂ）,,,,
測定地点（局）,,4月,,5月,,6月,,7月,,8月,9月,,,10月,,,11月,,,,12月,,,,1月,,,,2月,,,,3月,,,,最大,,,最小,,,,平 均,,,,最大,,,,最小,,,,平 均
,中央区晴海,0.094,,0.127,,0.179,,0.1,,0.19,0.234,,,0.159,,,0.192,,,,0.255,,,,0.104,,,,0.227,,,,0.087,,,,0.255,,,0.087,,,,0.162,,,,0.051,,,,0.017,,,,0.032
区,国設東京新宿,0.093,,0.182,,0.166,,0.103,,0.167,0.221,,,0.164,,,0.191,,,,0.32,,,,0.114,,,,0.176,,,,0.069,,,,0.32,,,0.069,,,,0.164,,,,0.064,,,,0.014,,,,0.033
部,大田区東糀谷,0.179,,0.176,,0.178,,0.112,,0.361,0.314,,,0.157,,,0.316,,,,0.284,,,,0.205,,,,0.272,,,,0.108,,,,0.361,,,0.108,,,,0.222,,,,0.072,,,,0.022,,,,0.044
一,世田谷区世田谷,0.147,,0.184,,0.154,,0.083,,0.16,0.196,,,0.167,,,0.238,,,,0.264,,,,0.172,,,,0.097,,,,0.057,,,,0.264,,,0.057,,,,0.16,,,,0.053,,,,0.011,,,,0.032
般,板橋区氷川町,0.155,,0.199,,0.185,,0.086,,0.176,0.239,,,0.234,,,0.263,,,,0.323,,,,0.181,,,,0.15,,,,0.064,,,,0.323,,,0.064,,,,0.188,,,,0.065,,,,0.013,,,,0.038
環,練馬区石神井町,0.161,,0.204,,0.17,,0.07,,0.139,0.167,,,0.182,,,0.224,,,,0.385,,,,0.199,,,,0.145,,,,0.049,,,,0.385,,,0.049,,,,0.175,,,,0.077,,,,0.01,,,,0.035
境,足立区西新井,0.187,,0.235,,0.198,,0.083,,0.189,0.223,,,0.275,,,0.407,,,,0.403,,,,0.213,,,,0.274,,,,0.065,,,,0.407,,,0.065,,,,0.229,,,,0.081,,,,0.013,,,,0.046
,江戸川区春江町,0.106,,0.1,,0.085,,0.059,,0.097,0.182,,,0.209,,,0.385,,,,0.348,,,,0.171,,,,0.256,,,,0.193,,,,0.385,,,0.059,,,,0.182,,,,0.077,,,,0.012,,,,0.036
,区部一般平均,0.14,,0.176,,0.164,,0.087,,0.185,0.222,,,0.194,,,0.277,,,,0.323,,,,0.17,,,,0.2,,,,0.086,,,,0.407,,,0.049,,,,0.185,,,,0.081,,,,0.01,,,,0.037
多,小金井市本町,0.206,,0.218,,0.213,,0.071,,0.14,0.185,,,0.249,,,0.282,,,,0.383,,,,0.214,,,,0.238,,,,0.129,,,,0.383,,,0.071,,,,0.211,,,,0.077,,,,0.014,,,,0.042
摩,東大和市奈良橋,0.195,,0.311,,0.361,,0.136,,0.196,0.167,,,0.217,,,0.326,,,,0.425,,,,0.491,,,,0.306,,,,0.053,,,,0.491,,,0.053,,,,0.265,,,,0.098,,,,0.011,,,,0.053
一般,多摩部一般平均,0.201,,0.265,,0.287,,0.103,,0.168,0.176,,,0.233,,,0.304,,,,0.404,,,,0.352,,,,0.272,,,,0.091,,,,0.491,,,0.053,,,,0.238,,,,0.098,,,,0.011,,,,0.048
都一般平均,,0.152,,0.194,,0.189,,0.09,,0.181,0.213,,,0.201,,,0.282,,,,0.339,,,,0.206,,,,0.214,,,,0.087,,,,0.491,,,0.049,,,,0.196,,,,0.098,,,,0.01,,,,0.039
,京葉道路亀戸,0.158,,0.15,,0.185,,0.127,,0.145,0.209,,,0.211,,,0.321,,,,0.44,,,,0.191,,,,0.433,,,,0.064,,,,0.44,,,0.064,,,,0.22,,,,0.088,,,,0.013,,,,0.044
,環八通り八幡山,0.145,,0.188,,0.164,,0.066,,0.144,0.245,,,0.24,,,0.278,,,,0.394,,,,0.249,,,,0.189,,,,0.056,,,,0.394,,,0.056,,,,0.196,,,,0.079,,,,0.011,,,,0.039
沿,２地点沿道平均,0.151,,0.169,,0.174,,0.097,,0.145,0.227,,,0.226,,,0.3,,,,0.417,,,,0.22,,,,0.311,,,,0.06,,,,0.44,,,0.056,,,,0.208,,,,0.088,,,,0.011,,,,0.042
道,甲州街道大原,0.153,,0.247,,0.222,,0.168,,0.32,0.212,,,0.256,,,0.29,,,,0.387,,,,0.211,,,,0.236,,,,0.071,,,,0.387,,,0.071,,,,0.231,,,,0.077,,,,0.014,,,,0.046
,中山道大和町,0.162,,0.336,,0.271,,0.16,,0.231,0.335,,,0.411,,,0.408,,,,0.448,,,,0.284,,,,0.249,,,,0.144,,,,0.448,,,0.144,,,,0.286,,,,0.09,,,,0.029,,,,0.057
,４地点沿道平均,0.154,,0.23,,0.21,,0.13,,0.21,0.25,,,0.28,,,0.324,,,,0.417,,,,0.234,,,,0.277,,,,0.084,,,,0.448,,,0.056,,,,0.233,,,,0.09,,,,0.011,,,,0.047
檜原(ﾊﾞｯｸｸﾞﾗｳﾝﾄﾞ),,0.023,,0.078,,0.042,,0.032,,0.065,0.026,,,0.068,,,0.058,,,,0.143,,,,0.077,,,,0.079,,,,0.043,,,,0.143,,,0.023,,,,0.061,,,,0.029,,,,0.005,,,,0.012
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ref,(β-pinene),,,,,,,,,,,,,,,,,,,,基準値    ：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分子量：,,,,136.2
,,,,,,,,,,,,,,,,,,,,,定量下限値：,,,,,,,,0.04,,,,μg/m3,,,,(0.007 ppb,,,),,,,,,,,換算係数(→ppb）：,,,,,,,,0.177
,,2020年度,,,,,,,,,,,,,,,,,,,検出下限値：,,,,,,,,0.02,,,,,,,,(0.002 ppb,,,)       (単位：μg/m3）,,,,,,,,,,,,(単位：ｐｐｂ）,,,,
測定地点（局）,,4月,,5月,,6月,,7月,,8月,9月,,,10月,,,11月,,,,12月,,,,1月,,,,2月,,,,3月,,,,最大,,,最小,,,,平 均,,,,最大,,,,最小,,,,平 均
,中央区晴海,< 0.02,,0.031,,0.049,,0.065,,0.13,0.058,,,0.029,,,0.026,,,,< 0.02,,,,< 0.02,,,,0.021,,,,< 0.02,,,,0.13,,,< 0.02,,,,0.037,,,,0.026,,,,< 0.003,,,,0.007
区,国設東京新宿,0.069,,0.157,,0.079,,0.062,,0.221,0.248,,,2.495,,,1.931,,,,19.683,,,,0.843,,,,0.269,,,,0.094,,,,19.683,,,0.062,,,,2.179,,,,3.937,,,,0.012,,,,0.436
部,大田区東糀谷,< 0.02,,0.026,,0.027,,0.054,,0.044,0.034,,,< 0.02,,,0.021,,,,< 0.02,,,,< 0.02,,,,< 0.02,,,,< 0.02,,,,0.054,,,< 0.02,,,,0.022,,,,0.011,,,,< 0.003,,,,0.004
一,世田谷区世田谷,< 0.02,,< 0.02,,0.036,,0.04,,0.042,0.053,,,0.023,,,< 0.02,,,,0.026,,,,< 0.02,,,,0.026,,,,< 0.02,,,,0.053,,,< 0.02,,,,0.025,,,,0.011,,,,< 0.003,,,,0.005
般,板橋区氷川町,< 0.02,,< 0.02,,0.051,,0.032,,0.108,0.076,,,0.024,,,< 0.02,,,,0.027,,,,< 0.02,,,,< 0.02,,,,< 0.02,,,,0.108,,,< 0.02,,,,0.032,,,,0.022,,,,< 0.003,,,,0.006
環,練馬区石神井町,0.033,,0.082,,0.079,,0.08,,0.118,0.043,,,0.031,,,0.026,,,,0.231,,,,0.064,,,,0.108,,,,0.042,,,,0.231,,,0.026,,,,0.078,,,,0.046,,,,0.005,,,,0.016
境,足立区西新井,< 0.02,,0.025,,0.026,,0.035,,0.077,0.041,,,0.033,,,0.023,,,,0.038,,,,< 0.02,,,,< 0.02,,,,< 0.02,,,,0.077,,,< 0.02,,,,0.028,,,,0.015,,,,< 0.003,,,,0.006
,江戸川区春江町,0.025,,0.045,,0.071,,0.041,,0.061,0.069,,,0.021,,,0.026,,,,0.032,,,,< 0.02,,,,0.024,,,,< 0.02,,,,0.071,,,< 0.02,,,,0.036,,,,0.014,,,,< 0.003,,,,0.007
,区部一般平均,0.022,,0.048,,0.052,,0.051,,0.1,0.078,,,0.333,,,0.259,,,,2.507,,,,0.121,,,,0.06,,,,0.025,,,,19.683,,,< 0.02,,,,0.305,,,,3.937,,,,< 0.003,,,,0.061
多,小金井市本町,0.02,,0.07,,0.079,,0.051,,0.049,0.063,,,0.044,,,0.06,,,,0.038,,,,< 0.02,,,,0.025,,,,< 0.02,,,,0.079,,,< 0.02,,,,0.043,,,,0.016,,,,< 0.003,,,,0.009
摩,東大和市奈良橋,< 0.02,,0.091,,0.085,,0.061,,0.078,0.077,,,0.056,,,0.045,,,,0.047,,,,< 0.02,,,,0.024,,,,< 0.02,,,,0.091,,,< 0.02,,,,0.05,,,,0.018,,,,< 0.003,,,,0.01
一般,多摩部一般平均,< 0.02,,0.08,,0.082,,0.056,,0.064,0.07,,,0.05,,,0.053,,,,0.042,,,,< 0.02,,,,0.024,,,,< 0.02,,,,0.091,,,< 0.02,,,,0.046,,,,0.018,,,,< 0.003,,,,0.009
都一般平均,,0.021,,0.055,,0.058,,0.052,,0.093,0.076,,,0.277,,,0.218,,,,2.014,,,,0.099,,,,0.053,,,,0.022,,,,19.683,,,< 0.02,,,,0.253,,,,3.937,,,,< 0.003,,,,0.051
,京葉道路亀戸,< 0.02,,0.043,,0.098,,0.078,,0.114,0.032,,,0.023,,,0.023,,,,0.024,,,,< 0.02,,,,0.023,,,,0.022,,,,0.114,,,< 0.02,,,,0.042,,,,0.023,,,,< 0.003,,,,0.008
,環八通り八幡山,0.022,,0.045,,0.065,,0.041,,0.095,0.066,,,0.035,,,0.034,,,,0.068,,,,0.032,,,,0.025,,,,< 0.02,,,,0.095,,,< 0.02,,,,0.045,,,,0.019,,,,< 0.003,,,,0.009
沿,２地点沿道平均,< 0.02,,0.044,,0.082,,0.06,,0.104,0.049,,,0.029,,,0.029,,,,0.046,,,,0.021,,,,0.024,,,,< 0.02,,,,0.114,,,< 0.02,,,,0.043,,,,0.023,,,,< 0.003,,,,0.009
道,甲州街道大原,< 0.02,,0.038,,0.053,,0.054,,0.047,0.027,,,< 0.02,,,< 0.02,,,,< 0.02,,,,0.03,,,,< 0.02,,,,< 0.02,,,,0.054,,,< 0.02,,,,0.026,,,,0.011,,,,< 0.003,,,,0.005
,中山道大和町,< 0.02,,0.021,,0.025,,0.035,,0.024,0.044,,,< 0.02,,,< 0.02,,,,< 0.02,,,,0.145,,,,< 0.02,,,,< 0.02,,,,0.145,,,< 0.02,,,,0.03,,,,0.029,,,,< 0.003,,,,0.006
,４地点沿道平均,< 0.02,,0.037,,0.06,,0.052,,0.07,0.042,,,< 0.02,,,< 0.02,,,,0.028,,,,0.054,,,,< 0.02,,,,< 0.02,,,,0.145,,,< 0.02,,,,0.035,,,,0.029,,,,< 0.003,,,,0.007
檜原(ﾊﾞｯｸｸﾞﾗｳﾝﾄﾞ),,0.041,,0.117,,0.227,,0.228,,0.19,0.088,,,0.088,,,0.119,,,,0.036,,,,< 0.02,,,,0.048,,,,0.079,,,,0.228,,,< 0.02,,,,0.106,,,,0.046,,,,< 0.003,,,,0.021
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"1,3,5-Trimethylbenzene (47)",,,,,,,,,,,,,,,,,,,,基準値    ：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分子量：,,,,120.2
,,,,,,,,,,,,,,,,,,,,,定量下限値：,,,,,,,,0.05,,,,μg/m3,,,,(0.009 ppb,,,),,,,,,,,換算係数(→ppb）：,,,,,,,,0.2
,,2020年度,,,,,,,,,,,,,,,,,,,検出下限値：,,,,,,,,0.02,,,,,,,,(0.003 ppb,,,)       (単位：μg/m3）,,,,,,,,,,,,(単位：ｐｐｂ）,,,,
測定地点（局）,,4月,,5月,,6月,,7月,,8月,9月,,,10月,,,11月,,,,12月,,,,1月,,,,2月,,,,3月,,,,最大,,,最小,,,,平 均,,,,最大,,,,最小,,,,平 均
,中央区晴海,0.082,,0.113,,0.154,,0.091,,0.17,0.202,,,0.128,,,0.168,,,,0.22,,,,0.102,,,,0.18,,,,0.08,,,,0.22,,,0.08,,,,0.141,,,,0.039,,,,0.014,,,,0.025
