指定者,公職の種類,政治団体の名称,事務所の所在地,緯度,経度,座標系
尾澤敏明,市議会議員,尾沢としあき励ます会,稲城市矢野口３１３８－４０,35.632755,139.509641,座標系（JGD2011）
小関重太郎,市議会議員,重太郎後援会,町田市忠生２－３１－１６,35.579402,139.419260,座標系（JGD2011）
小田切和信,区議会議員,小田切かずのぶ後援会,北区中十条３－２０－１９,35.765041,139.724032,座標系（JGD2011）
落合勝利,市議会議員,落合勝利を励ます会,武蔵野市中町２－２４－１５,35.706215,139.567299,座標系（JGD2011）
乙津豊彦,市議会議員,乙津豊彦後援会,福生市熊川５６,35.718438,139.332342,座標系（JGD2011）
尾名高勝,区議会議員,おなだか勝後援会,板橋区幸町５１－９,35.742379,139.695874,座標系（JGD2011）
小野憲一郎,区議会議員,おのけんサポータークラブ,新宿区若松町２８－１,35.699847,139.719368,座標系（JGD2011）
小野卓也,区議会議員,小野卓也後援会,板橋区仲町３０－１０,35.753558,139.697512,座標系（JGD2011）
小野裕次郎,区議会議員,小野裕次郎応援団,新宿区下落合４－９－１７,35.718432,139.698043,座標系（JGD2011）
小野塚礼佳,区議会議員,小野塚あやか後援会,江戸川区東葛西７－１４－２,35.659294,139.876893,座標系（JGD2011）
小野塚栄作,区議会議員,おのづか栄作後援会,練馬区氷川台４－１８－５,35.753543,139.665408,座標系（JGD2011）
小野寺淳,市議会議員,小野寺あつしはげます会,府中市本宿町４－２２－１７,35.679943,139.460444,座標系（JGD2011）
小野寺克己,市議会議員,小野寺かつき友の会,狛江市中和泉２－２４－１２,35.637611,139.570503,座標系（JGD2011）
小幡勝己,市議会議員,おばた勝己励ます会,西東京市田無町５－１０－８,35.731374,139.539943,座標系（JGD2011）
小俣博照,市議会議員,八王子市地域防災研究会,八王子市大和田町３－８－６,35.661798,139.353610,座標系（JGD2011）
小美濃安弘,市議会議員,小美濃安弘後援会,武蔵野市吉祥寺東町２－４５－１７,35.709213,139.590028,座標系（JGD2011）
小山和良,区議会議員,港区しおかぜ会,港区芝浦４－６－１７,35.637977,139.744574,座標系（JGD2011）
海部智子,区議会議員,かいべとも子を励ます会,板橋区蓮根２－３１－１２,35.784423,139.678124,座標系（JGD2011）
嘉倉治,町議会議員,かくら治友の会,西多摩郡日の出町平井１０８５－５,35.741176,139.271630,座標系（JGD2011）
河西和,市議会議員,狛江・行革市民の会,狛江市元和泉２－１７－２４,35.632623,139.570592,座標系（JGD2011）
梶井琢太,市議会議員,梶井たくた後援会,東久留米市本町１－１２－２６,35.758998,139.534589,座標系（JGD2011）
梶浦美佐子,市議会議員,梶浦みさこと歩む会,稲城市若葉台２－１７－２,35.621420,139.478335,座標系（JGD2011）
梶川康二,区議会議員,梶央会,中央区月島１－１３－１３,35.665543,139.782481,座標系（JGD2011）
樫野哲也,区議会議員,文化首都・新宿,新宿区富久町１６－８,35.691561,139.713235,座標系（JGD2011）
粕谷稔,市議会議員,かすや稔友の会,三鷹市大沢４－２０－７,35.665858,139.539525,座標系（JGD2011）
片畑智子,市議会議員,かたはた智子とはらっぱ仲間,国分寺市戸倉１－８－４３,35.709493,139.461947,座標系（JGD2011）
片谷洋夫,市議会議員,片谷洋夫後援会,青梅市根ケ布２－２３７－２７５,35.800220,139.265135,座標系（JGD2011）
片山知紀,区議会議員,江戸川知山会,江戸川区東小岩６－２５－１４,35.734342,139.889882,座標系（JGD2011）
勝亦聡,区議会議員,勝亦さとし後援会,大田区蒲田２－９－１４,35.566071,139.726530,座標系（JGD2011）
門みどり,区議会議員,しもむら緑後援会,墨田区亀沢４－２２－８,35.699060,139.806767,座標系（JGD2011）
加藤育男,市長,加藤育男後援会,福生市本町１２３,35.741398,139.326918,座標系（JGD2011）
加藤孝,区議会議員,加藤たかしと市民のひろば,品川区西五反田８－１０－２１,35.619817,139.720165,座標系（JGD2011）
加藤松夫,市議会議員,加藤松夫を励ます会,多摩市東寺方５０６－４,35.646285,139.438121,座標系（JGD2011）
加藤涼子,市議会議員,かとう涼子とまちづくり広場,西東京市保谷町６－２５－１,35.737351,139.553298,座標系（JGD2011）
門倉正子,市議会議員,かどくら正子励ます会,立川市砂川町５－３１－１２,35.726685,139.407331,座標系（JGD2011）
金井茂,区議会議員,金井茂の会,江戸川区南小岩３－１５－２０,35.725407,139.886560,座標系（JGD2011）
加納進,区議会議員,かのう進励ます会,墨田区本所４－２４－５,35.705213,139.806004,座標系（JGD2011）
神尾昭央,区議会議員,神尾てるあき後援会,江戸川区春江町３－３２－３,35.695589,139.887635,座標系（JGD2011）
上川晃,区議会議員,上川晃後援会,北区赤羽北２－１－１,35.785675,139.710813,座標系（JGD2011）
神谷ちづ子,区議会議員,神谷ちづ子と未来を拓く会,豊島区南長崎６－２５－１４,35.731002,139.681203,座標系（JGD2011）
上町弓子,市議会議員,かみまち弓子と輝く未来を作る会,東村山市美住町２－２７－３０,35.754133,139.460583,座標系（JGD2011）
上村泰子,区議会議員,かみむらやす子後援会,葛飾区東金町５－１５－２,35.777334,139.875067,座標系（JGD2011）
亀井和美,市議会議員,かめい和美友の会,狛江市西野川４－２－１１,35.646032,139.572273,座標系（JGD2011）
鴨志田リエ,区議会議員,鴨志田リエ後援会,目黒区上目黒３－２０－６,35.645274,139.695066,座標系（JGD2011）
唐沢敏美,区議会議員,唐沢としみをはげます会,世田谷区奥沢４－２７－４,35.603137,139.671289,座標系（JGD2011）
川上和彦,区長,せたがや絆の会,世田谷区南烏山２－１７－１,35.667331,139.605298,座標系（JGD2011）
川北直人,区議会議員,川北直人後援会,江東区白河３－６－２,35.682021,139.803956,座標系（JGD2011）
川口俊夫,区議会議員,俊栄会,江戸川区南葛西６－１３－１４,35.646269,139.878485,座標系（JGD2011）
川口雅敏,区議会議員,みやびの会,板橋区蓮根１－１４－３,35.778702,139.675366,座標系（JGD2011）
川越誠一,区議会議員,かわごえ誠一政策研究会,葛飾区立石８－４７－１８,35.740596,139.858186,座標系（JGD2011）
川瀬泰徳,区議会議員,川瀬泰徳後援会,江戸川区江戸川１－２１－２３,35.687894,139.908379,座標系（JGD2011）
河津利惠子,区議会議員,河津りえ子とワクワク市民の会,杉並区阿佐谷北５－１２－１３,35.710482,139.642071,座標系（JGD2011）
川名雄児,市議会議員,川名ゆうじと武蔵野を創る会,武蔵野市桜堤３－４－１２,35.715902,139.529282,座標系（JGD2011）
河野達男,区議会議員,かわの達男後援会,新宿区高田馬場１－２０－１０,35.709609,139.705435,座標系（JGD2011）
川畑一隆,市議会議員,かわばた一隆励ます会,町田市忠生３－１７－２５,35.577999,139.413823,座標系（JGD2011）
川畑英樹,市議会議員,川畑英樹を応援する会,調布市仙川町２－２－１０,35.662530,139.580842,座標系（JGD2011）
川原伸昭,区議会議員,川原のぶあきを励ます会,目黒区上目黒５－２６－６,35.641979,139.687573,座標系（JGD2011）
河原弘明,区議会議員,河原ひろあき後援会,豊島区南長崎３－３９－１,35.726941,139.687528,座標系（JGD2011）
川人敦夫,区議会議員,川人敦夫後援会,杉並区浜田山１－７－２３,35.676577,139.628464,座標系（JGD2011）
河村孝,市長,河村孝後援会,三鷹市井の頭１－１４－２３,35.690924,139.589486,座標系（JGD2011）
河村文夫,町長,河村文夫後援会,西多摩郡奥多摩町川井５６０,35.810701,139.160998,座標系（JGD2011）
川村幹,市議会議員,川村幹を応援する会,清瀬市旭が丘２－２－４,35.794445,139.536692,座標系（JGD2011）
河村みどり,区議会議員,河村みどり後援会,世田谷区北烏山８－２－１６,35.675977,139.591949,座標系（JGD2011）
川原口宏之,区議会議員,川原口ひろゆき後援会,杉並区和田１－１１－５,35.689072,139.661686,座標系（JGD2011）
川脇敏徳,町議会議員,川脇敏徳後援会,西多摩郡日の出町大字平井９６４－４,35.739418,139.271490,座標系（JGD2011）
紀由紀子,市議会議員,紀ゆき子を励ます会,小金井市中町３－２３－１９,35.699173,139.515641,座標系（JGD2011）
木内清,区議会議員,木内清後援会,墨田区本所２－１４－３,35.704140,139.800594,座標系（JGD2011）
菊田順一,区議会議員,菊田順一育成会,板橋区高島平２－３３－７,35.787086,139.660034,座標系（JGD2011）
菊池健,市議会議員,菊池健と小金井を語る会,小金井市梶野町４－１８－１８,35.708761,139.522633,座標系（JGD2011）
菊池太郎,市議会議員,きくち太郎を応援する会,武蔵野市八幡町２－２－３,35.718122,139.555838,座標系（JGD2011）
菊地秀信,区議会議員,菊地秀信励ます会,荒川区西尾久５－７－５,35.749621,139.760783,座標系（JGD2011）
菊地靖枝,区議会議員,パワフルきくちと地域力,練馬区練馬１－１５－１,35.738429,139.652689,座標系（JGD2011）
木崎剛,市議会議員,木崎剛後援会,武蔵野市八幡町１－３－２,35.714517,139.555882,座標系（JGD2011）
岸田正,区議会議員,岸田正とチャレンジ大田２１,大田区大森西５－１９－１３,35.571328,139.726084,座標系（JGD2011）
岸田正義,市議会議員,岸田正義と歩む会,小金井市桜町１－１０－２４,35.712374,139.513736,座標系（JGD2011）
木島崇,市議会議員,木島崇励ます会,国分寺市西元町２－１３－１９,35.693861,139.467843,座標系（JGD2011）
北明範,区議会議員,北あきのり後援会,杉並区西荻南４－２５－１３,35.703413,139.607233,座標系（JGD2011）
北川穰一,市長,北川じょういち後援会,昭島市東町４－２－５,35.701174,139.392027,座標系（JGD2011）
北里貞之,市議会議員,北志会,八王子市明神町４－２－７－７０３,35.659290,139.343074,座標系（JGD2011）
北澤潤子,区議会議員,きたざわ潤子と子どもの未来をひらく会,大田区蒲田４－４２－３,35.558901,139.718970,座標系（JGD2011）
北島敏昭,区議会議員,北島としあき後援会,新宿区北新宿１－１３－３,35.700502,139.693511,座標系（JGD2011）
鬼頭麻佐,市議会議員,鬼頭麻佐後援会,武蔵野市吉祥寺本町４－３０－１,35.708327,139.570739,座標系（JGD2011）
木戸岡秀彦,市議会議員,きどおか秀彦と市民の会,東大和市桜が丘２－２１４－１,35.735855,139.420513,座標系（JGD2011）
木下悦希,区議会議員,木下えつき後援会,台東区根岸５－１７－５,35.728569,139.790020,座標系（JGD2011）
木下広,区議会議員,木下ひろし後援会,豊島区長崎３－１５－１０,35.729924,139.687802,座標系（JGD2011）
木下泰之,区議会議員,木下泰之をほっとかない会（木下やすゆき後援会）,世田谷区代田４－２４－１５,35.660708,139.656788,座標系（JGD2011）
君垣圭子,区議会議員,きみと歩こう！きみがき圭子の会,練馬区練馬１－１５－１,35.738429,139.652689,座標系（JGD2011）
君塚裕史,区議会議員,君塚ひろふみ後援会,台東区元浅草２－２－１,35.709272,139.784304,座標系（JGD2011）
木村広一,区議会議員,木村広一励ます会,中野区本町３－３０－５,35.697216,139.676578,座標系（JGD2011）
木村正義,区議会議員,渋谷地域懇話会,渋谷区本町４－４４－１,35.685631,139.678240,座標系（JGD2011）
木村靖江,村議会議員,木村やすえ後援会,三宅村坪田３１８５－３,34.057300,139.538505,座標系（JGD2011）
木村洋子,区議会議員,木村洋子大丈夫会,目黒区鷹番２－２１－１０,35.630093,139.686585,座標系（JGD2011）
木目田英男,市議会議員,木目田英男後援会,町田市成瀬が丘２－９－５,35.534074,139.472602,座標系（JGD2011）
木本広行,区議会議員,木もとひろゆき後援会,新宿区西五軒町１２－１,35.707805,139.737851,座標系（JGD2011）
清原慶子,市長,清原けい子後援会,三鷹市井の頭１－１４－２３,35.690924,139.589486,座標系（JGD2011）
清原弘行,区議会議員,清原弘行と未来を創る会,中野区上高田２－４２－７,35.711733,139.669652,座標系（JGD2011）
桐木優,市議会議員,桐木優の会,多摩市鶴牧６－６－１０,35.614751,139.414103,座標系（JGD2011）
串田金八,市議会議員,串田金八後援会,福生市熊川８９８,35.731214,139.334773,座標系（JGD2011）
鯨井光治,区議会議員,くじらい光治後援会,足立区伊興本町２－２－３０,35.800489,139.787803,座標系（JGD2011）
工藤喜久治,区議会議員,政経会,葛飾区東金町７－４－１２,35.776072,139.878908,座標系（JGD2011）
工藤浩司,市議会議員,工藤浩司後援会,青梅市友田町３－１１１－３,35.771675,139.289510,座標系（JGD2011）
工藤哲也,区議会議員,哲友会,足立区千住元町２３－８,35.755151,139.791316,座標系（JGD2011）
國枝正人,区議会議員,くにえだ正人後援会,文京区小石川５－３－３,35.716630,139.738881,座標系（JGD2011）
久保洋子,区議会議員,久保洋子後援会,葛飾区西新小岩４－２１－２１,35.720870,139.852289,座標系（JGD2011）
久保里香,区議会議員,久保りか励ます会,中野区鷺宮３－３８－９,35.725365,139.640471,座標系（JGD2011）
久保薗悠,区議会議員,久保薗悠後援会,新宿区西新宿５－５－１０,35.692946,139.686429,座標系（JGD2011）
久保田俊二,市長,久保田俊二後援会,小金井市中町１－１４－３５,35.693967,139.517064,座標系（JGD2011）
窪田美幸,区議会議員,窪田美幸後援会,足立区西保木間２－７－４,35.799326,139.801139,座標系（JGD2011）
窪田龍一,区議会議員,窪田龍一後援会,江戸川区中葛西２－２６－１０,35.668722,139.873576,座標系（JGD2011）
熊木敏己,市議会議員,くまきとしみ後援会,東村山市久米川町４－３１－４９,35.767170,139.472244,座標系（JGD2011）
熊崎碧,区議会議員,熊崎みどり後援会,豊島区南長崎４－６－１４,35.724836,139.682234,座標系（JGD2011）
熊澤礼里,市議会議員,熊沢あやり後援会,町田市本町田２９２３,35.569838,139.442013,座標系（JGD2011）
倉澤英武,区議会議員,倉沢よう次後援会,葛飾区西新小岩４－３６－１９,35.721100,139.853860,座標系（JGD2011）
栗林寿行,区議会議員,栗林ひさゆきを育てる会,杉並区成田東１－３５－７,35.692202,139.639346,座標系（JGD2011）
栗原佑卓,区議会議員,栗原佑卓後援会,江戸川区松島１－４１－１８,35.707483,139.867550,座標系（JGD2011）
栗谷順彦,区議会議員,くりや順彦後援会,渋谷区富ケ谷１－３１－１０,35.665784,139.688191,座標系（JGD2011）
黒柳譲治,区議会議員,黒柳譲治後援会,葛飾区新宿１－２１－１１,35.759701,139.860816,座標系（JGD2011）
桑島耕太郎,市議会議員,くわしま耕太郎連合後援会,府中市白糸台４－１９－１,35.664028,139.510565,座標系（JGD2011）
桑原理佐,市議会議員,桑原りさとグループみらい設計,東村山市栄町２－１９－３,35.749633,139.470357,座標系（JGD2011）
小池工,区議会議員,小池たくみ後援会,北区浮間３－１－４,35.785906,139.702460,座標系（JGD2011）
古池初美,市議会議員,古池はつみと町をつくる会,日野市日野本町３－１１－４,35.678992,139.394330,座標系（JGD2011）
小泉博,区議会議員,小泉ひろし後援会,足立区西新井本町４－１１－６,35.773473,139.780170,座標系（JGD2011）
小泉靖男,区議会議員,小泉やすお後援会,杉並区南荻窪１－４０－１５,35.698699,139.616582,座標系（JGD2011）
鴻井伸二,市議会議員,こうい伸二励ます会,青梅市天ケ瀬町９７４－３,35.788097,139.246509,座標系（JGD2011）
甲田百合子,区議会議員,甲田ゆり子の会,中野区上高田２－１４－８,35.712161,139.672775,座標系（JGD2011）
河野清史,区議会議員,こうのきよふみ後援会,江東区南砂３－８－２,35.671155,139.828884,座標系（JGD2011）
河野純之佐,区議会議員,河野じゅんのすけ後援会,台東区蔵前２－８－１０,35.703288,139.792683,座標系（JGD2011）
河野俊弘,区議会議員,河野としひろ後援会,世田谷区若林１－１６－１,35.643375,139.662687,座標系（JGD2011）
小枝寿美子,区議会議員,小枝すみ子と歩く会,千代田区神田神保町１－１６,35.696688,139.758741,座標系（JGD2011）
小口俊明,市議会議員,小口としあき後援会,国立市谷保６５４３,35.686530,139.426542,座標系（JGD2011）
小坂英二,区議会議員,小坂英二後援会,荒川区東尾久４－２－８,35.740941,139.768513,座標系（JGD2011）
小坂義久,区議会議員,小坂よしひさ後援会,台東区竜泉２－７－７,35.725540,139.788775,座標系（JGD2011）
小嶋和芳,区議会議員,小島かずよし後援会,江東区豊洲４－１１－２０,35.652634,139.800080,座標系（JGD2011）
小嶋秀治,区議会議員,こじまひではる後援会,渋谷区西原２－２４－１１,35.673923,139.677188,座標系（JGD2011）
湖城宣子,市議会議員,湖城のぶこ励ます会,青梅市野上町３－７－２３,35.789535,139.287498,座標系（JGD2011）
小菅千保子,区議会議員,こすげ千保子後援会,台東区寿３－９－５,35.707125,139.791193,座標系（JGD2011）
小寺智夫,市議会議員,こでら智夫後援会,多摩市永山３－３－７,35.623772,139.448207,座標系（JGD2011）
後藤康子,区議会議員,すがややすこ後援会,世田谷区給田５－２－１３,35.672588,139.588126,座標系（JGD2011）
後藤優子,市議会議員,後藤ゆう子とおひさま会議,西東京市保谷町６－２５－１,35.737351,139.553298,座標系（JGD2011）
小西美香,市議会議員,小西みかと花みずきの会,清瀬市元町１－７－２１,35.774482,139.519223,座標系（JGD2011）
小林市之,市議会議員,小林市之友の会,調布市佐須町２－１０－１２,35.658659,139.554634,座標系（JGD2011）
小林公彦,区議会議員,小林公彦を励ます会,板橋区本町１２－１０,35.762412,139.707702,座標系（JGD2011）
小林浩司,市議会議員,小林こうじ後援会,昭島市玉川町１－２－１,35.705368,139.384763,座標系（JGD2011）
小林鈴子,市議会議員,小林すず子後援会,八王子市久保山町２－３１－１８,35.689198,139.357288,座標系（JGD2011）
小林善一,区議会議員,小林ぜんいち後援会,中野区中央３－３８－９,35.699055,139.671521,座標系（JGD2011）
小林孝也,区議会議員,地域政策研究会,千代田区外神田３－６－５,35.702700,139.769718,座標系（JGD2011）
小林信夫,市議会議員,小林のぶお後援会,八王子市長房町４４０－２,35.654859,139.300471,座標系（JGD2011）
小林秀明,区議会議員,小林秀明後援会,中野区沼袋３－２０－３,35.718290,139.659618,座標系（JGD2011）
小林等,区議会議員,小林ひとし後援会,葛飾区南水元４－１９－２２,35.779470,139.866146,座標系（JGD2011）
小林正樹,市議会議員,小林まさき励ます会,小金井市桜町１－９－２９,35.710838,139.512301,座標系（JGD2011）
小林正則,市長,小林正則と頑張る会,小平市小川町２－１８２８,35.730663,139.476910,座標系（JGD2011）
小林充夫,市議会議員,小林みつお友の会,調布市西つつじケ丘１－３２－１,35.659319,139.571285,座標系（JGD2011）
小林みつぐ,区議会議員,一日会,練馬区中村１－３－３,35.733174,139.649175,座標系（JGD2011）
小林泰夫,区議会議員,小林やすお後援会,千代田区外神田６－１１－１１,35.704477,139.771140,座標系（JGD2011）
五間浩,市議会議員,ごま浩後援会,八王子市片倉町７１３－１,35.641512,139.341684,座標系（JGD2011）
駒崎高行,市議会議員,こまざき高行励ます会,東村山市恩多町３－４３－３２,35.749908,139.478845,座標系（JGD2011）
小峰由枝,区議会議員,小峰よしえ後援会,大田区大森中１－１８－２０,35.568732,139.730753,座標系（JGD2011）
小宮國暉,市議会議員,小宮くにあき友の会,羽村市羽東１－２－９,35.759988,139.313955,座標系（JGD2011）
小山達也,区議会議員,小山たつや後援会,葛飾区金町３－２－２,35.765094,139.872567,座標系（JGD2011）
小山日奈子,区議会議員,小山ひな子を育てる会,世田谷区深沢５－４－１１,35.619989,139.653195,座標系（JGD2011）
小山広之,区議会議員,小山ひろゆきを支える会,板橋区板橋２－６４－１０,35.750392,139.709335,座標系（JGD2011）
小用進,区議会議員,小用進と政治を語る会,葛飾区青戸７－１８－４,35.752967,139.854232,座標系（JGD2011）
近藤和義,市議会議員,近藤和義後援会,武蔵野市中町２－２１－１５,35.704505,139.565657,座標系（JGD2011）
近藤順子,区議会議員,近藤じゅん子後援会,渋谷区東１－１３－１,35.656737,139.707644,座標系（JGD2011）
近藤浩,町議会議員,明るいみずほを創る会,西多摩郡瑞穂町むさし野２－３５－３,35.760289,139.340936,座標系（JGD2011）
近藤暢子,区議会議員,近藤まさ子後援会,港区白金３－１０－６,35.645365,139.731320,座標系（JGD2011）
近藤光則,区議会議員,近藤みつのり後援会,北区西が丘２－１１－１,35.765038,139.712656,座標系（JGD2011）
近藤弥生,区長,足立創生政策研究会,足立区梅島２－４－１０,35.776396,139.802138,座標系（JGD2011）
金野孝子,区議会議員,金野孝子後援会,品川区大井６－１３－１,35.596698,139.731808,座標系（JGD2011）
今野弘美,区議会議員,今野弘美後援会,中央区湊１－１３－２,35.672645,139.780710,座標系（JGD2011）
西園寺美希子,市議会議員,西園寺みきことまんまる市民会議,武蔵野市中町３－１１－１３,35.711164,139.567551,座標系（JGD2011）
齋藤昌子,市議会議員,斉藤あき子励ます会,清瀬市中里３－９３１,35.785279,139.521259,座標系（JGD2011）
齋藤靜夫,区議会議員,斉藤しずお後援会,練馬区大泉学園町４－１７－２２,35.766729,139.588557,座標系（JGD2011）
齋藤貴亮,市議会議員,さいとうたかあきと頑張る会,小平市中島町１３－２６,35.729925,139.433439,座標系（JGD2011）
斉藤猛昭,区議会議員,斉藤たけあき後援会,新宿区百人町３－５－１６,35.707405,139.698382,座標系（JGD2011）
齋藤成宏,町議会議員,さいとう成宏サポータークラブ,西多摩郡瑞穂町大字武蔵３６－２,35.767469,139.351108,座標系（JGD2011）
斉藤実,市議会議員,さいとう実後援会,清瀬市野塩５－２６５－９,35.774263,139.497583,座標系（JGD2011）
齋藤康夫,市議会議員,斉藤やすおと小金井を考える会,小金井市前原町５－２０－３２,35.693471,139.501910,座標系（JGD2011）
齋藤裕子,区議会議員,斉藤ゆうこと１０１人の会,荒川区東日暮里６－１７－１１,35.729327,139.777164,座標系（JGD2011）
齋藤祐善,市長,斎藤ゆうぜん後援会,町田市忠生２－５－２４,35.578418,139.426249,座標系（JGD2011）
斉藤里恵,区議会議員,斉藤りえ後援会,北区上十条２－２５－１４,35.760488,139.721144,座標系（JGD2011）
佐伯美生,市議会議員,佐伯よしお後援会,多摩市永山１－８－７,35.632060,139.445816,座標系（JGD2011）
坂井宏爾,区議会議員,坂井こうじを応援する会,世田谷区下馬２－２６－７,35.641926,139.678735,座標系（JGD2011）
酒井妙子,区議会議員,さかい妙子後援会,練馬区三原台１－１７－１０,35.754442,139.604872,座標系（JGD2011）
坂口勝也,区議会議員,坂口かつや後援会,北区豊島３－２６－１７,35.760954,139.748099,座標系（JGD2011）
坂下修,区議会議員,坂下おさむ後援会,墨田区向島３－１８－１０,35.714610,139.810160,座標系（JGD2011）
坂本東生,区議会議員,坂本あずまお後援会,板橋区成増４－３－３４,35.781464,139.635043,座標系（JGD2011）
坂本健,区長,「いたばし力」ナンバーワンを実現する会,板橋区成増４－１３－３０,35.782830,139.635392,座標系（JGD2011）
櫻井兼二,市議会議員,櫻井兼二後援会,武蔵野市西久保２－１８－４,35.708944,139.556987,座標系（JGD2011）
桜井純子,区議会議員,桜井純子と区政を変える仲間たち,世田谷区上祖師谷５－２０－５,35.656924,139.590009,座標系（JGD2011）
桜井正,区議会議員,桜井ただし後援会,千代田区麹町４－５,35.697260,139.779050,座標系（JGD2011）
櫻井夏来,市議会議員,桜井夏来とおむすび市民会議,武蔵野市中町３－１１－１３,35.711164,139.567551,座標系（JGD2011）
佐々木貴史,市議会議員,佐々木たかし友の会,狛江市元和泉３－１１－１,35.630003,139.570669,座標系（JGD2011）
佐々木俊隆,区議会議員,佐々木としたか後援会,板橋区中板橋４－１５,35.756219,139.700505,座標系（JGD2011）
佐々木浩,区長,佐々木浩を育てる会,杉並区上荻１－１８－３,35.705811,139.617989,座標系（JGD2011）
佐々木雅彦,区議会議員,佐々木まさひこ後援会,足立区東和１－２６－１５,35.768534,139.836142,座標系（JGD2011）
佐々木勇一,区議会議員,佐々木ゆういち後援会,江戸川区北葛西５－４－１５,35.729327,139.777164,座標系（JGD2011）
笹沼隆一,区議会議員,ささぬま隆一後援会,文京区白山２－１２－２,35.716304,139.747010,座標系（JGD2011）
笹間芳彦,区議会議員,笹間芳彦後援会,千代田区神田神保町１－２３,35.695036,139.760981,座標系（JGD2011）
笹本尚,区議会議員,地域の力に！！無所属,江戸川区北小岩６－１６－１,35.742617,139.884251,座標系（JGD2011）
笹本由紀子,区議会議員,笹本由紀子とささの葉の会,渋谷区代々木２－２３－１,35.685713,139.698145,座標系（JGD2011）
佐竹敏子,区議会議員,佐竹としこ後援会,江東区東砂１－３－２,35.684255,139.840052,座標系（JGD2011）
佐藤篤,区議会議員,佐藤あつしサポーターズ,墨田区京島３－１８－４,35.715769,139.823569,座標系（JGD2011）
佐藤悦子,市議会議員,さとう悦子とはつらつ市民の会,小平市学園西町２－１５－２,35.723115,139.478719,座標系（JGD2011）
佐藤一夫,市長,佐藤かずお後援会,国立市富士見台１－１９－１８,35.680771,139.449543,座標系（JGD2011）
佐藤和彦,市議会議員,佐藤かずひこ後援会,町田市南成瀬７－１５－２２,35.535627,139.481473,座標系（JGD2011）
佐藤公男,市議会議員,佐藤公男励ます会,西東京市ひばりが丘４－１－２４,35.741677,139.532813,座標系（JGD2011）
佐藤研吾,区議会議員,佐藤けんごを育てる会,杉並区下高井戸３－３－３,35.669659,139.632231,座標系（JGD2011）
佐藤豪一,区議会議員,佐藤ごういち後援会,文京区根津１－１－８,35.717340,139.765300,座標系（JGD2011）
佐藤里子,市議会議員,佐藤さと子とまちづくりの会,青梅市河辺町５－２３－７,35.782888,139.287535,座標系（JGD2011）
佐藤悟,区議会議員,佐藤さとると練馬を創る会,練馬区氷川台３－３２－１０,35.750445,139.667940,座標系（JGD2011）
佐藤司,区議会議員,佐藤つかさ後援会,北区赤羽北２－１３－８,35.784900,139.706874,座標系（JGD2011）
佐藤徹,市議会議員,佐藤とおるを励ます会,小平市小川町１－８００－３６,35.728260,139.451547,座標系（JGD2011）
佐藤寿宏,市議会議員,佐藤寿宏後援会,立川市幸町５－１０－２,35.723046,139.419420,座標系（JGD2011）
佐藤弘人,区議会議員,佐藤ひろと後援会,世田谷区千歳台３－２１－１４,35.653885,139.614959,座標系（JGD2011）
佐藤真理,区議会議員,佐藤まり後援会,渋谷区恵比寿４－４－２,35.645474,139.711607,座標系（JGD2011）
佐藤豊,区議会議員,佐藤ゆたかを励ます会,目黒区目黒１－２４－１６,35.634205,139.711017,座標系（JGD2011）
佐藤洋二,市議会議員,佐藤洋二後援会,日野市東平山２－３１－７,35.650134,139.370481,座標系（JGD2011）
里中郁男,区議会議員,染井会,豊島区駒込６－３４－２,35.740951,139.743418,座標系（JGD2011）
佐野郁夫,市議会議員,佐野郁夫後援会,小平市小川西町２－２６－２１,35.739849,139.461606,座標系（JGD2011）
佐野久美子,市議会議員,さの久美子を励ます会,国分寺市西恋ケ窪１－９－８４,35.702314,139.468211,座標系（JGD2011）
佐野智恵子,区議会議員,さの智恵子後援会,足立区本木東町２５－１２,35.767193,139.782512,座標系（JGD2011）
佐野礼治,区議会議員,佐野れいじ後援会,中野区本町３－３－４,35.693437,139.674689,座標系（JGD2011）
佐原勇,区議会議員,たけちゃん会,新宿区西早稲田１－１８－１５,35.711143,139.719529,座標系（JGD2011）
澤井慧,市議会議員,澤井慧後援会,調布市布田１－１－１,35.654854,139.544714,座標系（JGD2011）
沢島英隆,区議会議員,沢島ひでたか後援会,渋谷区南平台町１５－１,35.655390,139.695564,座標系（JGD2011）
澤田孝康,市議会議員,沢田たかやすを励ます会,東久留米市小山５－２－１３,35.763409,139.518228,座標系（JGD2011）
三階道雄,市議会議員,三階みちお励ます会,多摩市豊ケ丘５－１－７,35.616802,139.433424,座標系（JGD2011）
鹿濱昭,区議会議員,しかはま昭後援会,足立区鹿浜６－２６－１,35.787033,139.761474,座標系（JGD2011）
宍戸治重,市議会議員,ししどはるしげ後援会,三鷹市野崎４－３－３１,35.680280,139.541663,座標系（JGD2011）
志田雄一郎,区議会議員,志田雄一郎後援会,新宿区荒木町８,35.689798,139.721880,座標系（JGD2011）
実川圭子,市議会議員,じつかわ圭子と東大和の未来をつくる会,東大和市立野２－４－１２,35.745491,139.418077,座標系（JGD2011）
品田秀子,区議会議員,品田ひでこ後援会,文京区春日２－１８－７,35.711796,139.743913,座標系（JGD2011）
篠国昭,区議会議員,元気な中野をつくる会,中野区鷺宮３－２７－１４,35.724138,139.640965,座標系（JGD2011）
