NO.,政治団体の名称,事務所の所在地,座標L(経度),座標B(緯度),座標系,代表者,会計責任者,設立届出日,国会議員関係1,国会議員関係2,資金管理
1791,高山かずひろ後援会,文京区本駒込３－３７－７,139.753319,35.730714,座標系（JGD2011）,高山一広,高山亜紀,H30.12.25,,,
1792,高山たいぞう後援会,文京区春日２－１５－９,139.743105,35.711789,座標系（JGD2011）,高山泰三,高山泰三,H18.1.16,,,有
1793,高山のぶゆき後援会,足立区興野２－３－１３,139.778931,35.766552,座標系（JGD2011）,高山延之,高山さとみ,H14.11.21,,,
1794,田頭ゆう子と子育ちを応援する会,小金井市前原町３－４０－１,139.505982,35.697685,座標系（JGD2011）,田頭祐子,小山美香,H20.11.13,,,有
1795,たがた直昭後援会,足立区鹿浜３－１３－１５,139.752580,35.780121,座標系（JGD2011）,田方直昭,山崎整一,H14.12.26,,,有
1796,たがやせ世田谷区民の会,世田谷区松原６－２６－１５,139.651881,35.659792,座標系（JGD2011）,下平憲治,加藤功一,H23.4.6,,,
1797,たきぐち学後援会,荒川区東日暮里４－２０－７,139.780764,35.725992,座標系（JGD2011）,瀧口学,瀧口多美,H17.2.28,,,有
1798,滝沢会,八王子市上野町１－３,139.328409,35.656581,座標系（JGD2011）,滝沢景一,原俊也,H10.7.1,,,
1799,滝沢景一後援会,八王子市八幡町１－３,139.328091,35.659695,座標系（JGD2011）,滝沢景一,山越一郎,H10.6.24,,,有
1800,たきざわ正宜後援会,墨田区墨田５－３４－１１,139.821002,35.736696,座標系（JGD2011）,瀧澤正宜,瀧澤伸光,H31.1.8,,,
1801,滝沢やすこ後援会,江戸川区平井２－２４－３,139.845815,35.703688,座標系（JGD2011）,滝沢泰子,古賀照洋,H19.9.14,,,
1802,滝沢やすこと未来を創る会,江戸川区平井２－２４－３,139.845809,35.703687,座標系（JGD2011）,滝沢泰子,仁熊理江,H18.11.17,,,有
1803,たきしま喜重を育てる会,西東京市保谷町３－２－７,139.553798,35.731778,座標系（JGD2011）,瀧島喜重,瀧島直美,H25.1.21,,,有
1804,拓育会,世田谷区太子堂５－１６－９,139.668405,35.648309,座標系（JGD2011）,山口拓,武山健自,H16.9.24,,,
1805,田口かずひろ後援会,武蔵村山市中藤３－２０－１,139.401627,35.757984,座標系（JGD2011）,柳下弘,内野徹夫,H22.12.21,,,
1806,田口はるよし後援会連合会,台東区東上野１－２０－６,139.778408,35.708777,座標系（JGD2011）,田口治喜,田口治喜,S57.4.30,,,
1807,たけい雅昭後援会,港区芝公園１－２－２０,139.752460,35.660201,座標系（JGD2011）,武井雅昭,吉野博之,H16.4.27,,,有
1808,竹井ようこ・小平の未来づくりネットワーク,小平市仲町５０－１１,139.481080,35.735229,座標系（JGD2011）,竹井庸子,竹井庸子,H26.10.24,,,
1809,竹内愛後援会（たいら会）,板橋区高島平７－２０－１７,139.658788,35.790620,座標系（JGD2011）,早見敏雄,倉谷順一,H14.11.13,,,
1810,竹内あきひろ後援会,荒川区西尾久７－６０－１０,139.750466,35.750609,座標系（JGD2011）,竹内明浩,竹内繁生,H22.8.13,,,有
1811,武内忍後援会,品川区豊町３－７－６,139.722000,35.607880,座標系（JGD2011）,武内忍,田中正義,H15.1.28,,,有
1812,竹内進後援会,江戸川区松江３－１４－１９,139.868916,35.696948,座標系（JGD2011）,竹内進,原馨,H11.2.8,,,有
1813,たけうちゆきみをかこむ会,中央区勝どき３－６－６,139.775525,35.658203,座標系（JGD2011）,竹内幸美,福原光義,H31.1.17,,,
1814,竹馬会,墨田区江東橋５－２－１２,139.810029,35.689991,座標系（JGD2011）,田村豪,門田旭生,H25.10.3,,,
1815,竹下ひろみ後援会,豊島区東池袋３－１０－１,139.718390,35.732100,座標系（JGD2011）,竹下広美,阿久津民和,H14.12.4,,,有
1816,武田あやな後援会,墨田区京島３－７－４,139.822091,35.715655,座標系（JGD2011）,武田紋奈,武田紋奈,H30.12.28,,,
1817,武田なおたけ中央後援会,世田谷区太子堂５－３１－１４,139.665932,35.650218,座標系（JGD2011）,石田信明,武田泰江,H30.5.11,,,
1818,竹田ひろし後援会,北区豊島１－３２－２,139.741480,35.757014,座標系（JGD2011）,高橋幸雄,高橋千鶴枝,H23.1.14,,,
1819,武田政揮後援会,葛飾区金町３－２０－１３,139.873798,35.767652,座標系（JGD2011）,武田政揮,高力真琴,H29.7.31,,,有
1820,武田まさひと後援会,稲城市矢野口１３９０－１,139.512952,35.637711,座標系（JGD2011）,武田雅人,武田智恵子,H30.12.28,,,
1821,竹田光明後援会,東村山市栄町２－３１－８,139.469606,35.749256,座標系（JGD2011）,竹田光明,竹田延明,H20.9.29,,,
1822,たけちゃん会,新宿区西早稲田１－１８－１５,139.719529,35.711143,座標系（JGD2011）,佐原勇,佐原朋子,H6.12.15,,,有
1823,竹平ちはる後援会,江戸川区東小岩１－１４－６,139.890982,35.723135,座標系（JGD2011）,竹平智春,木又義弘,H22.10.19,,,有
1824,武見敬三を囲む公認会計士の会,港区元赤坂１－２－７,139.734826,35.677787,座標系（JGD2011）,梶川融,大久保和孝,H25.6.3,,,
1825,竹村ゆういと目黒の心を育む会,目黒区中央町１－１４－９,139.691000,35.628861,座標系（JGD2011）,竹村雄尉,竹村雄尉,H31.3.19,,,
1826,竹谷とし子励ます会,新宿区四谷４－２９－５,139.714430,35.688010,座標系（JGD2011）,菊地とし子,池田奈保美,H22.1.4,1・2,参,有
1827,田代のぶゆき励ます会,西東京市田無町６－３－８,139.531097,35.730020,座標系（JGD2011）,田代伸之,田代和子,H26.8.6,,,有
1828,田代ひろし後援会,世田谷区羽根木１－１９－２５,139.659327,35.663345,座標系（JGD2011）,田代博嗣,佐々木ゆき子,H7.3.13,,,
1829,田島かずあき後援会,江戸川区鹿骨１－３８－１５,139.888551,35.707078,座標系（JGD2011）,高橋清一,田島かおる,S63.9.28,,,
1830,たじま和雄後援会,大田区本羽田３－２－１８,139.736029,35.548775,座標系（JGD2011）,田島和雄,原壽,H26.10.1,,,有
1831,田島けんじ後援会,目黒区平町２－１６－４,139.680498,35.614151,座標系（JGD2011）,田島憲二,田中克治,H19.2.23,,,
1832,たぞえ麻友と目黒区の未来を創る会,目黒区中町１－７－４,139.700235,35.630427,座標系（JGD2011）,堀合麻友,堀合努,H26.11.11,,,
1833,闘う改革の会東京,大田区田園調布１－４５－１５,139.672639,35.591877,座標系（JGD2011）,溝口晃一,溝口晃一,H27.12.21,,,
1834,ただ太郎後援会,足立区東和２－２１－１１,139.841790,35.769726,座標系（JGD2011）,多田太郎,多田阿哉子,H23.3.28,,,
1835,たちかわ・みらい会議,立川市曙町２－３４－６,139.414801,35.701823,座標系（JGD2011）,酒井大史,伊藤大輔,H29.7.26,,,
1836,立川子育てはなまるアクション,立川市西砂町５－５１－１０,139.364046,35.733211,座標系（JGD2011）,谷山恭子,稲垣桂子,H30.3.23,,,
1837,立川・生活者ネットワーク,立川市砂川町１－１３－２９,139.409001,35.721160,座標系（JGD2011）,田中美保,田中美保,H10.2.6,,,
1838,立川税理士政治連盟,立川市曙町２－３８－５,139.414081,35.701233,座標系（JGD2011）,大久保昭彦,笠井隆司,S53.12.18,,,
1839,たちばな正剛を励ます会,板橋区赤塚新町１－１０－７,139.648339,35.769384,座標系（JGD2011）,橘正剛,柴佳代子,H16.10.19,,,有
1840,たちばな正俊友の会,調布市多摩川３－７２－１,139.530053,35.643654,座標系（JGD2011）,橘正俊,佐藤守,H18.12.8,,,有
1841,田中朝子と朝の会,杉並区南荻窪４－２２－８,139.614799,35.700980,座標系（JGD2011）,田中朝子,伊原賢,H29.1.31,,,有
1842,田中いさおを励ます会,板橋区坂下１－３３－２７,139.685923,35.780974,座標系（JGD2011）,田中功夫,田中由起,H18.7.18,,,有
1843,田中かすみを励ます会,文京区向丘２－１０－２０,139.758013,35.720063,座標系（JGD2011）,田中香澄,東山嘉明,H22.9.29,,,有
1844,田中一吉後援会,大田区西蒲田６－１０－３,139.710145,35.567153,座標系（JGD2011）,秋田泰正,田中利顕,H3.4.3,,,
1845,田中勝義政治経済塾,台東区台東３－３４－８,139.779693,35.705454,座標系（JGD2011）,田中勝義,菊池文宏,H26.4.10,1・2,参,
1846,田中かよ後援会,杉並区和泉４－４４－３３,139.656188,35.680701,座標系（JGD2011）,田中佳代,森晴之,H31.1.18,,,有
1847,田中くにとも後援会,墨田区八広１－３９－１７,139.824559,35.721190,座標系（JGD2011）,田中邦友,田中邦友,H3.1.11,,,有
1848,田中広一励ます会,中央区新川２－３１－７,139.782614,35.672457,座標系（JGD2011）,田中広一,田中純子,H15.1.22,,,有
1849,田中さとし後援会,墨田区菊川２－１０－１,139.803505,35.688485,座標系（JGD2011）,田中哲,田中明子,H15.1.6,,,有
1850,田中さやかと子どもの未来を育む会,品川区二葉１－１０－１１,139.728867,35.607841,座標系（JGD2011）,田中奏香,八木裕子,H26.10.14,,,有
1851,田中俊介後援会,板橋区大谷口上町７－１,139.694042,35.750749,座標系（JGD2011）,田中俊介,松本純一,H22.2.10,,,
1852,田中寿一後援会,江戸川区船堀３－１－３,139.862916,35.681301,座標系（JGD2011）,司茂清,羽田野寿理,H20.1.31,,,
1853,田中淳子後援会,江戸川区上篠崎３－１０－１１,139.899827,35.711660,座標系（JGD2011）,田中淳子,田村憲司,H11.2.8,,,有
1854,田中たけし後援会,品川区西五反田１－３２－２,139.721619,35.624184,座標系（JGD2011）,田中豪,田中みか,H10.9.2,,,有
1855,田中ちよこ友の会,あきる野市養沢１１２７,139.179102,35.753706,座標系（JGD2011）,石山光明,遠藤かつし,H17.1.7,,,
1856,田中のりあき後援会,西東京市ひばりが丘北３－５－２１,139.546025,35.752790,座標系（JGD2011）,田中慶明,岩崎充利,H18.9.7,,,
1857,田中のりひで後援会,新宿区下落合３－１２－２８,139.699414,35.721910,座標系（JGD2011）,北中一永,池田英信,S62.1.31,,,
1858,田中秀勝後援会,練馬区高松１－９－７,139.634071,35.746245,座標系（JGD2011）,高山喜一郎,田中久子,H14.1.8,,,
1859,田中将介後援会,練馬区石神井町４－１９－１６,139.604872,35.749861,座標系（JGD2011）,田中將介,井上翔太,H30.3.16,,,
1860,田中政義後援会,国分寺市北町１－７－３,139.458421,35.717170,座標系（JGD2011）,田中政義,奈須智彦,H21.2.3,,,有
1861,田中みち子と笑顔を贈る会,世田谷区世田谷１－１６－１６,139.650690,35.642498,座標系（JGD2011）,田中康子,岡本京子,H27.1.9,,,有
1862,田中やすのり後援会,葛飾区柴又１－１３－６,139.871059,35.754938,座標系（JGD2011）,田中保範,山口国泰,H9.9.9,,,有
1863,田中やすのりを育てる会,板橋区成増１－６－７,139.632239,35.772566,座標系（JGD2011）,田中康智,田中康智,H18.9.27,,,有
1864,田中優子と区政を考える会,世田谷区松原４－３４－２０,139.644612,35.662576,座標系（JGD2011）,田中優子,田中順,H26.1.28,,,
1865,田中ゆうたろう後援会,杉並区和田３－３８－６,139.656947,35.695972,座標系（JGD2011）,中野一郎,田中玲子,H22.12.3,,,
1866,田中よしゆき後援会,練馬区上石神井４－８－８,139.588525,35.730940,座標系（JGD2011）,田中・介,五十嵐三貴,H28.4.11,,,
1867,田中良を育てる会,杉並区下井草５－１０－２３,139.614750,35.721128,座標系（JGD2011）,鈴木邦彦,森田哲雄,H1.12.8,,,
1868,田辺七郎後援会,中央区入船３－４－２,139.776400,35.670523,座標系（JGD2011）,尾坪順,阿部達,H25.5.20,,,
1869,田辺とおると明日を創る会,板橋区小茂根２－３０－１５,139.679840,35.748739,座標系（JGD2011）,田邊徹,小畑朱実,R2.1.28,1・2,参,有
1870,谷和彦後援会,日野市日野５９８７,139.400427,35.671494,座標系（JGD2011）,谷和彦,高橋雅子,H17.8.12,,,
1871,谷口敏也後援会,三鷹市牟礼６－１７－４,139.572891,35.689697,座標系（JGD2011）,谷口敏也,永山一子,H10.12.4,,,有
1872,谷村たかひこ後援会,東村山市廻田町１－２２－５７,139.452224,35.757539,座標系（JGD2011）,谷村孝彦,谷村昌代,H12.9.28,,,有
1873,種村きよたか後援会,豊島区南池袋３－２３－４,139.716718,35.723581,座標系（JGD2011）,種村清隆,種村清隆,H30.8.14,,,
1874,田原しげる励ます会,日野市旭が丘６－７－８,139.364253,35.660972,座標系（JGD2011）,田原茂,内野晴一郎,H1.12.6,,,有
1875,たばたあずみ後援会,あきる野市雨間５９０－２７,139.295759,35.726489,座標系（JGD2011）,影山保,松浦七郎,H20.12.9,,,
1876,多摩稲城維新の会,稲城市坂浜５６２,139.487027,35.627763,座標系（JGD2011）,白川健夫,石川典男,H24.5.28,,,
1877,多摩稲城かがやく風,稲城市坂浜５６２,139.487027,35.627763,座標系（JGD2011）,石川良一,加藤規,H25.1.16,,,有
1878,多摩・稲城から都政改革をすすめる会,多摩市貝取１４４９－１,139.445121,35.635714,座標系（JGD2011）,小礒明,大島吉貴,H8.12.16,,,
1879,玉川医師政治連盟,世田谷区中町２－２５－１８,139.644163,35.613293,座標系（JGD2011）,吉本一哉,濱口洋平,S51.1.21,,,
1880,玉川税理士政治連盟,世田谷区玉川２－４－４,139.630161,35.612323,座標系（JGD2011）,守屋みゆき,小暮浩樹,S53.7.4,,,
1881,玉川英俊後援会,大田区北千束１－６４－２,139.685524,35.611878,座標系（JGD2011）,玉川英俊,伊藤忠,H22.10.15,,,有
1882,玉木まことのつなぐ港区民の会,港区六本木６－１１－１７,139.732033,35.658046,座標系（JGD2011）,新後閑真,根本誠司,H26.7.8,,,
1883,多摩市の明日を考える会,多摩市関戸４－１１－７,139.452391,35.648142,座標系（JGD2011）,遠藤千尋,遠藤千尋,H27.2.10,,,有
1884,多摩・生活者ネットワーク,多摩市乞田１２２７－１,139.443558,35.633748,座標系（JGD2011）,石井栄美子,徳永一美,S63.4.13,,,
1885,多摩政治政策研究会,八王子市子安町１－１６－２５,139.343831,35.653919,座標系（JGD2011）,天野利彦,向中野真,S59.5.15,,,
1886,たまのミライ,多摩市和田１２６１－１７,139.417044,35.645523,座標系（JGD2011）,山嵜祐嗣,山嵜加那子,H31.1.29,,,有
1887,多摩の未来を考える会,多摩市乞田１１７３－１,139.441877,35.633101,座標系（JGD2011）,齋藤聖哉,齋藤いさ子,H31.2.13,,,
1888,多摩の未来をつなぐ会,多摩市和田１５４８,139.432319,35.646175,座標系（JGD2011）,石崎博幸,阿部祐子,H26.3.10,,,
1889,田村利光後援会,福生市福生６５４,139.323210,35.740727,座標系（JGD2011）,田村利光,田村敬子,H28.10.6,,,有
1890,田村英樹後援会,大田区南六郷１－１５－１８,139.723552,35.549191,座標系（JGD2011）,田村英樹,遠藤昇,H22.9.21,,,有
1891,田村ひろゆきとわかりやすい政治をつくる会,西東京市向台町６－５－４,139.526333,35.719285,座標系（JGD2011）,田村広行,田村広行,H26.7.16,,,有
1892,田村みさ子となかまの会,西多摩郡日の出町平井２１９６,139.249785,35.736601,座標系（JGD2011）,田村みさ子,田村伸昭,H7.5.1,,,有
1893,太友会,港区赤坂４－９－１９,139.732634,35.675092,座標系（JGD2011）,菅原道雄,力石寛夫,S54.7.13,,,
1894,田湯久貴後援会,小金井市貫井北町１－２５－７,139.498277,35.702383,座標系（JGD2011）,萩原泰宏,渡辺恒夫,H29.1.16,,,
1895,たるい良和を応援する会,豊島区東池袋４－２１－１,139.719580,35.727496,座標系（JGD2011）,樽井良和,酒井学雄,H23.1.6,,,
1896,大黒会,練馬区南大泉２－２－３３,139.570662,35.736668,座標系（JGD2011）,石黒達男,石黒達男,H23.11.1,,,
1897,大翔会,八王子市横川町１０５－４２,139.309940,35.665931,座標系（JGD2011）,小林弘幸,野島昌国,H20.8.1,,,
1898,大門さちえ後援会,新宿区南山伏町１－２２,139.732153,35.699150,座標系（JGD2011）,三森貫一,案納智子,H26.12.1,,,
1899,脱ムダ！武蔵野,武蔵野市境２－２５－３,139.539555,35.703384,座標系（JGD2011）,下田大気,下田大気,H27.1.23,,,
1900,だて淳一郎サポーターズクラブ,国分寺市西町４－１－３８,139.436649,35.714353,座標系（JGD2011）,伊達淳一郎,伊達淳一郎,H26.11.7,,,有
1901,誰もが暮らしやすいまちをつくる会,国分寺市東恋ケ窪６－７－３１,139.469214,35.712597,座標系（JGD2011）,田中康枝,三澤律子,H27.3.30,,,
1902,誰もが主役のまちを創る会,文京区小石川４－１４－２４,139.746710,35.715512,座標系（JGD2011）,海津敦子,海津敬史,H23.3.1,,,
1903,男爵同志会,小金井市本町５－２７－１８,139.500821,35.703305,座標系（JGD2011）,大倉和彦,大倉和彦,H14.2.25,,,
1904,地域・国際・人づくり元気なＯＴＡ,大田区南蒲田２－２３－３,139.722857,35.552930,座標系（JGD2011）,寺田一智,平林麗子,H31.1.17,,,
1905,地域活性化研究会,千代田区九段北４－２－２,139.738717,35.692060,座標系（JGD2011）,木村秀太郎,高井昭典,H5.4.12,,,
1906,地域政策研究会,千代田区外神田３－６－５,139.769718,35.702700,座標系（JGD2011）,小林孝也,小林桜子,H7.2.3,,,有
1907,地域政党・正成,豊島区要町３－２１－３,139.687893,35.738469,座標系（JGD2011）,進藤茂夫,篠原常一郎,H31.1.8,,,
1908,地域の力,葛飾区堀切８－１１－１,139.834059,35.757663,座標系（JGD2011）,村松勝康,村松幸子,H6.4.27,,,有
1909,地域の力に！！無所属,江戸川区北小岩６－１６－１,139.884251,35.742617,座標系（JGD2011）,笹本尚,笹本尚,H29.7.18,,,有
1910,地域の未来を創る会,葛飾区堀切５－４８－５,139.829316,35.750712,座標系（JGD2011）,臺英明,蓑田弘信,H29.5.26,,,
1911,ちいさき声をすくいあげる会,新宿区高田馬場４－２７－１５,139.699010,35.710302,座標系（JGD2011）,依田花蓮,川手賢治,H30.8.7,,,
1912,小さな声を聞く狛江,狛江市東野川３－１５－４,139.583353,35.646219,座標系（JGD2011）,平井里美,林健彦,H28.4.28,,,
1913,チェンジいたばし・区民の会,板橋区双葉町３６－６,139.697280,35.759022,座標系（JGD2011）,船木義弘,伊東幸江,H23.3.16,,,
1914,チェンジ東京！小金井の会,小金井市緑町５－１９－１４,139.514021,35.704714,座標系（JGD2011）,漢人明子,春原真子,H29.5.2,,,
1915,地下鉄８号線を実現する会,江東区扇橋１－４－２,139.811549,35.682496,座標系（JGD2011）,板津道也,石澤春樹,H30.10.31,,,
1916,ちから塾,大田区蒲田５－１９－６,139.718644,35.562304,座標系（JGD2011）,村元寅次,村元寅次,H29.11.16,,,
1917,地球千年平和党,新宿区市谷砂土原町３－１８－６,139.737365,35.697503,座標系（JGD2011）,阿久津隆史,阿久津隆史,H25.8.19,,,
1918,ちだ伸也後援会,町田市山崎町２１３０,139.436084,35.573270,座標系（JGD2011）,智田伸也,織田勝久,H30.1.5,,,
1919,ちの美智子励ます会,墨田区立花５－２３－３,139.830170,35.711541,座標系（JGD2011）,千野美智子,千野美智子,H15.1.28,,,有
1920,千葉さきえと生き活きネット,江東区大島４－７－３,139.830236,35.688908,座標系（JGD2011）,千葉早希恵,中谷昭江,H30.11.27,,,有
1921,地方議員をゼロにする会,渋谷区桜丘町２７－１,139.699503,35.655747,座標系（JGD2011）,小林崇央,薬袋一久,H31.3.5,,,
1922,地方自治政策研究会,文京区音羽１－２１－１０,139.729410,35.714640,座標系（JGD2011）,上田由紀子,稲垣淳子,H22.10.6,,,
1923,地方創生懇話会,中央区晴海１－６－６,139.783345,35.658952,座標系（JGD2011）,福榮健一,福榮裕美,H27.1.27,,,
1924,ちゃんと変えよう！東村山,東村山市廻田町２－２１－１３,139.448161,35.754807,座標系（JGD2011）,佐藤真和,井村孝志,H27.1.7,,,
1925,中央区議会無所属,中央区日本橋浜町１－３－９,139.786194,35.690123,座標系（JGD2011）,山本理恵,山本小夜子,H22.10.12,,,
1926,中央区日本共産党後援会,中央区入船３－４－２,139.776400,35.670523,座標系（JGD2011）,沖山明彦,千葉保夫,H6.12.7,,,
1927,中央区のために行動する会,中央区日本橋茅場町２－１７－６,139.780390,35.678334,座標系（JGD2011）,松浦建二,松浦真弓,H27.1.15,,,
1928,中央区を良くする青年会,中央区勝どき４－２－１４,139.776192,35.657963,座標系（JGD2011）,宇佐美圭吾,盧真木子,H31.3.20,,,
1929,中央シティフォーラム２１,中央区日本橋人形町１－１１－９,139.783381,35.684153,座標系（JGD2011）,石島秀起,石島洋子,H27.2.9,,,
1930,中央政経研究会,中央区日本橋蛎殻町１－２５－４,139.783993,35.681947,座標系（JGD2011）,山田久雄,関政弘,H29.6.16,,,
1931,中央創生フォーラム,中央区月島１－１３－１３,139.782481,35.665543,座標系（JGD2011）,梶川康二,梶川美智子,H27.2.2,,,
1932,中央百人会,台東区日本堤２－２３－１３,139.796905,35.728061,座標系（JGD2011）,深谷隆司,宮元亮一,S51.2.27,,,
1933,中央民社協会,中央区明石町５－１２,139.777950,35.668457,座標系（JGD2011）,守本利雄,守本慶子,H7.1.6,,,
1934,調布・生活者ネットワーク,調布市国領町８－１－１３,139.561948,35.646606,座標系（JGD2011）,八木昭子,松原和子,H2.1.31,,,
1935,調布の街づくり,調布市調布ケ丘３－４－１,139.547400,35.658025,座標系（JGD2011）,宮本和実,宮本和実,H27.2.23,,,
1936,直伸会,足立区千住４－９－７,139.801327,35.753939,座標系（JGD2011）,菅原税,岡田将和,H10.6.3,,,
1937,千代田区の伝統と文化を守る会,千代田区六番町３－１,139.735710,35.687424,座標系（JGD2011）,田川藍,田川藍,H31.2.28,,,
1938,チームいたばし,板橋区赤塚新町２－２－１０,139.641663,35.771439,座標系（JGD2011）,長瀬達也,長瀬朋子,H23.2.23,,,
1939,チーム鈴木ようすけ,豊島区池袋２－５７－６,139.708237,35.735157,座標系（JGD2011）,鈴木庸介,高木敏行,H28.1.22,1・2,衆,有
1940,チーム中央区子育て世代の会,中央区日本橋富沢町３－７,139.783560,35.688056,座標系（JGD2011）,佐藤敦子,藤間君代子,H27.1.8,,,
1941,チーム本多夏帆,武蔵野市中町２－２０－３,139.565138,35.704910,座標系（JGD2011）,本多夏帆,舩井千賀子,H31.3.11,,,有
1942,一日会,練馬区中村１－３－３,139.649175,35.733174,座標系（JGD2011）,小林みつぐ,佐々木武,S63.7.20,,,有
1943,塚田ひさことつながる市民の会,豊島区千早１－１５－１７,139.697833,35.730623,座標系（JGD2011）,塚田壽子,水谷泉,H31.1.10,,,有
1944,塚田ひでのぶを育てる会,中央区日本橋兜町９－１１,139.777363,35.681358,座標系（JGD2011）,塚田秀伸,江本良雄,H26.10.7,,,
1945,塚本一夫後援会,江東区門前仲町１－１１－７,139.794386,35.673566,座標系（JGD2011）,塚本一夫,塚本博美,H15.9.18,,,有
1946,塚本芳弘後援会,品川区西品川２－２４－２１,139.724220,35.612719,座標系（JGD2011）,塚本芳弘,長田文夫,H22.12.8,,,有
1947,津上ひとし後援会,世田谷区三軒茶屋２－２８－１１,139.663574,35.642020,座標系（JGD2011）,津上仁志,金子実,H22.10.7,,,有
1948,津上ひとし励ます会,世田谷区三軒茶屋２－２８－１１,139.663574,35.642020,座標系（JGD2011）,津上仁志,岡村紀久,H26.11.12,,,
1949,月島シンクタンク,中央区月島３－３－１３,139.780464,35.664057,座標系（JGD2011）,青木佳乃,青木浩司,H22.7.13,,,
1950,つくる。新時代立川！の会,立川市曙町２－３４－６,139.414801,35.701823,座標系（JGD2011）,塩安佳樹,渡邉忠司,R1.5.24,,,
1951,辻薫後援会,豊島区要町２－５－１３,139.693341,35.734053,座標系（JGD2011）,辻薫,小川幹雄,H18.9.19,,,有
1952,辻清人後援会,台東区日本堤２－２３－１３,139.796905,35.728061,座標系（JGD2011）,辻清人,稲見正治,H24.8.30,1・2,衆,有
1953,つじ誠心後援会誠心会,練馬区北町８－２１－３,139.651420,35.766675,座標系（JGD2011）,辻誠心,平田矢須子,H30.10.16,,,
1954,辻村ともこ後援会,狛江市岩戸南３－１８－１３,139.590696,35.628404,座標系（JGD2011）,手塚松二,鶴川典子,H30.7.2,,,
1955,辻よし子と歩む会,あきる野市高尾１８２－１,139.238021,35.727272,座標系（JGD2011）,柏倉倫子,原和美,H24.12.7,,,
1956,つたえりな後援会,葛飾区高砂３－１２－１７,139.869006,35.750218,座標系（JGD2011）,大熊健司,関根榮一,H30.2.8,,,
1957,土田まさいち後援会,武蔵村山市本町３－５０－１,139.383582,35.758353,座標系（JGD2011）,土田雅一,渡辺和之,H31.4.25,,,
1958,土屋和樹と未来を変える友の会,北区神谷３－４－１,139.734290,35.770011,座標系（JGD2011）,土屋和樹,土屋和樹,H30.9.21,,,有
1959,土屋けんいちと歩む会,三鷹市深大寺１－６－２５,139.541369,35.691383,座標系（JGD2011）,土屋健一,土屋健一,H18.3.1,,,有
1960,土屋輝昌社会貢献プロジェクト,港区西麻布３－３－２,139.727120,35.658140,座標系（JGD2011）,土屋輝昌,若松典子,H22.9.27,,,有
1961,土屋のりこ後援会,足立区千住関屋町８－８,139.804121,35.740954,座標系（JGD2011）,佐藤和義,佐藤周平,H31.1.22,,,
1962,土屋正忠後援会,武蔵野市中町２－５－２３,139.561936,35.707422,座標系（JGD2011）,秋本正,中村誠,S57.12.3,2,衆,
1963,土屋美恵子をみんなで応援する会,武蔵野市境南町５－１３－５,139.536611,35.697494,座標系（JGD2011）,土屋美恵子,土屋民治,H15.2.5,,,有
1964,つつい孝敏後援会,府中市武蔵台３－２－７,139.462943,35.694435,座標系（JGD2011）,崎山弘,西村保徳,H22.12.7,,,
1965,筒井たかひさ後援会,葛飾区亀有３－４０－５,139.850665,35.764852,座標系（JGD2011）,山田国男,筒井由里子,H21.5.1,,,
1966,つながる・つなげる狛江の会,狛江市中和泉４－２３－２,139.565538,35.637246,座標系（JGD2011）,高木聡子,清水信之,H31.1.8,,,
1967,ツナガルむさしの,武蔵野市吉祥寺北町３－２－３５,139.574632,35.711023,座標系（JGD2011）,小山桂子,笹岡裕子,H30.3.13,,,
1968,つなぐプロジェクト台東,台東区下谷２－２３－４,139.784924,35.722895,座標系（JGD2011）,阿部光利,阿部弘子,H30.12.28,,,
1969,津野地寛美友の会,稲城市長峰３－７,139.480291,35.631069,座標系（JGD2011）,津野地寛美,古賀久廣,H22.11.16,,,有
1970,角田統領後援会,西多摩郡瑞穂町大字武蔵１８３－３,139.353024,35.765576,座標系（JGD2011）,角田豊治,角田多代,H3.10.16,,,有
1971,椿くにじ後援会,北区上十条２－２０－６,139.719335,35.760211,座標系（JGD2011）,椿邦司,小澤徳,H18.9.21,,,
1972,椿真一後援会,大田区中央８－２０－１２,139.717118,35.573966,座標系（JGD2011）,椿真一,藤江康俊,H26.9.25,,,有
1973,つばさ政治経済研究会,大田区蒲田５－３４－１０,139.718365,35.559844,座標系（JGD2011）,犬伏秀一,犬伏知子,H6.9.29,,,有
1974,津本ゆう子を励ます会,小平市花小金井南町１－１７－１１,139.511432,35.724073,座標系（JGD2011）,津本裕子,島村敏夫,H14.9.18,,,有
1975,鶴川地域の声を市政に届ける。,町田市大蔵町４２１－４,139.464774,35.587288,座標系（JGD2011）,森本厚子,森本厚子,H25.9.6,,,
1976,鶴伸一郎後援会,品川区小山台１－１５－１０,139.705637,35.623228,座標系（JGD2011）,鶴伸一郎,鶴尚,H22.12.17,,,有
1977,つるみけんご後援会,世田谷区野沢４－１４－４,139.667182,35.632822,座標系（JGD2011）,鶴見健悟,鶴見幸子,H26.7.10,,,
1978,ＴＫＣ城北東京政経研究会,新宿区揚場町２－１,139.742708,35.701819,座標系（JGD2011）,栗田悦雄,榎本稔,H7.7.4,,,
1979,ＴＫＣ平将明後援会,大田区蒲田５－４４－５,139.717207,35.560112,座標系（JGD2011）,武藤剛,中野達夫,H20.9.26,2,衆,
1980,ＴＫＣ東京中央政経研究会,新宿区揚場町２－１,139.742708,35.701819,座標系（JGD2011）,松本憲二,渡辺一男,H7.7.4,,,
