№,採取日（購入日）Ｓａｍｐｌｉｎｇｄａｔｅ,結果判明日Ｒｅｓｕｌｔｓｏｂｔａｉｎｅｄｄａｔｅ,生産者・製造者・販売者・輸入者等の別Ｆａｒｍｅｒ／Ｍａｎｕｆａｃｔｕｒｅｒ／Ｓｅｌｌｅｒ／Ｉｍｐｏｒｔｅｒ,左記の所在地Ｌｏｃａｔｉｏｎ,品目,食品分類Ｃｌａｓｓｉｆｉｃａｔｉｏｎ,食品カテゴリ※１Ｃａｔｅｇｏｒｙ,検査機器Ｉｎｓｐｅｃｔｉｏｎｉｎｓｔｒｕｍｅｎｔ,検査結果（単位：Ｂｑ／Ｋｇ）放射性セシウムセシウム－１３４Ｃｅｓｉｕｍ－１３４,検査結果（単位：Ｂｑ／Ｋｇ）放射性セシウムセシウム－１３７Ｃｅｓｉｕｍ－１３７,検査結果（単位：Ｂｑ／Ｋｇ）放射性セシウムセシウム合計※２Ｃｅｓｉｕｍｔｏｔａｌ,備考Ｎｏｔｅｓ
６２,2014/5/8,2014/5/9,選別包装者Ｇｒａｄｉｎｇｐａｃｋａｇｅｒ,茨城県Ｉｂａｒａｋｉ,国産鶏卵,鶏卵Ｐｏｕｌｔｒｙｅｇｇｓ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
６３,2014/5/8,2014/5/9,加工者Ｐｒｏｃｅｓｓｏｒ,東京都Ｔｏｋｙｏ,国産豚,豚肉Ｐｏｒｋ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜９）ＮＤ,検出せず（＜８）ＮＤ,検出せず（＜２５）ＮＤ,
６４,2014/5/8,2014/5/9,加工者Ｐｒｏｃｅｓｓｏｒ,岩手県Ｉｗａｔｅ,むね肉,食鳥肉Ｐｏｕｌｔｒｙｍｅａｔ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜９）ＮＤ,検出せず（＜８）ＮＤ,検出せず（＜２５）ＮＤ,
６５,2014/5/8,2014/5/9,選別包装者Ｇｒａｄｉｎｇｐａｃｋａｇｅｒ,千葉県Ｃｈｉｂａ,鶏卵（国産）,鶏卵Ｐｏｕｌｔｒｙｅｇｇｓ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜９）ＮＤ,検出せず（＜８）ＮＤ,検出せず（＜２５）ＮＤ,
６６,2014/5/8,2014/5/9,採取地Ｓａｍｐｌｉｎｇｐｏｉｎｔ,千葉県Ｃｈｉｂａ,カツオ,その他の鮮魚介類Ｆｒｅｓｈｆｉｓｈａｎｄｓｈｅｌｌｆｉｓｈ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜９）ＮＤ,検出せず（＜８）ＮＤ,検出せず（＜２５）ＮＤ,
６７,2014/5/8,2014/5/9,採取地Ｓａｍｐｌｉｎｇｐｏｉｎｔ,千葉県Ｃｈｉｂａ,マイワシ,その他の鮮魚介類Ｆｒｅｓｈｆｉｓｈａｎｄｓｈｅｌｌｆｉｓｈ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜９）ＮＤ,検出せず（＜８）ＮＤ,検出せず（＜２５）ＮＤ,
６８,2014/5/8,2014/5/9,採取地Ｓａｍｐｌｉｎｇｐｏｉｎｔ,千葉県Ｃｈｉｂａ,スズキ,その他の鮮魚介類Ｆｒｅｓｈｆｉｓｈａｎｄｓｈｅｌｌｆｉｓｈ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜８）ＮＤ,検出せず（＜２５）ＮＤ,
６９,2014/5/8,2014/5/9,採取地Ｓａｍｐｌｉｎｇｐｏｉｎｔ,北海道Ｈｏｋｋａｉｄｏ,アカカレイ,その他の鮮魚介類Ｆｒｅｓｈｆｉｓｈａｎｄｓｈｅｌｌｆｉｓｈ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
７０,2014/5/8,2014/5/9,採取地Ｓａｍｐｌｉｎｇｐｏｉｎｔ,北海道Ｈｏｋｋａｉｄｏ,マダラ,その他の鮮魚介類Ｆｒｅｓｈｆｉｓｈａｎｄｓｈｅｌｌｆｉｓｈ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
７１,2014/5/7,2014/5/12,輸入者Ｉｍｐｏｒｔｅｒ,東京都Ｔｏｋｙｏ,ナチュラルチーズ,ナチュラルチーズＮａｔｕｒａｌｃｈｅｅｓｅ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,原産国：フランスＣｏｕｎｔｒｙｏｆｏｒｉｇｉｎ：Ｆｒａｎｃｅ
７２,2014/5/7,2014/5/12,輸入者Ｉｍｐｏｒｔｅｒ,東京都Ｔｏｋｙｏ,ナチュラルチーズ,ナチュラルチーズＮａｔｕｒａｌｃｈｅｅｓｅ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,原産国：フランスＣｏｕｎｔｒｙｏｆｏｒｉｇｉｎ：Ｆｒａｎｃｅ
７３,2014/5/7,2014/5/12,輸入者Ｉｍｐｏｒｔｅｒ,東京都Ｔｏｋｙｏ,ナチュラルチーズ,ナチュラルチーズＮａｔｕｒａｌｃｈｅｅｓｅ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１０）ＮＤ,検出せず（＜２５）ＮＤ,原産国：フランスＣｏｕｎｔｒｙｏｆｏｒｉｇｉｎ：Ｆｒａｎｃｅ
７４,2014/5/7,2014/5/12,輸入者Ｉｍｐｏｒｔｅｒ,東京都Ｔｏｋｙｏ,ナチュラルチーズ,ナチュラルチーズＮａｔｕｒａｌｃｈｅｅｓｅ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１１）ＮＤ,検出せず（＜１０）ＮＤ,検出せず（＜２５）ＮＤ,原産国：フランスＣｏｕｎｔｒｙｏｆｏｒｉｇｉｎ：Ｆｒａｎｃｅ
７５,2014/5/7,2014/5/12,輸入者Ｉｍｐｏｒｔｅｒ,東京都Ｔｏｋｙｏ,乳等を主要原料とする食品,その他の乳主原Ｏｔｈｅｒｆｏｏｄｕｓｉｎｇｍｉｌｋ，ｅｔｃ．ａｓｐｒｉｎｃｉｐａｌｉｎｇｒｅｄｉｅｎｔｓ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１１）ＮＤ,検出せず（＜１０）ＮＤ,検出せず（＜２５）ＮＤ,原産国：フランスＣｏｕｎｔｒｙｏｆｏｒｉｇｉｎ：Ｆｒａｎｃｅ
７６,2014/5/7,2014/5/12,輸入者Ｉｍｐｏｒｔｅｒ,東京都Ｔｏｋｙｏ,インゲン豆（プルガトリオ種）,その他の穀物Ｏｔｈｅｒｇｒａｉｎ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１１）ＮＤ,検出せず（＜１０）ＮＤ,検出せず（＜２５）ＮＤ,原産国：イタリアＣｏｕｎｔｒｙｏｆｏｒｉｇｉｎ：Ｉｔａｌｙ
７７,2014/5/7,2014/5/12,輸入者Ｉｍｐｏｒｔｅｒ,東京都Ｔｏｋｙｏ,精白大麦,その他の穀物Ｏｔｈｅｒｇｒａｉｎ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１３）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,原産国：イタリアＣｏｕｎｔｒｙｏｆｏｒｉｇｉｎ：Ｉｔａｌｙ
７８,2014/5/7,2014/5/12,輸入者Ｉｍｐｏｒｔｅｒ,東京都Ｔｏｋｙｏ,ヒヨコ豆,その他の穀物Ｏｔｈｅｒｇｒａｉｎ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１１）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,原産国：イタリアＣｏｕｎｔｒｙｏｆｏｒｉｇｉｎ：Ｉｔａｌｙ
７９,2014/5/7,2014/5/12,輸入者Ｉｍｐｏｒｔｅｒ,東京都Ｔｏｋｙｏ,スープ用ミックスビーンズ,その他の穀物Ｏｔｈｅｒｇｒａｉｎ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,原産国：イタリアＣｏｕｎｔｒｙｏｆｏｒｉｇｉｎ：Ｉｔａｌｙ
８０,2014/5/7,2014/5/12,輸入者Ｉｍｐｏｒｔｅｒ,東京都Ｔｏｋｙｏ,スープ用ミックスビーンズ,その他の穀物Ｏｔｈｅｒｇｒａｉｎ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１３）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,原産国：イタリアＣｏｕｎｔｒｙｏｆｏｒｉｇｉｎ：Ｉｔａｌｙ
８１,2014/5/7,2014/5/12,輸入者Ｉｍｐｏｒｔｅｒ,東京都Ｔｏｋｙｏ,レンズ豆水煮,豆類の加工品Ｂｅａｎｐｒｏｄｕｃｔ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１３）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,原産国：イタリアＣｏｕｎｔｒｙｏｆｏｒｉｇｉｎ：Ｉｔａｌｙ
８２,2014/5/7,2014/5/12,輸入者Ｉｍｐｏｒｔｅｒ,東京都Ｔｏｋｙｏ,白インゲン豆水煮,豆類の加工品Ｂｅａｎｐｒｏｄｕｃｔ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,原産国：イタリアＣｏｕｎｔｒｙｏｆｏｒｉｇｉｎ：Ｉｔａｌｙ
８３,2014/5/7,2014/5/12,輸入者Ｉｍｐｏｒｔｅｒ,東京都Ｔｏｋｙｏ,ウズラ豆水煮,豆類の加工品Ｂｅａｎｐｒｏｄｕｃｔ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,原産国：イタリアＣｏｕｎｔｒｙｏｆｏｒｉｇｉｎ：Ｉｔａｌｙ
８４,2014/5/7,2014/5/12,輸入者Ｉｍｐｏｒｔｅｒ,東京都Ｔｏｋｙｏ,ヒヨコ豆（エジプト豆）水煮,豆類の加工品Ｂｅａｎｐｒｏｄｕｃｔ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,原産国：イタリアＣｏｕｎｔｒｙｏｆｏｒｉｇｉｎ：Ｉｔａｌｙ
８５,2014/5/7,2014/5/12,輸入者Ｉｍｐｏｒｔｅｒ,東京都Ｔｏｋｙｏ,ナチュラルチーズ,ナチュラルチーズＮａｔｕｒａｌｃｈｅｅｓｅ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,原産国：イタリアＣｏｕｎｔｒｙｏｆｏｒｉｇｉｎ：Ｉｔａｌｙ
８６,2014/5/7,2014/5/12,輸入者Ｉｍｐｏｒｔｅｒ,東京都Ｔｏｋｙｏ,ホウレンソウ,加熱後摂取冷凍食品（凍結前未加熱）Ｆｒｏｚｅｎｆｏｏｄｔｏｂｅｃｏｎｓｕｍｅｄａｆｔｅｒｈｅａｔｉｎｇ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１３）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,原産国：イタリアＣｏｕｎｔｒｙｏｆｏｒｉｇｉｎ：Ｉｔａｌｙ
８７,2014/5/7,2014/5/12,輸入者Ｉｍｐｏｒｔｅｒ,東京都Ｔｏｋｙｏ,洋生菓子,無加熱摂取冷凍食品Ｆｒｏｚｅｎｆｏｏｄｔｏｂｅｃｏｎｓｕｍｅｄｗｉｔｈｏｕｔｈｅａｔｉｎｇ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,原産国：イタリアＣｏｕｎｔｒｙｏｆｏｒｉｇｉｎ：Ｉｔａｌｙ
８８,2014/5/7,2014/5/12,輸入者Ｉｍｐｏｒｔｅｒ,東京都Ｔｏｋｙｏ,洋生菓子,無加熱摂取冷凍食品Ｆｒｏｚｅｎｆｏｏｄｔｏｂｅｃｏｎｓｕｍｅｄｗｉｔｈｏｕｔｈｅａｔｉｎｇ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１１）ＮＤ,検出せず（＜１０）ＮＤ,検出せず（＜２５）ＮＤ,原産国：フランスＣｏｕｎｔｒｙｏｆｏｒｉｇｉｎ：Ｆｒａｎｃｅ
８９,2014/5/7,2014/5/12,輸入者Ｉｍｐｏｒｔｅｒ,東京都Ｔｏｋｙｏ,洋生菓子,無加熱摂取冷凍食品Ｆｒｏｚｅｎｆｏｏｄｔｏｂｅｃｏｎｓｕｍｅｄｗｉｔｈｏｕｔｈｅａｔｉｎｇ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,原産国：フランスＣｏｕｎｔｒｙｏｆｏｒｉｇｉｎ：Ｆｒａｎｃｅ
９０,2014/5/7,2014/5/12,輸入者Ｉｍｐｏｒｔｅｒ,東京都Ｔｏｋｙｏ,洋生菓子,無加熱摂取冷凍食品Ｆｒｏｚｅｎｆｏｏｄｔｏｂｅｃｏｎｓｕｍｅｄｗｉｔｈｏｕｔｈｅａｔｉｎｇ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜７）ＮＤ,検出せず（＜２５）ＮＤ,原産国：フランスＣｏｕｎｔｒｙｏｆｏｒｉｇｉｎ：Ｆｒａｎｃｅ
９１,2014/5/14,2014/5/19,販売者Ｓｅｌｌｅｒ,東京都Ｔｏｋｙｏ,麦茶（清涼飲料水）（ベビーフード）,その他の清涼飲料水Ｏｔｈｅｒｓｏｆｔｄｒｉｎｋｂｅｖｅｒａｇｅｓ,乳児用食品Ｉｎｆａｎｔｆｏｏｄｓ,Ｇｅ,検出せず（＜０．５）ＮＤ,検出せず（＜０．５）ＮＤ,検出せず（＜１．０）ＮＤ,
９２,2014/5/14,2014/5/19,販売者Ｓｅｌｌｅｒ,東京都Ｔｏｋｙｏ,清涼飲料水（ベビーフード）,その他の清涼飲料水Ｏｔｈｅｒｓｏｆｔｄｒｉｎｋｂｅｖｅｒａｇｅｓ,乳児用食品Ｉｎｆａｎｔｆｏｏｄｓ,Ｇｅ,検出せず（＜０．７）ＮＤ,検出せず（＜０．４）ＮＤ,検出せず（＜１．１）ＮＤ,
９３,2014/5/14,2014/5/19,販売者Ｓｅｌｌｅｒ,東京都Ｔｏｋｙｏ,米飯類（ベビーフード）,弁当類Ｂｏｘｌｕｎｃｈ,乳児用食品Ｉｎｆａｎｔｆｏｏｄｓ,Ｇｅ,検出せず（＜４）ＮＤ,検出せず（＜４）ＮＤ,検出せず（＜８）ＮＤ,
９４,2014/5/14,2014/5/19,販売者Ｓｅｌｌｅｒ,東京都Ｔｏｋｙｏ,米飯類（ベビーフード）,容器包装詰加圧加熱殺菌食品Ｆｏｏｄｐａｃｋｅｄｉｎｃｏｎｔａｉｎｅｒｓａｎｄｓｔｅｒｉｌｉｚｅｄｂｙｐｒｅｓｓｕｒｉｚａｔｉｏｎａｎｄｈｅａｔｉｎｇ,乳児用食品Ｉｎｆａｎｔｆｏｏｄｓ,Ｇｅ,検出せず（＜４）ＮＤ,検出せず（＜３）ＮＤ,検出せず（＜７）ＮＤ,
９５,2014/5/14,2014/5/19,販売者Ｓｅｌｌｅｒ,東京都Ｔｏｋｙｏ,魚野菜煮物（ベビーフード）,容器包装詰加圧加熱殺菌食品Ｆｏｏｄｐａｃｋｅｄｉｎｃｏｎｔａｉｎｅｒｓａｎｄｓｔｅｒｉｌｉｚｅｄｂｙｐｒｅｓｓｕｒｉｚａｔｉｏｎａｎｄｈｅａｔｉｎｇ,乳児用食品Ｉｎｆａｎｔｆｏｏｄｓ,Ｇｅ,検出せず（＜４）ＮＤ,検出せず（＜３）ＮＤ,検出せず（＜７）ＮＤ,
９６,2014/5/14,2014/5/19,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,群馬県Ｇｕｎｍａ,乳飲料,乳飲料Ｍｉｌｋｄｒｉｎｋ,牛乳Ｍｉｌｋ,Ｇｅ,検出せず（＜０．８）ＮＤ,検出せず（＜０．７）ＮＤ,検出せず（＜１．５）ＮＤ,
９７,2014/5/14,2014/5/19,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,北海道Ｈｏｋｋａｉｄｏ,牛乳,牛乳Ｃｏｗ’ｓｍｉｌｋ,牛乳Ｍｉｌｋ,Ｇｅ,検出せず（＜０．８）ＮＤ,検出せず（＜０．８）ＮＤ,検出せず（＜１．６）ＮＤ,
９８,2014/5/14,2014/5/19,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,岩手県Ｉｗａｔｅ,牛乳,牛乳Ｃｏｗ’ｓｍｉｌｋ,牛乳Ｍｉｌｋ,Ｇｅ,検出せず（＜０．４）ＮＤ,検出せず（＜０．９）ＮＤ,検出せず（＜１．３）ＮＤ,
９９,2014/5/14,2014/5/19,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,群馬県Ｇｕｎｍａ,牛乳,牛乳Ｃｏｗ’ｓｍｉｌｋ,牛乳Ｍｉｌｋ,Ｇｅ,検出せず（＜０．８）ＮＤ,検出せず（＜０．８）ＮＤ,検出せず（＜１．６）ＮＤ,
１００,2014/5/14,2014/5/19,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,栃木県Ｔｏｃｈｉｇｉ,乳飲料,乳飲料Ｍｉｌｋｄｒｉｎｋ,牛乳Ｍｉｌｋ,Ｇｅ,検出せず（＜０．６）ＮＤ,検出せず（＜０．４）ＮＤ,検出せず（＜１．０）ＮＤ,
１０１,2014/5/14,2014/5/19,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,長野県Ｎａｇａｎｏ,はっ酵乳,発酵乳Ｆｅｒｍｅｎｔｅｄｍｉｌｋ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１１）ＮＤ,検出せず（＜１０）ＮＤ,検出せず（＜２５）ＮＤ,
１０２,2014/5/14,2014/5/19,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,長野県Ｎａｇａｎｏ,発酵乳,発酵乳Ｆｅｒｍｅｎｔｅｄｍｉｌｋ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
１０３,2014/5/14,2014/5/19,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,東京都Ｔｏｋｙｏ,発酵乳,発酵乳Ｆｅｒｍｅｎｔｅｄｍｉｌｋ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
１０４,2014/5/14,2014/5/19,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,神奈川県Ｋａｎａｇａｗａ,ナチュラルチーズ,ナチュラルチーズＮａｔｕｒａｌｃｈｅｅｓｅ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
１０５,2014/5/14,2014/5/19,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,神奈川県Ｋａｎａｇａｗａ,プロセスチーズ,プロセスチーズＰｒｏｃｅｓｓｅｄｃｈｅｅｓｅ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
１０６,2014/5/14,2014/5/19,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,山形県Ｙａｍａｇａｔａ,生菓子,その他の生菓子Ｏｔｈｅｒｆｒｅｓｈｓｗｅｅｔｓ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１１）ＮＤ,検出せず（＜１０）ＮＤ,検出せず（＜２５）ＮＤ,
１０７,2014/5/14,2014/5/19,販売者Ｓｅｌｌｅｒ,東京都Ｔｏｋｙｏ,米菓,その他の穀類加工品Ｏｔｈｅｒｇｒａｉｎｐｒｏｄｕｃｔ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
１０８,2014/5/14,2014/5/19,販売者Ｓｅｌｌｅｒ,東京都Ｔｏｋｙｏ,米飯類（かゆ）,容器包装詰加圧加熱殺菌食品Ｆｏｏｄｐａｃｋｅｄｉｎｃｏｎｔａｉｎｅｒｓａｎｄｓｔｅｒｉｌｉｚｅｄｂｙｐｒｅｓｓｕｒｉｚａｔｉｏｎａｎｄｈｅａｔｉｎｇ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１３）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
１０９,2014/5/14,2014/5/19,販売者Ｓｅｌｌｅｒ,大阪府Ｏｓａｋａ,エノキタケ・味付,その他の農産物加工品（きのこ類）Ｏｔｈｅｒｐｒｏｃｅｓｓｅｄｆｕｎｇｉｐｒｏｄｕｃｔ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１３）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
１１０,2014/5/14,2014/5/19,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,長野県Ｎａｇａｎｏ,エノキタケ・味付,その他の農産物加工品（きのこ類）Ｏｔｈｅｒｐｒｏｃｅｓｓｅｄｆｕｎｇｉｐｒｏｄｕｃｔ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１３）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
１１１,2014/5/21,2014/5/26,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,千葉県Ｃｈｉｂａ,乳飲料,乳飲料Ｍｉｌｋｄｒｉｎｋ,牛乳Ｍｉｌｋ,Ｇｅ,検出せず（＜０．８）ＮＤ,検出せず（＜０．７）ＮＤ,検出せず（＜１．５）ＮＤ,
１１２,2014/5/21,2014/5/26,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,茨城県Ｉｂａｒａｋｉ,乳飲料,乳飲料Ｍｉｌｋｄｒｉｎｋ,牛乳Ｍｉｌｋ,Ｇｅ,検出せず（＜０．５）ＮＤ,検出せず（＜０．６）ＮＤ,検出せず（＜１．１）ＮＤ,
１１３,2014/5/21,2014/5/26,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,東京都Ｔｏｋｙｏ,乳飲料,乳飲料Ｍｉｌｋｄｒｉｎｋ,牛乳Ｍｉｌｋ,Ｇｅ,検出せず（＜０．８）ＮＤ,検出せず（＜０．６）ＮＤ,検出せず（＜１．４）ＮＤ,
１１４,2014/5/21,2014/5/26,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,北海道Ｈｏｋｋａｉｄｏ,乳飲料,乳飲料Ｍｉｌｋｄｒｉｎｋ,牛乳Ｍｉｌｋ,Ｇｅ,検出せず（＜０．７）ＮＤ,検出せず（＜０．８）ＮＤ,検出せず（＜１．５）ＮＤ,
１１５,2014/5/21,2014/5/26,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,北海道Ｈｏｋｋａｉｄｏ,牛乳,牛乳Ｃｏｗ’ｓｍｉｌｋ,牛乳Ｍｉｌｋ,Ｇｅ,検出せず（＜０．６）ＮＤ,検出せず（＜０．７）ＮＤ,検出せず（＜１．３）ＮＤ,
１１６,2014/5/21,2014/5/26,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,栃木県Ｔｏｃｈｉｇｉ,はっ酵乳,発酵乳Ｆｅｒｍｅｎｔｅｄｍｉｌｋ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
１１７,2014/5/21,2014/5/26,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,東京都Ｔｏｋｙｏ,はっ酵乳,発酵乳Ｆｅｒｍｅｎｔｅｄｍｉｌｋ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１３）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
１１８,2014/5/21,2014/5/26,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,群馬県Ｇｕｎｍａ,はっ酵乳,発酵乳Ｆｅｒｍｅｎｔｅｄｍｉｌｋ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
１１９,2014/5/21,2014/5/26,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,宮城県Ｍｉｙａｇｉ,はっ酵乳,発酵乳Ｆｅｒｍｅｎｔｅｄｍｉｌｋ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１０）ＮＤ,検出せず（＜２５）ＮＤ,
１２０,2014/5/21,2014/5/26,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,北海道Ｈｏｋｋａｉｄｏ,バター,バターＢｕｔｔｅｒ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
１２１,2014/5/21,2014/5/26,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,山形県Ｙａｍａｇａｔａ,ナチュラルミネラルウォーター,ミネラルウォーター類Ｍｉｎｅｒａｌｗａｔｅｒ,飲料水Ｄｒｉｎｋｉｎｇｗａｔｅｒ,Ｇｅ,検出せず（＜０．５）ＮＤ,検出せず（＜０．５）ＮＤ,検出せず（＜１．０）ＮＤ,
