№,採取日（購入日）Ｓａｍｐｌｉｎｇｄａｔｅ,結果判明日Ｒｅｓｕｌｔｓｏｂｔａｉｎｅｄｄａｔｅ,生産者・製造者・販売者・輸入者等の別Ｆａｒｍｅｒ／Ｍａｎｕｆａｃｔｕｒｅｒ／Ｓｅｌｌｅｒ／Ｉｍｐｏｒｔｅｒ,左記の所在地Ｌｏｃａｔｉｏｎ,品目（Ｉｔｅｍｎａｍｅ）,食品分類Ｃｌａｓｓｉｆｉｃａｔｉｏｎ,食品カテゴリＣａｔｅｇｏｒｙ,検査機器Ｉｎｓｐｅｃｔｉｏｎｉｎｓｔｒｕｍｅｎｔ,検査結果：セシウム－１３４（単位：Ｂｑ／Ｋｇ）Ｒｅｓｕｌｔｓ：Ｃｅｓｉｕｍ－１３４,検査結果：セシウム－１３７（単位：Ｂｑ／Ｋｇ）Ｒｅｓｕｌｔｓ：Ｃｅｓｉｕｍ－１３７,検査結果：セシウム合計（単位：Ｂｑ／Ｋｇ）Ｒｅｓｕｌｔｓ：Ｃｅｓｉｕｍ(ｔｏｔａｌ),備考Ｎｏｔｅｓ
592,2013/9/17,2013/9/20,製造者Manufacturer,東京都Tokyo,強力粉,小麦粉Flour,一般食品　General foods,NaI,検出せず(<12)　 ND,検出せず(<11)　 ND,検出せず(<25) ND,―
593,2013/9/17,2013/9/20,製造者Manufacturer,長野県Nagano,そば,その他の穀類加工品Other grain processed product,一般食品　General foods,NaI,検出せず(<11) ND,検出せず(<9)ND,検出せず(<25) ND,―
594,2013/9/19,2013/9/20,製造者Manufacturer,北海道Hokkaidou,ナチュラルチーズ,ナチュラルチーズNatural cheese,一般食品　General foods,NaI,検出せず(<10)　　ND,検出せず(<9)ND,検出せず(<25) ND,―
595,2013/9/19,2013/9/20,製造者Manufacturer,神奈川県Kanagawa,クリーム(乳製品),クリームCream,一般食品　General foods,NaI,検出せず(<9)　　ND,検出せず(<8)　 ND,検出せず(<25) ND,―
596,2013/9/19,2013/9/20,製造者Manufacturer,北海道Hokkaidou,はっ酵乳,発酵乳Fermented milk,一般食品　General foods,NaI,検出せず(<9)　　ND,検出せず(<8)　 ND,検出せず(<25) ND,―
597,2013/9/19,2013/9/20,製造者Manufacturer,東京都Tokyo,乳製品乳酸菌飲料,乳酸菌飲料（無脂乳固形分3.0%以上）Fermented milk drink,一般食品　General foods,NaI,検出せず(<9)　ND,検出せず(<8)　 ND,検出せず(<25) ND,―
598,2013/9/19,2013/9/20,製造者Manufacturer,静岡県Shizuoka,ポークソーセージ(ウインナー),加熱食肉製品（加熱後包装）Heated meat products (packed in package after being heat-sterilized),一般食品　General foods,NaI,検出せず(<10)　　ND,検出せず(<9)ND,検出せず(<25) ND,―
599,2013/9/19,2013/9/20,製造者Manufacturer,静岡県Shizuoka,食肉製品(肉だんご),加熱食肉製品（包装後加熱）Heated meat products (sterilized after being packed in package),一般食品　General foods,NaI,検出せず(<9)　　ND,検出せず(<8)　 ND,検出せず(<25) ND,―
600,2013/9/19,2013/9/20,製造者Manufacturer,長野県Nagano,無塩せきウインナーソーセージ,加熱食肉製品（加熱後包装）Heated meat products (packed in package after being heat-sterilized),一般食品　General foods,NaI,検出せず(<10)　　ND,検出せず(<9)ND,検出せず(<25) ND,―
601,2013/9/19,2013/9/20,製造者Manufacturer,栃木県Tochigi,チルドハンバーグ,加熱食肉製品（包装後加熱）Heated meat products (sterilized after being packed in package),一般食品　General foods,NaI,検出せず(<10)　　ND,検出せず(<9)ND,検出せず(<25) ND,―
602,2013/9/19,2013/9/20,販売者　　　　Seller,東京都Tokyo,米飯類（かゆ）,容器包装詰加圧加熱殺菌食品Food packed in containers and sterilized by pressurization and ｈeating,一般食品　General foods,NaI,検出せず(<9)　　ND,検出せず(<8)　 ND,検出せず(<25) ND,―
603,2013/9/19,2013/9/20,製造者Manufacturer,北海道Hokkaidou,ナチュラルチーズ,ナチュラルチーズNatural cheese,一般食品　General foods,NaI,検出せず(<10)　　ND,検出せず(<9)ND,検出せず(<25) ND,―
604,2013/9/24,2013/9/27,輸入者　　　Importer,東京都Tokyo,種抜きオリーブ,その他の野菜加工品Other vegetable processed product,一般食品　General foods,NaI,検出せず(<12) ND,検出せず(<10) ND,検出せず(<25) ND,原産国：イタリアCountry of origin：Italy
605,2013/9/24,2013/9/27,輸入者　　　Importer,東京都Tokyo,トマト・ピューレーづけ,その他の野菜加工品Other vegetable processed product,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11) ND,検出せず(<25) ND,原産国：イタリアCountry of origin：Italy
606,2013/9/24,2013/9/27,輸入者　　　Importer,香川県Kagawa,オリーブ,その他の野菜加工品Other vegetable processed product,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<10) ND,検出せず(<25) ND,原産国：スペインCountry of origin：Spain
607,2013/9/24,2013/9/27,輸入者　　　Importer,東京都Tokyo,トマトケチャップ,ケチャップKetchup,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11)ND,検出せず(<25) ND,原産国：オランダCountry of origin：Netherlands 
608,2013/9/24,2013/9/27,輸入者　　　Importer,東京都Tokyo,トマト・ジュースづけ,その他の野菜加工品Other vegetable processed product,一般食品　General foods,NaI,検出せず(<12) ND,検出せず(<11)　 ND,検出せず(<25) ND,原産国：イタリアCountry of origin：Italy
609,2013/9/24,2013/9/27,輸入者　　　Importer,東京都Tokyo,パン,無加熱摂取冷凍食品Frozen food to be consumed without heating,一般食品　General foods,NaI,検出せず(<12) ND,検出せず(<11)　 ND,検出せず(<25) ND,原産国：デンマークCountry of origin：Denmark
610,2013/9/24,2013/9/27,販売者　　　　Seller,東京都Tokyo,パン,加熱後摂取冷凍食品(凍結前加熱)Frozen food to be consumed after heating,一般食品　General foods,NaI,検出せず(<11)　ND,検出せず(<9)ND,検出せず(<25) ND,原産国：フランスCountry of origin：France
611,2013/9/24,2013/9/27,輸入者　　　Importer,東京都Tokyo,バター入りバケット,加熱後摂取冷凍食品(凍結前加熱)Frozen food to be consumed after heating,一般食品　General foods,NaI,検出せず(<12) ND,検出せず(<10) ND,検出せず(<25) ND,原産国：ドイツCountry of origin：Germany
612,2013/9/24,2013/9/27,販売者　　　　Seller,東京都Tokyo,穀物パン,加熱後摂取冷凍食品(凍結前加熱)Frozen food to be consumed after heating,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,原産国：フランスCountry of origin：France
613,2013/9/24,2013/9/27,販売者　　　　Seller,東京都Tokyo,ミニクロワッサン,加熱後摂取冷凍食品(凍結前未加熱)Frozen food to be consumed after heating,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<10) ND,検出せず(<25) ND,原産国：フランスCountry of origin：France
614,2013/9/24,2013/9/27,製造者Manufacturer,静岡県Shizuoka,干し芋,その他の野菜加工品Other vegetable processed product,一般食品　General foods,NaI,検出せず(<13) ND,検出せず(<11)　 ND,検出せず(<25) ND,―
615,2013/9/24,2013/9/27,製造者Manufacturer,長野県Nagano,えのきたけ・味付,その他の農作物加工品(きのこ類)Other processed fungi product,一般食品　General foods,NaI,検出せず(<13) ND,検出せず(<11)　 ND,検出せず(<25) ND,―
616,2013/9/24,2013/9/27,製造者Manufacturer,千葉県Chiba,大豆飲料,その他の清涼飲料水Other soft drink beverages,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,―
617,2013/9/24,2013/9/27,販売者　　　　Seller,埼玉県Saitama,緑茶,その他の清涼飲料水Other soft drink beverages,飲料水　   Drinking water,Ge,検出せず(<0.8) ND,検出せず(<0.7)　 ND,検出せず(<1.5) ND,―
618,2013/9/24,2013/9/27,販売者　　　　Seller,東京都Tokyo,ナチュラルミネラルウォーター,ミネラルウォーター類Mineral water,飲料水　   Drinking water,Ge,検出せず(<0.7) ND,検出せず(<0.7)　 ND,検出せず(<1.4) ND,―
619,2013/9/24,2013/9/27,販売者　　　　Seller,東京都Tokyo,ナチュラルミネラルウォーター,ミネラルウォーター類Mineral water,飲料水　   Drinking water,Ge,検出せず(<0.9) 　　ND,検出せず(<0.3)　 ND,検出せず(<1.2) ND,―
620,2013/9/24,2013/9/27,生産・出荷者Farmer,青森県Aomori,リンゴ,リンゴApple,一般食品　General foods,NaI,検出せず(<11)　 ND,検出せず(<10)　 ND,検出せず(<25) ND,―
621,2013/9/24,2013/9/27,生産・出荷者Farmer,福島県Fukushima,ナシ,その他の生鮮果実Other fresh fruit,一般食品　General foods,NaI,検出せず(<13)　　ND,検出せず(<11)　 ND,検出せず(<25) ND,―
622,2013/9/24,2013/9/27,生産・出荷者Farmer,茨城県Ibaraki,チンゲンサイ,その他の生鮮野菜Other fresh vegetable,一般食品　General foods,NaI,検出せず(<12)　 ND,検出せず(<11)　 ND,検出せず(<25) ND,―
623,2013/9/24,2013/9/27,生産・出荷者Farmer,栃木県Tochigi,ホウレンソウ,その他の生鮮野菜Other fresh vegetable,一般食品　General foods,NaI,検出せず(<12) ND,検出せず(<11)　 ND,検出せず(<25) ND,―
624,2013/9/26,2013/9/27,製造者Manufacturer,北海道Hokkaidou,ナチュラルチーズ,ナチュラルチーズNatural cheese,一般食品　General foods,NaI,検出せず(<9)　　ND,検出せず(<8)　 ND,検出せず(<25) ND,―
625,2013/9/26,2013/9/27,製造者Manufacturer,北海道Hokkaidou,ナチュラルチーズ,ナチュラルチーズNatural cheese,一般食品　General foods,NaI,検出せず(<10)　　ND,検出せず(<9)ND,検出せず(<25) ND,―
626,2013/9/26,2013/9/27,製造者Manufacturer,東京都Tokyo,はっ酵乳,発酵乳Fermented milk,一般食品　General foods,NaI,検出せず(<11)　　ND,検出せず(<10)　 ND,検出せず(<25) ND,―
627,2013/9/26,2013/9/27,製造者Manufacturer,福島県Fukushima,はっ酵乳,発酵乳Fermented milk,一般食品　General foods,NaI,検出せず(<9)　　ND,検出せず(<8)　 ND,検出せず(<25) ND,―
628,2013/9/26,2013/9/27,生産・出荷者Farmer,北海道Hokkaidou,原木シイタケ,その他の生鮮野菜(きのこ類)Fungi,一般食品　General foods,NaI,検出せず(<12)　　ND,12,＜25,―
629,2013/9/26,2013/9/27,生産・出荷者Farmer,山梨県Yamanashi,原木シイタケ,その他の生鮮野菜(きのこ類)Fungi,一般食品　General foods,NaI,8,16,＜25,―
630,2013/9/26,2013/9/27,生産・出荷者Farmer,青森県Aomori,ナガイモ,その他の生鮮野菜Other fresh vegetable,一般食品　General foods,NaI,検出せず(<13)　　ND,検出せず(<12)　 ND,検出せず(<25) ND,―
631,2013/9/26,2013/9/27,生産・出荷者Farmer,千葉県Chiba,サトイモ,その他の生鮮野菜Other fresh vegetable,一般食品　General foods,NaI,検出せず(<12)　　ND,検出せず(<11)　 ND,検出せず(<25) ND,―
632,2013/9/26,2013/9/27,生産・出荷者Farmer,千葉県Chiba,サツマイモ,その他の生鮮野菜Other fresh vegetable,一般食品　General foods,NaI,検出せず(<10)　　ND,検出せず(<9)ND,検出せず(<25) ND,―
633,2013/9/26,2013/9/30,製造者Manufacturer,北海道Hokkaidou,ナチュラルチーズ,ナチュラルチーズNatural cheese,一般食品　General foods,Ge,検出せず(<3)　　ND,検出せず(<4)　 ND,検出せず(<7) ND,―
634,2013/10/3,2013/10/4,販売者　　　　Seller,東京都Tokyo,焼菓子,"その他の菓子・製菓材料Other confection, confectionary material",一般食品　General foods,NaI,検出せず(<12) ND,検出せず(<10) ND,検出せず(<25) ND,―
635,2013/10/3,2013/10/4,販売者　　　　Seller,埼玉県Saitama,菓子パン,パンBread,一般食品　General foods,NaI,検出せず(<11)　ND,検出せず(<10) ND,検出せず(<25) ND,―
636,2013/10/3,2013/10/4,販売者　　　　Seller,神奈川県Kanagawa,野菜カレー,容器包装詰加圧加熱殺菌食品Food packed in containers and sterilized by pressurization and ｈeating,一般食品　General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25) ND,―
637,2013/10/3,2013/10/4,製造者Manufacturer,新潟県Niigata,筑前煮,加熱済みそうざいReady to eat food,一般食品　General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25) ND,―
638,2013/10/3,2013/10/4,製造者Manufacturer,山形県Yamagata,たくあん漬(刻み),しょうゆ漬Pickled vegetable,一般食品　General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25) ND,―
639,2013/10/3,2013/10/4,採取地　　Sampling point,"北海道、青森県沖太平洋　Hokkaidou,Aomorioki Taiheiyo",サンマ,その他の鮮魚介類Fresh fish and shellfish,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)　 ND,検出せず(<25) ND,―
640,2013/10/3,2013/10/4,採取地　　Sampling point,北海道Hokkaidou,イワシ,その他の鮮魚介類Fresh fish and shellfish,一般食品　General foods,NaI,検出せず(<10)　ND,検出せず(<9)ND,検出せず(<25) ND,―
641,2013/10/3,2013/10/4,採取地　　Sampling point,青森県Aomori,イカ,その他の鮮魚介類Fresh fish and shellfish,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,―
642,2013/10/3,2013/10/7,採取地　　Sampling point,千葉県Chiba,サバ,その他の鮮魚介類Fresh fish and shellfish,一般食品　General foods,Ge,検出せず(<3) ND,検出せず(<3)ND,検出せず(<6) ND,―
643,2013/10/3,2013/10/7,採取地　　Sampling point,宮城県Miyagi,カツオ,その他の鮮魚介類Fresh fish and shellfish,一般食品　General foods,Ge,検出せず(<4)ND,検出せず(<4)ND,検出せず(<8) ND,―
644,2013/10/7,2013/10/11,販売者　　　　Seller,東京都Tokyo,米飯類(ベビーフード),容器包装詰加圧加熱殺菌食品Food packed in containers and sterilized by pressurization and ｈeating,乳児用食品　Infant foods,Ge,検出せず(<4)ND,検出せず(<3)ND,検出せず(<7) ND,―
645,2013/10/7,2013/10/11,販売者　　　　Seller,北海道Hokkaidou,五目煮(ベビーフード),容器包装詰加圧加熱殺菌食品Food packed in containers and sterilized by pressurization and ｈeating,乳児用食品　Infant foods,Ge,検出せず(<4)ND,検出せず(<3)ND,検出せず(<7) ND,―
646,2013/10/7,2013/10/11,販売者　　　　Seller,兵庫県Hyogo,麦茶(清涼飲料水)(ベビーフード),その他の清涼飲料水Other soft drink beverages,乳児用食品　Infant foods,Ge,検出せず(<4)ND,検出せず(<3)ND,検出せず(<7) ND,―
647,2013/10/7,2013/10/11,販売者　　　　Seller,兵庫県Hyogo,清涼飲料水(ベビーフード),その他の清涼飲料水Other soft drink beverages,乳児用食品　Infant foods,Ge,検出せず(<3)ND,検出せず(<4)ND,検出せず(<7) ND,―
648,2013/10/7,2013/10/11,製造者Manufacturer,北海道Hokkaidou,魚肉すり身,魚肉のすり身Minced fish ,一般食品　General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25) ND,―
649,2013/10/7,2013/10/11,製造者Manufacturer,青森県Aomori,いか塩辛,その他の魚介類加工品Other fish products,一般食品　General foods,NaI,検出せず(<11) ND,検出せず(<9)　 ND,検出せず(<25) ND,―
650,2013/10/7,2013/10/11,販売者　　　　Seller,東京都Tokyo,しらす干,その他の魚介類加工品Other fish products,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11)ND,検出せず(<25) ND,―
651,2013/10/7,2013/10/11,販売者　　　　Seller,東京都Tokyo,きざみ茎わかめ,その他の食品Other food,一般食品　General foods,NaI,検出せず(<11) ND,検出せず(<9)ND,検出せず(<25) ND,―
652,2013/10/7,2013/10/11,製造者Manufacturer,北海道Hokkaidou,乳飲料,乳飲料Milk drink,牛乳　　  　 　 　Milk,Ge,検出せず(<0.5) ND,検出せず(<0.6)ND,検出せず(<1.1) ND,―
653,2013/10/7,2013/10/11,製造者Manufacturer,長野県Nagano,乳飲料,乳飲料Milk drink,牛乳　　  　 　 　Milk,Ge,検出せず(<0.4)ND,検出せず(<0.6)ND,検出せず(<1.0) ND,―
654,2013/10/7,2013/10/11,製造者Manufacturer,北海道Hokkaidou,いか塩辛,その他の魚介類加工品Other fish products,一般食品　General foods,NaI,検出せず(<11) ND,検出せず(<10) ND,検出せず(<25) ND,―
655,2013/10/7,2013/10/11,製造者Manufacturer,茨城県Ibaraki,釜ゆでいか(惣菜),その他のそうざい類Ready to eat food,一般食品　General foods,NaI,検出せず(<11)　ND,検出せず(<10) ND,検出せず(<25) ND,―
656,2013/10/7,2013/10/11,製造者Manufacturer,宮城県Miyagi,めかぶ,その他の食品Other food,一般食品　General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25) ND,―
657,2013/10/7,2013/10/11,販売者　　　　Seller,東京都Tokyo,さんま蒲焼,容器包装詰加圧加熱殺菌食品Food packed in containers and sterilized by pressurization and ｈeating,一般食品　General foods,NaI,検出せず(<12)ND,検出せず(<10)ND,検出せず(<25) ND,―
658,2013/10/7,2013/10/11,製造者Manufacturer,北海道Hokkaidou,焼鮭ほぐし(鮭フレーク),その他の魚介類加工品Other fish products,一般食品　General foods,NaI,検出せず(<13)ND,検出せず(<11)ND,検出せず(<25) ND,―
659,2013/10/7,2013/10/11,製造者Manufacturer,長野県Nagano,えのきたけ・味付,その他の農産物加工品(きのこ類)Other processed fungi product,一般食品　General foods,NaI,検出せず(<13) ND,検出せず(<11)　 ND,検出せず(<25) ND,―
660,2013/10/7,2013/10/11,製造者Manufacturer,茨城県Ibaraki,絹ごし豆腐,豆腐Soybean curd (tofu),一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11)ND,検出せず(<25) ND,―
661,2013/10/7,2013/10/11,製造者Manufacturer,栃木県Tochigi,絹ごし豆腐,豆腐Soybean curd (tofu),一般食品　General foods,NaI,検出せず(<12) ND,検出せず(<10)ND,検出せず(<25) ND,―
662,2013/10/7,2013/10/11,販売者　　　　Seller,東京都Tokyo,ゆできしめん,ゆでめん類Boiled noodle,一般食品　General foods,NaI,検出せず(<11) ND,検出せず(<9)ND,検出せず(<25) ND,―
663,2013/10/7,2013/10/11,製造者Manufacturer,兵庫県Hyogo,そば,その他のめん類Other noodle,一般食品　General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25) ND,―
664,2013/10/10,2013/10/11,製造者Manufacturer,青森県Aomori,鶏肉唐揚げ,加熱済みそうざいReady to eat food,一般食品　General foods,NaI,検出せず(<11) ND,検出せず(<10) ND,検出せず(<25) ND,―
665,2013/10/10,2013/10/11,製造者Manufacturer,茨城県Ibaraki,温泉たまご,卵加工品Egg product,一般食品　General foods,NaI,検出せず(<10)　ND,検出せず(<10) ND,検出せず(<25) ND,―
666,2013/10/10,2013/10/11,製造者Manufacturer,静岡県Shizuoka,ポークソーセージ(フランクフルト),加熱食肉製品（加熱後包装）Heated meat products (packed in package after being heat-sterilized),一般食品　General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25) ND,―
667,2013/10/10,2013/10/11,製造者Manufacturer,青森県Aomori,種鶏むね肉と種鶏もも肉の燻製,加熱食肉製品（加熱後包装）Heated meat products (packed in package after being heat-sterilized),一般食品　General foods,NaI,検出せず(<9)ND,検出せず(<9)ND,検出せず(<25) ND,―
668,2013/10/10,2013/10/11,製造者Manufacturer,静岡県Shizuoka,食肉製品(肉だんご),加熱食肉製品（加熱後包装）Heated meat products (packed in package after being heat-sterilized),一般食品　General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25) ND,―
669,2013/10/10,2013/10/11,生産・出荷者Farmer,長野県Nagano,ブドウ,その他の生鮮果実Other fresh fruit,一般食品　General foods,NaI,検出せず(<11) ND,検出せず(<10)　 ND,検出せず(<25) ND,―
670,2013/10/10,2013/10/11,生産・出荷者Farmer,千葉県Chiba,ピーマン,その他の生鮮野菜Other fresh vegetable,一般食品　General foods,NaI,検出せず(<11)　ND,検出せず(<10)ND,検出せず(<25) ND,―
671,2013/10/10,2013/10/11,生産・出荷者Farmer,埼玉県Saitama,キュウリ,うり科野菜Cucurbitaceous vegetable,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,―
672,2013/10/10,2013/10/11,生産・出荷者Farmer,群馬県Gunma,レタス,その他の生鮮野菜Other fresh vegetable,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<10)ND,検出せず(<25) ND,―
673,2013/10/10,2013/10/11,生産・出荷者Farmer,茨城県Ibaraki,ナシ,その他の生鮮果実Other fresh fruit,一般食品　General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25) ND,―
674,2013/10/15,2013/10/18,輸入者　　　Importer,東京都Tokyo,朝食シリアル,その他の穀類加工品Other grain processed product,一般食品　General foods,NaI,検出せず(<12)ND,検出せず(<7)ND,検出せず(<25) ND,原産国：イギリスCountry of origin：United Kingdom 
675,2013/10/15,2013/10/18,販売者　　　　Seller,大阪府Osaka,穀物調整品,その他の穀類加工品Other grain processed product,一般食品　General foods,NaI,検出せず(<13)ND,検出せず(<11)ND,検出せず(<25) ND,原産国：イギリスCountry of origin：United Kingdom 
676,2013/10/15,2013/10/18,輸入者　　　Importer,東京都Tokyo,朝食シリアル,その他の穀類加工品Other grain processed product,一般食品　General foods,NaI,検出せず(<13)ND,検出せず(<11)ND,検出せず(<25) ND,原産国：スイスSwitzerland
677,2013/10/15,2013/10/18,販売者　　　　Seller,東京都Tokyo,有機シリアル加工品,その他の穀類加工品Other grain processed product,一般食品　General foods,NaI,検出せず(<12)ND,検出せず(<10)ND,検出せず(<25) ND,原産国：フランスCountry of origin：France
678,2013/10/15,2013/10/18,輸入者　　　Importer,東京都Tokyo,ミューズリー,その他の穀類加工品Other grain processed product,一般食品　General foods,NaI,検出せず(<12)ND,検出せず(<10)ND,検出せず(<25) ND,原産国：イギリスCountry of origin：United Kingdom 
679,2013/10/15,2013/10/18,輸入者　　　Importer,東京都Tokyo,トマトソース,その他の野菜加工品Other vegetable processed product,一般食品　General foods,NaI,検出せず(<12) ND,検出せず(<10)　 ND,検出せず(<25) ND,原産国：イタリアCountry of origin：Italy
680,2013/10/15,2013/10/18,輸入者　　　Importer,東京都Tokyo,トマトソース,その他の野菜加工品Other vegetable processed product,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11)ND,検出せず(<25) ND,原産国：イタリアCountry of origin：Italy
681,2013/10/15,2013/10/18,輸入者　　　Importer,東京都Tokyo,トマト・ジュースづけ,その他の野菜加工品Other vegetable processed product,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,原産国：イタリアCountry of origin：Italy
682,2013/10/15,2013/10/18,輸入者　　　Importer,東京都Tokyo,にんじん酢漬(刻み),酢漬Pickled vegetable,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,原産国：ドイツCountry of origin：Germany
683,2013/10/15,2013/10/18,輸入者　　　Importer,東京都Tokyo,野菜酢漬,酢漬Pickled vegetable,一般食品　General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25) ND,原産国：ドイツCountry of origin：Germany
684,2013/10/15,2013/10/18,生産・出荷者Farmer,青森県Aomori,ナガイモ,その他の生鮮野菜Other fresh vegetable,一般食品　General foods,NaI,検出せず(<13) ND,検出せず(<11) ND,検出せず(<25) ND,―
685,2013/10/15,2013/10/18,生産・出荷者Farmer,宮城県Miyagi,アオダイズ,大豆（乾燥）Dried soybean,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11) ND,検出せず(<25) ND,―
686,2013/10/15,2013/10/18,製造者Manufacturer,山梨県Yamanashi,押麦,その他の穀物Other grain,一般食品　General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25) ND,―
687,2013/10/15,2013/10/18,採取地　　Sampling point,千葉県Chiba,アジ,その他の鮮魚介類Fresh fish and shellfish,一般食品　General foods,NaI,検出せず(<13)ND,検出せず(<11)ND,検出せず(<25) ND,―
688,2013/10/15,2013/10/18,採取地　　Sampling point,宮城県Miyagi,サケ,その他の鮮魚介類Fresh fish and shellfish,一般食品　General foods,NaI,検出せず(<12)ND,検出せず(<10)ND,検出せず(<25) ND,―
689,2013/10/15,2013/10/18,採取地　　Sampling point,北海道Hokkaidou,タラ,その他の鮮魚介類Fresh fish and shellfish,一般食品　General foods,NaI,検出せず(<12) ND,検出せず(<10)　 ND,検出せず(<25) ND,―
690,2013/10/15,2013/10/18,採取地　　Sampling point,岩手県Iwate,コンブ,その他の食品Other food,一般食品　General foods,NaI,検出せず(<13)　ND,検出せず(<11)ND,検出せず(<25) ND,―
691,2013/10/15,2013/10/18,販売者　　　　Seller,兵庫県Hyogo,緑茶(清涼飲料水),その他の清涼飲料水Other soft drink beverages,飲料水　   Drinking water,Ge,検出せず(<0.6) ND,検出せず(<0.5)ND,検出せず(<1.1) ND,―
692,2013/10/15,2013/10/18,販売者　　　　Seller,埼玉県Saitama,ナチュラルミネラルウォーター,ミネラルウォーター類Mineral water,飲料水　   Drinking water,Ge,検出せず(<0.5) ND,検出せず(<0.4)ND,検出せず(<0.9) ND,―
693,2013/10/15,2013/10/18,販売者　　　　Seller,東京都Tokyo,ナチュラルミネラルウォーター,ミネラルウォーター類Mineral water,一般食品　General foods,Ge,検出せず(<0.3)ND,検出せず(<0.5)ND,検出せず(<0.8) ND,―
694,2013/10/16,2013/10/18,製造者Manufacturer,北海道Hokkaidou,いか塩辛,その他の魚介類加工品Other fish products,一般食品　General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25) ND,―
695,2013/10/16,2013/10/18,製造者Manufacturer,北海道Hokkaidou,魚介類加工品,その他の魚介類加工品Other fish products,一般食品　General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25) ND,―
696,2013/10/16,2013/10/18,製造者Manufacturer,千葉県Chiba,干物ホッケ,その他の魚介類加工品Other fish products,一般食品　General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25) ND,―
697,2013/10/16,2013/10/18,製造者Manufacturer,三重県Mie,青のり(佃煮),その他の食品Other food,一般食品　General foods,NaI,検出せず(<10)ND,検出せず(<8)ND,検出せず(<25) ND,―
698,2013/10/16,2013/10/18,製造者Manufacturer,新潟県Niigata,しょうゆ漬(茎わかめ、野沢菜),しょうゆ漬Pickled vegetable,一般食品　General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25) ND,―
699,2013/10/16,2013/10/18,製造者Manufacturer,新潟県Niigata,しょうゆ漬(刻み)(野沢菜、茎わさび、こんぶ),しょうゆ漬Pickled vegetable,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)　 ND,検出せず(<25) ND,―
700,2013/10/16,2013/10/18,製造者Manufacturer,東京都Tokyo,チルドぎょうざ,その他のそうざい類Ready to eat food,一般食品　General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25) ND,―
701,2013/10/16,2013/10/18,製造者Manufacturer,東京都Tokyo,チルドぎょうざ,その他のそうざい類Ready to eat food,一般食品　General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25) ND,―
702,2013/10/16,2013/10/18,製造者Manufacturer,島根県Shimane,菓子,"その他の菓子・製菓材料Other confection, confectionary material",一般食品　General foods,NaI,検出せず(<7) ND,検出せず(<6)ND,検出せず(<25) ND,―
703,2013/10/16,2013/10/18,製造者Manufacturer,島根県Shimane,菓子,"その他の菓子・製菓材料Other confection, confectionary material",一般食品　General foods,NaI,検出せず(<7)ND,検出せず(<6)ND,検出せず(<25) ND,―
704,2013/10/21,2013/10/25,製造者Manufacturer,長野県Nagano,いちごジャム,その他の果実加工品Other fruit processed product,一般食品　General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25) ND,―
