№,採取日(購入日)Ｓａｍｐｌｉｎｇｄａｔｅ,結果判明日Ｒｅｓｕｌｔｓｏｂｔａｉｎｅｄｄａｔｅ,生産者・製造者・販売者・輸入者等の別Ｆａｒｍｅｒ／Ｍａｎｕｆａｃｔｕｒｅｒ／Ｓｅｌｌｅｒ／Ｉｍｐｏｒｔｅｒ,左記の所在地Ｌｏｃａｔｉｏｎ,品目（Ｉｔｅｍｎａｍｅ）,食品分類Ｃｌａｓｓｉｆｉｃａｔｉｏｎ,食品カテゴリＣａｔｅｇｏｒｙ,検査機器Ｉｎｓｐｅｃｔｉｏｎｉｎｓｔｒｕｍｅｎｔ,検査結果：セシウム－１３４（単位：Ｂｑ／Ｋｇ）Ｒｅｓｕｌｔｓ：Ｃｅｓｉｕｍ－１３４,検査結果：セシウム－１３７（単位：Ｂｑ／Ｋｇ）Ｒｅｓｕｌｔｓ：Ｃｅｓｉｕｍ－１３７,検査結果：セシウム合計（単位：Ｂｑ／Ｋｇ）Ｒｅｓｕｌｔｓ：Ｃｅｓｉｕｍ(ｔｏｔａｌ),備考Ｎｏｔｅｓ
123,2015/5/20,2015/5/29,販売者Seller,東京都Tokyo,ナチュラルミネラルウォーター,ミネラルウォーター類Mineral water,飲料水Drinking water,Ge,検出せず(<0.5)ND,検出せず(<0.6)ND,検出せず(<1.1)ND,―
124,2015/5/20,2015/5/29,販売者Seller,千葉県Chiba,ナチュラルミネラルウォーター,ミネラルウォーター類Mineral water,飲料水Drinking water,Ge,検出せず(<0.6)ND,検出せず(<0.3)ND,検出せず(<0.9)ND,―
125,2015/5/20,2015/5/29,販売者Seller,東京都Tokyo,緑茶,その他の清涼飲料水Other soft drink beverages,飲料水Drinking water,Ge,検出せず(<0.7)ND,検出せず(<0.8)ND,検出せず(<1.5)ND,―
126,2015/5/20,2015/5/29,採取地Sampling point,房総沖off Boso,マサバ,その他の生食用鮮魚介類Fresh fish and shellfish for raw consumption,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
127,2015/5/20,2015/5/29,採取地Sampling point,日立・鹿島沖off Hitachi ・Kashima,マイワシ,その他の生食用鮮魚介類Fresh fish and shellfish for raw consumption,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
128,2015/5/20,2015/5/29,採取地Sampling point,三陸北部沖off northern Sanriku,サンマ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
129,2015/5/20,2015/5/29,採取地Sampling point,千葉県Chiba,ヒラメ,その他の生食用鮮魚介類Fresh fish and shellfish for raw consumption,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<10)ND,検出せず(<25)ND,―
130,2015/5/20,2015/5/29,採取地Sampling point,宮城県Miyagi,マダラ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<13)ND,検出せず(<11)ND,検出せず(<25)ND,―
131,2015/5/28,2015/5/29,生産・出荷者Farmer,群馬県Gunma,キュウリ,ウリ科野菜Cucurbitaceous vegetable,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
132,2015/5/28,2015/5/29,生産・出荷者Farmer,茨城県Ibaraki,トマト,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<9)ND,検出せず(<25)ND,―
133,2015/5/28,2015/5/29,生産・出荷者Farmer,栃木県Tochigi,ブロッコリー,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<9)ND,検出せず(<25)ND,―
134,2015/5/28,2015/5/29,生産・出荷者Farmer,千葉県Chiba,ローメインレタス,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
135,2015/5/28,2015/5/29,生産・出荷者Farmer,青森県Aomori,リンゴ,その他の生鮮果実Other fresh fruit,一般食品General foods,NaI,検出せず(<9)ND,検出せず(<9)ND,検出せず(<25)ND,―
136,2015/5/28,2015/5/29,製造者Manufacturer,長野県Nagano,発酵乳,発酵乳Fermented milk,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
137,2015/5/28,2015/5/29,製造者Manufacturer,岩手県Iwate,発酵乳,発酵乳Fermented milk,一般食品General foods,NaI,検出せず(<9)ND,検出せず(<9)ND,検出せず(<25)ND,―
138,2015/5/28,2015/5/29,製造者Manufacturer,群馬県Gunma,発酵乳,発酵乳Fermented milk,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
139,2015/5/28,2015/5/29,製造者Manufacturer,群馬県Gunma,発酵乳,発酵乳Fermented milk,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
140,2015/5/28,2015/5/29,製造者Manufacturer,長野県Nagano,発酵乳,発酵乳Fermented milk,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
141,2015/5/27,2015/6/3,製造者Manufacturer,栃木県Tochigi,ベーコン,加熱食肉製品（加熱後包装）heated meat products (packed in package after being heat-sterilized),一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
142,2015/5/27,2015/6/3,製造者Manufacturer,栃木県Tochigi,ボンレスハム,加熱食肉製品（加熱後包装）heated meat products (packed in package after being heat-sterilized),一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
143,2015/5/27,2015/6/3,製造者Manufacturer,岩手県Iwate,ボンレスハム,加熱食肉製品（加熱後包装）heated meat products (packed in package after being heat-sterilized),一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
144,2015/5/27,2015/6/3,製造者Manufacturer,岩手県Iwate,ローストチキン,加熱食肉製品（加熱後包装）heated meat products (packed in package after being heat-sterilized),一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
145,2015/5/27,2015/6/3,販売者Seller,東京都Tokyo,サラダ,サラダSalad,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
146,2015/5/27,2015/6/3,生産・出荷者Farmer,群馬県Gunma,レタス,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
147,2015/5/27,2015/6/3,生産・出荷者Farmer,茨城県Ibaraki,ピーマン,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
148,2015/5/27,2015/6/3,生産・出荷者Farmer,千葉県Chiba,キャベツ,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
149,2015/5/27,2015/6/3,生産・出荷者Farmer,埼玉県Saitama,キュウリ,ウリ科野菜Cucurbitaceous vegetable,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
150,2015/5/27,2015/6/3,生産・出荷者Farmer,青森県Aomori,リンゴ,リンゴApple,一般食品General foods,NaI,検出せず(<13)ND,検出せず(<11)ND,検出せず(<25)ND,―
151,2015/5/27,2015/6/3,製造者Manufacturer,岩手県Iwate,牛乳,牛乳Cow's milk,牛乳Milk,Ge,検出せず(<0.9)ND,検出せず(<0.9)ND,検出せず(<1.8)ND,―
152,2015/5/27,2015/6/3,製造者Manufacturer,栃木県Tochigi,牛乳,牛乳Cow's milk,牛乳Milk,Ge,検出せず(<0.7)ND,検出せず(<0.7)ND,検出せず(<1.4)ND,―
153,2015/5/27,2015/6/3,製造者Manufacturer,群馬県Gunma,乳飲料,乳飲料Milk drink,牛乳Milk,Ge,検出せず(<0.8)ND,検出せず(<0.7)ND,検出せず(<1.5)ND,―
154,2015/5/27,2015/6/3,製造者Manufacturer,岩手県Iwate,牛乳,牛乳Cow's milk,牛乳Milk,Ge,検出せず(<0.7)ND,検出せず(<0.9)ND,検出せず(<1.6)ND,―
155,2015/5/27,2015/6/3,製造者Manufacturer,北海道Hokkaido,牛乳,牛乳Cow's milk,牛乳Milk,Ge,検出せず(<0.7)ND,検出せず(<0.7)ND,検出せず(<1.4)ND,―
156,2015/5/27,2015/6/3,製造者Manufacturer,宮城県Miyagi,メカブ,その他の食品Other food,一般食品General foods,NaI,検出せず(<13)ND,検出せず(<11)ND,検出せず(<25)ND,―
157,2015/5/27,2015/6/3,製造者Manufacturer,宮城県Miyagi,塩蔵ワカメ,その他の食品Other food,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
158,2015/5/27,2015/6/3,製造者Manufacturer,宮城県Miyagi,魚肉ねり製品,魚肉ねり製品Fish-paste products,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
159,2015/5/27,2015/6/3,製造者Manufacturer,山形県Yamagata,惣菜,加熱済みそうざいReady to eat food,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
160,2015/5/27,2015/6/3,販売者Seller,宮城県Miyagi,サバ味噌,その他の魚介類加工品Other fish products,一般食品General foods,NaI,検出せず(<13)ND,検出せず(<8)ND,検出せず(<25)ND,―
161,2015/6/4,2015/6/5,製造者Manufacturer,群馬県Gunma,発酵乳,発酵乳Fermented milk,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
162,2015/6/4,2015/6/5,製造者Manufacturer,埼玉県Saitama,プロセスチーズ,プロセスチーズProcessed cheese,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
163,2015/6/4,2015/6/5,製造者Manufacturer,東京都Tokyo,発酵乳,発酵乳Fermented milk,一般食品General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25)ND,―
164,2015/6/4,2015/6/5,製造者Manufacturer,栃木県Tochigi,発酵乳,発酵乳Fermented milk,一般食品General foods,NaI,検出せず(<9)ND,検出せず(<9)ND,検出せず(<25)ND,―
165,2015/6/4,2015/6/5,製造者Manufacturer,長野県Nagano,発酵乳,発酵乳Fermented milk,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
166,2015/6/4,2015/6/5,生産・出荷者Farmer,青森県Aomori,リンゴ,その他の生鮮果実Other fresh fruit,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
167,2015/6/4,2015/6/5,生産・出荷者Farmer,茨城県Ibaraki,スイカ,その他の生鮮果実Other fresh fruit,一般食品General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25)ND,―
168,2015/6/4,2015/6/5,生産・出荷者Farmer,茨城県Ibaraki,ダイコン,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
169,2015/6/4,2015/6/5,生産・出荷者Farmer,岩手県Iwate,ホウレンソウ,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
170,2015/6/4,2015/6/5,生産・出荷者Farmer,福島県Fukushima,キュウリ,ウリ科野菜Cucurbitaceous vegetable,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
171,2015/6/3,2015/6/9,輸入者Importer,東京都Tokyo,ナチュラルチーズ,ナチュラルチーズNatural cheese,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,原産国：フランスCountry of origin：France
172,2015/6/3,2015/6/9,輸入者Importer,東京都Tokyo,ナチュラルチーズ,ナチュラルチーズNatural cheese,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,原産国：デンマークCountry of origin：Denmark
173,2015/6/3,2015/6/9,輸入者Importer,東京都Tokyo,マスタード,その他の調味料Other seasoning,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<10)ND,検出せず(<25)ND,原産国：フランスCountry of origin：France
174,2015/6/3,2015/6/9,輸入者Importer,東京都Tokyo,キャベツ（塩漬け）,その他のつけ物Pickled vegetable,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,原産国：ドイツCountry of origin：Germany
175,2015/6/3,2015/6/9,輸入者Importer,神奈川県Kanagawa,マカロニ,その他の穀類加工品Other grain product,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,原産国：イタリアCountry of origin：Italy
176,2015/6/3,2015/6/9,輸入者Importer,東京都Tokyo,トマトソース,ソース類Sauce,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,原産国：イタリアCountry of origin：Italy
177,2015/6/3,2015/6/9,輸入者Importer,大阪府Osaka,マーマレード,その他の果実加工品Other fruit processed product,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,原産国：イギリスCountry of origin：United Kingdom
178,2015/6/3,2015/6/9,輸入者Importer,大阪府Osaka,レモンカード,その他の果実加工品Other fruit processed product,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,原産国：イギリスCountry of origin：United Kingdom
179,2015/6/3,2015/6/9,輸入者Importer,大阪府Osaka,アンズジャム,その他の果実加工品Other fruit processed product,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,原産国：イギリスCountry of origin：United Kingdom
180,2015/6/3,2015/6/9,輸入者Importer,大阪府Osaka,イチゴジャム,その他の果実加工品Other fruit processed product,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<8)ND,検出せず(<25)ND,原産国：イギリスCountry of origin：United Kingdom
181,2015/6/10,2015/6/17,採取地Sampling point,宮城県Miyagi,タラ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
182,2015/6/10,2015/6/17,採取地Sampling point,宮城県Miyagi,ギンザケ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
183,2015/6/10,2015/6/17,採取地Sampling point,青森県Aomori,イナダ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
184,2015/6/10,2015/6/17,採取地Sampling point,宮城県Miyagi,モウカザメ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<13)ND,検出せず(<11)ND,検出せず(<25)ND,―
185,2015/6/10,2015/6/17,採取地Sampling point,千葉県Chiba,マアジ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<13)ND,検出せず(<11)ND,検出せず(<25)ND,―
186,2015/6/10,2015/6/17,加工者Processor,岩手県Iwate,鶏肉,食鳥肉Poultry meat,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
187,2015/6/10,2015/6/17,加工者Processor,青森県Aomori,鶏肉,食鳥肉Poultry meat,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
188,2015/6/10,2015/6/17,選別包装者Grading packager,茨城県Ibaraki,鶏卵,鶏卵Poultry eggs,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
189,2015/6/10,2015/6/17,選別包装者Grading packager,群馬県Gunma,鶏卵,鶏卵Poultry eggs,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<10)ND,検出せず(<25)ND,―
190,2015/6/10,2015/6/17,選別包装者Grading packager,群馬県Gunma,鶏卵,鶏卵Poultry eggs,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
191,2015/6/10,2015/6/17,製造者Manufacturer,長野県Nagano,エノキタケ味付,その他の農産物加工品(きのこ類)Other processed fungi product,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
192,2015/6/10,2015/6/17,販売者Seller,群馬県Gunma,コンニャク,その他の農産物加工品Other processed farm product,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<10)ND,検出せず(<25)ND,―
193,2015/6/10,2015/6/17,販売者Seller,東京都Tokyo,木綿豆腐,豆腐Soybean curd (tofu),一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
194,2015/6/10,2015/6/17,製造者Manufacturer,群馬県Gunma,絹豆腐,豆腐Soybean curd (tofu),一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
195,2015/6/10,2015/6/17,製造者Manufacturer,新潟県Niigata,切餅,もちRice cake,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
196,2015/6/10,2015/6/17,製造者Manufacturer,茨城県Ibaraki,牛乳,牛乳Cow's milk,牛乳Milk,Ge,検出せず(<0.9)ND,検出せず(<0.8)ND,検出せず(<1.7)ND,―
197,2015/6/10,2015/6/17,製造者Manufacturer,千葉県Chiba,牛乳,牛乳Cow's milk,牛乳Milk,Ge,検出せず(<0.7)ND,検出せず(<0.9)ND,検出せず(<1.6)ND,―
198,2015/6/10,2015/6/17,製造者Manufacturer,岩手県Iwate,牛乳,牛乳Cow's milk,牛乳Milk,Ge,検出せず(<0.8)ND,検出せず(<0.4)ND,検出せず(<1.2)ND,―
199,2015/6/10,2015/6/17,製造者Manufacturer,群馬県Gunma,成分調整牛乳,成分調整牛乳Composition modified milk,牛乳Milk,Ge,検出せず(<0.7)ND,検出せず(<0.7)ND,検出せず(<1.4)ND,―
200,2015/6/10,2015/6/17,製造者Manufacturer,茨城県Ibaraki,乳飲料,乳飲料Milk drink,牛乳Milk,Ge,検出せず(<0.7)ND,検出せず(<0.6)ND,検出せず(<1.3)ND,―
201,2015/6/18,2015/6/19,採取地Sampling point,静岡県Shizuoka,イナダ,その他の生食用鮮魚介類Fresh fish and shellfish for raw consumption,一般食品General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25)ND,―
202,2015/6/18,2015/6/19,採取地Sampling point,静岡県Shizuoka,カツオ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25)ND,―
203,2015/6/18,2015/6/19,採取地Sampling point,神奈川県Kanagawa,サワラ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25)ND,―
204,2015/6/18,2015/6/19,採取地Sampling point,宮城県Miyagi,ギンザケ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25)ND,―
205,2015/6/18,2015/6/19,採取地Sampling point,静岡県Shizuoka,マグロ,その他の生食用鮮魚介類Fresh fish and shellfish for raw consumption,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<5)ND,検出せず(<25)ND,―
