"施設名称","施設郵便番号","施設所在地","施設方書","確認日","確認番号"
"ＭＡＲＳ（マルス）","107-0062","東京都港区南青山五丁目6番9号","サウス青山マンション 501","2012/11/28","24港み生環き第112号"
"ｍａＷａＲｕ（マワル）","107-0062","東京都港区南青山五丁目6番9号","サウス青山 503","2014/5/28","26港み生環き第24号"
"ヘアセット専門店　Ｍａｔｕｒｅ","107-0062","東京都港区南青山五丁目6番9号","サウス青山マンション306","2020/10/20","2港み生環き第148号"
"松下事務所","107-0062","東京都港区南青山五丁目6番9号","サウス青山マンション304号","2021/7/13","3港み生環き第68号"
"ｋａｋｉｍｏｔｏ　ａｒｍｓ　（カキモト　アームズ）青山店","107-0062","東京都港区南青山五丁目6番12号","モンドビル 1、2階","1999/10/7","11港み生環き第85号"
"Ｃａｎｎａ","107-0062","東京都港区南青山五丁目6番16号","スズカタビル1階","2021/3/11","2港み生環き第226号"
"Ｎａｉｌ＆Ｅｙｅｌａｓｈ　Ｐａｓｈａ","107-0062","東京都港区南青山五丁目6番16号","スズカタビルA2","2023/4/25","5港み生環き第10号"
"Ｖｅｒｉｔａ（ベリタ）","107-0062","東京都港区南青山五丁目6番22号","渡辺ビル 地下1階","2007/1/22","18港み生環き第122号"
"イートン・クロップ","107-0062","東京都港区南青山五丁目6番22号","渡辺ビル 3階","1988/10/5","63港赤総衛環き第16号"
"ｔｒｉｃｏｔ（トリコ）","107-0062","東京都港区南青山五丁目6番23号","spiral 6階","2019/2/7","30港み生環き第171号"
"ワコールアートセンター：アモ園","107-0062","東京都港区南青山五丁目6番23号","7階","1985/10/16","60港赤保衛環き第18号"
"ＴＨＥＡＴＥＲ（シアター）","107-0062","東京都港区南青山五丁目6番24号","南青山ステラハウス 2階","2017/12/22","29港み生環き第167号"
"ＫＩＮＧＤＯＭ（キングダム）","107-0062","東京都港区南青山五丁目6番24号","バルビゾン23 地下1階","2017/9/28","29港み生環き第107号"
"ダイヤモンドラッシュ表参道店","107-0062","東京都港区南青山五丁目6番24号",,"2014/6/6","26港み生環き第40号"
"ｐｅｎｅｌｏｐｅ（ペネロピ）","107-0062","東京都港区南青山五丁目6番24号","南青山ステラハウス 8階","2013/3/29","24港み生環き第185号"
"ＡＦＬＯＡＴ　Ｄ’Ｌ（アフロート　ディル）","107-0062","東京都港区南青山五丁目6番26号","青山246ビル 4階","2015/8/26","27港み生環き第97号"
"（ケィ・トゥー　エメ）Ｋ－ｔｗｏ　ｅｍｅ","107-0062","東京都港区南青山五丁目7番21号","芥川ビル 地下1階","2009/3/24","20港み生環き第171号"
"ＲＯＩ（ロイ）","107-0062","東京都港区南青山五丁目7番21号","芥川青山ビル 地下1階","2014/3/31","25港み生環き第203号"
"ｉｅｔｔｏ（イエット）","107-0062","東京都港区南青山五丁目7番23号","始弘ビル 地下1階","2017/8/30","29港み生環き第81号"
"ＡＢＢＥＹ　アビー","107-0062","東京都港区南青山五丁目7番23号","始弘ビル 2階","2015/8/19","27港み生環き第99号"
"ＧＬＡＤ","107-0062","東京都港区南青山五丁目7番23号","始弘ビル 地下1階","2021/11/29","3港み生環き第173号"
"ｂｌｕｅ　ｆａｃｅｓ　表参道（ブルーフェーセス）","107-0062","東京都港区南青山五丁目8番1号","セーヌアキラ 地下1階","2009/5/25","21港み生環き第29号"
"メランジ","107-0062","東京都港区南青山五丁目8番3号","エクボ南青山 3階","2005/12/2","17港み生環き第104号"
"Ｔｉａｒａ　ｏｍｏｔｅｓａｎｄｏ（ティアラ　オモテサンドウ）","107-0062","東京都港区南青山五丁目8番11号","萬楽庵ビル1　4階","2018/11/22","30港み生環き第130号"
"Ｄｒｅｓｓ（ドレス）","107-0062","東京都港区南青山五丁目8番11号","萬楽庵ビル1　6階","2018/1/30","29港み生環き第197号"
"ＣＩＴＹ","107-0062","東京都港区南青山五丁目8番11号","地下2階","2020/1/29","31港み生環き第208号"
"ＶＩＥ","107-0062","東京都港区南青山五丁目9番3号","3階","2021/4/30","3港み生環き第10号"
"ＤａＢ　ＡＯＹＡＭＡ","107-0062","東京都港区南青山五丁目9番4号","NAKAJIMA BLDG.1階","2021/10/1","3港み生環き第119号"
"ルーム","107-0062","東京都港区南青山五丁目9番8号","青山五番館 2階","2000/10/5","12港み生環き第68号"
"Ａｆｆｉｎｉｔａ（アフィニータ）","107-0062","東京都港区南青山五丁目9番10号","サンク青山 3階","2014/5/28","26港み生環き第14号"
"Ａｆｆｉｎｉｔａ２（アフィニータ）","107-0062","東京都港区南青山五丁目9番10号","サンク青山 4階","2017/11/9","29港み生環き第142号"
"ＶＩＥ（ヴィー）","107-0062","東京都港区南青山五丁目9番10号","サンク青山 7階","2018/4/24","30港み生環き第1号"
"ＶＩＥ（ヴィー）２","107-0062","東京都港区南青山五丁目9番10号","サンク青山 8階","2018/4/24","30港み生環き第2号"
"ＣＬＡＳＳＥ","107-0062","東京都港区南青山五丁目9番10号","サンク青山6階","2022/4/25","3港み生環き第278号"
"ブレスネイル","107-0062","東京都港区南青山五丁目9番21号","青南ビル 3階","2015/11/10","27港み生環き第144号"
"Ｖｉｏｌｅｔ（バイオレット）","107-0062","東京都港区南青山五丁目10番1号","H2 AOYAMA BLDG 3、4階","2017/11/1","29港み生環き第126号"
"Ａｓｈｅｒａ　ＡＯＹＡＭＡ　　（アシェラ　アオヤマ）","107-0062","東京都港区南青山五丁目10番1号","二葉ビル 2階","2010/9/24","22港み生環き第104号"
"ｓｅａｓｏｎｓ（シーズンズ）","107-0062","東京都港区南青山五丁目10番1号","二葉ビル 2階","2018/11/30","30港み生環き第128号"
"Ｔｈｒｅｅｅ（スリー）","107-0062","東京都港区南青山五丁目10番1号","二葉ビル 8階","2016/6/21","28港み生環き第44号"
"シンデレラクィーン","107-0062","東京都港区南青山五丁目10番1号","二葉ビル 9階","2013/2/12","24港み生環き第167号"
"Ｓａｍ’ｓ　ｈａｉｒ　ｗｏｒｋｓ　（サムズヘアーワークス）","107-0062","東京都港区南青山五丁目10番1号","二葉ビル 10階","2010/10/5","22港み生環き第109号"
"ＣＩＴＹ","107-0062","東京都港区南青山五丁目10番1号","二葉ビル6階","2021/12/3","3港み生環き第172号"
"ジャム美容室","107-0062","東京都港区南青山五丁目10番5号",,"1996/11/29","8港赤総衛環き第21号"
"ｂｅａｕｔｙ　ｓａｌｏｎ　Ｒ（ビューティーサロンアール）","107-0062","東京都港区南青山五丁目10番5号","青山ハイツ 603","2013/4/10","25港み生環き第3号"
"アイボリー","107-0062","東京都港区南青山五丁目10番5号","青山ハイツ 903","2012/2/22","23港み生環き第146号"
"ＡＭＰＨＩ　ｎａｉｌ＆ｅｙｅｌａｓｈ","107-0062","東京都港区南青山五丁目10番5号","青山ハイツ802号","2020/4/9","31港み生環き第297号"
"♯ｐｅｉｌ","107-0062","東京都港区南青山五丁目10番5号","青山ハイツ603","2022/2/9","3港み生環き第232号"
"白鳳堂　青山店","107-0062","東京都港区南青山五丁目10番6号","テラアシオス 3階","2003/12/24","15港み生環き第108号"
"ＨＡＩＲ　ＮＩＸ","107-0062","東京都港区南青山五丁目10番14号",,"1998/3/20","9港赤総衛環き第51号"
"アイラッシュサロン　７５．","107-0062","東京都港区南青山五丁目10番14号","オークリッジ 301","2022/10/27","4港み生環き第120号"
"ＬＩＬ","107-0062","東京都港区南青山五丁目10番14号","オークリッジ南青山201","2022/11/15","4港み生環き第137号"
"ｂｒｉｓａ青山（ブリッサ）","107-0062","東京都港区南青山五丁目10番17号","グランツキステン 1階","2013/2/6","24港み生環き第159号"
"ＺＵＡ（ズーア）","107-0062","東京都港区南青山五丁目10番18号","サクラビル 3階","2003/11/12","15港み生環き第99号"
"Ｆｉｉｃａ（フィーカ）","107-0062","東京都港区南青山五丁目10番18号","サクラビル3階","2023/3/14","4港み生環き第222号"
"ＴＲＩＧＧＥＲ【トリガー】表参道メンズ専門眉毛サロン","107-0062","東京都港区南青山五丁目10番19号","塩田ビル6階","2022/2/15","3港み生環き第235号"
"ｍｅｓａｎｇｅｓ（メザンジュ）","107-0062","東京都港区南青山五丁目10番21号","佐伯ビル 3階","2014/9/22","26港み生環き第105号"
"ｓｉｒａｔａ（シラタ）","107-0062","東京都港区南青山五丁目11番1号","櫻井ビル 地下1階","2012/11/9","24港み生環き第119号"
"ＢＡＲＢÈＳ　ＴＯＫＹＯ（バルベス　トーキョー）　　　　","107-0062","東京都港区南青山五丁目11番1号","櫻井ビル 地下1階","2019/3/5","30港み生環き第200号"
"ＨＥＡＤ　ＳＰＡ　Ｋｕｕ　表参道","107-0062","東京都港区南青山五丁目11番2号","SANWA南青山ビル6階","2023/5/2","5港み生環き第9号"
"ｎｅｘ　ｔｈｅ　ｓａｌｏｎ","107-0062","東京都港区南青山五丁目11番5号","住友南青山ビル地下1階","2019/4/24","31港み生環き第3号"
"ＧＵＮＨＥＥ　ＡＯＹＡＭＡ（ゴニ　アオヤマ）","107-0062","東京都港区南青山五丁目11番9号","レキシントン青山 2階","2009/11/19","21港み生環き第107号"
"ａＱｕｂｉ．","107-0062","東京都港区南青山五丁目11番10号","南青山511ビル地下1階 S区画","2021/5/31","3港み生環き第26号"
"Ｖａｒｄｙ","107-0062","東京都港区南青山五丁目11番10号","南青山511ビル 1階 SALONS A区画","2021/5/31","3港み生環き第29号"
"ｓｅｅ","107-0062","東京都港区南青山五丁目11番10号","511ビル 1階 B区画","2021/5/31","3港み生環き第30号"
"Ａｍｉ","107-0062","東京都港区南青山五丁目11番10号","南青山511ビル地下1階P","2021/5/31","3港み生環き第34号"
"ＡＫＫＡ","107-0062","東京都港区南青山五丁目11番10号","511ビル 1階 THE SALONS C区画","2021/5/31","3港み生環き第35号"
"Ｌｅｈｍ","107-0062","東京都港区南青山五丁目11番10号","南青山511ビル 地下1階 Q区画","2021/5/31","3港み生環き第36号"
"Ａｇｎｏｓ　青山","107-0062","東京都港区南青山五丁目11番10号","南青山511ビル 3階","2021/5/21","3港み生環き第41号"
"Ｌａｆｔａｌｅ","107-0062","東京都港区南青山五丁目11番10号","南青山511ビル 1階 D","2021/5/31","3港み生環き第45号"
"ＳＰＡＳＳＯ","107-0062","東京都港区南青山五丁目11番10号","The SALONS 地下1階 R区画","2021/6/30","3港み生環き第57号"
"ＴＨＥ　ＳＡＬＯＮＳ　Ｌａｂ","107-0062","東京都港区南青山五丁目11番10号","南青山511ビル地下1階 O区画","2021/6/30","3港み生環き第60号"
"ｓｗａｇ　ｔｏｋｙｏ","107-0062","東京都港区南青山五丁目11番10号","南青山511ビル 1階 F区画","2021/7/7","3港み生環き第65号"
"ＭＵＳＥ．ｉｎｃ","107-0062","東京都港区南青山五丁目11番10号","南青山511ビル1階 THE SALONS内 H区画","2021/7/1","3港み生環き第69号"
"Ｂｌｕｅ　Ｍｉｎｄ","107-0062","東京都港区南青山五丁目11番10号","地下1階 N区画 南青山511ビル","2021/7/13","3港み生環き第72号"
"ＣＥＮＤ．","107-0062","東京都港区南青山五丁目11番10号","南青山511ビル 地下1階 J区画","2021/10/4","3港み生環き第129号"
"Ｃｈａｒｍ","107-0062","東京都港区南青山五丁目11番10号","南青山511ビル 地下1階 M区画","2021/10/28","3港み生環き第145号"
"Ｈａｖｅ　Ａ　Ｎｉｃｅ　Ｄａｙ","107-0062","東京都港区南青山五丁目11番10号","南青山511ビル THE SALONS内 E区画","2022/1/11","3港み生環き第211号"
"髪質改善・トリートメント専門店　ｔｒｅａｔｍｅｎｔ　Ａ（トリートメント　エー）表参道店","107-0062","東京都港区南青山五丁目11番10号","511ビル地下1階L区画","2022/3/16","3港み生環き第262号"
"Ｒｉｎｔｒａｃｅ","107-0062","東京都港区南青山五丁目11番10号","地下1階-R区画","2022/3/28","3港み生環き第265号"
"ｌｉｉｌ","107-0062","東京都港区南青山五丁目11番10号","南青山511ビル 1階 F区画","2022/9/22","4港み生環き第84号"
"Ｌｏｙ","107-0062","東京都港区南青山五丁目11番10号","南青山511ビル1階E区画","2023/8/3","5港み生環き第93号"
"くせ毛カット専門美容室ｋｕｓｅｔｔｅ","107-0062","東京都港区南青山五丁目11番10号","南青山511ビル1階H区画","2023/8/15","5港み生環き第96号"
"Ｌｅｈｍ","107-0062","東京都港区南青山五丁目11番10号","南青山511ビル1階I区画","2024/2/5","5港み生環き第220号"
"９２４０　ｈａｉｒ　ｒｏｏｔｓ　ｌａｂ","107-0062","東京都港区南青山五丁目11番10号","南青山511ビル THE SALONS内 1階G区画","2024/2/29","5港み生環き第239号"
"ＥＳＳＥＮＣＩＡ","107-0062","東京都港区南青山五丁目11番10号","南青山511ビル地下1階Q区画","2024/3/26","5港み生環き第262号"
"Ｌｉｎｄａ（リンダ）","107-0062","東京都港区南青山五丁目11番18号","南青山アイビーハウス 3、4階","2017/1/18","28港み生環き第150号"
"ＢＡＲＢÈＳ　ＴＯＫＹＯ　ＳＯＵＴＨ","107-0062","東京都港区南青山五丁目11番22号","テラス南青山106号室","2021/5/27","3港み生環き第27号"
"ＦｕＫｕＬｕＬｕ　ｈａｉｒｅ　ｍａｋｅ－ｕｐ","107-0062","東京都港区南青山五丁目11番23号",,"1995/4/26","7港赤総衛環き第3号"
"Ｂｅａｕｔｙ　＆　Ｒｅｃｏｖｅｒｙ　Ｈａｕｔ　ｌｅｓ　Ｍａｉｎｓ","107-0062","東京都港区南青山五丁目11番23号","onodera201","2020/4/9","31港み生環き第288号"
"ヌーベルモード","107-0062","東京都港区南青山五丁目12番2号","倉沢ビル2階","2020/5/26","2港み生環き第45号"
"松本平太郎美容室　青山店","107-0062","東京都港区南青山五丁目12番4号",,"2003/2/28","14港み生環き第144号"
"ｋａｍｉｄｏｋｏ（カミドコ）","107-0062","東京都港区南青山五丁目12番5号","第一和田ビル202","2009/4/28","21港み生環き第15号"
"ＭＡＴＩＲＤＥ（マチルダ）","107-0062","東京都港区南青山五丁目12番5号","和田ビル 2階","2016/10/7","28港み生環き第118号"
"ｔｏｈｋａ","107-0062","東京都港区南青山五丁目12番5号","青山第1和田ビル201","2022/8/19","4港み生環き第66号"
"ｔｏｈｋａ","107-0062","東京都港区南青山五丁目12番5号","青山第一和田ビル201","2023/8/29","5港み生環き第112号"
"ａｒ　ｃｌｉｐ（アールクリップ）","107-0062","東京都港区南青山五丁目12番6号","英ビル 2階","2014/2/26","25港み生環き第181号"
"Ｐｒｉｖａｔｅ　Ｓａｌｏｎ　ｂｙ　ＡＹＯＭＯＴ（プライベートサロン　バイ　アヨモット）","107-0062","東京都港区南青山五丁目12番6号","英ビル 2階","2015/4/9","26港み生環き第221号"
"ａｐｉｓｈ　ＡＯＹＡＭＡ（アピッシュ　アオヤマ）","107-0062","東京都港区南青山五丁目12番6号","青山第二和田ビル 2階","2014/9/9","26港み生環き第91号"
"Ｎｕａｇｅ’表参道","107-0062","東京都港区南青山五丁目12番6号","英ビル3階","2023/2/17","4港み生環き第207号"
"ｅｆｆｅｃｔ　（エフェクト）","107-0062","東京都港区南青山五丁目12番11号","エラン南青山102","2011/5/9","23港み生環き第12号"
"ＡＹＯＭＯＴ　（アヨモット）","107-0062","東京都港区南青山五丁目12番27号","ワイズ512-201、202号","2014/4/21","26港み生環き第4号"
"有限会社アクロシェ・クールピュール","107-0062","東京都港区南青山五丁目12番27号","WISE512 501","2018/5/29","30港み生環き第23号"
"ＲｕＲｕ","107-0062","東京都港区南青山五丁目12番27号","WISE512 505号室","2023/8/15","5港み生環き第102号"
"ａｉｌｅ　ｌａｓｈ　表参道","107-0062","東京都港区南青山五丁目12番27号","Wise512 202号室","2023/10/17","5港み生環き第132号"
"Ｒｒ　Ｓａｌｏｎ　ＡＯＹＡＭＡ","107-0062","東京都港区南青山五丁目13番1号","CISCビル 3階","2019/3/27","30港み生環き第219号"
"Ｒｏｏｐｓ","107-0062","東京都港区南青山五丁目13番1号","第42荒井ビル2階","2021/1/15","2港み生環き第189号"
"ル・シエール","107-0062","東京都港区南青山五丁目13番2号","池田ビル 2階","1992/10/8","4港赤総衛環き第15号"
"ＮｅＸＴ","107-0062","東京都港区南青山五丁目13番2号","CISCビル5階","2020/5/12","2港み生環き第28号"
"ｈｅｒｍｏｓａｅｓ","107-0062","東京都港区南青山五丁目13番2号","菊家ビル8階","2021/3/18","2港み生環き第222号"
"ｎａｕｇｈｔｙ　ＡＯＹＡＭＡ","107-0062","東京都港区南青山五丁目13番2号","CISCビル5階","2021/4/12","3港み生環き第4号"
"Ｒｅｇｅｎ　Ｌａｂ","107-0062","東京都港区南青山五丁目13番2号","CISCビル3階","2021/7/19","3港み生環き第83号"
"ＧＩＦＴ　ＡＯＹＡＭＡ","107-0062","東京都港区南青山五丁目13番2号","CISCビル 2階","2022/4/7","3港み生環き第272号"
"Ｈｅａｒｔ’ｓ　白髪ぼかし専門サロン　６Ｆ","107-0062","東京都港区南青山五丁目13番2号","CISCビル6階","2023/4/17","4港み生環き第251号"
"Ｈｅａｒｔ’ｓ　白髪ぼかし専門サロン　５Ｆ","107-0062","東京都港区南青山五丁目13番2号","CISCビル5階","2023/4/17","4港み生環き第252号"
"Ｎｏｅｕｌ　ノウル　表参道店","107-0062","東京都港区南青山五丁目13番2号","菊家ビル6階","2024/1/19","5港み生環き第207号"
"ＳＥＮＳＥ　ＯＦ　ＨＵＭＯＵＲ　","107-0062","東京都港区南青山五丁目14番3号","青山ライズビルディング地下1階","2020/3/26","31港み生環き第281号"
"ＡＲＴＥ　－ＡＯＹＡＭＡ－","107-0062","東京都港区南青山五丁目14番3号","青山ライズビル3階","2022/6/30","4港み生環き第40号"
"ａｕｒａ（アウラ）","107-0062","東京都港区南青山五丁目14番9号","TKグリーンヒルA棟 1階","2014/3/10","25港み生環き第187号"
"ｙｉｙｅ　ａｏｙａｍａ","107-0062","東京都港区南青山五丁目16番2号","ティスモタイキ南青山3階","2024/1/19","5港み生環き第209号"
"ｎｉｃｅ（ナイス）","107-0062","東京都港区南青山五丁目16番3号","メゾン青南202","2010/8/9","22港み生環き第86号"
"ａｕｘ．","107-0062","東京都港区南青山五丁目16番3号","メゾン青南301号","2021/9/16","3港み生環き第99号"
"ｅｎｏｏ","107-0062","東京都港区南青山五丁目16番3号","メゾン青南902","2022/10/20","4港み生環き第108号"
"ｈａｉｒ　ｓａｌｏｎ　ＳＨＩＳＥＩ","107-0062","東京都港区南青山五丁目16番3号","メゾン青南302号","2023/3/3","4港み生環き第221号"
"ＦＡＣＥ－Ｔ","107-0062","東京都港区南青山五丁目17番2号","シドニービル2階","2019/5/30","31港み生環き第33号"
"ｅｙｅｌａｓｈ　ＭＡＲＩ　ａｏｙａｍａ（アイラッシュ　マリ　アオヤマ）","107-0062","東京都港区南青山五丁目17番2号","シドニービル803","2017/5/11","29港み生環き第17号"
"ＳＰＲＩＮＧ（スプリング）","107-0062","東京都港区南青山五丁目17番2号","ライオンズマンション南青山シドニービル503号","2015/9/25","27港み生環き第117号"
"サロン・ド・シャイン南青山","107-0062","東京都港区南青山五丁目17番2号","南青山シドニービル802","2021/12/8","3港み生環き第185号"
"Ｍｓｉｓ　表参道店","107-0062","東京都港区南青山五丁目17番2号","ライオンズマンション南青山シドニービル703","2022/3/11","3港み生環き第247号"
"ＬＵＣＩＥＯ","107-0062","東京都港区南青山五丁目17番2号","シドニービル1001号室","2022/3/3","3港み生環き第249号"
"ＰＡＤＭＡ　（パドマ）","107-0062","東京都港区南青山五丁目17番6号","青山グリーンハイツ 303","2001/6/12","13港み生環き第31号"
"Ｃｈｅｚ　Ｍａｄｅ（チェズ　メイド）","107-0062","東京都港区南青山五丁目18番10号","東京モリスビル第3 地下1階","2019/3/12","30港み生環き第187号"
"ＡＮＴＩ（アンティ）","107-0062","東京都港区南青山六丁目1番3号","コレッツオーネ 2階","2014/9/24","26港み生環き第106号"
"ヘアーディメンション・４","107-0062","東京都港区南青山六丁目1番3号","コレッツィオーネ 4階","2000/12/20","12港み生環き第101号"
"有限会社　ハッシ","107-0062","東京都港区南青山六丁目1番6号","パレス青山103-B号室","1997/4/28","9港赤総衛環き第1号"
"ＴＨＥ　ＨＡＩＲ　（ザ　ヘア）","107-0062","東京都港区南青山六丁目1番6号","パレス青山201","2010/4/7","21港み生環き第168号"
"ＯＤＩＬＥ（オディール）","107-0062","東京都港区南青山六丁目1番6号","パレス青山507","2014/9/29","26港み生環き第108号"
"Ｒｉｎ（リン）","107-0062","東京都港区南青山六丁目1番6号","パレス青山705","2015/2/23","26港み生環き第194号"
"サンリッチバイワンエイティーデグリース","107-0062","東京都港区南青山六丁目1番32号","南青ハイツ214号","2019/8/1","31港み生環き第79号"
"ビノア．シルドール","107-0062","東京都港区南青山六丁目2番2号","南青山ホームズ 地下1階","2015/3/19","26港み生環き第204号"
"ＣＵＴＴＥＲＳ（カッターズ）","107-0062","東京都港区南青山六丁目2番2号","南青山ホームズ109号","2017/11/20","29港み生環き第144号"
"ＬＩｆＴ（リフト）","107-0062","東京都港区南青山六丁目2番2号","南青山ホームズ205","2017/10/10","29港み生環き第106号"
"Ｃｌａｉｒ　ｂｙ　Ｃｈｉｐｉｅｅｅ","107-0062","東京都港区南青山六丁目2番2号","南青山ホームズ203","2023/2/1","4港み生環き第190号"
"ＧＡＴＴＩ","107-0062","東京都港区南青山六丁目2番6号","ハイム青山401","2023/3/31","4港み生環き第219号"
"ｕｓａｇｉｎｏｏ　‐ウサギノオ‐","107-0062","東京都港区南青山六丁目2番6号","ハイム青山202","2024/1/10","5港み生環き第201号"
"ｏｈａｎａ（オハナ）","107-0062","東京都港区南青山六丁目2番7号","クレグラン骨董通りビル 3階.4階","2016/9/26","28港み生環き第111号"
"ｏｈａｎａ（オハナ）","107-0062","東京都港区南青山六丁目2番7号","クレグラン骨董通ビル 3階、4階","2009/2/23","20港み生環き第168号"
"ＧＲＡＮＳ　（グランズ）","107-0062","東京都港区南青山六丁目2番7号","クレグラン骨董通りビル 5階","2001/6/20","13港み生環き第36号"
"ＡＩＮＹＵＵ（アインユウ）","107-0062","東京都港区南青山六丁目2番7号","クレグラン骨董通りビル 6階","2017/3/7","28港み生環き第184号"
"ハイク","107-0062","東京都港区南青山六丁目2番7号","クレグラン骨董通りビル 8階","2016/11/11","28港み生環き第135号"
"Ｎｏｕｉ","107-0062","東京都港区南青山六丁目2番7号","クレグラン骨董通りビル7階","2023/11/8","5港み生環き第159号"
"ＭＡＲＣＣＯ（マルコ）","107-0062","東京都港区南青山六丁目2番10号","バックボーンハウス 2階","2010/4/27","22港み生環き第7号"
"Ｆａｓｔ　Ｌａｓｈ","107-0062","東京都港区南青山六丁目2番10号","BACK BORN HOUSE 8階","2019/11/14","31港み生環き第154号"
"Ｗｅａｔｈｅｒ","107-0062","東京都港区南青山六丁目2番10号","TIビル3階","2021/11/1","3港み生環き第160号"
"Ｆｅｌｉｃｅ（フェリーチェ）","107-0062","東京都港区南青山六丁目2番13号","ファイン青山 5階","2016/1/8","27港み生環き第179号"
"ヘアメイク専門サロンｓｏｎｏ","107-0062","東京都港区南青山六丁目2番13号","ファイン青山8階","2023/10/30","5港み生環き第146号"
"アンサルト","107-0062","東京都港区南青山六丁目3番2号","QCcube南青山63-2階","2013/8/29","25港み生環き第87号"
"Ａｖｉｓｓ　表参道","107-0062","東京都港区南青山六丁目3番11号","PAN南青山601","2022/1/24","3港み生環き第218号"
"Ｐｒｅｌｅ（プレール）","107-0062","東京都港区南青山六丁目3番11号","PAN南青山B103","2022/12/28","4港み生環き第176号"
"ｌｉｎｏＵ．","107-0062","東京都港区南青山六丁目3番11号","PAN南青山6階602","2023/6/21","5港み生環き第37号"
"Ｌａ＊ｐｉｎ","107-0062","東京都港区南青山六丁目3番11号","PAN南青山402","2023/9/14","5港み生環き第116号"
"Ｐｒｅｌｅ　Ｄｅｕｘ（プレール　ドゥ）","107-0062","東京都港区南青山六丁目3番11号","PAN南青山102","2024/3/12","5港み生環き第252号"
"ＴＨＥ　ＳＡＬＯＮ　ＣＯＬＯＵＲＳ（ザ　サロン　カラーズ）","107-0062","東京都港区南青山六丁目3番13号","サーラ南青山405","2010/2/16","21港み生環き第143号"
"ｈｏｄｏｓ","107-0062","東京都港区南青山六丁目3番13号","サーラ南青山3階","2022/1/18","3港み生環き第220号"
"Ａｎｔｉ　Ｏｕｒｓ","107-0062","東京都港区南青山六丁目3番14号","サントロペ南青山2階","2020/11/24","2港み生環き第162号"
"ＳＩＮＣＥＲＥＬＹ","107-0062","東京都港区南青山六丁目4番5号","MA SIX 2階","2023/12/27","5港み生環き第186号"
"ＳＩＮＣＥＲＥＬＹ","107-0062","東京都港区南青山六丁目4番5号","MA SIX3階","2024/1/24","5港み生環き第187号"
"ＰｉＮＣＨ","107-0062","東京都港区南青山六丁目4番9号","サンミヤザキ 1階","2019/3/29","30港み生環き第230号"
"ＡＭＡＴＡ（アマータ）","107-0062","東京都港区南青山六丁目4番14号","5階","2002/2/18","13港み生環き第113号"
"ＲＥＩＮＣＡＲＮＡＴＩＯＮ","107-0062","東京都港区南青山六丁目6番22号","南青山グリーンランドビル3　1階","2023/5/24","5港み生環き第30号"
"ｍｅｗ　ｍｅｗ","107-0062","東京都港区南青山六丁目7番1号","タウンハウス南青山202","2023/7/24","5港み生環き第72号"
"ｊｕｒｋ","107-0062","東京都港区南青山六丁目7番2号","vort南青山1　1階","2022/1/13","3港み生環き第219号"
"ａｎｊｉ（アンジ）","107-0062","東京都港区南青山六丁目7番5号","ドミール南青山 1階","2013/10/16","25港み生環き第118号"
"ＴＥＲＲＯＩＲ　ＬＡＢＯＲＡＴＯＲＹ","107-0062","東京都港区南青山六丁目8番6号","テロワール南青山101号","2021/7/19","3港み生環き第37号"
"ＪＩＬ　ＢＬＡＮ","107-0062","東京都港区南青山六丁目8番8号","南青山ハウス1-2階","2023/9/14","5港み生環き第106号"
"Ｌｅｐｏ","107-0062","東京都港区南青山六丁目8番10号","南青山フラット1階","2023/10/24","5港み生環き第142号"
"ヘア・アトリエ・ラフォルマ","107-0062","東京都港区南青山六丁目8番18号","DATATAビル2階","2020/10/15","2港み生環き第140号"
"ｓｉｔｅ","107-0062","東京都港区南青山六丁目8番18号","リヒトハウス1階","2023/3/7","4港み生環き第226号"
"サロン・ド・ボナミ　南青山店","107-0062","東京都港区南青山六丁目9番11号",,"2021/4/1","2港み生環き第215号"
"池田邸","107-0062","東京都港区南青山六丁目10番9号","レグノラフィネ南青山805","2016/8/1","28港み生環き第68号"
"エクリュ","107-0062","東京都港区南青山六丁目12番4号","902","2021/7/28","3港み生環き第86号"
"Ｌｉｌａｓ（リラ）","107-0062","東京都港区南青山六丁目12番11号","YUKEN南青山201","2015/11/27","27港み生環き第151号"
"ｉ　ｓｅｎｓｅ　（アイセンス）","107-0062","東京都港区南青山六丁目12番14号","NOA南青山 3階","2015/7/1","27港み生環き第64号"
"ナイジョウ　ヘア・ドレッシング","107-0062","東京都港区南青山六丁目12番14号","NOA南青山 地下1階","1996/9/30","8港赤総衛環き第13号"
"トムの庭","107-0062","東京都港区南青山六丁目12番14号","ハウス青山1階","2020/4/23","2港み生環き第22号"
"ＨＡＣＯ＋","107-0062","東京都港区南青山六丁目13番9号","アニス南青山地下1階B号室","2023/10/30","5港み生環き第153号"
"Ｌａ　Ｖｒａｉｅ　Ｂｅａｕｔｅ　ｂｙ　Ｋｉｎｔｏｋｉ（ラ・ヴレ・ボーテ・バイ・キントキ）","107-0062","東京都港区南青山六丁目13番25号","南青山T・Mビル","2011/1/17","22港み生環き第157号"
"ｈｏｎｏ　ｈｏｎｏ（ホノホノ）","107-0062","東京都港区南青山六丁目15番13号","南青山レジデンス 102","2016/10/28","28港み生環き第128号"
"ｄｕｃｃａ","107-0062","東京都港区南青山六丁目15番13号","南青山レジデンス101号室","2021/8/16","3港み生環き第94号"
