X（m）,Y（m）,経度（度）,緯度（度）,津波高（最大）（m）
-64185,-195015,139.13654683,34.24004693,4.6193
-64125,-195015,139.13719814,34.24005062,5.1641
-63105,-195015,139.14827047,34.24011299,4.0353
-63095,-195015,139.14837902,34.24011360,3.9924
-64205,-195025,139.13633047,34.23995554,4.5137
-64195,-195025,139.13643902,34.23995616,4.5433
-64185,-195025,139.13654757,34.23995677,4.6360
-64115,-195025,139.13730743,34.23996109,5.2454
-64105,-195025,139.13741599,34.23996171,5.2221
-64215,-195035,139.13622266,34.23986477,4.4364
-64205,-195035,139.13633121,34.23986539,4.5315
-64195,-195035,139.13643976,34.23986600,4.5203
-64185,-195035,139.13654831,34.23986662,4.5932
-64115,-195035,139.13730818,34.23987094,4.9989
-64105,-195035,139.13741673,34.23987155,5.2365
-64095,-195035,139.13752528,34.23987217,4.8845
-62785,-195035,139.15174560,34.23995205,3.8287
-62755,-195035,139.15207125,34.23995386,3.8130
-62745,-195035,139.15217981,34.23995446,3.8178
-62735,-195035,139.15228836,34.23995506,3.8052
-64215,-195045,139.13622340,34.23977462,4.4616
-64205,-195045,139.13633195,34.23977524,4.4871
-64195,-195045,139.13644050,34.23977585,4.5407
-64185,-195045,139.13654906,34.23977647,4.6000
-64115,-195045,139.13730892,34.23978079,5.1141
-64105,-195045,139.13741747,34.23978140,5.2461
-64095,-195045,139.13752602,34.23978202,5.4005
-63075,-195045,139.14859831,34.23984435,4.0840
-62785,-195045,139.15174632,34.23986189,3.9024
-62775,-195045,139.15185487,34.23986250,3.8846
-62765,-195045,139.15196343,34.23986310,3.8822
-62755,-195045,139.15207198,34.23986370,3.8715
-62745,-195045,139.15218053,34.23986431,3.9461
-62735,-195045,139.15228908,34.23986491,3.8946
-62725,-195045,139.15239764,34.23986551,3.8609
-62715,-195045,139.15250619,34.23986612,3.8068
-64215,-195055,139.13622414,34.23968447,4.5786
-64205,-195055,139.13633270,34.23968508,4.4897
-64195,-195055,139.13644125,34.23968570,4.5492
-64135,-195055,139.13709256,34.23968940,4.9304
-64125,-195055,139.13720111,34.23969002,5.0145
-64115,-195055,139.13730966,34.23969063,5.1786
-64105,-195055,139.13741821,34.23969125,5.3946
-64095,-195055,139.13752676,34.23969187,5.4835
-63065,-195055,139.14870759,34.23975481,4.1898
