テナントID,所在地,特定テナント等事業者名称（会社名）,特定テナント等事業所名称（支店名等）,特定テナントが入居する事業所名称,総合評価
7027-01,立川市曙町二丁目５番１号,株式会社 三越伊勢丹,伊勢丹 立川店,立川共同ビルディング,AA評価
7051-01,千代田区丸の内一丁目８番２号,アセットマネジメントOne株式会社,アセットマネジメントOne株式会社,?鋼ビルディング,A評価
7054-02,大田区平和島六丁目３番１号,山手冷蔵株式会社,山手冷蔵株式会社 平和島ロジスティックセンター,東京団地冷蔵,A評価
7054-03,大田区平和島六丁目３番１号,東京豊海冷蔵株式会社,平和島物流センター,東京団地冷蔵,A評価
7054-04,大田区平和島六丁目３番１号,東京定温冷蔵株式会社,東京定温冷蔵株式会社 団地物流センター,東京団地冷蔵,A評価
7054-05,大田区平和島六丁目３番１号,株式会社協冷,株式会社協冷 平和島センター,東京団地冷蔵,AA評価
7054-07,大田区平和島六丁目３番１号,五十嵐冷蔵 株式会社,五十嵐冷蔵株式会社 京浜第一物流センター,東京団地冷蔵,AA評価
7054-08,大田区平和島六丁目３番１号,日水物流株式会社,日水物流平和島物流センター,東京団地冷蔵,A評価
7054-09,大田区平和島六丁目３番１号,株式会社 ベニレイ・ロジスティクス,ベニレイ・ロジスティクス 平和島事業所,東京団地冷蔵,A評価
7054-13,大田区平和島六丁目３番１号,株式会社マルハニチロ物流,マルハニチロ物流 平和島物流センター,東京団地冷蔵,AA評価
7061-01,多摩市永山一丁目４番地,株式会社西友,株式会社西友 永山店,グリナード永山,AA評価
