通番号,年度,番号,名称,位置,用途,敷地面積(m2),建築面積(m2),延べ面積(m2),駐車場等面積(m2),高さ(m),階数,公開空地(m2),有効公開空地(m2),用途地域,許可年月日,52条,55条,56道路,56隣地,58条,種別,人口,戸数,備考
297,1993,2,日本橋堀留町ビル,中央区日本橋堀留町1,事・共,1193.9,705,7527.3,504.1,44.8,10,322.6,379.7,商業,1993/4/5,,,●,●,,,,,
298,1993,3,カルム赤羽,北区岩淵町891-1,共同住宅,1717.8,514,7067.9,1401.7,49.1,14,1024.3,1200.2,住居,1993/4/5,●,,,●,,市,42,67,
299,1993,4,光村印刷大崎本社ビルA,品川区大崎1-532-2外,事務所,2349.5,984.8,12007.6,1087.6,59.5,12,1415.3,1605.8,準工,1993/4/28,●,,●,,,,,,
300,1993,5,光村印刷大崎本社ビルB,品川区大崎1-300-5外,事・共,1714.7,694.1,7761.2,1081.1,47.5,10,640.4,789.3,準工,1993/4/28,●,,●,,,市,,18,
301,1993,6,全音楽譜出版社ビル,新宿区東五軒町23-1外,事・共,3475.3,1296,12851.7,631.6,49.7,11,1082.8,1281.5,準工,1993/5/7,●,,,●,●,市,950,18,
302,1993,7,港南三丁目住宅,港区港南3-5-2,共・図・老,5424.9,2603.6,32708.2,3025.3,83.7,25,2048,2423,準工,1993/7/1,●,,●,●,,市,1400,207,
303,1993,8,東品川共同ビル,品川区東品川2-5-2,事・店・集,11734.4,4515,83279,6705,120,26,6877.3,7949.5,商業,1993/7/1,●,,,,,再,3000,,
304,1993,9,本所二丁目マンション,墨田区本所2-10,店・共,1573.4,592.3,7684.9,765,52.1,14,795.2,999.7,準工,1993/7/28,●,,,,●,市,360,91,
305,1993,10,帝産東品川ビル,品川区東品川4-50-2外,事・寮,8369.7,3942.6,33058.9,6051.9,78.2,17,2107.5,2560.2,準工,1993/7/28,●,,,,●,,1730,85,
306,1993,11,ライオンズガーデン新小岩,葛飾区西新小岩4-300,共同住宅,4456,1689.3,12228.3,1449.4,34.4,10,1695.9,1883.9,準工,1993/9/30,●,,,,,市,,154,
307,1993,12,スカイウォーク(1)(155の増築),品川区東品川2-2-1外,歩廊,13551.1,6664.1,95348.1,11316.8,117.5,28,8312.6,8202,商業,1993/10/4,●,,●,,,,3400,,
308,1993,13,スカイウォーク(2)(223の増築),品川区東品川2-2-5外,歩廊,6311.1,2427.2,47063.2,6041.2,126.5,26,3866.1,4159.9,商業,1993/10/4,●,,,●,,再,2100,,
309,1993,14,スカイウォーク(3)(255の増築),品川区東品川2-6-1外,歩廊,11050.24,4685.5,85201.4,8799.5,115.9,33,6624.3,6431.4,商業,1993/10/4,●,,,,,市,4500,403,
310,1993,15,ＮＴビル,品川区大井1-47-1外,事・共,2838.4,1417.8,19646,1669,75.8,17,1102.9,1288.2,商業,1993/10/27,●,,●,,,複,940,21,
311,1993,16,朝日羽工府中B(258増築),府中市府中町1-14-1,事務所,1794.4,869.77,10793.16,1088.13,53.31,12,754.22,850.83,商業・近商,1993/10/27,●,,,,,,700,,
312,1993,17,興和西新橋共同ビル,港区西新橋2-301-1外,事・共,2392.5,1210,20200,1400,72.6,16,797,797,商業,1993/11/2,●,,●,●,,市,1100,6,
313,1993,18,赤羽三丁目計画,北区岩淵町892外,共・集,3476.1,903.1,7092.4,116.4,31.4,11,868,1045,住居,1993/12/24,●,,,,,,,97,
314,1993,19,松本・大成八重洲共同B,中央区八重洲2-7,事務所,1092.5,656.4,9310,572,58.6,14,213.7,339.6,商業,1994/1/20,,,●,●,,,,,
315,1993,20,目白台セコムビル,文京区目白台2-77外,事・共,1850.4,956.7,9784.3,1554.9,43.3,11,794.8,910.8,商業・二専,1994/1/20,●,,,,,市,120,16,
316,1993,21,Ｋプロジェクト,文京区本駒込2-358-1,事・共・店,38491.5,14931,182449,23419,99.9,23,17407.5,19560.9,住居・商業,1994/1/21,●,,,●,●,市,6000,401,
317,1993,22,ＪＲ・小田急共同計画,渋谷区代々木2-2,事・ホ・店,24920.8,10974,188449,24880,150.7,36,11364.2,9802.8,商業,1994/3/31,●,,,●,,大,9700,,
318,1994,1,大曲ビル計画(242の増築),新宿区新小川町108-1外,事・共,6094.07,3412.37,31325.37,4350.01,44,14,1654.18,1950.77,商業,1994/4/5,●,,,●,,市,1335,60,
319,1994,2,(仮)ＳＥＩＹＯ蓮根プロジェクト,板橋区坂下3-32-1,共・店・集会場,23217,7038,100466,15038.21,133,41,14422.17,15625,準工,1994/4/28,●,,,,,市,1100,830,生涯学習センター
320,1994,3,東尾久7丁目団地計画,荒川区東尾久7-1330-4,共同住宅,10004,3188,34207,753.09,79.6,22,3439,3576,住居,1994/7/27,●,,●,,,市,,312,
321,1994,4,(仮)豊洲1丁目マンション計画,江東区豊洲1-1-37,共・店,3307.7,1677,14862,2561.43,80.4,24,1945,1491,準工,1994/8/29,●,,,●,,市,462,126,
322,1994,5,両国3丁目ビル計画,墨田区両国3-11-1,事務所,951,497,6076,592.8,47.7,11,373.37,462,商業,1994/9/29,●,,●,●,,,550,,
323,1994,6,(仮)渋谷・桜ヶ丘プロジェクト(東急本社跡地),渋谷区桜丘町107外,ホテル・事,9408,5420,107824,20894.57,188.4,41,4825.35,5110,商業,1994/11/15,●,,,●,,大,11940,,
324,1994,7,都営横川5丁目アパート(仮称),墨田区横川5-1-3,共・保育園外,21627,5512,61186,3027,95.3,29,7141.98,8521,住居,1994/12/5,,,●,●,,,,564,
325,1994,8,新川2丁目開発計画+No36+増築(用途変更),中央区新川2-128-1,事・共,23532,8070,176098,22215.93,117,35,12621.59,12278,商業,1995/1/20,●,,,,,市,4180,505,ＪＲ非常口
326,1994,9,平和台第2ＳＴビル計画,練馬区平和台3-11-5,共・店外,2742,1513,8525,1802.95,34,9,949.07,144,近商・二専,1994/12/22,●,,,,,市,1250,61,
327,1994,10,(仮)蒲田駅前(蒲田5丁目)共同開発計画,大田区蒲田5-36-19,事・劇場・店,19481,10450,128000,21618,82.3,18,7929,8520,商業,1995/1/31,●,,,,,再,6200,,中水
328,1994,11,(仮)初台ＲＣビル,渋谷区本町1-6-2,事務所,4897.58,2100,26603,4273,99.5,22,2200,2657,商業・住居,1995/3/30,●,,,●,●,大,6750,,
329,1995,1,朝日駒場1丁目マンション計画,目黒区駒場1-735-1外,共同住宅,4894.2,2101,15767.5,3273,34.5,10,1606.8,1853,二専・住居,1995/4/28,●,,,,,市,,173,
330,1995,2,(仮)平井集合住宅,江戸川区平井4-38,共同住宅,3033.1,1059.2,8816.7,1263.3,46,13,1074,1267.5,準工,1995/4/21,●,,●,,●,市,,91,
331,1995,3,日本都市センター会館,千代田区平河町2-2-14,宿泊・集会・事,7485.8,4023.2,43100.4,3537.5,89.7,22,3529.1,3770.6,住居・商業,1995/5/2,●,,,●,,,3970,,
332,1995,4,大川端リバーシティ21北ブロック建設計画,中央区佃2-50-4外,共・業商・文化施設,26000,12310,225870,43588,180,54,9692,11661,商業,1995/5/26,●,,,●,,市,1050,"1,464",
333,1995,5,社会保健蒲田総合病院,大田区南蒲田2-35-1外,病院,7150.1,30528.6,19793.3,3410,28.5,6,2762.4,3377.7,準工,1995/5/24,●,,●,,,,1200,,
334,1995,6,恵比寿ガーデンプレイス,目黒区三田1-247-2外,事・共,82365.3,31987,477043,83401,167,40,34224.4,37679.1,商業・住居,1995/9/26,●,,,,,市,15000,"1,030",
335,1995,7,(仮)東建荒川8丁目マンション,荒川区荒川8-24-1,共同住宅,8962.3,3409.7,24245.7,1303,48.9,15,3830.4,4170,準工,1995/8/2,●,,,,,市,,289,
336,1995,8,錦糸町駅北口地区市街地再開発事業,墨田区錦糸3-30,事・店,3755,1989.5,35139.6,3089,92.6,19,1406.9,1688.6,商業,1995/8/30,●,,,●,,,4300,,
337,1995,9,西神田二丁目複合施設,千代田区西神田2-8-1,共・住・保育園・児童,3276.6,1649.1,26688.6,4408.6,99,25,1342.6,1535,商業,1995/9/27,●,,,,,市,200,183,
338,1995,10,(仮)銀座一丁目プロジェクト,中央区銀座1-7-2外,事・店・共,1405.1,998.5,13086.2,731.1,43.9,11,603.3,584.1,商業,1995/12/27,●,,●,,,複,1588,12,
339,1995,11,明治大学駿河台地区施設整備計画(Ａ地区),千代田区神田駿河台1-1,学校,11147.9,7606,75479,5988,119.4,23,6076,6037.4,商業,1995/11/10,●,,,,,,14000,,
340,1995,12,(仮)凸版印刷株式会社芝浦ビル,港区芝浦3-2-4,事・共,2370.8,1290.9,13977.2,1608.3,41.5,10,869.4,982.7,準工,1996/1/26,●,,●,,,市,250,45,
341,1995,13,(仮)日本生命芝一丁目Ｂビル,港区芝1-112,事務所,1282.7,708.7,5739.9,407.9,35.1,8,328.8,400.8,商業,1996/1/18,,,●,,,,400,,
342,1995,14,渋谷プロパティウエストビル,渋谷区東1-32外,事・店・共,3626.3,2074.3,24272.6,3645.4,67,15,1537.1,1756.4,商業,1996/2/8,●,,,,,市,1500,36,
343,1995,15,(仮)月島2丁目市街地住宅計画,中央区月島2-101外,事・店・共,2413.4,1461.8,14216.2,1277.7,48.2,14,775.2,944.8,住居・商業,1996/2/8,●,,,●,,市,20,169,
344,1995,16,(仮)芝センタービル,港区芝3-2-2外,事・共,2913.2,1287.4,21529,1866.1,78,18,1249.1,1561.7,商業・近商,1996/2/28,●,,,,,市,1650,44,
345,1995,17,(仮)小石川一丁目共同ビル,文京区小石川1-4-2外,事・共,3417.1,1640,29200,2377,91.9,20,1836,1974.9,商業,1996/3/21,●,,,●,,市,1335,52,
346,1995,18,(仮)東邦港運・辰巳ビル,江東区辰巳1-1-6,共同住宅,5672.7,2269.1,24069.8,2956,105.7,32,2188.3,2490.3,準工,1996/3/4,●,,,,●,市,633,211,
347,1995,19,京橋住宅(仮)等複合施設,中央区銀座1-217-1外,共・事・区民施設,3212.5,2213.3,29448.4,5065,73.1,19,1245.2,1260.3,商業,1996/4/4,●,,,,,市,60,208,
348,1995,20,東京工業品取引所,中央区日本橋堀留町1-9-2外,事務所,889.4,580.5,6199.8,300,39.5,10,171,222.3,商業,1996/4/26,,,●,●,,,192,138,
349,1996,1,(仮)国分寺南口プロジェクト,国分寺市南町3-2719-13外,共同住宅,4074.7,2090,25174,4161.8,50.9,15,1302.1,2046.5,商業,1996/5/29,●,,●,,,市,,252,
350,1996,2,新明和エンジニアリング本社ビル新築工事,台東区東上野5－13－1,事務所,1120.6,503.6,6422.6,488.9,48.6,12,406.5,763.4,商業,1996/6/20,,,●,,,,250,,
351,1996,3,(仮)サンファミール勝どき,中央区勝どき3－104,共同住宅,1181.8,541.2,6411.7,811.8,43.1,12,483.5,612.9,2住,1996/6/4,●,,●,●,,市,,72,
352,1996,4,(仮)赤坂8丁目マンション,港区赤坂8－289,共同住宅,3713,1665,13990.7,2966.2,33.5,10,798.1,1050.2,1中高,1996/6/28,,,,●,,,,111,
353,1996,5,(仮)清澄駅ビル,江東区白河1－2－1外,共・店,1181.4,727.1,8551.3,1106.4,50.3,14,352.6,480.1,商業,1996/8/6,●,,,●,,市,,87,
354,1996,6,(仮)番町・麹町共同ビル,千代田区麹町4－4－30外,事・共・店,6457.7,2455.4,55079.3,11183.8,92,21,3029.5,3749,商業・2住,1996/7/31,●,,,●,,市,,106,
355,1996,7,(仮)ダイアパレス大山駅前,板橋区大山町1－2外,共同住宅,1862.9,853.9,9608.5,1235,44.6,14,527.5,791.7,商業・近商・2住,1996/9/3,●,,●,●,●,市,,114,
356,1996,8,(仮)日本アムウェイ本社ビル,渋谷区宇田川町29－1外,事務所,3566.6,1713.5,24240,2342,74.1,13,1494.5,2070.6,商業,1996/9/4,●,,,,,,910,,
357,1996,9,(仮)パサージュガーデン渋谷［北－4］,渋谷区渋谷3－20－28,事務所,2172.5,1130.7,16831,1116,61.5,13,701.8,1362,商業,1996/11/12,●,,●,●,,,700,,
358,1996,10,(仮)パサージュガーデン渋谷［南－1］,渋谷区渋谷3－20－24,事務所,1454.5,945,9577,850,59.8,12,176.5,320,商業,1996/11/12,,,,●,,,180,,
359,1996,11,ＪＡＬビルデイング,品川区東品川2－5－2,事務所,11734.4,4426.6,82857.1,6188,118.8,26,7088,8685,商業,1996/9/30,●,,,,,再,3000,,
360,1996,12,(仮)明治生命青山ビル,港区北青山3－34－2外,事・店・共,6307.6,3920,41680,6460,61,13,2503,2977.9,商業・2住,1996/11/5,●,,,●,,市,1500,60,
361,1996,13,赤坂一丁目共同計画赤坂ＣＳタワー,港区赤坂1-1102-3外,事・共,3868.3,1797.9,23169.7,2260.3,62,13,1688,2278.3,商業・2住,1996/11/5,●,,●,●,,市,1073,22,
362,1996,14,(仮)南池袋二丁目ビル,豊島区南池袋2-33-1外,事・共・店,1797.2,687.5,13846.4,2146,78.6,23,664,1333.5,商業,1996/11/7,●,,●,,,市,,107,
363,1996,15,(仮)クリオ篠崎壱番館,江戸川区篠崎町7－42外,共・店,1359,603.2,8538.7,916.6,70.6,22,562.7,861.4,商業,1996/11/5,●,,,●,,市,,88,
364,1996,16,(仮)芝三丁目共同ビル,港区芝3－44,事・共,8494.8,3380,69997,8269,159.3,34,3839.3,6279.3,商業・近商,1996/12/19,●,,,●,,市,2900,199,
365,1996,17,(仮)大東京火災日本橋ビル,中央区日本橋3-1-2外,事務所,934.3,578.3,6936.3,450.2,45,10,252.4,341.7,商業,1997/1/14,,,●,,,,520,,
366,1996,18,(仮)凸版印刷株式会社小石川ビル,文京区水道1－3－3,事務所・博物館,12541.8,5028.3,54219.3,6009.7,96,21,6513.3,9291.3,準工,1997/1/23,●,,,,●,大,2500,,
367,1996,19,(仮)蔵前2丁目マンション,台東区蔵前2－32－1,共同住宅,975.1,452.5,6053.3,651.9,47.1,14,254.4,467.3,商業,1997/2/5,●,,●,●,,市,,67,
368,1996,20,赤坂国際ビル地下鉄出入口上屋等新設,港区赤坂2－410－1外,事務所,6027.3,2770.6,62689.7,12355.6,74.5,20,2742,4131.9,商業,1997/2/7,●,,,,,,6600,,
369,1996,21,(仮)目黒青葉台タワー建設計画,目黒区青葉台3-365-1外,共同住宅,1538.5,884.5,14469.4,2196.4,71.2,20,700.5,1390.7,商・1住居,1997/2/28,●,,,,,市,,127,
370,1996,22,(仮)後楽2丁目3番地ビル,文京区後楽2－95外,事務所,1885.5,1018.4,9952.1,526.3,53,11,486.1,574.2,商業,1997/3/31,,,●,●,,,1800,,
371,1996,23,(仮)西早稲田マンション,新宿区西早稲田1-413-232外,共同住宅,1851.9,1038.9,17346.7,3251.9,80.4,23,1100.6,1209.6,商業・準工,1997/4/11,●,,,,,都,,151,
372,1997,1,(仮)勝どき3丁目集合住宅,中央区勝どき3-1208-1外,共同住宅,1898.5,642.3,14920.2,1861.5,73.2,23,1008.4,1508.5,2住居,1997/6/2,●,,●,●,,市,,140,
373,1997,2,(仮)平井駅南口再開発ビル,江戸川区平井3-1072-1外,共・店,2528.6,1160.1,20070.6,2385.3,70.8,21,1374.1,1417.8,商業,1997/8/22,●,,,●,,都,,175,
374,1997,3,(仮)神田錦町2－9ビル,千代田区神田錦町2－9,事・店,799.9,481.3,5021.8,438.6,38,9,240.7,505.6,商業,1997/8/7,,,●,●,,,1131,,
375,1997,4,(仮)代々木RCビル,渋谷区千駄ヶ谷5-24-10外,事・店・機械室,6273.1,2618,52533,7933,240,27,2619.1,3835.9,商業,1997/9/9,●,,,●,,,1000,,
376,1997,5,麹町クリスタルシティ東館増築,千代田区麹町4－8外,事・店・共・宿泊,3909.5,1991.1,22399.2,2262.8,64,17,2386.7,2403.6,商業,1997/8/8,,,●,●,,,2165,44,
377,1997,6,(仮)角川書店新本社ビル,千代田区富士見1-7-19外,事・共・店・図書館,1557.7,789.9,8016.7,1528.8,38.2,8,361.6,731.4,1住居,1997/9/22,●,,●,●,,市,410,11,
378,1997,7,(仮)松涛神山町プロジェクト,渋谷区神山町51－1外,共同住宅,2994.3,1490.2,7149.3,2209.7,12,4,744.6,1553.8,1低,1997/9/17,●,,,,,市,,26,
379,1997,8,(仮)日本倉庫(株)ビル,中央区勝どき3－201外,事・共・店,3809.2,1488.4,21233.4,3987.6,89.7,26,1035.9,1955.7,2住居,1997/10/28,●,,●,●,,都,58,223,
380,1997,9,(仮)杉並和田計画,杉並区和田2－981－2外,共同住宅,5419.7,2220,26703,7686,96.5,28,1736.8,2803.9,近商・2中高,1997/12/2,●,,,,●,市,,241,
381,1997,10,(仮)新東京サンケイビル再開,千代田区大手町1-3-3外,事・店・集会場,6262.4,3044,83848.2,8703.2,146,31,2761.9,4230.6,商業,1997/12/16,●,,,●,,大,3500,,
382,1997,11,(仮)九段マンション,千代田区九段北2-6-26外,共同住宅,1546.5,849.6,9589.7,2407.3,47.4,14,366.5,661.4,1住居,1997/12/24,●,,●,●,,市,,58,
383,1997,12,池袋ホテルメトロポリタン,豊島区西池袋1－1－6,ホテル,7648.5,4436.1,59579.9,6106.4,94.8,25,2074.4,3670.6,商業,1997/12/19,,,●,,,,2320,,
384,1997,13,(仮)北大塚2丁目計画,豊島区北大塚2-24-3外,共・店・事,2516.7,1086.5,23664.5,6118.7,97.6,30,1244.9,1821.8,商業,1998/1/9,●,,,●,,市,131,224,
385,1997,14,(仮)豊洲マンション,江東区豊洲1－1－5,共・店,13684.6,5472,74962,17221,120,36,6770.3,5985.7,準工,1998/1/14,●,,,,●,都,1494,498,
386,1997,15,東亜三協ビル増築,千代田区神田駿河台6-6-2,事・共,1549.8,1034.3,11505,1612.8,51.3,12,655.5,885.4,商業,1998/2/4,●,,,,,市,330,8,
387,1997,16,(仮)芝公園二丁目共同ビル,港区芝公園2-437-1外,事・共・寺院,4864.1,2646.2,40604,5335.5,132.6,30,1297,2058.2,商業,1998/3/2,●,,,●,,市,2000,61,
388,1997,17,(仮)マートルコート恵比寿2000,渋谷区恵比寿1-25－1外,共・店・事,1166.4,600.9,9897.1,3193.6,64.4,20,366.3,467.3,近商,1998/2/25,●,,,●,,都,,95,
389,1997,18,(仮)品川:不動前マンション,品川区西五反田5-582-1外,共同住宅,790.6,467.2,5773,885,46.4,14,317.5,383.2,商業・準工,1998/2/25,●,,,●,,市,,77,
390,1997,19,(仮)ヒューマックスパビリオン池袋,豊島区東池袋1-22-18外,映画館・飲店・遊戯場,1403.9,1144.3,12260.4,1028.8,43.7,10,197.4,332.9,商業,1998/4/2,,,●,●,,,3508,,
391,1998,1,(仮)赤坂2丁目共同ビル,港区赤坂2－1701－1外,事・共・店,5733.2,2259.9,47758.4,8181.8,104.8,25,3795,4300,商業,1998/5/8,●,,,●,,市,2870,138,
392,1998,2,(仮)弦巻2丁目計画,世田谷区弦巻2－121外,共同住宅,15919.2,6221.2,27761.7,7848.6,15.9,5,3941,5891,1低,1998/6/18,,●,,,,,,255,
393,1998,3,(仮)青葉台4丁目マンション,目黒区青葉台4-930-1,共同住宅,1168.5,597.2,6561,2127,43.1,13,327.2,622.8,商業・1住・2住,1998/6/2,●,,●,●,●,市,,70,
394,1998,4,(仮)豊玉北6丁目再開発住宅,"練馬区豊玉北6－1,2",共・店,3437.9,1742.3,31757.3,6361.6,116.1,35,1568.6,2318.4,商業,1998/7/21,●,,,●,,市,,287,
395,1998,5,(仮)勝どき5丁目計画,中央区勝どき5-1201外,共同住宅,2929.4,1222.5,29619.8,9421.7,93.7,27,1614.1,2206.2,準工,1998/8/10,●,,,●,,市,,221,
396,1998,6,(仮)ライオンズタワー池袋,"豊島区東池袋3－3277－87,220",共同住宅,2303.8,1061.4,21465.7,5961.4,91.5,28,952,1502.5,商業,1998/9/30,●,,,●,,市,,267,
397,1998,7,(仮)河田町市街地住宅,"新宿区河田町7番1,10ー16,17,20,22,1201",共・店,25425.4,8448.1,106431,32532,138.1,41,8649.3,10333.7,2住・近商,1998/11/11,,,,●,●,,,950,
398,1998,8,(仮)永田町2丁目ビル計画,千代田区永田町2-29-3,事・共・店,8156.9,3554.9,76634.3,15522.5,158.3,38,3612.3,4198.6,商業,1998/12/1,●,,,●,,市,3070,125,
399,1998,9,(仮)六本木1丁目ＹＭ計画,港区六本木1-389-1外,事・共,4900.1,2193.7,29999.5,4292.6,62.3,13,1097.5,2029.7,2住居,1999/4/2,●,,●,●,,市,1125,35,
400,1998,10,小学館(仮)昭和ビル,千代田区神田神保町2-30,事・共,1610.9,910.4,9890.7,894.4,41.5,10,525.1,1173,商業,1999/1/18,●,,●,,,市,550,9,
401,1998,11,(仮)東洋高等学校新校舎,千代田区三崎町1-4-4外,学校・事,2411,1534.6,17662.9,373.1,59.8,13,761.6,1436.6,商業,1999/1/18,●,,,●,,,1500,,
402,1998,12,(仮)恵比寿南マンション,渋谷区恵比寿南2-26外,共同住宅,2610,1262.3,15740.9,3718.7,47.7,14,934.3,1676.4,1住・2住,1999/1/22,●,,●,,,市,,161,
403,1998,13,(仮)パシフィックセンチュリープレイス丸の内1丁目計画,千代田区丸の内1-25外,事・店・ホテル,6382.8,3051.9,81880.8,8294,149.8,32,3034.5,3935.5,商業,1999/2/8,●,,,●,,,4000,,
404,1998,14,(仮)鈴江コーポレーション竹芝ビル,港区海岸1-29-5外,事・飲食店舗,5650.8,3356.3,25380,1828.1,54.9,10,2395.4,2825.6,準工,1999/3/2,●,,,,,,4000,,
405,1999,1,(仮)西新宿マンション,新宿区西新宿7-327-1外,共・店,2718,1617,32240,8431,104.5,31,942.2,1687.8,商業,1999/4/30,●,,,●,,都,,337,
406,1999,2,(仮)都立お茶の水技術専門学校,文京区後楽1－9－5,職業訓練校・地下鉄駅,1174,643,8784,0,44.6,10,257.8,395.7,商業,1999/6/9,●,,,●,,,260,,
407,1999,3,(仮)三番町プロジェクト,千代田区三番町8－1外,事・共,2468,1402,13929,1824,47,11,699.7,1184.8,2住,1999/6/24,●,,●,●,,市,600,11,
408,1999,4,(仮)トーア・三協ビル,千代田区神田駿河台3-6-2外,事・店・図書館,1550,1034,11505,1332,51.3,12,655.5,885.4,商業,1999/7/6,●,,,,,,370,,
409,1999,5,(仮)浜松町2丁目ビル,港区浜松町2-107-1外,事務所,1939,978,12292,660,56.5,12,736,1432.2,商業,1999/7/6,,,●,●,,,700,,
410,1999,6,(仮)スターゼン新芝浦ビル,港区港南2－8－11外,事・共・店,1170,714,9278,977,54.7,13,382.3,462.9,商業,1999/7/6,●,,,●,,市,38,18,
411,1999,7,(仮)ＳＦビル計画,港区三田1－222－4外,事・共,1087,460,11563,3083,79.1,25,536.97,743.1,近商,1999/7/6,●,,,●,,都,,119,
412,1999,8,大森本町計画,大田区大森本町1-8-10,共同住宅,5907,4020,53911,17183,74.85,25,1626.33,2582.85,商業,1999/8/9,●,,,,,市,,440,
413,1999,9,二松学舎大学千代田キャンパス計画,千代田区三番町6-5外,大学,2768,1131,15572,691,62.4,13,2079.62,2297.67,2住・商業,1999/8/17,●,,,●,,,1000,,
414,1999,10,ＮＴＴＤｏＣｏＭｏ品川ビル,港区港南2－10－33,電気事業用機械室・事務室,11300,4431,74382,5391,145,30,5853,7477,準工,1999/9/27,●,,,●,,,1000,,
415,1999,11,虎ノ門4丁目計画,港区虎ノ門4－18－1外,事・共・店・飲食店,2258,1410,16782,1942,59.1,12,570.01,779.6,商業,1999/10/4,●,,,●,,複,,21,
416,1999,12,(仮)芝三丁目共同ビル,港区芝3－44,事・住,8813,3466,70419,11973,151,35,4076.24,6759.21,近商・商業,1999/10/6,●,,,,,市,,186,
417,1999,13,(仮)元麻布一丁目計画,港区元麻布1－35外,共・店・診療所・保育,12308.92,3690.03,57549.56,16680.05,102.95,29,3700.8,5395.7,一中高,1999/10/27,●,,,●,●,市,600,218,
418,1999,14,(仮)クイーンズパレス神楽坂計画,新宿区東五軒町39-9外,共同住宅,2988.91,794.84,12651.95,2433.57,71,21,1145.71,1558.13,準工,1999/10/27,●,,,,●,市,,136,
419,1999,15,(仮)藤和渋谷美竹町ホームズ,渋谷区渋谷1－20－2，3，25,共同住宅,3667.88,1499.12,20291.36,6763.09,61.1,18,1876.21,2476.8,2住,1999/10/27,,,●,●,,,,165,
420,1999,16,(仮)エクセル三番町,千代田区三番町7－6外,共同住宅,1043.45,463.8,5975.23,1691.61,44.3,13,297.38,356.97,1住,1999/11/29,●,,●,●,,市,,35,
421,1999,17,(仮)東京証券取引所ビル株券売買立会場跡地利用,中央区日本橋兜町6,事・展示場,7192.99,5220.67,49659.77,5999.76,78.8,16,1440.39,1628.63,商業,1999/11/20,●,,●,,,,2000,,
422,1999,18,(仮)新宿ＴＭ共同住宅,新宿区富久町118－14外,共・事・店・診療所外,4285.53,2752.9,31330,8082.3,99.9,32,949.83,1689.96,商業,1999/12/28,●,,●,●,,市,419,230,
423,1999,19,(仮)月島3－2マンション,中央区月島3－201外,共同住宅,2081.51,908.44,11635.07,2322.16,43.2,15,830.6,1603.25,2住,2000/1/19,●,,●,●,,都,,126,
424,1999,20,(仮)築地松竹ビル,"中央区築地1308－6,17",事・店・共・図書館,5460.76,2560.46,54208.75,8257.23,105.05,23,2420.9,3888.05,商業,2000/2/1,●,,,,,,2600,45,
425,1999,21,(仮)サンホテル,港区新橋3－9－6外,ホテル,973.72,583.01,7188.67,429.53,48.2,13,362.54,435.53,商業,2000/1/19,,,●,●,,,350,,
426,1999,22,キャノン下丸子新本社棟,大田区下丸子3-312-1外,事・研究所・工場,70690.04,19377.08,166697.63,5963.65,86.96,18,18485,25970,工業,2000/1/19,●,,,,,,6000,,
427,1999,23,北千住駅西口再開発事業施設,足立区千住3－86－11外,百貨店・ギャラリー・劇場・事・共,14901.61,9785,109412.4,14982.83,97.92,26,1959.35,4003.83,近商・商業,2000/2/1,,,,●,,,28000,152,
428,1999,24,(仮)飯田町中央街区計画,"千代田区飯田橋2-36-1、3-22-1,17,19",事・店・ホテル,20875.15,11201.1,137195.87,10612.8,152.85,35,7203.82,9700.85,商業,2000/2/8,●,,,●,,,5000,,
429,1999,25,(株)ホギ・メディカル本社ビル,港区赤坂2－701－2外,事・共,1299.25,752.57,7455.59,655.45,45.5,10,523.47,936.88,商業,2000/2/8,,,●,●,,,550,3,
430,1999,26,(仮)赤坂8丁目ビル,港区赤坂8－172，173,事・共,1299.98,710,12734,3238,69.6,21,566.38,657.01,2住・商業,2000/2/8,●,,,●,,都,80,100,
431,1999,27,(仮)根津一丁目15番地区共同ビル,文京区根津1－209－3外,共同住宅,1740.79,754.47,5272.83,1186.74,38.8,13,608.01,1196.24,1住,2000/3/3,,,●,,,,,74,
432,1999,28,(仮)飯田町南街区計画,千代田区飯田橋2-36-20,事・店・共・変電施設,11896.02,6579.55,95568.48,15177.86,109,30,4297.47,5885.54,商業,2000/3/3,●,,,,,市,2500,257,
433,1999,29,(仮)新公認会計士会館,千代田区九段南4－7－1，2，3，4,事務所,1173.87,672.76,5851.99,456.26,30.39,8,359.02,840.14,商業,2000/3/3,,,●,,,,150,,
434,1999,30,(仮)小石川中央地区共同ビル,文京区小石川1－9，10,共・店,3281.01,1347.89,32956.07,8846.4,93.88,28,1640.94,1879.57,商業,2000/4/18,●,,,●,,都,430,259,
435,2000,1,(仮)近鉄大森ビル,品川区南大井6－9－4外,事・店,1766.78,875.26,11114.4,540,56.5,13,770.14,962.08,商業,2000/5/12,●,,,●,,,1000,,
436,2000,2,(仮)西五軒町再開発計画,新宿区西五軒町34－1外,事・共・店・作業場,8728.05,4167.24,57800.57,10874.28,81.5,24,4635.71,6045.75,準工・商業,2000/5/12,●,,,●,,市,4000,195,中水
437,2000,3,(仮)西池袋プロジェクト,豊島区西池袋5－1109－1外,共・店・事,3755.02,2101,53105,16771,138.8,38,1559.21,2431.15,商業,2000/6/2,●,,,●,,都,744,399,
438,2000,4,(仮)月島1丁目地区開発計画,中央区月島1－601外,共・店・事,4160.57,1965.9,41673.19,9263.6,110.9,32,2122.44,3188.78,商業,2000/6/14,●,,,,,市,,370,
