区市町村名：用途　/　昭和・平成　年,53年,54年,55年,56年,57年,58年,59年,60年,61年,62年,63年,64年,2年,3年,4年,5年,6年,7年,8年,9年,10年,11年,12年,13年,14年,15年,16年,17年,19年,20年,21年,22年,23年,24年,25年,26年,27年,28年,29年,30年
西東京市：全用途平均(林地を含む。）,0,0,0,0,0,3.5,2.5,2,2.8,43.6,85.2,-10.1,-2.4,-0.1,-8.9,-20.7,-8.3,-1.8,-5.2,-4.1,-3.8,-8.5,-8.4,-3.9,-4,-4.6,-3.5,-1.6,6.2,8.5,-5.7,-4.7,-1.5,-0.6,0,1.6,1.1,1.5,1.5,1.9
瑞穂町：住宅地,4.1,9.7,21.5,14.5,6.2,2,1.7,2,2.2,5.5,57,1.5,2.5,1.7,-0.1,-2.3,-0.8,0,-1.9,-1.4,-2.7,-10.1,-9.5,-5.7,-8.4,-7,-6.3,-4.4,1.6,4.2,-4.3,-6.2,-2.2,-2.5,-1.2,0,0.6,0.5,0,0
瑞穂町：商業地,2,3.9,15,　　―,4.4,3.5,0.7,2,2,37.3,81,0,1.1,0.8,-1,-2.6,-3.2,-2.2,-14.5,-7,-4.6,-16.1,-15.2,-7.4,-7.7,-10.2,-6.8,-5.1,2,3.4,-3.7,-6.5,-2.1,-3,-1.7,0,1.3,1.3,0.4,1.3
瑞穂町：全用途平均(林地を含む。）,3.2,7.6,19,13.5,5.9,2.5,1.7,1.9,2.2,9.4,58.5,1.6,2.6,2,-0.2,-2.3,-1.2,-0.7,-4.2,-2.5,-3.5,-11,-10.9,-6.3,-8.7,-9.5,-7.9,-5.2,1.8,4.5,-4,-5.8,-2.2,-2.5,-1.3,0,0.8,0.7,0.1,0.4
日の出町：住宅地,3.4,9.8,20,14.8,6.9,　　―,1.4,0.8,0.4,1,55.4,0.4,1.3,1.6,0,-2.4,-2.6,-1.6,-2,-2,-2.8,-9.4,-11.6,-10.2,-7,-12.2,-9.4,-5.8,0.6,2.9,-4,-6.4,-2,-1.5,-0.9,0.1,0.4,0.4,0,0
日の出町：商業地,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,0,1.4,0.2,0.5
日の出町：全用途平均(林地を含む。）,2.7,7.6,14.2,11,6.4,6.4,2,0.9,1.2,2.1,48.7,3.2,2,2.1,0,-2.2,-2.9,-2.1,-2.3,-2.4,-3.4,-10,-12.8,-10.8,-7.9,-11.5,-10,-7.3,-0.9,2.8,-4,-5.7,-2.7,-2.3,-1.5,0.1,0.3,0.6,0,-0.1
檜原村：住宅地,　　―,,,,,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,-2.6,-1.4,-3.8,-5.4,-6.4,-6,-4.3,0,　　―,　　―,　　―, ―
檜原村：商業地,　　―,,,,,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―, ―
檜原村：全用途平均(林地を含む。）,　　―,,,,,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,-2.6,-1.4,-3.8,-5.4,-6.4,-6,-4.3,0,　　―,　　―,　　―, ―
奥多摩町：住宅地,　　―,,,,,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,-1.8,-1.3,-4.6,-4.9,-6.3,-5.5,-4.5,0,　　―,　　―,　　―, ―
奥多摩町：商業地,　　―,,,,,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―, ―
奥多摩町：全用途平均(林地を含む。）,　　―,,,,,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,-1.8,-1.3,-4.6,-4.9,-6.3,-5.5,-4.5,0,　　―,　　―,　　―, ―
多摩地域：住宅地,4.1,10.5,20.3,14.9,6.5,3.8,2.7,2.1,3.1,28.2,89,-7.4,-1.1,-0.1,-7.2,-14.8,-8.2,-2.8,-3.4,-2.4,-2.5,-7.4,-8.1,-6,-6.4,-6.3,-5.1,-3.1,4.6,7.9,-4.9,-5.7,-1.8,-1,-0.3,1.1,0.8,0.7,0.7,0.8
多摩地域：商業地,1.8,5.7,12.7,10.3,6.3,4.8,4.2,4.7,7.9,68.8,81.2,-0.6,0.7,0.6,-4.1,-18.7,-18.4,-12.9,-14,-9.9,-6.5,-10.4,-9.2,-6.7,-6.3,-6.2,-5.1,-2.7,5.6,9.8,-5,-6,-2.2,-1.1,-0.4,1.3,1.4,1.8,1.9,2
多摩地域：全用途平均(林地を含む。）,3.5,9.3,18.5,13.9,6.5,3.9,2.9,2.3,3.5,29.8,87,-6.3,-0.9,0.2,-6.7,-14.7,-9.2,-3.9,-4.6,-3.3,-3,-7.9,-8.4,-6.2,-6.6,-6.5,-5.3,-3.3,4.6,8,-4.9,-5.7,-1.9,-1,-0.4,1.1,0.9,0.9,0.9,1
大島町：住宅地,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.2,-1.2,-0.9,-5.6,-12.9,-2.6,0,0,0
大島町：商業地,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,-2.8,-2.9,-2,0,-1,-1,-1,-1,-3.1,-3.2,-3.4,-5.4,-5.7,-6.7,-7.1,-6.2,-7,-14.8,-5.2,-2,0,0
大島町：全用途平均(林地を含む。）,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,0,-0.9,-1,-0.7,0,-0.5,-0.3,-0.3,-0.3,-1,-1.1,-1.1,-1.8,-1.9,-3,-3.1,-2.7,-6.3,-13.5,-3.5,-0.7,0,0
新島村：住宅地,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,0,0,0,0,0,0,-1.6,1.6,0,0,0,0,0,0,0,0,0,-1.5,-1.5,-1.5,0,0,0
新島村：商業地,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,0,0,0,0,0,-1,1.1,0,0,0,0,0,0,0,0,0,-1,-1.1,-1.1,0,0,0
新島村：全用途平均(林地を含む。）,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,0,0,0,0,0,0,-1.4,1.4,0,0,0,0,0,0,0,0,0,-1.3,-1.3,-1.4,0,0,0
神津島村：住宅地,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,0,0,0,0,0,0,-1.4,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
神津島村：商業地,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,0,0,0,0,0,-1.1,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
神津島村：全用途平均(林地を含む。）,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,0,0,0,0,0,0,-1.3,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
三宅村：住宅地,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,0,0,0,0,0,0,　　―,　　―,　　―,　　―,　　―,0,0,0,0,-2.5,-2.1,-1.6,-1.1,-1.1,-1.1,-1.1,0
三宅村：商業地,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,0,0,0,0,0,　　―,　　―,　　―,　　―,　　―,0,0,0,0,-2.5,-1.7,-1.7,-0.9,-0.9,-0.9,-0.9,0
三宅村：全用途平均(林地を含む。）,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,0,0,0,0,0,0,　　―,　　―,　　―,　　―,　　―,0,0,0,0,-2.5,-2,-1.6,-1,-1,-1,-1,0
八丈町：住宅地,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,0,0,0,0,0,0,0,-1.5,0,0,0,0,0,-2.1,-5.3,-5.9,-7.3,-6,-1.6,-1.2,-1.2,0,0
八丈町：商業地,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,0,0,0,0,0,0,-3,-0.5,0,0,0,0,　　―,-6.8,-8.5,-8.2,-6,-0.6,-0.3,-0.3,0,0
八丈町：全用途平均(林地を含む。）,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,0,0,0,0,0,0,0,-2,-0.2,0,0,0,0,-2.1,-5.8,-6.7,-7.6,-6,-1.3,-0.9,-0.9,0,0
小笠原村：住宅地,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0.9,0,0,0,0
小笠原村：商業地,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,0,0,0,0,0,0,0,0,0,0,0,　　―,0,0,0,0,6.6,2.7,0,0,0,0
小笠原村：全用途平均(林地を含む。）,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,1.5,0,0,0,0
島しょ計：住宅地,　　―,　　―,　　―,　　―,　　―,　　―,   　　―,   　　―,   　　―,   　　―,　　―,　　―,　　―,　　―,　　―,　　―,   　　―,0,0,0,0,0,0,-0.6,0.3,0,0,0,0,0,-0.4,-1.1,-1.6,-1.7,-2,-2.7,-1.1,-0.4,-0.2,0
島しょ計：商業地,　　―,　　―,　　―,　　―,　　―,　　―,   　　―,   　　―,   　　―,   　　―,　　―,　　―,　　―,　　―,　　―,　　―,   　　―,   　　―,-0.5,-0.5,-0.3,0,-0.2,-0.6,-0.4,-0.3,-0.6,-0.6,-0.6,-1.1,-1.1,-2.3,-3,-2.7,-1.5,-2.4,-1.2,-0.5,-0.2,0
島しょ計：全用途平均(林地を含む。）,　　―,　　―,　　―,　　―,　　―,　　―,   　　―,   　　―,   　　―,   　　―,　　―,　　―,　　―,　　―,　　―,　　―,   　　―,0,-0.2,-0.2,-0.1,0,-0.1,-0.6,0.1,-0.1,-0.2,-0.2,-0.2,-0.3,-0.6,-1.5,-2.1,-2,-1.8,-2.6,-1.1,-0.4,-0.2,0
東京都：住宅地,3.9,9.9,19.9,13.6,6.2,3.9,2.9,2.9,6.4,50.5,67,-6.3,-0.3,0.1,-10.3,-18.5,-11.4,-4.7,-5,-3.4,-2.6,-6.1,-6.4,-4.7,-4.6,-4.1,-3.1,-1.7,8,9.1,-6.5,-6.2,-1.6,-1,-0.3,1.4,1.3,1.6,1.9,2.4
東京都：商業地,1.2,5.2,12.9,9.5,6.3,5.3,8.4,10.8,19.6,74.9,36.7,-0.8,1.7,0.6,-8,-21.9,-22.6,-18.5,-18.8,-13.7,-7.2,-8.8,-8,-6.2,-5.3,-3.9,-2.7,-0.9,13.9,15.8,-7.5,-9,-2.8,-1.9,-0.4,2.3,2.9,4.1,4.7,5.4
東京都：全用途平均(林地を含む。）,3,8.3,18.1,12.5,6.2,4.2,4.1,4.5,8.7,53.6,60.6,-4.8,0.2,0.3,-9.6,-19,-13.9,-8.1,-8.3,-5.9,-3.8,-6.8,-6.9,-5.2,-4.9,-4.1,-3.1,-1.5,9.7,11,-6.7,-7,-2,-1.3,-0.3,1.7,1.9,2.5,2.8,3.4
東京都：全用途平均,3,8.3,18.1,12.5,6.2,4.2,4.1,4.5,8.7,53.9,60.9,-4.9,0.2,0.3,-9.6,-19,-13.9,-8.1,-8.3,-5.9,-3.8,-6.8,-6.8,-5.1,-4.8,-4.1,-3.1,-1.5,9.8,11.1,-6.7,-7,-2,-1.3,-0.3,1.7,1.9,2.5,2.8,3.4
