地区一覧（区市別時系列順）,,,"※

",「促」は市街地再開発促進区域、「再」は再開発等促進区を定める地区計画、「特」は都市再生特別地区。また、都市計画決定年月日の（）書きは市街地再開発事業の未都決地区の場合の高度利用地区等の都市計画決定告示日を示します。地区計画と都市再生特別地区については実際に再開発の内容に即して計画内容が定められた時点の告示日を記載しています。,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
  区市名,番号,地　区　名,施行者,施行区域,区域面積,,都市計画決定,事業認可,権利変換,工事完了公告,敷地面積,延べ面積,建蔽率,容積率,階数,主要用途,住宅建設の目標,,R5.10.31,
,,,,,（ｈａ）,※,年月日,年月日,期日,年月日,（㎡）,（㎡）,（%）,（%）,,,戸数,面積,の状況,
"千代田区
江東区,4,古石場二丁目,組合,江東区古石場二丁目の一部,0.8 ,,H10.3.20,H10.10.23,H11.8.2,H14.9.30,"6,547","38,017",46.3%,427.2%,地上35階／地下2階,住宅、店舗、保育園、高齢者在宅センター、駐車場,300,"26,900",完了,
江東区,5,白河三丁目,組合,江東区白河三丁目及び四丁目の各一部,0.6 ,,H10.10.7,H12.4.19,H14.2.6,H17.2.25,"3,904","33,378",57.4%,668.9%,地上32階／地下1階,住宅、店舗、公益施設、駐車場,280,"19,100",完了,
江東区,6,白河・三好,組合,江東区白河四丁目及び三好四丁目の各一部,2.0 ,,H11.3.23,H12.11.9,H14.11.29,H18.6.30,"7,070","57,789",65.2%,587.0%,地上33階／地下2階,住宅、店舗、駐車場（A街区）,680,"45,700",完了,
,,,,,,,,,,H17.6.30,"3,662","13,580",48.8%,298.20%,地上12階／地下1階,住宅、店舗、駐車場（B街区）,,,,
,,,,,,,,,,H17.2.28,"1,715","6,521",54.4%,299.60%,地上9階,住宅、店舗、駐車場（C街区）,,,,
江東区,7,豊洲駅前,組合,江東区豊洲五丁目地内,1.3 ,,H13.1.31,H13.10.11,H15.6.27,H18.9.21,"7,142","64,458",66.2%,699.0%,地上40階／地下1階,住宅、店舗、公益施設、クリニック、駐車場,520,"37,000",完了,
江東区,8,豊洲二丁目駅前,個人,江東区豊洲二丁目地内,3.4 ,再,H14.6.28,H24.8.30,H25.1.9,"R2.4.3（A・C棟）
R2.10.30（B棟）","27,824","257,531 ",48.0%,790.0%,"地上36階／地下2階(A・C棟)
地上24階／地下1階(B棟)
地上2階(巡査派出所)
地上1階／地下1階(地下鉄出入口)",事務所、店舗、ホテル、駐車場、巡査派出所等,－,－,完了,
,,,,,,,,,,H27.6.30,"3,300","15,604 ",59.0%,374.0%,地上12階／地下1階,出張所、図書館、文化センター、駐車場,－,－,,
,,,,,,,,,,H28.5.31,"3,125","7,879 ",31.0%,182.0%,地上14階／地下1階,消防署、住宅、駐車場,－,－,,
品川区,1,大崎駅東口第１,組合,品川区大崎一丁目地内,3.0 ,,S57.12.2,S58.8.8,S59.2.13,S62.1.19,"20,559","138,200",59.0%,608.0%,地上21階／地下2階,店舗、事務所、ホテル、地域冷暖房・中水道施設、駐車場,－,－,完了,
品川区,2,西大井一丁目,組合,品川区西大井一丁目地内,1.1 ,,S58.3.31,S58.11.18,S59.3.31,S61.3.31,"6,720","25,770",(1)51.5% ,(1)439.0% ,地上18階／地下1階,住宅、店舗、事務所、コミュニティ施設、駐車場,250,"23,300",完了,
,,,,,,,,,,,,,(2)78.7% ,(2)234.6% ,地上3階／地下1階,店舗、事務所,,,,
,,,,,,,,,,,,,(3)78.9%,(3)78.9%,地上1階,駅務施設,,,,
品川区,3,大井町駅東口第一,組合,品川区東大井五丁目地内,1.2 ,,S61.3.17,S62.1.13,S62.5.7,H1.9.21,"5,055","41,998",87.0%,704.0%,地上10階／地下3階(１号棟),店舗、区民施設,－,－,完了,
,,,,,,,,,,,"2,072","16,190",89.0%,697.0%,地上8階／地下2階(２号棟),店舗,－,－,,
品川区,4,大崎駅東口第２,組合,品川区大崎一丁目地内,5.9 ,再,H3.2.28,H4.3.19,H6.3.12,H11.1.6,"42,509","319,900",54.0%,660.0%,"地上24階／地下4階（事務所棟(２棟)） 
地上20階／地下2階（住宅棟）
地上4階／地下2階（清掃事務所）
地上3階（事務所・工場）",住宅、店舗、事務所、集会場、工場、駐車場、地域冷暖房、変電所,150,"15,000",完了,
品川区,5,西大井駅前南,組合,品川区西大井一丁目地内,0.8 ,,H6.10.25,H9.11.19,H13.3.2,H15.6.30,"5,755","35,004",66.8%,457.3%,"地上28階／地下1階（高層棟）
地上9階／地下1階（低層棟）",住宅、店舗、業務施設、保育園、作業所、駐車場,250,"22,000",完了,
品川区,6,東五反田二丁目第１,組合,品川区東五反田二丁目地内,1.9 ,再,H9.4.4,H9.10.16,H10.4.7,H13.6.29,"14,000","72,600",46.0%,420.0%,"地上17階／地下2階（業務棟）
地上10階／地下1階（分譲住宅棟）
地上10階／地下1階（賃貸住宅棟）",住宅、店舗、事務所,310,"31,000",完了,
品川区,7,東品川四丁目第１,個人,品川区東品川三・四丁目の各地内,7.1 ,再,H10.3.20,H11.7.30,H11.12.3,H15.11.30,"52,369","370,830",62.0%,564.0%,"地上22階／地下2階（業務A１棟）
地上23階／地下2階（業務Ａ２,Ｂ１,B２棟）
地上9階／地下2階（店舗棟）
地上30階（住宅Ａ,Ｂ）",住宅、店舗、事務所、公益的施設、駐車場,800,"71,000",完了,
品川区,8,東品川四丁目第２,個人,品川区東品川三・四丁目の各地内,2.5 ,,,H13.9.20,H14.2.28,H16.9.17,"20,515","134,110",38.0%,596.0%,"地上18階／地下1階(業務C・D棟)
地上23階／地下1階(業務複合棟)",店舗、事務所、ホテル、駐車場,,,完了,
品川区,9,大崎駅東口第３,組合,品川区大崎一丁目地内,2.5 ,再,H14.6.28,H15.7.17,H16.4.30,H18.12.29,"19,940","148,500",70.0%,600.0%,"地上22階／地下1階（業務棟）
地上28階／地下2階（賃貸住宅棟）",住宅、店舗、事務所、駐車場,540,"59,700",完了,
,,,,,,,,,,H19.1.22,,,,,地上27階／地下2階（分譲住宅棟）,,,,,
品川区,10,大崎駅西口中,組合,品川区大崎二丁目地内,1.8 ,"特
再",H14.9.27,H17.5.13,H18.10.30,H21.9.30,"14,290","129,090",59.4%,650.0%,地上39階／地下2階,住宅、店舗、事務所、公益施設、駐車場,"1,120","72,500",完了,
品川区,11,大井町西,組合,品川区大井一丁目及び二葉一丁目の各地内,0.4 ,,H17.3.31,H19.6.7,H21.8.19,H24.9.3,"3,291","33,166",68.6%,740.7%,地上28階／地下2階,住宅、店舗、駐車場,230,"25,700",完了,
品川区,12,東五反田二丁目第２,組合,品川区東五反田一・二丁目各地内,1.8 ,再,H17.6.22,H18.3.6,H18.12.10,H22.6.29,"6,300","93,200",70.0%,990.0%,地上44階／地下2階（第１街区）,住宅、店舗、保育園、駐車場,700,"52,000",完了,
,,,,,,,,,,H21.4.30,"3,800","28,200",40.0%,670.0%,地上16階／地下2階（第２街区）,店舗、事務所、駐車場,,,,
,,,,,,,,,,H21.4.28,"1,100","1,400",37.0%,110.0%,地上5階（第３街区）,住宅、店舗,,,,
品川区,13,北品川五丁目第１,組合,品川区北品川五丁目地内,3.6 ,"特

再",H19.8.22,H21.3.24,H23.9.17,H27.9.25,"28,390","250,170",60.0%,718.0%,地上31階／地下2階（Ａ１棟）,事務所、店舗,800,"57,000",完了,
,,,,,,,,,,,,,,,地上18階（Ａ２棟）,住宅,,,,
,,,,,,,,,,,,,,,地上2階（Ｂ棟）,地域コミュニティ施設,,,,
,,,,,,,,,,,,,,,地上20階／地下2階（Ｃ１棟）,事務所、産業支援施設、店舗,,,,
,,,,,,,,,,,,,,,地上4階（Ｃ２棟）,作業所,,,,
,,,,,,,,,,,,,,,地上40階／地下2階（Ｄ棟）,"住宅、子育て支援、店舗、
地域コミュニティ施設",,,,
,,,,,,,,,,,,,,,地上2階（Ｅ棟）,店舗,,,,
品川区,14,大崎駅西口南,組合,品川区大崎二丁目地内,1.0 ,再,H19.8.22,H21.1.21,H23.2.10,H26.1.10,"7,170","58,450",51.5%,650.0%,地上25階／地下2階,住宅、店舗、事務所、福祉施設、集会室、駐車場,220,"20,500",完了,
品川区,15,目黒駅前,組合,品川区上大崎二・三丁目の各地内,2.3 ,,H22.12.17,H24.7.11,H25.10.31,H29.11.30,"11,670","127,440",52.0%,878.0%,地上40階／地下2階（Ａ棟）,事務所、店舗、住宅、公益施設,840,"84,500",完了,
,,,,,,,,,,,"5,540","43,840",26.0%,535.0%,地上38階／地下2階（Ｂ棟）,住宅,,,,
品川区,16,西品川一丁目,組合,品川区西品川一・二・三丁目、大崎一丁目及び広町二丁目の各地内,3.9 ,再,H24.12.10,H25.7.31,H27.2.5,H30.1.29,"19,928","178,150",39.0%,780.0%,地上24階／地下2階,事務所、店舗、駐車場等,400,"33,200",完了,
,,,,,,,,,,H30.7.10,"10,153","41,430",28.0%,250.0%,地上22階／地下2階,住宅、事務所、駐車場等,400,"33,200",,
品川区,17,大井一丁目南第１,組合,品川区大井一丁目及び二丁目各地内,0.8 ,,H24.12.19,H26.10.16,H28.4.8,R1.8.30,"6,250","60,440",45.0%,650.0%,地上29階／地下1階,住宅、事務所、生活支援施設（店舗等）、駐車場,600,"54,500",完了,
品川区,18,武蔵小山パルム駅前,組合,品川区小山三丁目地内,0.9 ,再,H25.3.4,H26.5.30,H27.12.15,R1.12.13,"7,420","75,000",67.0%,700.0%,地上41階／地下2階,住宅、店舗、地域コミュニティ施設、公共的駐輪場、駐車場等,640,"59,100",完了,
品川区,19,武蔵小山駅前通り,組合,品川区小山三丁目地内,0.7 ,再,H26.1.27,H28.4.13,H29.6.10,R3.4.14,"5,420","53,900",63.0%,650.0%,地上41階/地下2階,住宅、店舗、公益施設、駐車場、駐輪場等,410,"41,200",完了,
品川区,20,戸越五丁目19番,組合,品川区戸越五丁目地内,0.3 ,,H30.3.7,H30.12.21,R2.7.18,－,"2,392","22,089 ",55.0%,650.0%,地上23階／地下１階,住宅、店舗、駐車場等,220,"13,600",事業中,
品川区,21,大崎駅西口F南,組合,品川区大崎二丁目及び三丁目地内,0.6 ,再,H30.3.28,R3.3.5,R4.3.18,－,"5,050","52,124 ",60.0%,650.0%,地上37階／地下３階,住宅、事務所、店舗、保育園等,500,"40,900",事業中,
品川区,22,東五反田二丁目第３,組合,品川区東五反田二丁目地内,1.6 ,再,R2.10.23,R4.2.9,－,－,"Ⅰ街区 9,210
Ⅱ街区 4,440","Ⅰ街区 69,090 
Ⅱ街区 43,120","Ⅰ街区 44.0% 
Ⅱ街区 48.0%","Ⅰ街区 649.0% 
Ⅱ街区 650.0%","Ⅰ街区 地上20階／地下2階
Ⅱ街区 地上39階／地下1階","Ⅰ街区 事務所、店舗、駐車場
Ⅱ街区 住宅、保育所、駐車場",390,"25,700",事業中,
品川区,23,小山三丁目第１,組合,品川区小山三丁目地内,1.4 ,再,R4.7.8,－,－,－,"A-1街区8,090
A-2街区3,190","A-1街区114,630
A-2街区   9,220","A-1街区 75.0%
A-2街区 66.0%","A-1街区 950.0%
A-2街区 240.0%","A-1街区 地上39階／地下2階
A-2街区 地上 3階／地下2階","住宅、店舗、公益施設、駐車場
店舗、駐車場",850,"80,000",－,
品川区,24,小山三丁目第２,組合,品川区小山三丁目地内,1.6 ,再,R4.7.8,－,－,－,"B-1街区5,500
B-2街区6,900","B-1街区76,000
B-2街区56,３00","B-1街区80.8％
B-2街区74.2%","B-1街区940.0%
B-2街区540.0%",地上41階／地下2階,住宅、商業、生活支援施設、駐車場等,990,"98,600",－,
目黒区,1,上目黒二丁目,組合,目黒区上目黒一・二・三丁目の各一部,1.2 ,再,H6.9.6,H9.11.7,H11.3.29,H14.3.25,"6,971","58,313",45.0%,698.0%,地上25階／地下3階,住宅、店舗、事務所、文化公益施設、駐車場,80,"6,500",完了,
目黒区,2,上目黒一丁目,組合,目黒区上目黒一丁目地内,1.4 ,,H12.8.28,H15.2.21,H17.10.12,"H21.2.28
H21.9.17","6,890","71,197",64.0%,772.0%,"地上12階／地下1階（A棟）
地上45階／地下2階 （B棟）",住宅、店舗、事務所、保育施設、公益施設、駐車場等,560,"45,290",完了,
目黒区,3,大橋,都,目黒区大橋一・二丁目の各一部,3.8 ,,H16.1.20,H17.3.22,H18.2.23,H25.1.31,"7,200","83,650",50.0%,800.0%,地上42階／地下2階（1-1棟）,住宅、商業施設、業務施設、公益施設、防災無線室、駐車場（1-1棟）,620,"72,000",完了,
,,,,,,,,,H19.11.12,H21.4.21,"1,720","18,380",50.0%,800.0%,地上27階／地下2階（1-2棟）,住宅、商業施設、業務施設、駐車場（1-2棟）,,,,
目黒区,4,自由が丘一丁目２９番,組合,目黒区自由が丘一丁目２９番,0.5 ,,R2.10.5,R4.1.14,R5.2.24,－,"3,939 ","45,957",88.27%,849.96%,地上15階／地下3階,店舗、住宅、事務所、駐車場等,－,－,事業中,
大田区,1,糀谷駅前,組合,大田区西糀谷四丁目２８・２９番,1.3 ,,H20.3.7,H24.7.11,H25.12.25,H28.12.15,"4,350","34,230",86.2%,550.0%,地上19階／地下1階,住宅、店舗、公益施設、駐輪場,270,"21,750",完了,
,,,,,,,,,,,"1,000","8,970",66.5%,600.0%,地上17階／地下2階,住宅、店舗、駐車場,,,,
大田区,2,京急蒲田西口駅前,組合,大田区蒲田四丁目地内,1.0 ,,H21.4.30,H23.3.8,H25.2.22,H27.11.4,"4,010","35,640",70.0%,700.0%,地上20階／地下1階,住宅、商業施設、駐車場等,250,"20,600 ",完了,
世田谷区,1,三軒茶屋・太子堂四丁目,組合,世田谷区太子堂四丁目の一部,1.5 ,,S63.8.5,H2.9.11,H4.9.5,H8.11.12,"9,150","76,754",70.0%,700.0%,地上２７階／地下5階,商業施設、業務施設、金融施設、区施設、駐車場,－,－,完了,
世田谷区,2,野沢四丁目,組合,世田谷区野沢四丁目及び上馬三･四丁目の各一部,0.5 ,,H6.4.19,H7.7.17,H8.12.29,H11.1.22,"2,352","13,915",58.0%,496.0%,地上23階／地下1階,住宅、店舗、集会場、駐車場,120,"6,400",完了,
世田谷区,3,祖師谷大蔵駅南,組合,世田谷区砧八丁目の一部,0.3 ,,H6.4.19,H8.12.20,H10.3.6,H12.6.30,"2,756","12,531",67.0%,379.0%,地上10階／地下2階,住宅、商業施設、業務施設、駐車場,60,"5,000",完了,
世田谷区,4,二子玉川東（Ⅰ期）,組合,世田谷区玉川一・二・三丁目の各地内,8.1 ,再,H12.6.26,H17.3.4,H19.3.29,"H22.11.30(Ⅰ－a,Ⅰ－b街区）
H22.4.1(Ⅱ－b街区)
H22.4.30(Ⅲ街区F棟)
H22.5.20(Ⅲ街区A,C,G棟)
H22.7.20(Ⅲ街区B,D,E棟）","2,950","17,201",84.0%,583.0%,地上8階／地下1階（Ｉ－ａ街区）,店舗,800,"93,100",完了,
,,,,,,,,,,,"13,417","106,751",82.0%,649.0%,地上16階／地下2階（Ｉ－ｂ街区）,店舗、事務所、駐車場,,,,
,,,,,,,,,,,"3,472","9,428",71.0%,209.0%,地上3階／地下1階（Ⅱ－ｂ街区）,店舗、事務所、住宅、診療所、集会所、駐車場,,,,
,,,,,,,,,,,"25,180","133,353",74.0%,369.0%,地上42階／地下1階（Ⅲ街区）,住宅、店舗、駐車場,,,,
世田谷区,5,二子玉川東（Ⅱ期）,組合,世田谷区玉川一丁目の一部,3.1 ,,,H22.6.30,H23.10.15,H27.6.16,"28,083","157,016",80.0%,444.0%,地上30階／地下2階,事務所、映画館、ホテル、店舗、スタジオ、フィットネスクラブ、駐車場等,－,－,完了,
世田谷区,6,芦花公園駅南口,機構,世田谷区南烏山二丁目の一部,1.9 ,,H14.3.20,H15.6.9,H16.4.29,H19.12.13,"13棟　12,460","31,940",60.0%,210.0%,"最高地上12階
最低地下1階",住宅、店舗、事務所,350,"19,900",完了,
渋谷区,1,代官山,組合,渋谷区代官山町の一部,2.2 ,,H2.12.6,H6.5.30,H8.8.5,H12.8.1,"17,262","96,513",47.0%,450.0%,地上36階／地下4階,住宅、店舗、業務施設、公益施設、駐車場,400,"46,200",完了,
渋谷区,2,神宮前四丁目,組合,渋谷区神宮前四丁目の一部,1.2 ,,H14.3.27,H14.10.18,H15.3.25,H18.1.17,"6,051","34,062",83.0%,454.0%,地上6階／地下6階,住宅、店舗、駐車場,40,"3,000",完了,
渋谷区,3,道玄坂一丁目駅前,組合,渋谷区道玄坂一丁目地内,0.6 ,特,H25.6.17,H26.4.18,H27.4.1,R2.7.31,"3,336","58,980",99.3%,1400.0%,地上18階／地下４階,事務所、店舗、駐車場,－,－,完了,
渋谷区,4,千駄ヶ谷五丁目北,個人,渋谷区千駄ヶ谷五丁目地内,0.5 ,,H26.3.10,H27.3.27,H29.2.3,R1.8.31,"4,138","43,760",60.6%,897.0%,地上16階／地下2階,事務所、店舗、公益施設、駐車場,－,－,完了,
渋谷区,5,渋谷駅桜丘口,組合,渋谷区桜丘町、道玄坂一丁目及び渋谷三丁目各地内,2.6 ,特,H26.6.16,H27.9.15,H30.11.7,－,"8,070","184,800",98.0%,1940.0%,地上39階／地下4階,事務所、店舗、駐車場,－,－,事業中,
,,,,,,,,,,,"8,480","69,200",69.0%,600.0%,地上30階／地下1階,住宅、事務所、店舗、駐車場,170,"16,700",,
,,,,,,,,,,,420,820,76.0%,185.0%,地上4階,教会,－,－,,
渋谷区,6,宇田川町１４・１５番,個人,渋谷区宇田川町及び神南一丁目各地内,0.7 ,特,H27.12.17,H28.8.3,H28.11.30,R1.10.31,"5,386 ","63,856 ",87.0%,999.0%,地上19階/地下3階,店舗、劇場、駐車場、事務所等,－,－,完了,
渋谷区,7,神宮前六丁目,会社,渋谷区神宮前六丁目地内,0.3 ,,H28.6.6,H31.2.15,R2.1.20,R5.8.31,"3,085 ","19,940 ",76.0%,502.0%,地上10階／地下3階,店舗、公共公益施設、鉄道用変電施設、駐車場等,－,－,事業中,
渋谷区,8,渋谷二丁目１７,組合,渋谷区渋谷二丁目17番他,0.5 ,,H31.1.31,R1.8.28,R2.11.2,－,"3,460","44,265 ",70.0%,1100.0%,地上23階/地下3階,事務所、店舗、駐車場　等,－,－,事業中,
渋谷区,9,道玄坂二丁目南,組合,渋谷区道玄坂二丁目地内,0.8 ,,R3.3.5,R4.1.19,R4.11.18,－,"6,725 ","87,100 ",78.0%,1099.9%,地下３階、地上３０階、塔屋２階,事務所、ホテル、店舗、駐車場,－,－,事業中,
渋谷区,10,渋谷二丁目西,組合,渋谷区渋谷二丁目地内,2.3 ,特,R4.3.24,R5.1.16,－,－,"A街区：1,670
B街区：12,760","A街区：2,940
B街区：246,850","A街区：80％
B街区：84％","A街区：160％
B街区：1,570％","A街区：地下1階／地上5階  
B街区：地下4階／地上41階","A街区：店舗等
B街区：事務所、店舗、ホテル、人材育成施設、バスターミナル、熱源機械室、駐車場",－,－,事業中,
渋谷区,11,宮益坂,組合,渋谷区渋谷一丁目、渋谷二丁目地内,1.4,特,R5.4.12,－,－,－,－,－,－,－,－,－,－,－,－,
中野区,1,中野四丁目東,組合,中野区中野四丁目の一部,1.0 ,,S63.3.10,H1.1.25,H3.12.11,H6.11.22,"8,159","64,059",48.0%,650.0%,"地上26階／地下4階（住宅棟）
地上19階／地下4階（事務所棟）",住宅、店舗、業務施設、集会室、駐車場,140,"17,500",完了,
中野区,2,野方五丁目,組合,中野区野方五丁目の一部,0.4 ,,S63.8.5,H2.1.26,H2.11.17,H5.9.20,"2,234","10,856",68.2%,450.0%,地上13階／地下3階,住宅、店舗、公益施設、駐車場,60,"5,800",完了,
中野区,3,中野坂上本町二丁目,機構,中野区本町二丁目の一部,1.9 ,,H2.8.24,H4.2.7,H4.12.6,H8.9.30,"13,372","95,235",41.0%,643.0%,地上30階／地下2階,住宅、店舗、事務所、駐車場,40,"4,200",完了,
中野区,4,中野坂上本町一丁目,組合,中野区中野坂上本町一丁目の一部,1.6 ,,H3.8.21,H4.10.28,H5.12.20,H9.3.31,"11,465","83,951",54.0%,641.0%,"地上29階／地下2階（Ａ棟）
地上6階／地下1階（Ｂ棟）
地上10階（Ｃ棟）
地上8階（Ｄ棟）",住宅、店舗、事務所、集会室、駐車場,80,"7,000",完了,
中野区,5,中野坂上中央一丁目西,組合,中野区中央一丁目の一部,0.9 ,,H3.8.21,H4.11.17,H8.9.11,H11.4.30,"4,827","36,224",53.0%,660.0%,地上24階／地下2階,住宅、店舗、事務所、公益的施設、駅出入口、駐車場,45,"4,100",完了,
中野区,6,中野二丁目,組合,中野区中野二丁目地内,1.0 ,,H27.3.6,H30.7.31,R2.3.23,－,"10,081","99,000",約78%,約705%,"地上37階/地下2階（住宅棟）
地上20階/地下2階（事務所棟）",住宅、商業施設等、事務所、駐車場、駐輪場,397,"39,550",事業中,
中野区,7,囲町東,組合,中野区中野四丁目地内,2.0 ,,H27.12.17,R2.9.16,R4.2.8,－,"13,230 ","119,810 ",約67% ,約600% ,"地上25階／地下2階
地上20階／地下1階",住宅、業務、商業,600,"69,500 ",事業中,
中野区,8,囲町西,組合,中野区中野四丁目地内,0.8 ,,R4.6.17,－,－,－,－,－,－,－,－,－,490,"49,000 ",－,
杉並区,1,荻窪駅北口,組合,杉並区上荻一丁目の一部,0.7 ,,S53.7.8,S53.12.23,S54.7.17,S59.1.13,"6,205","47,199",87.7%,649.0%,地上8階／地下3階,店舗、事務所、駐車場,－,－,完了,
杉並区,2,新高円寺駅前,個人,杉並区梅里一丁目の一部,0.3 ,促,H3.8.21,H4.1.16,H4.11.19,H7.5.12,"2,600","12,974",68.9%,426.0%,地上8階／地下2階,住宅、店舗、事務所、駐車場,－,－,完了,
豊島区,1,東池袋四丁目,組合,豊島区東池袋四丁目及び南池袋二丁目の各地内,1.6 ,再,H5.8.17,H6.11.29,H14.11.11,H19.1.31,"9,377","98,672",44.1%,841.6%,"地上15階
地上42階／地下2階",住宅、店舗、事務所、公益施設、駐車場,500,"50,000",完了,
豊島区,2,東池袋四丁目第２,機構,豊島区東池袋四丁目地内,1.1 ,再,H16.5.20,H18.1.10,H19.1.11,H23.1.26,"5,800","79,200",50.0%,970.0%,地上52階／地下2階,住宅、店舗、事務所、駐車場,670,"64,700",完了,
豊島区,3,南池袋二丁目Ａ,組合,豊島区南池袋二丁目地内,1.0 ,再,H21.7.31,H22.8.26,H23.5.4,H27.3.2,"8,330","94,682",64.0%,800.0%,地上49階／地下3階,住宅、庁舎、店舗、事務所、駐車場,410,"55,000",完了,
豊島区,4,東池袋五丁目,組合,豊島区東池袋五丁目地内,0.2 ,,H26.8.7,H27.6.12,H28.7.26,H31.2.26,"1,573","14,720",57.0%,646.0%,地上20階／地下1階,住宅、駐車場、集会施設,130,9200,完了,
豊島区,5,東池袋四丁目２番街区,組合,豊島区東池袋四丁目地内,0.3 ,,H29.3.31,H29.10.20,H30.9.14,R4.3.25,"2,665 ","31,177 ",50.0%,749.0%,地上36階／地下2階,住宅、店舗、事務所、子育て支援施設、駐車場,230 ,"24,500 ",完了,
豊島区,6,南池袋二丁目C,組合,豊島区南池袋二丁目地内,1.7 ,再,H30.6.21,R2.3.13,R3.8.24,－,"8,761（Ⅰ－Ⅰ街区）
6,305（Ⅰ－Ⅱ街区）","112,190（Ⅰ－Ⅰ街区）
75,210（Ⅰ－Ⅱ街区）","59％（Ⅰ－Ⅰ街区）
49％（Ⅰ－Ⅱ街区）","799％（Ⅰ－Ⅰ街区）
799％（Ⅰ－Ⅱ街区）","地上52階/地下2階（Ⅰ－Ⅰ街区）
地上47階/地下2階（Ⅰ－Ⅱ街区）","住宅、公共公益施設、店舗、事務所、駐車場他（Ⅰ－Ⅰ街区）
住宅、店舗、子育て支援施設、文化交流施設、駐車場（Ⅰ－Ⅱ街区）","1,450 ","165,100 ",事業中,
豊島区,7,東池袋一丁目,組合,豊島区東池袋一丁目地内,1.5 ,特,R2.10.6,R4.7.6,-,-,"9,900","155,000",81.0%,1200.0%,地上33階/地下3階,事務所、文化体験施設、イベントホール、駐車場等,-,-,事業中,
北区,1,"赤羽駅西口（第Ⅰ期）
　第Ⅱ期と同じ施行区域となる。",機構,北区赤羽西一丁目の一部,0.8 ,,S56.6.22,S57.5.24,S58.3.31,S61.3.28,"3,770","21,700",80.0%,570.0%,地上14階／地下2階,住宅、店舗、駐車場,110,"11,700",完了,
北区,2,赤羽北,都,北区赤羽北二丁目の一部,3.5 ,,S60.1.21,H1.8.24,（略）,H14.3.26,"2,900","11,700",50.0%,400.0%,地上13階／地下1階（Ａ棟）,住宅、店舗、公益施設、駐車場（第１街区）,660,"68,500",完了,
,,,,,,,,,,H11.9.30,3棟　8500,"33,800",60.0%,350.0%,"最高地上14階
最低地下1階",住宅、店舗、事務所、工場、駐車場（第２街区）,,,,
,,,,,,,,,,H15.2.28,2棟　7900,"34,500",50.0%,400.0%,"最高地上17階
最低地下1階",住宅、店舗、駐車場（第３街区）,,,,
北区,3,"赤羽駅西口（第Ⅱ期）
　第Ⅰ期と同一施行区域",機構,北区赤羽西一丁目の一部,"2.6
(第Ⅰ期を除く。)",,S62.4.16,H2.7.5,H4.1.10,H7.11.30,"5,400","38,200",70.0%,700.0%,地上18階／地下2階,住宅、商業施設、業務施設（2街区）,400,"34,500",完了,
,,,,,,,,,,,"7,800","63,200",87.0%,650.0%,,商業施設、業務施設、駐車場（3街区）,,,,
北区,4,十条駅西口,組合,北区上十条一・二丁目の各地内,1.7 ,,H24.10.2,H29.5.26,R2.3.16,－,"7,070","81,000",70.0%,800.0%,地上39階／地下2階,住宅、商業、業務、駐車場　等,520,"57,500",事業中,
北区,5,赤羽一丁目第一,組合,北区赤羽一丁目10番・11番（一部）,0.5 ,,R2.8.17,－,－,－,"2,890","33,340",56.0%,800.0%,地上26階／地下1階,住宅、店舗、駐車場,－,－,－,
荒川区,1,白鬚西,都,荒川区南千住三・四及び八丁目の各一部,48.8 ,,S58.3.31,"S62.10.22
S63.4.5
S63.7.28",（略）,H22.3.31,"39棟　169,622","407,434",29～43%,108～400%,"最高地上20階
最低地下4階",住宅、店舗、作業所、診療所、保育所、医療施設、消防施設,"4,500","392,900",完了,
荒川区,2,町屋駅前西,個人,荒川区荒川六丁目の一部,0.2 ,促,S59.1.27,S59.8.28,S60.3.12,S62.12.14,912,"4,740",67.7%,519.0%,地上12階／地下1階,住宅、店舗,－,－,完了,
荒川区,3,町屋駅前東,組合,荒川区荒川七丁目の一部,0.6 ,,S60.3.15,S60.11.25,S61.11.5,S63.10.1,"4,137","20,489",69.8%,461.0%,地上14階／地下1階,住宅、店舗、集会室、公益施設、作業所、倉庫、駐車場,150,"12,000",完了,
荒川区,4,町屋駅前中央,組合,荒川区荒川七丁目の一部,0.5 ,,S63.3.10,H1.11.15,H5.5.18,H8.3.27,"3,221","27,020",70.0%,700.0%,地上22階／地下2階,住宅、店舗、事務所、集会室、公益施設、駐車場,100,"10,000",完了,
荒川区,5,町屋駅前中央第二,個人,荒川区荒川七丁目の一部,0.1 ,,,H6.4.8,H6.9.25,H8.3.26,940,"4,826",73.0%,513.0%,地上8階／地下1階,住宅、店舗、集会室,,,完了,
荒川区,6,東日暮里五丁目,組合,荒川区東日暮里五丁目１６番,0.7 ,,H7.4.28,H8.9.19,H11.2.9,H13.6.5,"4,797","28,907",65.7%,512.1%,地上28階／地下1階,住宅、店舗、事務所、作業所、工場、駐車場,270,"22,000",完了,
荒川区,7,町屋駅前南,組合,荒川区荒川六・七丁目の各地内,0.6 ,,H9.2.12,H12.12.27,H15.4.4,H18.3.16,"4,717","42,013",67.0%,647.0%,地上28階／地下2階,住宅、店舗、事務所、集会室、作業所、駐車場,270,"19,500",完了,
