建物番号,建物名称,施設形態,建築年度(和暦),建築年度(西暦),築年数,延床面積,構造,規模,令和元年度-建-合計,令和元年度-事-合計,令和元年度-人件費（合計）,コード,施設名称,用途別面積,【用途中分類】,建物所有者
123,第七中学校,単独,S37,1962,57,"6,371.01",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上4階,"16,758,735 ","46,037,628 ","20,836,379 ",Y004,第七中学校,"6,371.01",15 中学校,目黒区
124,第八中学校,単独,S35,1960,59,"6,598.13",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上4階,"17,224,049 ","56,903,149 ","26,236,546 ",Y005,第八中学校,"6,598.13",15 中学校,目黒区
125,第九中学校,単独,S37,1962,57,"6,835.90",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上4階,"89,016,509 ","42,810,081 ","20,537,825 ",Y006,第九中学校,"6,835.90",15 中学校,目黒区
126,第十中学校,単独,S35,1960,59,"7,020.08",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上4階,"39,253,225 ","67,129,885 ","20,537,825 ",Y007,第十中学校,"7,020.08",15 中学校,目黒区
127,第十一中学校,単独,S34,1959,60,"6,626.18",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上4階・地下2階,"40,382,852 ","46,081,182 ","20,537,825 ",Y008,第十一中学校,"6,626.18",15 中学校,目黒区
128,東山中学校,単独,S35,1960,59,"7,695.20",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上4階,"33,663,506 ","72,959,558 ","32,586,718 ",Y009,東山中学校,"7,695.20",15 中学校,目黒区
129,目黒中央中学校,単独,H元年度,1989,30,"9,994.86",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上3階・地下1階,"43,334,754 ","98,021,823 ","36,735,069 ",Y010,目黒中央中学校,"9,994.86",15 中学校,目黒区
130,大鳥中学校,単独,S34,1959,60,"7,862.82",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上4階・地下1階,"67,807,650 ","79,045,953 ","30,266,495 ",Y011,大鳥中学校,"7,862.82",15 中学校,目黒区
138,東山地区センター,複合,S34,1959,60,"3,484.75",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上2階,"2,560,513 ","9,944,358 ","39,599,756 ",Z001,ひがしやま幼稚園,550.68,16 幼稚園・こども園,目黒区
131,げっこうはらこども園,単独,S45,1970,49,925.11,RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上2階,"3,113,134 ","38,634,317 ","75,662,935 ",Z004,げっこうはらこども園,925.11,16 幼稚園・こども園,目黒区
142,緑が丘コミュニティセンター別館,複合,S54,1979,40,"3,142.39",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上2階,"4,033,399 ","35,552,317 ","82,349,551 ",Z005,みどりがおかこども園,820.18,16 幼稚園・こども園,目黒区
132,八ケ岳林間学園,単独,S59,1984,35,"4,266.84",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上2階,"47,815,758 ","67,220,053 ",0 ,Z010,八ケ岳林間学園,"4,266.84",17 その他学校関係施設,目黒区
133,興津自然学園,単独,S61,1986,33,"3,758.84",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上3階,"38,391,255 ","74,190,775 ","16,182,734 ",Z012,興津自然学園,"3,758.84",17 その他学校関係施設,目黒区
134,めぐろ学校サポートセンター,複合,S35,1960,59,"5,787.94",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上4階,"48,466,443 ","33,443,082 ","103,366,958 ",Z014,めぐろ学校サポートセンター,"4,324.42",17 その他学校関係施設,目黒区
148,めぐろ区民キャンパス,複合,H11,1999,20,"25,347.83",SRC（鉄骨鉄筋ｺﾝｸﾘｰﾄ造）,地上6階・地下2階,"44,548,569 ","90,629,564 ",0 ,R001,めぐろパーシモンホール,"8,621.05",18 文化施設（ホール・美術館）,目黒区
149,中目黒GT（一部）,複合（民間併設）,H13,2001,18,967.13,SRC（鉄骨鉄筋ｺﾝｸﾘｰﾄ造）,中目黒GT地下1階,"973,660 ","175,457 ",0 ,R002,中目黒ＧＴプラザホール,219.16,18 文化施設（ホール・美術館）,目黒区
36,目黒区民センター,複合,S49,1974,45,"16,538.52",SRC（鉄骨鉄筋ｺﾝｸﾘｰﾄ造）,地上8階・地下3階,0 ,0 ,0 ,R003,中小企業センターホール,-,18 文化施設（ホール・美術館）,目黒区
135,目黒区美術館,単独,S61,1986,33,"4,059.21",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上3階・地下1階,"79,755,969 ","93,068,286 ",0 ,R004,目黒区美術館,"4,059.21",18 文化施設（ホール・美術館）,目黒区
134,めぐろ学校サポートセンター,複合,S35,1960,59,"5,787.94",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上4階,0 ,"2,900,735 ","33,795,415 ",R005,めぐろ歴史資料館,"1,463.52",18 文化施設（ホール・美術館）,目黒区
136,すずめのお宿緑地公園古民家,単独,S58,1983,36,155.64,W（木造）,地上1階,"5,331,251 ","114,129 ",0 ,R006,すずめのお宿緑地公園古民家,155.64,18 文化施設（ホール・美術館）,目黒区
137,埋蔵文化財整理室,単独,H25,2013,6,67.07,S（鉄骨造）,地上1階,"320,757 ",0 ,0 ,R007,埋蔵文化財整理室,67.07,18 文化施設（ホール・美術館）,目黒区
149,中目黒GT（一部）,複合（民間併設）,H13,2001,18,967.13,SRC（鉄骨鉄筋ｺﾝｸﾘｰﾄ造）,中目黒GT地下1階,0 ,0 ,0 ,R008,観光まちづくり支援施設,60.84,18 文化施設（ホール・美術館）,目黒区
138,東山地区センター,複合,S34,1959,60,"3,484.75",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上2階,"50,222,156 ","1,122,841 ","20,221,034 ",S001,東山社会教育館,"1,575.00",19 社会教育館・青少年プラザ,目黒区
36,目黒区民センター,複合,S49,1974,45,"16,538.52",SRC（鉄骨鉄筋ｺﾝｸﾘｰﾄ造）,地上8階・地下3階,"16,727,358 ","794,880 ",0 ,S002,目黒区民センター社会教育館,"1,065.68",19 社会教育館・青少年プラザ,目黒区
139,中央町さくらプラザ（一部）,複合,H17,2005,14,"1,325.09",SRC（鉄骨鉄筋ｺﾝｸﾘｰﾄ造）,中央町さくらプラザ1階・地下1階,"35,709,844 ","1,931,558 ",0 ,S003,中央町社会教育館,"1,193.79",19 社会教育館・青少年プラザ,目黒区
140,南部地区センター,複合,S56,1981,38,"4,655.37",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上4階・地下1階,"60,702,839 ","2,309,255 ","22,290,100 ",S004,目黒本町社会教育館,"2,368.62",19 社会教育館・青少年プラザ,目黒区
141,緑が丘コミュニティセンター本館,複合,S49,1974,45,"2,986.21",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上3階・地下1階,"120,548,649 ","10,307,536 ","22,290,101 ",S005,緑が丘文化会館,"3,352.84",19 社会教育館・青少年プラザ,目黒区
14,中目黒スクエア,複合,H3,1991,28,"4,911.33",SRC（鉄骨鉄筋ｺﾝｸﾘｰﾄ造）,地上9階・地下2階,"17,639,130 ","14,010,891 ","38,183,349 ",S006,青少年プラザ,"1,581.38",19 社会教育館・青少年プラザ,目黒区
143,駒場体育館,単独,S60,1985,34,"3,705.19",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上3階・地下1階,"174,513,322 ",0 ,0 ,T001,駒場体育館,"3,705.19",20 体育施設,目黒区
36,目黒区民センター,複合,S49,1974,45,"16,538.52",SRC（鉄骨鉄筋ｺﾝｸﾘｰﾄ造）,地上8階・地下3階,"75,048,400 ","2,720,020 ",0 ,T002,目黒区民センター体育館,"4,188.24",20 体育施設,目黒区
144,碑文谷体育館,複合,S43,1968,51,"3,295.27",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上3階,"91,432,293 ","100,788 ",0 ,T003,碑文谷体育館,"3,058.38",20 体育施設,目黒区
145,中央体育館,単独,S42,1967,52,"6,149.58",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上5階,"63,350,082 ",0 ,0 ,T004,中央体育館,"6,149.58",20 体育施設,目黒区
148,めぐろ区民キャンパス,複合,H11,1999,20,"25,347.83",SRC（鉄骨鉄筋ｺﾝｸﾘｰﾄ造）,地上6階・地下2階,"36,135,122 ","179,280 ",0 ,T005,八雲体育館,"1,750.00",20 体育施設,目黒区
146,砧球技場管理事務所,単独,R元年度,2019,0,217.79,S（鉄骨造）,地上1階,"143,810,401 ","908,787 ",0 ,T006,砧球技場管理事務所,217.79,20 体育施設,目黒区
147,宮前公園庭球場管理事務所,単独,S63,1988,31,33.12,S（鉄骨造）,地上1階,"1,212,792 ",0 ,0 ,T007,宮前公園庭球場管理事務所,33.12,20 体育施設,目黒区
109,五本木小学校,複合,S37,1962,57,"9,321.57",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上3階・地下2階,"49,259,518 ","1,661,593 ",0 ,T008,中央地区プール,-,20 体育施設,目黒区
103,碑小学校,複合,H19,2007,12,"9,997.03",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上5階,"44,822,656 ","1,647,373 ",0 ,T009,南部地区プール,-,20 体育施設,目黒区
114,緑ヶ丘小学校,複合,S61,1986,33,"6,562.04",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上3階,"40,143,372 ","1,863,251 ",0 ,T010,西部地区プール,-,20 体育施設,目黒区
148,めぐろ区民キャンパス,複合,H11,1999,20,"25,347.83",SRC（鉄骨鉄筋ｺﾝｸﾘｰﾄ造）,地上6階・地下2階,"1,084,075,155 ","54,503,959 ","315,582,682 ",U001,八雲中央図書館,"6,572.43",21 図書館,目黒区
10,北部地区サービス事務所,複合,H24,2012,7,"2,162.58",RC（鉄筋ｺﾝｸﾘｰﾄ造）,クロスエアタワー9階,"46,475,800 ","20,658,103 ",0 ,U002,大橋図書館,"1,168.20",21 図書館,目黒区
149,中目黒GT（一部）,複合（民間併設）,H13,2001,18,967.13,SRC（鉄骨鉄筋ｺﾝｸﾘｰﾄ造）,中目黒GT地下1階,"88,583,555 ","6,774,019 ",0 ,U003,中目黒駅前図書館,687.13,21 図書館,目黒区
36,目黒区民センター,複合,S49,1974,45,"16,538.52",SRC（鉄骨鉄筋ｺﾝｸﾘｰﾄ造）,地上8階・地下3階,"38,259,000 ","23,682,534 ",0 ,U004,目黒区民センター図書館,"1,339.42",21 図書館,目黒区
150,守屋図書館,単独,H2,1990,29,"1,281.89",SRC（鉄骨鉄筋ｺﾝｸﾘｰﾄ造）,地上2階・地下2階,"59,738,785 ","22,674,390 ",0 ,U005,守屋図書館,"1,281.89",21 図書館,目黒区
140,南部地区センター,複合,S56,1981,38,"4,655.37",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上4階・地下1階,"35,426,799 ","17,775,166 ",0 ,U006,目黒本町図書館,"1,005.21",21 図書館,目黒区
151,洗足図書館,単独,S62,1987,32,516.60,RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上2階,"41,041,717 ","9,144,040 ",0 ,U007,洗足図書館,516.60,21 図書館,目黒区
141,緑が丘コミュニティセンター本館,複合,S49,1974,45,"2,986.21",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上3階・地下1階,"35,273,490 ","15,794,253 ",0 ,U008,緑が丘図書館,892.58,21 図書館,目黒区
152,三田フレンズ,複合,H6,1994,25,"5,294.46",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上6階・地下2階,"80,482,023 ",0 ,0 ,N010,三田地区駐車場,"1,204.05",22 駐車場・駐輪場,目黒区
153,学芸大学駅東口駐輪場,単独,H12,2000,19,715.50,S（鉄骨造）,地上3階・地下1階,"482,314 ",0 ,0 ,N011,学芸大学駅東口駐輪場,715.50,22 駐車場・駐輪場,目黒区
154,祐天寺駅西口第一駐輪場,単独,H15,2003,16,519.52,S（鉄骨造）,地上1階,"214,068 ",0 ,0 ,N012,祐天寺駅西口第一駐輪場,519.52,22 駐車場・駐輪場,目黒区
155,自由が丘駅南口駐輪場,単独,H18,2006,13,4.62,S（鉄骨造）,地上1階,"3,332,829 ",0 ,0 ,N013,自由が丘駅南口駐輪場,4.62,22 駐車場・駐輪場,目黒区
156,都立大学駅北口駐輪場,単独,H18,2006,13,361.09,S（鉄骨造）,地上1階,"4,589,548 ",0 ,0 ,N014,都立大学駅北口駐輪場,361.09,22 駐車場・駐輪場,目黒区
157,中目黒駅前駐輪場,単独,H13,2001,18,732.27,SRC（鉄骨鉄筋ｺﾝｸﾘｰﾄ造）,地下1階,"2,984,286 ",0 ,0 ,N015,中目黒駅前駐輪場,732.27,22 駐車場・駐輪場,目黒区
158,下目黒自転車集積所,-,H16,2004,15,"2,024.11",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上5階・地下1階,"4,974,970 ",0 ,0 ,N016,下目黒自転車集積所,442.94,22 駐車場・駐輪場,目黒区
159,池尻大橋駅東口駐輪場,単独,H21,2009,10,486.25,RC（鉄筋ｺﾝｸﾘｰﾄ造）,地下1階,"89,122 ",0 ,0 ,N017,池尻大橋駅東口駐輪場,486.25,22 駐車場・駐輪場,目黒区
160,上目黒一丁目駐輪場,単独,H22,2010,9,836.73,SRC（鉄骨鉄筋ｺﾝｸﾘｰﾄ造）,地下1階,"142,049 ",0 ,0 ,N018,上目黒一丁目駐輪場,836.73,22 駐車場・駐輪場,目黒区
161,緑が丘駅駐輪場,単独,H24,2012,7,101.56,S（鉄骨造）,地上1階,"118,872 ",0 ,0 ,N019,緑が丘駅駐輪場,101.56,22 駐車場・駐輪場,目黒区
162,洗足二丁目駐輪場,単独,H21,2009,10,126.98,S（鉄骨造）,地上1階,"5,247 ",0 ,0 ,N020,洗足二丁目駐輪場,126.98,22 駐車場・駐輪場,目黒区
163,池尻大橋駅北口駐輪場,単独,H20,2008,11,282.70,S（鉄骨造）,地上1階,"274,525 ",0 ,0 ,N021,池尻大橋駅北口駐輪場,282.7,22 駐車場・駐輪場,目黒区
164,学芸大学駅西口第一駐輪場,単独,H12,2000,19,152.04,S（鉄骨造）,地上1階,"16,267 ",0 ,0 ,N022,学芸大学駅西口第一駐輪場,152.04,22 駐車場・駐輪場,目黒区
165,中町二丁目自転車集積所,単独,H12,2000,19,"1,333.84",S（鉄骨造）,地上1階,"26,029,987 ",0 ,0 ,N023,中町二丁目自転車集積所,"1,333.84",22 駐車場・駐輪場,目黒区
166,駒場公園和館,単独,S4,1929,90,487.95,W（木造）,地上2階,"149,171,116 ",0 ,0 ,O001,駒場公園和館,487.95,23 公園施設,国
167,碑文谷公園詰所,単独,S47,1972,47,95.18,W（木造）,地上2階,"85,137 ",0 ,0 ,O003,碑文谷公園詰所,95.18,23 公園施設,目黒区
168,西郷山公園管理事務所,単独,S56,1981,38,292.58,RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上2階・地下1階,"1,198,862 ","418,660 ",0 ,O004,西郷山公園管理事務所,292.58,23 公園施設,目黒区
169,碑文谷公園動物舎,単独,H12,2000,19,219.24,S（鉄骨造）,地上2階,"43,541,833 ",0 ,0 ,O006,碑文谷公園動物舎,219.24,23 公園施設,目黒区
170,菅刈公園和館,単独,H12,2000,19,197.91,W（木造）,地上1階,"23,753,677 ",0 ,0 ,O007,菅刈公園和館,197.91,23 公園施設,目黒区
171,花とみどりの学習館,単独,H13,2001,18,368.57,RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上1階,"17,715,762 ",0 ,0 ,O008,花とみどりの学習館,368.57,23 公園施設,目黒区
172,菅刈公園管理棟,単独,H12,2000,19,18.75,S（鉄骨造）,地上1階,"1,151,370 ",0 ,0 ,O009,菅刈公園管理棟,18.75,23 公園施設,目黒区
173,駒場野公園自然観察舎,単独,H7,1995,24,82.59,S（鉄骨造）,地上1階,"4,958,191 ",0 ,0 ,O010,駒場野公園自然観察舎,82.59,23 公園施設,目黒区
174,駒場野公園管理棟,単独,H19,2007,12,122.23,RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上1階,"4,280,499 ",0 ,0 ,O011,駒場野公園管理棟,122.23,23 公園施設,目黒区
175,衾町公園児童交通施設,単独,H28,2016,3,66.43,RC（鉄筋コンクリート造）,地上1階,"5,670,796 ",0 ,0 ,O012,衾町公園児童交通施設,66.43,23 公園施設,目黒区
176,目黒天空庭園管理棟,単独,H24,2012,7,120.18,S（鉄骨造）,道路構造物（大橋ジャンクション）屋上,"16,161,702 ",0 ,0 ,O014,目黒天空庭園管理棟,120.18,23 公園施設,目黒区
83,田道ふれあい館,複合,H4,1992,27,"6,282.22",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上3階・地下2階,"26,995,560 ","258,921 ",0 ,Q001,目黒区エコプラザ,398.92,24 環境施設・清掃施設,目黒区
177,目黒区清掃事務所,単独,S47,1972,47,"1,691.59",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上3階,"21,685,681 ","2,139,753,393 ","702,926,997 ",Q005,目黒区清掃事務所,"1,691.59",24 環境施設・清掃施設,目黒区
178,目黒区清掃事業所,単独,H11,1999,20,"2,604.40",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上2階・地下1階,"28,207,146 ","11,310,681 ","110,981,470 ",Q007,目黒区清掃事業所,"2,604.40",24 環境施設・清掃施設,目黒区
179,目黒区粗大中継所,単独,H27,2015,4,473.55,RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上2階,"2,629,619 ","187,965,500 ",0 ,Q008,目黒区粗大中継所,473.55,24 環境施設・清掃施設,目黒区
13,目黒土木公園事務所,複合,S53,1978,41,"1,037.22",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上4階,"1,290,849 ",0 ,0 ,D001,上目黒職員住宅,467.46,25 職員住宅,目黒区
34,東根住区センター,複合,S59,1984,35,"2,118.17",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上3階・地下1階,"1,824,510 ",0 ,0 ,D002,東根職員住宅,"1,044.81",25 職員住宅,目黒区
180,中目黒職員住宅,単独,S60,1985,34,228.36,S（鉄骨造）,地上3階,"769,861 ",0 ,0 ,D003,中目黒職員住宅,228.36,25 職員住宅,目黒区
181,清水池教職員住宅,単独,S48,1973,46,"1,424.67",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上4階,"1,905,512 ","60,000 ",0 ,Z013,清水池教職員住宅,"1,424.67",26 教職員住宅,目黒区
182,旧東山住区センター,単独,S51,1976,43,517.01,RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上2階,"1,795,002 ",0 ,0 ,F035,旧東山住区センター,517.01,27 その他,目黒区
183,旧川の資料館,単独,H5,1993,26,243.20,RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上2階,"601,440 ",0 ,0 ,O005,旧川の資料館,243.20,27 その他,目黒区
35,八雲住区中根一丁目会議室,単独（民間併設）,S50,1975,44,443.47,RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上2階,0 ,0 ,0 ,W001,旧中根西高齢者ふれあいの家,225.30,27 その他,目黒区
19,下目黒住区センター,複合（民間併設）,H2,1990,29,"1,385.13",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上4階・地下1階,0 ,0 ,0 ,W002,旧下目黒ふれあい工房,133.70,27 その他,目黒区
54,高齢者福祉住宅コーポ目黒本町,単独（民間併設）,H4,1992,27,"1,047.49",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上5階・地下1階,0 ,0 ,0 ,W003,目黒本町社会福祉用施設,224.42,27 その他,目黒区
79,中目黒アトラスタワー（一部）,単独,H21,2009,10,98.42,RC（鉄筋ｺﾝｸﾘｰﾄ造）,中目黒アトラスタワー1・2階,"102,720 ",0 ,0 ,W004,上目黒一丁目交番用施設,98.42,27 その他,目黒区
97,大橋えのき園,単独（民間併設）,H8,1996,23,"2,628.37",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上6階・地下1階,"984,783 ",0 ,0 ,W005,旧氷川荘施設,"1,482.45",27 その他,目黒区
184,旧北軽井沢林間学園,単独,S44,1969,50,"2,911.47",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上3階・地下1階,"2,672,163 ",0 ,0 ,Z011,旧北軽井沢林間学園,"2,911.47",27 その他,目黒区
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
