"日","曜日","主食","牛乳","副食","血や肉や骨や歯になるもの","体を動かす熱や力になるもの","からだの調子を整える","エネルギー_kcal","タンパク質_パーセント","脂質_パーセント","月","学校","GIS搭載用住所","マッチングレベル","経度","緯度","分類"
"1","金","ご飯","牛乳","いかの生姜焼き;蓮根と豚肉のピリ辛いため煮;かきたま味噌汁","牛乳;いか;豚肉;だし削り節;豆腐;味噌;卵","米;ごま油;こんにゃく;砂糖","生姜;蓮根;人参;玉ねぎ;白菜;小松菜","727","16.6","27.1","12","中学校","中野区中野4-8-1","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"4","月","子ぎつねご飯","牛乳","ほっけの干物（大根おろし付き）;磯香和え;さつま芋汁","鶏肉;油揚げ;牛乳;ほっけ;しらす干し;のり;だし削り節;豆腐;味噌","米;大麦;油;砂糖;こんにゃく;さつまいも","大根;小松菜;人参;もやし;ごぼう;ねぎ","750","19.7","26.5","12","中学校","中野区中野4-8-1","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"5","火","アップルトースト","牛乳","ビーンズシチュー;花野菜のサラダ","牛乳;大豆;豚肉","食パン;バター;砂糖;油;じゃがいも;小麦粉","りんご;玉ねぎ;人参;トマト缶;マッシュルーム;ﾄﾏﾄﾋﾟｭｰﾚｰ;グリンピース（冷凍）;ｶﾘﾌﾗﾜｰ;ブロッコリー","714","15.5","32.6","12","中学校","中野区中野4-8-1","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"6","水","ご飯","牛乳","豆腐のつくね焼き;野菜のごま味噌和え;のっぺい汁;;②","牛乳;鶏肉;脱脂粉乳;豆腐;卵;味噌;だし削り節;油揚げ","米;でん粉;砂糖;ごま;油;こんにゃく;里芋","ねぎ;生姜;キャベツ;人参;もやし;ごぼう","734","15.7","26.2","12","中学校","中野区中野4-8-1","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"7","木","八宝麺","牛乳","中華ナムル;ベークドポテト","豚肉;海老;いか;うずら卵;牛乳","油;中華めん;でん粉;ごま油;砂糖;ごま;じゃがいも;バター","生姜;にんにく;椎茸;筍;人参;玉ねぎ;白菜;チンゲンサイ;大豆もやし;きゅうり","663","17.8","34.2","12","中学校","中野区中野4-8-1","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"8","金","きんぴらご飯","牛乳","ししゃもの天ぷら;小松菜とえのき茸のお浸し;味噌汁（フリー２）;みかん","豚肉;牛乳;ししゃも;卵;だし削り節;豆腐;味噌","米;ごま油;糸こんにゃく;砂糖;小麦粉;油","ごぼう;人参;小松菜;えのきたけ;玉ねぎ;キャベツ;みかん","741","14.7","28.2","12","中学校","中野区中野4-8-1","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"11","月","ご飯","牛乳","鮭のちゃんちゃん焼き;かぶの柚子風味;けんちん汁（豆腐25＋醤油）","牛乳;鮭;味噌;だし削り節;油揚げ;豆腐","米;バター;砂糖;ごま;ごま油;こんにゃく;じゃがいも","玉ねぎ;人参;キャベツ;しめじ;生姜;かぶ;かぶ（葉）;ゆず;ごぼう;大根;ねぎ","739","19.2","21.6","12","中学校","中野区中野4-8-1","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"12","火","たらこスパゲッティ","牛乳","チキンサラダ;金時豆パン","たらこ;いか;のり;牛乳;鶏肉;卵;いんげんまめ（うずら豆）","スパゲッティ;バター;油;砂糖;小麦粉","玉ねぎ;マッシュルーム;ピーマン;キャベツ;人参;きゅうり","844","18.4","24.7","12","中学校","中野区中野4-8-1","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"13","水","ご飯","牛乳","さつま芋コロッケ;シーフード茹で野菜;具沢山澄まし汁","牛乳;豚挽き肉;卵;いか;海老;だし削り節;豆腐;蒸しかまぼこ;わかめ","米;さつまいも;バター;小麦粉;パン粉;油;砂糖","玉ねぎ;人参;にんにく;レモン;キャベツ;きゅうり;筍;大根;ねぎ;ほうれん草","857","13.6","25.8","12","中学校","中野区中野4-8-1","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"14","木","ガーリックライス","牛乳","鶏肉のマッシュルームソースかけ;スティック野菜;ニョッキのスープ（じゃが芋）","牛乳;鶏肉;生クリーム;豚肉","米;バター;油;じゃがいも;でん粉","にんにく;玉ねぎ;マッシュルーム;大根;きゅうり;人参;キャベツ;しめじ","791","14.3","28.6","12","中学校","中野区中野4-8-1","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"15","金","わかめご飯","牛乳","お好み焼き風卵焼き;じゃこ炒り茹で野菜（わかめ抜き）;味噌汁（フリー２）;花みかん","わかめ;牛乳;卵;桜海老;いか;かつお節;青のり;ちりめんじゃこ;だし削り節;豆腐;味噌","米;油;砂糖","人参;キャベツ;もやし;小松菜;大根;ねぎ;白菜;みかん","729","17.9","26.7","12","中学校","中野区中野4-8-1","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"18","月","麦ご飯","牛乳","豆腐チゲ;野菜チップス;きゅうりと春雨のピリ辛","牛乳;豚肉;豆腐;味噌;だし削り節","米;大麦;油;さつまいも;はるさめ;砂糖;ごま油","にんにく;生姜;人参;キャベツ;ねぎ;にら;キムチ;かぼちゃ;きゅうり","786","15.5","27.5","12","中学校","中野区中野4-8-1","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"19","火","ぶどうパン","牛乳","マッシュポテトのオーブン焼き;野菜いろいろピクルス風;白菜のクリームスープ","牛乳;生クリーム;卵;チーズ;ベーコン","ぶどうパン;じゃがいも;バター;油;砂糖;小麦粉","玉ねぎ;パセリ;ピーマン;きゅうり;セロリー;大根;人参;白菜","731","15.1","35.3","12","中学校","中野区中野4-8-1","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"20","水","ご飯","牛乳","魚の照り焼き;わかめ入り茹で野菜;せんべい汁","牛乳;ぶり;わかめ;だし削り節;鶏肉","米;砂糖;ごま;油;南部せんべい","生姜;人参;もやし;きゅうり;大根;ごぼう;ねぎ;小松菜","742","17.4","29.6","12","中学校","中野区中野4-8-1","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"21","木","冬野菜入りカレー","牛乳","ツナ入りフレンチサラダ;りんご（1/6）","豚肉;牛乳;まぐろ（油漬）","米;大麦;油;じゃがいも;バター;小麦粉;砂糖","にんにく;生姜;人参;玉ねぎ;トマト缶;セロリー;ｶﾘﾌﾗﾜｰ;ブロッコリー;キャベツ;きゅうり;レモン;りんご","871","13.8","28.5","12","中学校","中野区中野4-8-1","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"22","金","卵とじうどん","牛乳","じゃこ入りゆで野菜;冬至餅","だし削り節;鶏肉;蒸しかまぼこ;卵;牛乳;ちりめんじゃこ;きな粉","うどん;でん粉;油;砂糖;白玉粉","人参;大根;ねぎ;小松菜;キャベツ;きゅうり;かぼちゃ","784","16.3","22.6","12","中学校","中野区中野4-8-1","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"25","月","三色ピラフ","牛乳","鶏肉のチューリップ揚げ;グリーンサラダ（きゃピ）;野菜スープ（フリー２）;ぶどうゼリー","牛乳;鶏肉;ベーコン;アガー","米;バター;油;でん粉;砂糖;じゃがいも","人参;コーン缶;冷凍いんげん;生姜;キャベツ;きゅうり;ピーマン;りんご;玉ねぎ;小松菜;ジュース","861","13.2","33.4","12","中学校","中野区中野4-8-1","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"9","火","新春おこわ","牛乳","松風焼き;紅白なます;すまし汁（フリー）;花みかん","あずき;牛乳;鶏肉;味噌;卵;だし削り節;豆腐;はんぺん","米;もち米;きび;銀杏;パン粉;砂糖;ごま;ふ","枝豆（冷凍）;玉ねぎ;ねぎ;大根;人参;ゆず;みかん","740","17.8","25.2","1","中学校","中野区中野4-8-2","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"10","水","ご飯","牛乳","麻婆豆腐;磯ポテト;豆もやしのナムル","牛乳;豚挽き肉;大豆;味噌;豆腐;青のり","米;油;砂糖;でん粉;ごま油;じゃがいも;ごま","にんにく;生姜;人参;筍;椎茸;ねぎ;ぜんまい;大豆もやし;ほうれん草","785","17.2","26.4","1","中学校","中野区中野4-8-3","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"11","木","塩ちゃんこうどん","牛乳","焼きおにぎり（醤油味）;ツナ入り茹で野菜","だし削り節;鶏肉;海老;蒸しかまぼこ;油揚げ;牛乳;まぐろ（油漬）;わかめ","うどん;油;米;砂糖","キャベツ;人参;椎茸;ねぎ;レモン;もやし;小松菜","751","15.7","23.8","1","中学校","中野区中野4-8-4","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"12","金","発芽玄米ご飯","牛乳","わかさぎの天ぷら;野菜のごま和え;豚汁２","牛乳;わかさぎ;卵;豚肉;だし削り節;豆腐;味噌","米;小麦粉;油;ごま;砂糖;こんにゃく;じゃがいも","ほうれん草;もやし;人参;ごぼう;大根;玉ねぎ;さやいんげん","724","16.3","25.2","1","中学校","中野区中野4-8-5","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"15","月","ご飯","牛乳","魚の黄金焼き;磯浸し;昆布豆;２;味噌汁（野菜・油揚げ）","牛乳;さば;のり;大豆;昆布;油揚げ;だし削り節;味噌","米;マヨネーズ;砂糖;じゃがいも","生姜;もやし;キャベツ;ほうれん草;人参;大根;ねぎ","823","17.5","32","1","中学校","中野区中野4-8-6","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"16","火","ぶどうパン","牛乳","ジャーマンオムレツ;スティック野菜;マカロニスープ","牛乳;ウインナー;卵;生クリーム;ベーコン","ぶどうパン;油;バター;じゃがいも;マカロニ","玉ねぎ;パセリ;大根;きゅうり;人参;キャベツ;しめじ;小松菜","740","16.5","35.9","1","中学校","中野区中野4-8-7","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"17","水","ご飯","牛乳","若鶏とこんにゃくの味噌煮;青菜ともやしのお浸し;いよかん1/4","牛乳;鶏肉;焼き豆腐;だし削り節;味噌;かつお節","米;油;こんにゃく;砂糖","生姜;ごぼう;人参;大根;ねぎ;椎茸;グリンピース（冷凍）;もやし;小松菜;いよかん","766","17","26.6","1","中学校","中野区中野4-8-8","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"18","木","和風おろしスパゲッティ","牛乳","じゃこ入りゆで野菜;さつまいもパイ","まぐろ（油漬）;のり;牛乳;ちりめんじゃこ","油;スパゲッテイ;バター;砂糖;さつまいも;餃子の皮","大根;キャベツ;人参;きゅうり;ﾊﾟｲﾝｱｯﾌﾟﾙ（缶）","780","14.8","27.5","1","中学校","中野区中野4-8-9","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"19","金","エビクリームライス","牛乳","コールスローサラダ;オニオンスープ","鶏肉;海老;牛乳;生クリーム;ベーコン","米;バター;油;小麦粉","人参;にんにく;玉ねぎ;マッシュルーム;ﾄﾏﾄﾋﾟｭｰﾚｰ;キャベツ;パセリ","780","13.7","26.4","1","中学校","中野区中野4-8-10","","139.66351618299","35.7076643503608","区立中学校標準献立表"
"22","月","ご飯","牛乳","鶏肉のスタミナ焼き;豆と野菜のマリネ;ワンタンスープ","牛乳;鶏肉;大豆;豚肉","米;砂糖;油;ワンタンの皮","ねぎ;にんにく;枝豆（冷凍）;きゅうり;人参;蓮根;椎茸;筍;もやし;生姜","769","16.5","28.3","1","中学校","中野区中野4-8-11","","139.66351618299","35.7076643503608","区立中学校標準献立表"
"23","火","ご飯","牛乳","鰆の西京焼き;きんぴら煮;芋団子汁;りんご（1/8）","牛乳;鰆;味噌;さつま揚げ;だし昆布;だし削り節;鶏肉","米;砂糖;糸こんにゃく;油;じゃがいも;でん粉","ごぼう;人参;蓮根;冷凍いんげん;生姜;大根;ねぎ;しめじ;りんご","783","17","22","1","中学校","中野区中野4-8-12","","139.66351618299","35.7076643503608","区立中学校標準献立表"
"24","水","ミルクパン;コッペ70ｇ","牛乳","ラザニア;イタリアンサラダ;野菜スープ（フリー２）","牛乳;豚挽き肉;チーズ","ミルクパン;マカロニ;バター;小麦粉;油;砂糖;じゃがいも","にんにく;玉ねぎ;人参;セロリー;ピーマン;トマト缶;ﾄﾏﾄﾍﾟｰｽﾄ;キャベツ;きゅうり;小松菜","828","15.4","33.9","1","中学校","中野区中野4-8-13","","139.66351618299","35.7076643503608","区立中学校標準献立表"
"25","木","ホタテご飯","牛乳","いかのザンギ;じゃがバタコーン;味噌汁9","帆立貝;牛乳;いか;だし煮干;味噌","米;砂糖;でん粉;油;バター;じゃがいも","生姜;にんにく;コーン缶;大根;人参;玉ねぎ;小松菜","751","18.7","22.9","1","中学校","中野区中野4-8-14","","139.66351618299","35.7076643503608","区立中学校標準献立表"
"26","金","ガパオライス","牛乳","目玉焼き;春雨サラダ（ハムなし）;タイ風大根スープ","豚挽き肉;鶏肉;牛乳;卵;豆腐","米;大麦;油;はるさめ;砂糖;ごま油","とうがらし;にんにく;玉ねぎ;人参;ピーマン;しめじ;バジル;キャベツ;きゅうり;生姜;大根;チンゲンサイ","781","17.6","31","1","中学校","中野区中野4-8-15","","139.66351618299","35.7076643503608","区立中学校標準献立表"
"29","月","深川飯","牛乳","おでん（煮卵付き）;小松菜とえのき茸のお浸し","油揚げ;あさり;牛乳;昆布;がんもどき;さつま揚げ;つみれ;竹輪;だし削り節;卵","米;じゃがいも;こんにゃく;ちくわふ","ねぎ;みつば;大根;人参;小松菜;えのきたけ","761","19.6","25.2","1","中学校","中野区中野4-8-16","","139.66351618299","35.7076643503608","区立中学校標準献立表"
"30","火","ビビンバ（新）","牛乳","白菜のナムル;わかめスープ;（卵なし）","豚肉;味噌;卵;牛乳;だし削り節;豆腐;わかめ","米;大麦;油;砂糖;ごま油;ごま","生姜;にんにく;ぜんまい;もやし;人参;ほうれん草;白菜;ねぎ","732","17.8","26.7","1","中学校","中野区中野4-8-17","","139.66351618299","35.7076643503608","区立中学校標準献立表"
"31","水","黄な粉揚げパン","牛乳","じゃが芋のオランダ煮;大根サラダ;花みかん","きな粉;牛乳;ベーコン;豚肉;チーズ","コッペパン;油;砂糖;じゃがいも;ごま油","人参;玉ねぎ;冷凍いんげん;大根;きゅうり;みかん","814","14","34.4","1","中学校","中野区中野4-8-18","","139.66351618299","35.7076643503608","区立中学校標準献立表"
"1","木","ほうとううどん;②","牛乳","和風ツナサラダ（大根）;焼きおにぎり（醤油味）","だし削り節;鶏肉;油揚げ;味噌;牛乳;まぐろ（油漬）","うどん;里芋;こんにゃく;油;砂糖;米","人参;玉ねぎ;かぼちゃ;ねぎ;しめじ;大根;きゅうり;りんご","753","14.5","23.5","2","中学校","中野区中野4-8-1","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"2","金","節分ご飯","牛乳","鰯の蒲焼き風;野菜の赤しそ和え;味噌汁（豆腐入り）","大豆;牛乳;いわし;だし煮干;豆腐;味噌","米;もち米;でん粉;油;砂糖","人参;椎茸;キャベツ;きゅうり;しそ;大根;ねぎ;小松菜","723","17.7","27.6","2","中学校","中野区中野4-8-1","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"5","月","ピザトースト（無塩食パン）","牛乳","ポトフ;人参ラペ;花みかん","ハム;チーズ;牛乳;ベーコン;豚肉;揚げボール;まぐろ（油漬）","食パン（無塩）;マーガリン;油;じゃがいも;ごま","にんにく;玉ねぎ;マッシュルーム;ﾄﾏﾄﾋﾟｭｰﾚｰ;ピーマン;人参;キャベツ;かぶ;かぶ（葉）;らっきょう;レモン;みかん","744","18.4","35.1","2","中学校","中野区中野4-8-1","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"6","火","ご飯","牛乳","高野豆腐入り親子煮;切干し大根と青菜の和え物;味噌汁（フリー②）","牛乳;鶏肉;高野豆腐;卵;だし削り節;味噌;油揚げ","米;砂糖;ごま","人参;玉ねぎ;筍;にら;切り干し大根;小松菜;キャベツ","796","18","28.9","2","中学校","中野区中野4-8-1","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"7","水","コーンピラフ","牛乳","鶏肉のアップルソース焼き;グリーンサラダ（きゃピ）;白菜のクリームスープ","牛乳;鶏肉;ベーコン","米;大麦;バター;油;砂糖;小麦粉","玉ねぎ;コーン缶;パセリ;りんご;キャベツ;きゅうり;ピーマン;人参;白菜","781","14.8","32.5","2","中学校","中野区中野4-8-1","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"8","木","ご飯","牛乳","鯖のみそソースかけ;磯浸し;沢煮椀（かぶ）","牛乳;さば;味噌;のり;だし削り節;豚肉","米;砂糖;でん粉","もやし;キャベツ;ほうれん草;人参;かぶ;しめじ;ねぎ;かぶ（葉）","733","17.5","27","2","中学校","中野区中野4-8-1","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"9","金","麦ご飯","牛乳","小魚の磯辺揚げ;肉じゃが（2点盛り用）;かきたま汁;②","牛乳;ししゃも;青のり;豚肉;竹輪;だし削り節;豆腐;卵","米;大麦;小麦粉;油;じゃがいも;糸こんにゃく;砂糖;でん粉","人参;玉ねぎ;冷凍いんげん;ねぎ;小松菜","803","15.7","29.8","2","中学校","中野区中野4-8-1","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"13","火","わかめご飯","牛乳","しゅうまい;大根ときゅうりの中華風あえもの;豆腐と青菜のスープ","わかめ;牛乳;豚挽き肉;だし削り節;豆腐;蒸しかまぼこ;だし昆布","米;しゅうまいの皮;でん粉;砂糖;ごま油;ごま","生姜;椎茸;筍;玉ねぎ;大根;きゅうり;ねぎ;小松菜","752","15.6","25.3","2","中学校","中野区中野4-8-1","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"14","水","スパ、ボンゴレトマトソース","牛乳","豆と野菜のマリネ;ブラウニー","ベーコン;あさり;チーズ;牛乳;大豆;卵","スパゲッティ;油;バター;砂糖;小麦粉;チョコレート","にんにく;生姜;玉ねぎ;人参;ピーマン;マッシュルーム;トマト缶;ﾄﾏﾄﾋﾟｭｰﾚｰ;パセリ;枝豆（冷凍）;きゅうり;蓮根","799","15.4","32.3","2","中学校","中野区中野4-8-1","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"15","木","ご飯","牛乳","いかの変わりソースかけ;五目きんぴら;すまし汁","牛乳;いか;だし削り節;だし昆布;豆腐","米;でん粉;小麦粉;油;砂糖;ごま油;じゃがいも;糸こんにゃく;ごま","玉ねぎ;ごぼう;人参;蓮根;大根;えのきたけ;しめじ","738","15.3","24","2","中学校","中野区中野4-8-1","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"16","金","チキンカレー","牛乳","じゃこ入りビーンズサラダ;りんご（1/6）","鶏肉;牛乳;ちりめんじゃこ;ひよこまめ","米;大麦;油;じゃがいも;バター;小麦粉;砂糖","にんにく;生姜;玉ねぎ;人参;りんご;トマト缶;グリンピース（冷凍）;キャベツ;きゅうり;枝豆（冷凍）","824","14.6","26.7","2","中学校","中野区中野4-8-1","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"19","月","ご飯","牛乳","四川味噌豆腐;中華サラダ;２;こんにゃくのピリ辛炒め","牛乳;豚挽き肉;味噌;豆腐","米;ごま油;砂糖;でん粉;油;こんにゃく","生姜;にんにく;人参;筍;椎茸;ザーサイ（漬物）;ねぎ;大根;きゅうり","785","16.6","28.9","2","中学校","中野区中野4-8-1","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"20","火","ご飯・海苔の佃煮","牛乳","厚焼き卵;五目豆;味噌汁（フリー②）","のり;牛乳;卵;大豆;昆布;だし削り節;味噌","米;大麦;砂糖;油;でん粉;こんにゃく;じゃがいも","玉ねぎ;人参;椎茸;蓮根;キャベツ","740","15.9","23.4","2","中学校","中野区中野4-8-1","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"21","水","上海焼きそば","牛乳","じゃこ入り茹で野菜（青菜）;マーラーカオ","いか;海老;豚肉;牛乳;ちりめんじゃこ;エバミルク;卵","油;中華めん;砂糖;小麦粉;でん粉","生姜;玉ねぎ;人参;筍;椎茸;キャベツ;ピーマン;小松菜","842","15.1","31","2","中学校","中野区中野4-8-1","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"22","木","麦ご飯","牛乳","魚の照り焼き;お浸し;つみっこ","牛乳;ぶり;かつお節;鶏肉;だし削り節;豆腐","米;大麦;砂糖;小麦粉;ごま油;里芋","生姜;人参;チンゲンサイ;大根;白菜;しめじ;ねぎ","775","17.3","27.8","2","中学校","中野区中野4-8-1","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"26","月","ガーリックライス","牛乳","タンドリーチキン;茹で野菜１;じゃが芋とベーコンスープ","牛乳;鶏肉;ヨーグルト;ベーコン","米;バター;油;ごま油;じゃがいも","にんにく;玉ねぎ;生姜;ﾄﾏﾄﾍﾟｰｽﾄ;もやし;人参;きゅうり;コーン缶;キャベツ;セロリー;小松菜","748","15.3","31","2","中学校","中野区中野4-8-1","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"27","火","ご飯","牛乳","白身魚のチリソース;ラーパーツァイ;中華スープ２","牛乳;メルルーサ;豚肉;豆腐","米;でん粉;油;砂糖;ごま油","ねぎ;にんにく;生姜;白菜;人参;筍;椎茸;小松菜","763","16.4","25","2","中学校","中野区中野4-8-1","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"28","水","黒砂糖コッペパン","牛乳","ポテトグラタン;ブロッコリーサラダ;野菜スープ（フリー２）","牛乳;鶏肉;海老;生クリーム;チーズ","黒砂糖パン;油;じゃがいも;小麦粉;バター;砂糖","玉ねぎ;マッシュルーム;パセリ;キャベツ;ブロッコリー;コーン缶;人参;セロリー;小松菜","747","16","33.3","2","中学校","中野区中野4-8-1","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"29","木","ご飯","牛乳","すき焼き風煮物;海藻サラダ;ポンカン","牛乳;豚肉;焼き豆腐;うずら卵;海藻サラダ;わかめ","米;油;糸こんにゃく;砂糖;ふ","玉ねぎ;白菜;ねぎ;キャベツ;きゅうり;人参;コーン缶;ぽんかん","784","16.5","27.7","2","中学校","中野区中野4-8-1","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"1","木","ほうとううどん;②","牛乳","和風ツナサラダ（大根）;焼きおにぎり（醤油味）","だし削り節;鶏肉;油揚げ;味噌;牛乳;まぐろ（油漬）","うどん;里芋;こんにゃく;油;砂糖;米","人参;玉ねぎ;かぼちゃ;ねぎ;しめじ;大根;きゅうり;りんご","753","14.5","23.5","2","中学校","中野区中野4-8-1","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"2","金","節分ご飯","牛乳","鰯の蒲焼き風;野菜の赤しそ和え;味噌汁（豆腐入り）","大豆;牛乳;いわし;だし煮干;豆腐;味噌","米;もち米;でん粉;油;砂糖","人参;椎茸;キャベツ;きゅうり;しそ;大根;ねぎ;小松菜","723","17.7","27.6","2","中学校","中野区中野4-8-1","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"5","月","ピザトースト（無塩食パン）","牛乳","ポトフ;人参ラペ;花みかん","ハム;チーズ;牛乳;ベーコン;豚肉;揚げボール;まぐろ（油漬）","食パン（無塩）;マーガリン;油;じゃがいも;ごま","にんにく;玉ねぎ;マッシュルーム;ﾄﾏﾄﾋﾟｭｰﾚｰ;ピーマン;人参;キャベツ;かぶ;かぶ（葉）;らっきょう;レモン;みかん","744","18.4","35.1","2","中学校","中野区中野4-8-1","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"6","火","ご飯","牛乳","高野豆腐入り親子煮;切干し大根と青菜の和え物;味噌汁（フリー②）","牛乳;鶏肉;高野豆腐;卵;だし削り節;味噌;油揚げ","米;砂糖;ごま","人参;玉ねぎ;筍;にら;切り干し大根;小松菜;キャベツ","796","18","28.9","2","中学校","中野区中野4-8-1","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"7","水","コーンピラフ","牛乳","鶏肉のアップルソース焼き;グリーンサラダ（きゃピ）;白菜のクリームスープ","牛乳;鶏肉;ベーコン","米;大麦;バター;油;砂糖;小麦粉","玉ねぎ;コーン缶;パセリ;りんご;キャベツ;きゅうり;ピーマン;人参;白菜","781","14.8","32.5","2","中学校","中野区中野4-8-1","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"8","木","ご飯","牛乳","鯖のみそソースかけ;磯浸し;沢煮椀（かぶ）","牛乳;さば;味噌;のり;だし削り節;豚肉","米;砂糖;でん粉","もやし;キャベツ;ほうれん草;人参;かぶ;しめじ;ねぎ;かぶ（葉）","733","17.5","27","2","中学校","中野区中野4-8-1","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"9","金","麦ご飯","牛乳","小魚の磯辺揚げ;肉じゃが（2点盛り用）;かきたま汁;②","牛乳;ししゃも;青のり;豚肉;竹輪;だし削り節;豆腐;卵","米;大麦;小麦粉;油;じゃがいも;糸こんにゃく;砂糖;でん粉","人参;玉ねぎ;冷凍いんげん;ねぎ;小松菜","803","15.7","29.8","2","中学校","中野区中野4-8-1","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"13","火","わかめご飯","牛乳","しゅうまい;大根ときゅうりの中華風あえもの;豆腐と青菜のスープ","わかめ;牛乳;豚挽き肉;だし削り節;豆腐;蒸しかまぼこ;だし昆布","米;しゅうまいの皮;でん粉;砂糖;ごま油;ごま","生姜;椎茸;筍;玉ねぎ;大根;きゅうり;ねぎ;小松菜","752","15.6","25.3","2","中学校","中野区中野4-8-1","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"14","水","スパ、ボンゴレトマトソース","牛乳","豆と野菜のマリネ;ブラウニー","ベーコン;あさり;チーズ;牛乳;大豆;卵","スパゲッティ;油;バター;砂糖;小麦粉;チョコレート","にんにく;生姜;玉ねぎ;人参;ピーマン;マッシュルーム;トマト缶;ﾄﾏﾄﾋﾟｭｰﾚｰ;パセリ;枝豆（冷凍）;きゅうり;蓮根","799","15.4","32.3","2","中学校","中野区中野4-8-1","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"15","木","ご飯","牛乳","いかの変わりソースかけ;五目きんぴら;すまし汁","牛乳;いか;だし削り節;だし昆布;豆腐","米;でん粉;小麦粉;油;砂糖;ごま油;じゃがいも;糸こんにゃく;ごま","玉ねぎ;ごぼう;人参;蓮根;大根;えのきたけ;しめじ","738","15.3","24","2","中学校","中野区中野4-8-1","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"16","金","チキンカレー","牛乳","じゃこ入りビーンズサラダ;りんご（1/6）","鶏肉;牛乳;ちりめんじゃこ;ひよこまめ","米;大麦;油;じゃがいも;バター;小麦粉;砂糖","にんにく;生姜;玉ねぎ;人参;りんご;トマト缶;グリンピース（冷凍）;キャベツ;きゅうり;枝豆（冷凍）","824","14.6","26.7","2","中学校","中野区中野4-8-1","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"19","月","ご飯","牛乳","四川味噌豆腐;中華サラダ;２;こんにゃくのピリ辛炒め","牛乳;豚挽き肉;味噌;豆腐","米;ごま油;砂糖;でん粉;油;こんにゃく","生姜;にんにく;人参;筍;椎茸;ザーサイ（漬物）;ねぎ;大根;きゅうり","785","16.6","28.9","2","中学校","中野区中野4-8-1","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"20","火","ご飯・海苔の佃煮","牛乳","厚焼き卵;五目豆;味噌汁（フリー②）","のり;牛乳;卵;大豆;昆布;だし削り節;味噌","米;大麦;砂糖;油;でん粉;こんにゃく;じゃがいも","玉ねぎ;人参;椎茸;蓮根;キャベツ","740","15.9","23.4","2","中学校","中野区中野4-8-1","","139.663737226103","35.7068716920706","区立中学校標準献立表"
