"施設名称","施設郵便番号","施設所在地","施設方書","確認日","確認番号","施設種別"
"グランドメゾン南青山","107-0062","東京都港区南青山一丁目15番8号",,"2017/9/29","29港み生環き第109号","取次所"
"パークコート乃木坂　ザ　タワー","107-0062","東京都港区南青山一丁目26番13号",,"2019/2/22","30港み生環き第185号","取次所"
"パークコート青山　ザ　タワー","107-0062","東京都港区南青山二丁目3番3号","1階","2018/4/10","29港み生環き第244号","取次所"
"有限会社吉野クリーニング商會","107-0062","東京都港区南青山二丁目6番6号",,"2010/2/19","21港み生環き第144号","一般"
"（有）はまやランドリー","107-0062","東京都港区南青山二丁目7番26号",,"1974/5/11","49赤保衛環き第5号","一般"
"パークアクシスプレミア南青山","107-0062","東京都港区南青山二丁目15番22号",,"2015/11/2","27港み生環き第141号","取次所"
"株式会社白洋舍　外苑前サービス店","107-0062","東京都港区南青山二丁目26番37号",,"1991/10/17","3港赤総衛環き第16号","取次所"
"東急ステイ青山プレミア","107-0062","東京都港区南青山二丁目27番18号","13階","2008/3/27","19港み生環き第123号","取次所"
"青山ザ・タワーコンシェルジュ","107-0062","東京都港区南青山二丁目29番6号","青山ザ・タワー1階","2022/11/24","4港み生環き第150号","取次所"
"青山ハイクリーナー","107-0062","東京都港区南青山三丁目13番2号",,"1969/3/16","第2号","一般"
"株式会社ビオロジックフィロソフィ","107-0062","東京都港区南青山三丁目14番24号","ピロティ青山205","2015/5/14","27港み生環き第24号","取次所"
"南青山マスターズハウス","107-0062","東京都港区南青山四丁目2番12号","南青山マスターズハウス","2012/3/23","23港み生環き第158号","取次所"
"有限会社三新クリーニング","107-0062","東京都港区南青山四丁目4番9号",,"1984/5/18","59港赤保衛環き第4号","一般"
"ザ・パークハウスグラン南青山四丁目","107-0062","東京都港区南青山四丁目17番35号",,"2019/2/12","30港み生環き第177号","取次所"
"ミニストップ南青山４丁目店","107-0062","東京都港区南青山四丁目26番16号","Mirum南青山","2011/7/29","23港み生環き第52号","取次所"
"ザ・パークハウス　グラン南青山","107-0062","東京都港区南青山五丁目4番10号","ザ・パークハウス グラン南青山 1階","2016/11/4","28港み生環き第140号","取次所"
"パークアクシスプレミア南青山五丁目","107-0062","東京都港区南青山五丁目4番22号","地下1階","2024/3/6","5港み生環き第244号","取次所"
"ＪＥＥＶＥＳ　ＴＯＫＹＯ　ＡＯＹＡＭＡ（ジーヴストウキョウアオヤマ）","107-0062","東京都港区南青山五丁目7番23号","始弘ビル1階","2013/6/3","25港み生環き第32号","取次所"
"Ｔｈｅ　ＰＬＡＹＨＯＵＳＥ　Ｖｕｌｃａｎｉｚｅ　Ｌｏｎｄｏｎ","107-0062","東京都港区南青山五丁目8番5号",,"2020/10/30","2港み生環き第153号","取次所"
"有限会社サクラ商会","107-0062","東京都港区南青山五丁目10番18号",,"1984/9/17","59港赤保衛環き第13号","一般"
"ＴＨＥ　ＬＡＵＮＤＲＥＳＳ　Ｃｌｅａｎｉｎｇ　Ｌａｂ．Ｔｏｋｙｏ","107-0062","東京都港区南青山五丁目11番9号","レキシントン青山 地下1階","2012/8/3","24港み生環き第71号","取次所"
"プレミスト南青山","107-0062","東京都港区南青山六丁目1番13号","プレミスト南青山 2階","2014/3/24","25港み生環き第196号","取次所"
"スワローチェーン　ハイジ店","107-0062","東京都港区南青山六丁目2番6号","ハイム青山1階","2007/11/27","19港み生環き第87号","取次所"
"ＢａｄｏＵ－Ｒ","107-0062","東京都港区南青山六丁目5番36号","キングホームズ青山1階","2020/9/16","2港み生環き第115号","取次所"
"ミニストップ南青山６丁目店","107-0062","東京都港区南青山六丁目6番22号","1階","2009/5/25","21港み生環き第30号","取次所"
"南青山テラス常盤松フォレスト","107-0062","東京都港区南青山七丁目1番27号","地下1階","2006/3/27","17港み生環き第166号","取次所"
"４５Ｒ　ＬＡＵＮＤＲＹ（フォーティファイブアールランドリー）","107-0062","東京都港区南青山七丁目2番1号","青康ビル","2016/9/1","28港み生環き第75号","取次所"
"セブン‐イレブン南青山７丁目店","107-0062","東京都港区南青山七丁目3番1号","NGA南青山ビルX2　1階","2013/8/28","25港み生環き第67号","取次所"
"エッセンスクリーニング","107-0062","東京都港区南青山七丁目4番16号","ベルセル南青山1階","2011/3/2","22港み生環き第177号","一般"
"グランドヒルズ南青山","107-0062","東京都港区南青山七丁目8番1号","1階","2022/4/20","3港み生環き第281号","取次所"
"南青山営業所","107-0062","東京都港区南青山七丁目10番6号",,"1985/2/27",,"取次所"
"白洋舍　高樹町店","107-0062","東京都港区南青山七丁目12番9号","スペース朱 102","2004/8/19","16港み生環き第63号","取次所"
"株式会社泉水舎","106-0047","東京都港区南麻布一丁目4番6号",,"1966/12/5","第4号","一般"
"ポニークリーニング　南麻布一丁目店","106-0047","東京都港区南麻布一丁目4番18号",,"2008/6/25","20港み生環き第38号","取次所"
"有限会社レジュイール","106-0047","東京都港区南麻布一丁目5番18号",,"2003/2/28","14港み生環き第141号","一般"
"ザ・クラス南麻布","106-0047","東京都港区南麻布一丁目8番22号",,"2021/1/15","2港み生環き第175号","取次所"
"ローソン港南麻布","106-0047","東京都港区南麻布二丁目2番13号",,"2019/2/25","30港み生環き第196号","取次所"
"スワローチェーン南麻布店","106-0047","東京都港区南麻布二丁目2番13号","麻布ハイプラザ 1階","2011/12/8","23港み生環き第105号","取次所"
"パークホームズ南麻布ザ　レジデンス","106-0047","東京都港区南麻布二丁目3番11号",,"2013/11/8","25港み生環き第133号","取次所"
"有限会社藤井クリーニング","106-0047","東京都港区南麻布二丁目6番17号",,"1982/2/3","56港麻保衛環き第31号","一般"
"ポニークリーニング　南麻布　２","106-0047","東京都港区南麻布二丁目8番13号",,"2004/7/23","16港み生環き第53号","取次所"
"アジリア南麻布Ｊ’ｓ","106-0047","東京都港区南麻布二丁目9番15号",,"2008/12/24","20港み生環き第141号","取次所"
"コスモリード南麻布　フロント","106-0047","東京都港区南麻布二丁目9番40号",,"2012/10/15","24港み生環き第100号","取次所"
"コスモリード南麻布","106-0047","東京都港区南麻布二丁目9番40号",,"2022/3/30","3港み生環き第267号","取次所"
"クレヴィア南麻布","106-0047","東京都港区南麻布二丁目13番9号",,"2011/12/27","23港み生環き第121号","取次所"
"ＫＡＲＡ　ＢＬＡＮＣ（キャラブラン）","106-0047","東京都港区南麻布三丁目5番41号",,"2015/4/28","27港み生環き第18号","取次所"
"フロンティアレジデンス南麻布","106-0047","東京都港区南麻布三丁目21番14号",,"2022/2/14","3港み生環き第230号","取次所"
"グランスイート広尾","106-0047","東京都港区南麻布四丁目4番10号",,"2014/4/23","26港み生環き第7号","取次所"
"ラ・トゥール南麻布","106-0047","東京都港区南麻布四丁目5番63号",,"2018/2/22","29港み生環き第212号","取次所"
"ヤマザキショップ　ありすの杜売店","106-0047","東京都港区南麻布四丁目6番1号",,"2012/1/31","23港み生環き第129号","取次所"
"ＨＯＭＡＴ　ＳＨＡＲＯＮ","106-0047","東京都港区南麻布四丁目9番3号",,"2022/10/4","4港み生環き第98号","取次所"
"レフィール南麻布","106-0047","東京都港区南麻布四丁目9番17号",,"2020/3/30","31港み生環き第278号","取次所"
"あさひクリーニングサービス","106-0047","東京都港区南麻布四丁目11番17号","インペリアル南麻布サテライト 1階","1998/6/2","10港み生環き第22号","取次所"
"ナチュラルデリバリー","106-0047","東京都港区南麻布四丁目11番35号","613号","2004/4/22","16港み生環き第6号","取次所"
"プラウド南麻布","106-0047","東京都港区南麻布四丁目11番46号",,"2013/10/16","25港み生環き第112号","取次所"
"ザ・ハウス南麻布","106-0047","東京都港区南麻布五丁目2番5号",,"2015/3/19","26港み生環き第219号","取次所"
"オパス有栖川テラス＆レジデンス","106-0047","東京都港区南麻布五丁目4番1号",,"2015/12/8","27港み生環き第162号","取次所"
"ディアナガーデン広尾","106-0047","東京都港区南麻布五丁目10番27号",,"2015/5/21","27港み生環き第41号","取次所"
"ウェリス有栖川","106-0047","東京都港区南麻布五丁目14番4号",,"2013/11/25","25港み生環き第143号","取次所"
"ＡＫＡＳＡＫＡ　Ｋ－ＴＯＷＥＲ　ＲＥＳＩＤＥＮＣＥ（アカサカ　ケータワー　レジデンス）","107-0051","東京都港区元赤坂一丁目2番17号","26階","2012/2/13","23港み生環き第142号","取次所"
"あさひクリーニングサービス","106-0046","東京都港区元麻布一丁目1番11号","ミルキーハウス 1階","1995/11/6","7港麻総衛環き第18号","取次所"
"あさひクリーニングサービス","106-0046","東京都港区元麻布一丁目1番11号","ミルキーハウス1階","2023/1/25","4港み生環き第189号","取次所"
"元麻布ヒルズ","106-0046","東京都港区元麻布一丁目3番1号",,"2009/4/27","21港み生環き第7号","取次所"
"マスター　アンド　バトラーズ","106-0046","東京都港区元麻布一丁目5番22号","元麻布ホームズ101","2008/7/14","20港み生環き第45号","取次所"
"プラウド元麻布","106-0046","東京都港区元麻布二丁目14番9号",,"2011/2/28","22港み生環き第180号","取次所"
"マジェス元麻布ガーデンズ　コンシェルジュ・デスク","106-0046","東京都港区元麻布三丁目5番11号","SAKURA GARDEN 1階","2016/10/28","28港み生環き第129号","取次所"
"麻布ガーデンズ","106-0046","東京都港区元麻布三丁目7番5号",,"2015/5/20","27港み生環き第37号","取次所"
"カラキヤ","106-0046","東京都港区元麻布三丁目10番4号",,"1962/2/13","第2号","一般"
"スピカ","106-0046","東京都港区元麻布三丁目10番8号",,"2012/8/8","24港み生環き第52号","一般"
"グランドヒルズ元麻布","106-0046","東京都港区元麻布三丁目12番7号",,"2018/3/30","29港み生環き第240号","取次所"
"アークタワーズ","106-0032","東京都港区六本木一丁目3番39号",,"2009/4/24","21港み生環き第1号","取次所"
"泉ガーデンレジデンス","106-0032","東京都港区六本木一丁目5番3号",,"2006/1/16","17港み生環き第141号","取次所"
"リーベン　ハウス","106-0032","東京都港区六本木一丁目6番1号","泉ガーデンタワー 4階","2002/7/5","14港み生環き第41号","取次所"
"ヴィラフォンテーヌグランド東京六本木","106-0032","東京都港区六本木一丁目6番2号",,"2007/3/12","18港み生環き第151号","取次所"
"パークコート六本木ヒルトップ","106-0032","東京都港区六本木一丁目7番10号",,"2012/9/4","24港み生環き第78号","取次所"
"ポニークリーニング六本木１丁目店","106-0032","東京都港区六本木一丁目7番28号",,"2017/12/13","29港み生環き第156号","取次所"
"アークフォレストテラス","106-0032","東京都港区六本木一丁目9番1号",,"2009/4/24","21港み生環き第2号","取次所"
"ザ・レジデンス六本木","106-0032","東京都港区六本木一丁目9番4号",,"2020/3/3","31港み生環き第250号","取次所"
"Ｈｉｌｌｓ２１ｓｅｎｇｏｋｕｙａｍａ（ヒルズトゥエンティワンセンゴクヤマ）","106-0032","東京都港区六本木一丁目9番10号","1階","2012/12/26","24港み生環き第143号","取次所"
"アークヒルズ仙石山レジデンス","106-0032","東京都港区六本木一丁目9番18号",,"2020/3/9","31港み生環き第256号","取次所"
"アパホテル＜六本木ＳＩＸ＞Ｂ棟","106-0032","東京都港区六本木二丁目3番10号",,"2020/6/30","2港み生環き第62号","取次所"
"アパホテル＜六本木ＳＩＸ＞Ｃ棟","106-0032","東京都港区六本木二丁目3番11号",,"2021/1/26","2港み生環き第194号","取次所"
"六本木グランドタワーレジデンス","106-0032","東京都港区六本木三丁目2番2号",,"2016/4/12","28港み生環き第2号","取次所"
"セブンイレブン六本木３丁目店","106-0032","東京都港区六本木三丁目4番31号",,"2006/7/13","18港み生環き第60号","取次所"
"ポニークリーニング六本木３丁目店","106-0032","東京都港区六本木三丁目4番35号",,"2011/3/2","22港み生環き第175号","取次所"
"ＴＨＥ　ＲＯＰＰＯＮＧＩ　ＴＯＫＹＯ（ザ　ロッポンギ　トウキョウ）","106-0032","東京都港区六本木三丁目7番1号",,"2018/2/1","29港み生環き第206号","取次所"
"コンフォートイン東京六本木","106-0032","東京都港区六本木三丁目9番8号",,"2021/1/7","2港み生環き第186号","取次所"
"相鉄フレッサイン東京六本木","106-0032","東京都港区六本木三丁目10番1号",,"2017/9/29","29港み生環き第102号","取次所"
"ホーマットウエスト","106-0032","東京都港区六本木三丁目15番11号","ホーマットウエスト1階","2024/3/6","5港み生環き第247号","取次所"
"三井ガーデンホテル六本木プレミア","106-0032","東京都港区六本木三丁目15番17号",,"2019/12/25","31港み生環き第189号","取次所"
"株式会社白洋舍　六本木チェーン店","106-0032","東京都港区六本木三丁目15番18号",,"2013/11/29","25港み生環き第138号","取次所"
"プラウド六本木","106-0032","東京都港区六本木四丁目2番41号",,"2017/10/24","29港み生環き第120号","取次所"
"麻布第一マンションズ","106-0032","東京都港区六本木四丁目2番50号",,"2015/8/14","27港み生環き第95号","取次所"
"ブランズ六本木ザ・レジデンス　フロント","106-0032","東京都港区六本木四丁目3番21号",,"2019/3/29","30港み生環き第229号","取次所"
"パークマンション檜町公園","106-0032","東京都港区六本木四丁目3番35号",,"2017/6/5","29港み生環き第27号","取次所"
"パークマンション六本木","106-0032","東京都港区六本木四丁目3番38号",,"2015/10/19","27港み生環き第134号","取次所"
"スワロ－チェ－ン　六本木店","106-0032","東京都港区六本木四丁目6番6号","小高ビル1階","2007/11/27","19港み生環き第85号","取次所"
"ミニストップ六本木４丁目店","106-0032","東京都港区六本木四丁目11番13号",,"2010/4/16","22港み生環き第3号","取次所"
"国際文化会館","106-0032","東京都港区六本木五丁目11番16号","1階","2022/6/22","4港み生環き第27号","取次所"
"フォレストテラス鳥居坂","106-0032","東京都港区六本木五丁目12番7号",,"2020/3/9","31港み生環き第257号","取次所"
"六本木プラシッド","106-0032","東京都港区六本木五丁目13番28号",,"2014/1/29","25港み生環き第167号","取次所"
"パークマンション鳥居坂","106-0032","東京都港区六本木五丁目14番31号",,"2023/3/7","4港み生環き第182号","取次所"
"ブランズ六本木飯倉片町　フロント","106-0032","東京都港区六本木五丁目16番17号",,"2019/2/25","30港み生環き第189号","取次所"
"ポニークリーニング六本木５丁目店","106-0032","東京都港区六本木五丁目18番2号","大昌第2ビル 1階","2010/4/23","22港み生環き第9号","取次所"
"ポニークリーニング六本木ヒルズ店","106-0032","東京都港区六本木六丁目3番1号","六本木ヒルズ クロスポイント 1階","2023/12/19","5港み生環き第191号","取次所"
"アパホテル＜六本木駅前＞","106-0032","東京都港区六本木六丁目7番8号",,"2016/1/20","27港み生環き第181号","取次所"
"カンデオホテルズ東京六本木","106-0032","東京都港区六本木六丁目7番11号","3階","2017/10/6","29港み生環き第111号","取次所"
"ヒルズ２１","106-0032","東京都港区六本木六丁目10番1号","六本木ヒルズ森タワー 6階","2017/7/31","29港み生環き第57号","取次所"
"ヒルズ２１","106-0032","東京都港区六本木六丁目10番1号","六本木ヒルズ森タワーウエストウォーク 6階","2017/9/29","29港み生環き第113号","取次所"
"ユナイテッドアローズ六本木ヒルズ店","106-0032","東京都港区六本木六丁目10番3号","六本木ヒルズウェストウォーク 3階","2016/9/20","28港み生環き第106号","取次所"
"株式会社白洋舍　グランドハイアット東京ランドリー工場","106-0032","東京都港区六本木六丁目10番3号","ホテル棟 地下1階","2003/3/26","14港み生環き第133号","一般"
"六本木ヒルズゲートタワーレジデンス","106-0032","東京都港区六本木六丁目11番2号",,"2009/5/1","21港み生環き第3号","取次所"
"六本木ヒルズレジデンスＢ棟","106-0032","東京都港区六本木六丁目12番2号",,"2009/5/1","21港み生環き第4号","取次所"
"六本木ヒルズレジデンスＤ棟","106-0032","東京都港区六本木六丁目12番4号",,"2009/5/1","21港み生環き第5号","取次所"
"六本木さくら坂レジデンス","106-0032","東京都港区六本木六丁目16番6号",,"2015/4/28","27港み生環き第10号","取次所"
"ザ・ウエストミンスター六本木","106-0032","東京都港区六本木六丁目16番11号",,"2020/3/9","31港み生環き第258号","取次所"
"ＭＡＪＥＳ　ＴＯＷＥＲ（マジェスタワー）六本木","106-0032","東京都港区六本木七丁目6番18号",,"2015/9/9","27港み生環き第106号","取次所"
"マジェスタワー六本木フロント","106-0032","東京都港区六本木七丁目6番18号",,"2016/5/30","28港み生環き第32号","取次所"
"アトラスタワー六本木","106-0032","東京都港区六本木七丁目7番13号",,"2015/10/23","27港み生環き第136号","取次所"
"レム六本木","106-0032","東京都港区六本木七丁目14番4号",,"2017/3/14","28港み生環き第158号","取次所"
"アクトホテル六本木","106-0032","東京都港区六本木七丁目17番15号","アクトホテル六本木 地下1階","2018/3/9","29港み生環き第224号","取次所"

"クリーニング所一覧(令和6年3月31日現在)","Ver202403",,,,,
