産業分類階層,大分類,中分類,小分類,分類名,総数／事業所数（事業所）,総数／従業者数／総数（人）,総数／従業者数／男（人）,総数／従業者数／女（人）,単独事業所／事業所数（事業所）,独事業所／従業者数／総数（人）,単独事業所／従業者数／男（人）,単独事業所／従業者数／女（人）,本所・本社・本店／事業所数（事業所）,本所・本社・本店／従業者数／総数（人）,本所・本社・本店／従業者数／男（人）,本所・本社・本店／従業者数／女（人）,支所・支社・支店／事業所数（事業所）,支所・支社・支店／従業者数／総数（人）,支所・支社・支店／従業者数／男（人）,支所・支社・支店／従業者数／女（人）
1,Q,00,000,複合サービス事業,1783,37754,24566,13188,154,731,419,312,24,2896,2143,753,1604,34124,22003,12121
2,Q,86,000,郵便局,1485,33831,22211,11620,13,54,20,34,3,1874,1463,411,1468,31900,20727,11173
3,Q,86,860,管理，補助的経済活動を行う事業所,9,3066,2417,649,-,-,-,-,1,1868,1461,407,8,1198,956,242
3,Q,86,861,郵便局,1450,30634,19754,10880,-,-,-,-,-,-,-,-,1450,30634,19754,10880
3,Q,86,862,郵便局受託業,26,131,40,91,13,54,20,34,2,6,2,4,10,68,17,51
2,Q,87,000,協同組合（他に分類されないもの）,298,3923,2355,1568,141,677,399,278,21,1022,680,342,136,2224,1276,948
3,Q,87,870,管理，補助的経済活動を行う事業所,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,Q,87,871,農林水産業協同組合（他に分類されないもの）,142,3056,1856,1200,5,27,21,6,14,907,620,287,123,2122,1215,907
3,Q,87,872,事業協同組合（他に分類されないもの）,156,867,499,368,136,650,378,272,7,115,60,55,13,102,61,41
1,R,00,000,サービス業（他に分類されないもの）,39500,1021258,565806,452849,21446,242557,148787,93680,4518,406433,208914,195205,11703,364688,203986,160503
2,R,88,000,廃棄物処理業,1263,24377,20930,3427,598,9051,7695,1356,255,8154,6833,1301,409,7171,6401,770
3,R,88,880,管理，補助的経済活動を行う事業所,36,337,259,78,-,-,-,-,19,275,218,57,17,62,41,21
3,R,88,881,一般廃棄物処理業,542,13626,11974,1632,247,5064,4448,616,103,4300,3651,629,191,4261,3874,387
3,R,88,882,産業廃棄物処理業,678,10303,8609,1694,347,3924,3205,719,131,3571,2958,613,200,2808,2446,362
3,R,88,889,その他の廃棄物処理業,7,111,88,23,4,63,42,21,2,8,6,2,1,40,40,-
2,R,89,000,自動車整備業,2670,16406,13301,3105,2161,9007,7011,1996,167,3156,2436,720,342,4243,3854,389
3,R,89,890,管理，補助的経済活動を行う事業所,17,127,94,33,-,-,-,-,13,71,53,18,4,56,41,15
3,R,89,891,自動車整備業,2653,16279,13207,3072,2161,9007,7011,1996,154,3085,2383,702,338,4187,3813,374
2,R,90,000,機械等修理業（別掲を除く）,3194,48785,41207,7552,1636,8549,6884,1665,383,15964,13647,2317,1174,24268,20672,3570
3,R,90,900,管理，補助的経済活動を行う事業所,23,1272,1056,216,-,-,-,-,15,1040,896,144,8,232,160,72
3,R,90,901,機械修理業（電気機械器具を除く）,1374,23171,20094,3077,605,3876,3181,695,187,7030,6083,947,581,12261,10826,1435
3,R,90,902,電気機械器具修理業,684,19493,16535,2932,286,2605,2170,435,94,6864,5941,923,304,10024,8424,1574
3,R,90,903,表具業,191,416,310,106,188,389,292,97,2,24,15,9,1,3,3,-
3,R,90,909,その他の修理業,922,4433,3212,1221,557,1679,1241,438,85,1006,712,294,280,1748,1259,489
2,R,91,000,職業紹介・労働者派遣業,3068,261658,102762,158896,1565,48079,26287,21792,672,133300,47667,85633,830,80275,28808,51467
3,R,91,910,管理，補助的経済活動を行う事業所,27,556,278,278,-,-,-,-,18,410,186,224,9,146,92,54
3,R,91,911,職業紹介業,891,22371,11167,11204,610,5747,3062,2685,135,10864,5651,5213,145,5756,2454,3302
3,R,91,912,労働者派遣業,2150,238731,91317,147414,955,42332,23225,19107,519,122026,41830,80196,676,74373,26262,48111
2,R,92,000,その他の事業サービス業,16449,579877,335902,241642,6903,120471,73686,46695,1992,219440,122482,94888,7442,239334,139363,99798
3,R,92,920,管理，補助的経済活動を行う事業所,100,3495,2480,1015,-,-,-,-,59,3030,2195,835,41,465,285,180
3,R,92,921,速記・ワープロ入力・複写業,362,4091,2146,1945,240,1727,1015,712,31,903,506,397,91,1461,625,836
3,R,92,922,建物サービス業,6522,228815,129808,98997,2475,56173,31840,24326,637,73646,42728,30918,3395,98923,55204,43716
3,R,92,923,警備業,1156,80902,72376,8376,280,18135,16522,1613,140,22428,19554,2874,736,40339,36300,3889
3,R,92,929,他に分類されない事業サービス業,8309,262574,129092,131309,3908,44436,24309,20044,1125,119433,57499,59864,3179,98146,46949,51177
2,R,93,000,政治・経済・文化団体,7256,59382,34761,24397,4316,30435,17643,12792,791,18935,11298,7413,600,4235,2537,1698
3,R,93,931,経済団体,2793,23052,14300,8752,1654,11300,7097,4203,310,8563,5393,3170,232,1213,685,528
3,R,93,932,労働団体,733,6372,4366,2006,239,2446,1732,714,112,1839,1273,566,143,959,653,306
3,R,93,933,学術・文化団体,511,3820,1554,2042,354,2131,902,1229,70,1210,443,543,37,250,117,133
3,R,93,934,政治団体,156,1611,1200,411,21,119,88,31,7,1044,835,209,3,11,9,2
3,R,93,939,他に分類されない非営利的団体,3063,24527,13341,11186,2048,14439,7824,6615,292,6279,3354,2925,185,1802,1073,729
2,R,94,000,宗教,5206,25830,14836,10994,4186,16158,9135,7023,231,6668,4079,2589,689,2604,1393,1211
3,R,94,941,神道系宗教,674,2976,1741,1235,592,2424,1431,993,23,222,136,86,50,302,149,153
3,R,94,942,仏教系宗教,2872,16658,9421,7237,2564,10750,5903,4847,97,4932,3033,1899,197,944,465,479
3,R,94,943,キリスト教系宗教,867,3671,2049,1622,438,1639,1008,631,90,859,407,452,278,855,460,395
3,R,94,949,その他の宗教,793,2525,1625,900,592,1345,793,552,21,655,503,152,164,503,319,184
2,R,95,000,その他のサービス業,394,4943,2107,2836,81,807,446,361,27,816,472,344,217,2558,958,1600
3,R,95,950,管理，補助的経済活動を行う事業所,3,9,3,6,-,-,-,-,1,2,2,-,2,7,1,6
3,R,95,951,集会場,355,3891,1598,2293,67,655,348,307,19,329,181,148,202,2146,838,1308
3,R,95,952,と畜場,1,21,19,2,1,21,19,2,-,-,-,-,-,-,-,-
3,R,95,959,他に分類されないサービス業,35,1022,487,535,13,131,79,52,7,485,289,196,13,405,119,286
1,S,00,000,公務（他に分類されるものを除く）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,S,97,000,国家公務,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,S,97,971,立法機関,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,S,97,972,司法機関,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,S,97,973,行政機関,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,S,97,000,地方公務,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,S,97,981,都道府県機関,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,S,97,982,市町村機関,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,
平成26年経済センサス-基礎調査報告,,,,,,,,,,,,,,,,,,,,
第５表　産業小分類、単独・本所・支所別事業所数及び男女別従業者数‐民営‐,,,,,,,,,,,,,,,,,,,,
注１）総数は、法人でない団体を含むため、単独事業所、本所・本社・本店及び支所・支社・支店の合計と一致しない場合がある。,,,,,,,,,,,,,,,,,,,,
注２）従業者数の総数には、男女の別が不詳の従業者を含むため、男性と女性の合計は総数と一致しない場合がある。,,,,,,,,,,,,,,,,,,,,
注３）各産業中分類に属する産業小分類「管理，補助的経済活動を行う事業所」の正式な名称は、「管理，補助的経済活動を行う事業所（XX産業中分類名）」である（XXは産業中分類番号）。,,,,,,,,,,,,,,,,,,,,
産業分類階層（0:産業大分類のグループ　1:産業大分類　2:産業中分類　3:産業小分類　4:産業小分類の内訳）,,,,,,,,,,,,,,,,,,,,
