地域階層,地域コード,東京都26町丁目コード,区市町村名称,町・大字名,丁目・字,地域名称,経営組織階層,経営組織コード,経営組織名称,従業者数（人）,従業者数／男（人）,従業者数／女（人）,従業者数／個人業主（人）,従業者数／個人業主／男（人）,従業者数／個人業主／女（人）,従業者数／無給の家族従業者（人）,従業者数／無給の家族従業者／男（人）,従業者数／無給の家族従業者／女（人）,従業者数／有給役員（人）,従業者数／有給役員／男（人）,従業者数／有給役員／女（人）,従業者数／雇用者（人）,従業者数／雇用者／男（人）,従業者数／雇用者／女（人）,従業者数／雇用者／常用雇用者（人）,従業者数／雇用者／常用雇用者／男（人）,従業者数／雇用者／常用雇用者／女（人）,従業者数／雇用者／常用雇用者／正社員・正職員（人）,従業者数／雇用者／常用雇用者／正社員・正職員／男（人）,従業者数／雇用者／常用雇用者／正社員・正職員／女（人）,従業者数／雇用者／常用雇用者／正社員・正職員以外（人）,従業者数／雇用者／常用雇用者／正社員・正職員以外／男（人）,従業者数／雇用者／常用雇用者／正社員・正職員以外／女（人）,従業者数／雇用者／臨時雇用者（人）,従業者数／雇用者／臨時雇用者／男（人）,従業者数／雇用者／臨時雇用者／女（人）,従業者数／（再掲）他への出向・派遣従業者（人）,従業者数／（再掲）他への出向・派遣従業者／男（人）,従業者数／（再掲）他への出向・派遣従業者／女（人）,他からの出向・派遣従業者（人）,他からの出向・派遣従業者／男（人）,他からの出向・派遣従業者／女（人）,事業従事者数（人）,事業従事者数／男（人）,事業従事者数／女（人）
6,13214,1321401604,国分寺市,国分寺市北町,４丁目,国分寺市北町４丁目,2,1300,法人でない団体,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13214,1321401605,国分寺市,国分寺市北町,５丁目,国分寺市北町５丁目,1,1000,民営,30,18,12,3,2,1,1,-,1,3,3,-,23,13,10,23,13,10,6,2,4,17,11,6,-,-,-,-,-,-,-,-,-,30,18,12
6,13214,1321401605,国分寺市,国分寺市北町,５丁目,国分寺市北町５丁目,2,1100,個人,7,2,5,3,2,1,1,-,1,-,-,-,3,-,3,3,-,3,3,-,3,-,-,-,-,-,-,-,-,-,-,-,-,7,2,5
6,13214,1321401605,国分寺市,国分寺市北町,５丁目,国分寺市北町５丁目,3,1210,会社,23,16,7,-,-,-,-,-,-,3,3,-,20,13,7,20,13,7,3,2,1,17,11,6,-,-,-,-,-,-,-,-,-,23,16,7
6,13214,1321401605,国分寺市,国分寺市北町,５丁目,国分寺市北町５丁目,3,1220,会社以外の法人,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13214,1321401605,国分寺市,国分寺市北町,５丁目,国分寺市北町５丁目,2,1300,法人でない団体,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13214,1321401400,国分寺市,国分寺市新町,,国分寺市新町,1,1000,民営,222,154,68,15,12,3,3,-,3,37,22,15,167,120,47,128,90,38,88,67,21,40,23,17,39,30,9,-,-,-,3,3,-,225,157,68
5,13214,1321401400,国分寺市,国分寺市新町,,国分寺市新町,2,1100,個人,30,18,12,15,12,3,3,-,3,-,-,-,12,6,6,9,3,6,6,2,4,3,1,2,3,3,-,-,-,-,3,3,-,33,21,12
5,13214,1321401400,国分寺市,国分寺市新町,,国分寺市新町,3,1210,会社,181,129,52,-,-,-,-,-,-,37,22,15,144,107,37,108,80,28,71,58,13,37,22,15,36,27,9,-,-,-,-,-,-,181,129,52
5,13214,1321401400,国分寺市,国分寺市新町,,国分寺市新町,3,1220,会社以外の法人,11,7,4,-,-,-,-,-,-,-,-,-,11,7,4,11,7,4,11,7,4,-,-,-,-,-,-,-,-,-,-,-,-,11,7,4
5,13214,1321401400,国分寺市,国分寺市新町,,国分寺市新町,2,1300,法人でない団体,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13214,1321401401,国分寺市,国分寺市新町,１丁目,国分寺市新町１丁目,1,1000,民営,139,100,39,8,6,2,2,-,2,13,6,7,116,88,28,96,70,26,57,47,10,39,23,16,20,18,2,-,-,-,-,-,-,139,100,39
6,13214,1321401401,国分寺市,国分寺市新町,１丁目,国分寺市新町１丁目,2,1100,個人,16,8,8,8,6,2,2,-,2,-,-,-,6,2,4,6,2,4,3,1,2,3,1,2,-,-,-,-,-,-,-,-,-,16,8,8
6,13214,1321401401,国分寺市,国分寺市新町,１丁目,国分寺市新町１丁目,3,1210,会社,123,92,31,-,-,-,-,-,-,13,6,7,110,86,24,90,68,22,54,46,8,36,22,14,20,18,2,-,-,-,-,-,-,123,92,31
6,13214,1321401401,国分寺市,国分寺市新町,１丁目,国分寺市新町１丁目,3,1220,会社以外の法人,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13214,1321401401,国分寺市,国分寺市新町,１丁目,国分寺市新町１丁目,2,1300,法人でない団体,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13214,1321401402,国分寺市,国分寺市新町,２丁目,国分寺市新町２丁目,1,1000,民営,44,33,11,3,3,-,-,-,-,14,8,6,27,22,5,19,14,5,19,14,5,-,-,-,8,8,-,-,-,-,3,3,-,47,36,11
6,13214,1321401402,国分寺市,国分寺市新町,２丁目,国分寺市新町２丁目,2,1100,個人,6,6,-,3,3,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,-,-,-,3,3,-,-,-,-,3,3,-,9,9,-
6,13214,1321401402,国分寺市,国分寺市新町,２丁目,国分寺市新町２丁目,3,1210,会社,27,20,7,-,-,-,-,-,-,14,8,6,13,12,1,8,7,1,8,7,1,-,-,-,5,5,-,-,-,-,-,-,-,27,20,7
6,13214,1321401402,国分寺市,国分寺市新町,２丁目,国分寺市新町２丁目,3,1220,会社以外の法人,11,7,4,-,-,-,-,-,-,-,-,-,11,7,4,11,7,4,11,7,4,-,-,-,-,-,-,-,-,-,-,-,-,11,7,4
6,13214,1321401402,国分寺市,国分寺市新町,２丁目,国分寺市新町２丁目,2,1300,法人でない団体,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13214,1321401403,国分寺市,国分寺市新町,３丁目,国分寺市新町３丁目,1,1000,民営,39,21,18,4,3,1,1,-,1,10,8,2,24,10,14,13,6,7,12,6,6,1,-,1,11,4,7,-,-,-,-,-,-,39,21,18
6,13214,1321401403,国分寺市,国分寺市新町,３丁目,国分寺市新町３丁目,2,1100,個人,8,4,4,4,3,1,1,-,1,-,-,-,3,1,2,3,1,2,3,1,2,-,-,-,-,-,-,-,-,-,-,-,-,8,4,4
6,13214,1321401403,国分寺市,国分寺市新町,３丁目,国分寺市新町３丁目,3,1210,会社,31,17,14,-,-,-,-,-,-,10,8,2,21,9,12,10,5,5,9,5,4,1,-,1,11,4,7,-,-,-,-,-,-,31,17,14
6,13214,1321401403,国分寺市,国分寺市新町,３丁目,国分寺市新町３丁目,3,1220,会社以外の法人,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13214,1321401403,国分寺市,国分寺市新町,３丁目,国分寺市新町３丁目,2,1300,法人でない団体,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13214,1321401800,国分寺市,国分寺市高木町,,国分寺市高木町,1,1000,民営,160,80,80,29,23,6,6,-,6,20,14,6,105,43,62,100,38,62,54,14,40,46,24,22,5,5,-,-,-,-,-,-,-,160,80,80
5,13214,1321401800,国分寺市,国分寺市高木町,,国分寺市高木町,2,1100,個人,70,41,29,29,23,6,6,-,6,-,-,-,35,18,17,33,16,17,14,3,11,19,13,6,2,2,-,-,-,-,-,-,-,70,41,29
5,13214,1321401800,国分寺市,国分寺市高木町,,国分寺市高木町,3,1210,会社,51,35,16,-,-,-,-,-,-,20,14,6,31,21,10,28,18,10,11,9,2,17,9,8,3,3,-,-,-,-,-,-,-,51,35,16
5,13214,1321401800,国分寺市,国分寺市高木町,,国分寺市高木町,3,1220,会社以外の法人,39,4,35,-,-,-,-,-,-,-,-,-,39,4,35,39,4,35,29,2,27,10,2,8,-,-,-,-,-,-,-,-,-,39,4,35
5,13214,1321401800,国分寺市,国分寺市高木町,,国分寺市高木町,2,1300,法人でない団体,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13214,1321401801,国分寺市,国分寺市高木町,１丁目,国分寺市高木町１丁目,1,1000,民営,82,37,45,12,9,3,2,-,2,9,7,2,59,21,38,56,18,38,35,12,23,21,6,15,3,3,-,-,-,-,-,-,-,82,37,45
6,13214,1321401801,国分寺市,国分寺市高木町,１丁目,国分寺市高木町１丁目,2,1100,個人,27,11,16,12,9,3,2,-,2,-,-,-,13,2,11,13,2,11,7,2,5,6,-,6,-,-,-,-,-,-,-,-,-,27,11,16
6,13214,1321401801,国分寺市,国分寺市高木町,１丁目,国分寺市高木町１丁目,3,1210,会社,35,24,11,-,-,-,-,-,-,9,7,2,26,17,9,23,14,9,10,8,2,13,6,7,3,3,-,-,-,-,-,-,-,35,24,11
6,13214,1321401801,国分寺市,国分寺市高木町,１丁目,国分寺市高木町１丁目,3,1220,会社以外の法人,20,2,18,-,-,-,-,-,-,-,-,-,20,2,18,20,2,18,18,2,16,2,-,2,-,-,-,-,-,-,-,-,-,20,2,18
