項目,階層,大分類,中分類,小分類,中間計,符号,項目名,都平均／実数（円）,都平均／対前年同月増加率（％）,35歳未満（円）,35～39歳（円）,40～44歳（円）,45～49歳（円）,50～54歳（円）,55～59歳（円）,60～64歳（円）,65歳以上（円）,（再掲）75歳以上（円）
2,7,9,4,2,0,861,国内パック旅行費,4692,-12.8,-,4925,1523,1648,7205,6074,3216,5867,6911
2,7,9,4,2,0,862,外国パック旅行費,2119,-62.8,-,-,595,-,-,-,6770,3233,844
2,6,9,4,3,0,0,月謝類,3723,-5.9,1692,6475,8540,9380,4041,2609,1401,1848,2184
2,7,9,4,3,0,875,語学月謝,324,7.6,-,83,788,1596,597,-,279,-,-
2,7,9,4,3,0,870,他の教育的月謝,195,-32.8,-,282,479,334,843,-,67,8,16
2,7,9,4,3,0,876,音楽月謝,567,-7.2,418,1032,1492,164,487,303,376,508,587
2,7,9,4,3,0,871,他の教養的月謝,432,30.5,366,14,695,545,631,41,-,514,794
2,7,9,4,3,0,872,スポーツ月謝,1378,6.4,311,3248,4473,2821,1194,1485,679,415,468
2,7,9,4,3,0,873,自動車教習料,10,-98.6,-,-,-,-,-,-,-,24,24
2,7,9,4,3,0,874,家事月謝,28,-24.3,-,10,-,49,-,326,-,-,-
2,7,9,4,3,0,879,他の月謝類,787,98.2,597,1806,613,3871,289,455,-,379,295
2,6,9,4,4,0,0,他の教養娯楽サービス,12256,3.4,12984,13671,16074,13677,13323,14871,13857,9873,8915
2,7,9,4,4,880 88A 88B,0,放送受信料,2831,-4.6,1608,1288,2624,2512,2569,3212,3882,3025,3348
2,7,9,4,4,880 88A 88B,88A,ＮＨＫ放送受信料,1599,-5.3,725,900,1999,1447,1323,1902,1999,1639,2043
2,7,9,4,4,880 88A 88B,88B,ケーブルテレビ放送受信料,1089,0.5,788,306,562,974,1117,1060,1630,1237,1196
2,7,9,4,4,880 88A 88B,880,他の放送受信料,144,-26.5,95,82,63,91,129,250,253,148,110
2,7,9,4,4,877 878 881-886,0,入場・観覧・ゲーム代,5608,11,7225,6199,8076,7131,5845,8019,6017,4011,3185
2,7,9,4,4,877 878 881-886,882,映画・演劇等入場料,1193,11.6,2426,847,1595,1566,1154,2587,1209,753,749
2,7,9,4,4,877 878 881-886,883,スポーツ観覧料,95,23.4,-,-,-,-,95,249,247,100,125
2,7,9,4,4,877 878 881-886,877,ゴルフプレー料金,1069,4.4,-,-,97,715,580,1059,1851,1536,1208
2,7,9,4,4,877 878 881-886,878,スポーツクラブ使用料,950,31.9,941,710,1123,498,894,1744,1937,723,606
2,7,9,4,4,877 878 881-886,881,他のスポーツ施設使用料,358,-33.2,710,767,632,789,513,819,87,69,47
2,7,9,4,4,877 878 881-886,884,文化施設入場料,487,-9,458,573,1009,596,762,521,373,294,118
2,7,9,4,4,877 878 881-886,886,遊園地入場・乗物代,447,-1.5,832,1175,977,1721,196,170,186,92,-
2,7,9,4,4,877 878 881-886,885,他の入場・ゲーム代,1009,58.4,1858,2126,2642,1246,1650,870,125,444,332
2,7,9,4,4,0,888,諸会費,164,-20.8,-,68,35,49,24,48,70,315,402
2,7,9,4,4,0,887,写真撮影・プリント代,187,-8.3,-,1464,234,55,126,445,18,67,63
2,7,9,4,4,0,88X,教養娯楽賃借料,120,1.7,93,270,92,329,254,9,39,65,23
2,7,9,4,4,0,88Y,インターネット接続料,2327,-5.5,2918,2746,2706,2693,3212,2639,2347,1796,1440
2,7,9,4,4,0,889,他の教養娯楽サービスのその他,1019,21,1140,1637,2308,909,1294,500,1484,595,452
2,4,10,0,0,0,0,その他の消費支出,48940,1.4,25668,38548,58032,46581,55500,59437,54101,46348,45698
2,5,10,1,0,0,0,諸雑費,26299,3.2,18010,21930,31221,24415,25252,30788,33680,24868,24108
2,6,10,1,1,0,0,理美容サービス,4085,8.8,1663,2926,2906,5221,4360,7322,4567,3755,3934
2,7,10,1,1,0,890,温泉・銭湯入浴料,220,22.9,37,51,239,187,435,409,88,205,135
2,7,10,1,1,0,891,理髪料,478,37.8,227,-,401,460,440,574,783,510,603
2,7,10,1,1,0,892,パーマネント代,119,-69.8,-,-,-,83,69,-,-,232,359
2,7,10,1,1,0,894,カット代,634,0,291,647,782,587,729,756,743,573,726
2,7,10,1,1,0,899,他の理美容代,2634,19.8,1107,2228,1483,3904,2687,5583,2954,2234,2112
2,6,10,1,2,0,0,理美容用品,5896,17.6,4392,6584,6676,7038,7036,4759,6743,5241,5640
2,7,10,1,2,0,900,理美容用電気器具,127,-61.6,622,-,90,130,203,114,357,46,35
2,7,10,1,2,0,901,歯ブラシ,177,5.4,278,319,176,240,200,115,181,141,104
2,7,10,1,2,0,903,他の理美容用品,412,76.1,53,278,277,107,360,30,275,656,1086
2,7,10,1,2,904-915,0,石けん類・化粧品,5180,21,3439,5987,6133,6561,6273,4500,5930,4398,4416
2,7,10,1,2,904-915,904,浴用・洗顔石けん,561,0.7,399,965,771,598,921,542,927,310,298
2,7,10,1,2,904-915,905,シャンプー,342,4.9,418,462,311,501,556,388,436,214,195
2,7,10,1,2,904-915,908,ヘアリンス・ヘアトリートメント,213,-4.9,200,392,122,420,429,135,278,112,86
2,7,10,1,2,904-915,906,歯磨き,233,-17.4,78,278,162,252,144,176,247,280,209
2,7,10,1,2,904-915,907,整髪・養毛剤,223,25.3,293,218,144,117,287,104,273,250,281
2,7,10,1,2,904-915,909,化粧クリーム,420,28.4,350,751,563,214,546,517,419,351,361
2,7,10,1,2,904-915,910,化粧水,410,49.6,168,731,165,710,590,99,496,364,387
2,7,10,1,2,904-915,914,乳液,87,-27.5,85,130,192,107,8,57,73,81,118
2,7,10,1,2,904-915,911,ファンデーション,320,103.8,-,614,288,230,227,140,192,413,428
2,7,10,1,2,904-915,912,口紅,81,-19.8,-,154,177,65,99,131,88,46,19
2,7,10,1,2,904-915,915,ヘアカラーリング剤,116,-17.1,57,12,33,199,116,122,189,118,82
2,7,10,1,2,904-915,913,他の化粧品,2174,36.3,1391,1281,3203,3147,2351,2088,2311,1860,1952
2,6,10,1,3,0,0,身の回り用品,4805,88.6,2262,2580,10666,5632,3381,4790,5586,4027,2386
2,7,10,1,3,0,920,傘,142,15.4,186,156,109,350,75,269,112,102,79
2,7,10,1,3,924-927,0,かばん類,2176,84.6,240,170,5894,2175,1887,857,1099,2285,236
2,7,10,1,3,924-927,924,ハンドバッグ,1474,213,86,26,3317,1248,281,198,747,2062,102
2,7,10,1,3,924-927,925,通学用かばん,259,49.7,-,-,2185,501,-,-,-,-,-
2,7,10,1,3,924-927,926,旅行用かばん,149,-55.7,-,138,-,-,463,216,318,105,102
2,7,10,1,3,924-927,927,他のバッグ,295,48.2,154,5,392,426,1142,444,34,118,32
2,7,10,1,3,0,928,装身具,957,126.8,1220,1814,597,2111,581,86,3369,383,361
2,7,10,1,3,0,930,腕時計,30,-79.5,-,-,6,11,59,29,178,8,-
2,7,10,1,3,0,932,他の身の回り用品,956,59.9,615,440,3946,933,480,1171,801,520,332
2,7,10,1,3,0,935,身の回り用品関連サービス,543,578.8,-,-,113,52,299,2377,28,729,1379
2,6,10,1,4,0,940,たばこ,900,-18.5,42,727,941,1032,845,892,2047,730,595
2,6,10,1,5,0,0,他の諸雑費,10614,-18.7,9651,9113,10033,5493,9632,13025,14737,11115,11552
2,7,10,1,5,0,950,信仰・祭祀費,1080,19.6,106,199,5,395,738,1411,388,1827,971
2,7,10,1,5,0,955,祭具・墓石,783,497.7,121,67,30,21,10,233,483,1592,2845
2,7,10,1,5,0,956,婚礼関係費,-,-,-,-,-,-,-,-,-,-,-
2,7,10,1,5,0,957,葬儀関係費,470,-72,-,-,-,-,-,-,3515,327,509
2,7,10,1,5,0,958,他の冠婚葬祭費,33,-67.6,-,-,-,-,-,-,-,74,112
2,7,10,1,5,0,95X,医療保険料,1149,-33.3,35,2301,2031,836,1605,1530,1485,728,487
2,7,10,1,5,0,952,他の非貯蓄型保険料,4285,3.8,2602,4614,4917,3310,4302,4972,7222,3729,2466
2,7,10,1,5,0,953,寄付金,758,-52.3,-,108,170,297,1092,2895,253,813,1376
2,7,10,1,5,0,954,保育費用,602,-26,4898,1541,2207,293,913,-,-,-,-
2,7,10,1,5,0,951,介護サービス,522,-23,-,-,-,-,461,-,655,927,1625
2,7,10,1,5,0,959,他の諸雑費のその他,932,-29.1,1888,283,673,341,511,1983,736,1096,1162
2,5,10,2,0,0,0,こづかい,9554,-1.9,605,6179,13920,8050,15728,17548,8937,7447,6439
2,6,10,2,0,0,960,世帯主こづかい,7807,16.6,605,5863,10642,4986,12328,12710,8227,6669,5016
2,6,10,2,0,0,961,他のこづかい,1748,-42.6,-,316,3278,3064,3400,4838,710,777,1422
2,5,10,3,0,0,0,交際費,11314,12.4,7052,10439,12408,6766,9837,11101,10647,13049,13416
2,6,10,3,6,0,970,贈与金,7401,23.8,3145,4398,7927,2230,3956,6464,7380,10121,10977
2,7,10,3,6,0,0,贈与金,7401,23.8,3145,4398,7927,2230,3956,6464,7380,10121,10977
2,6,10,3,7,0,0,他の交際費,3913,-4.4,3908,6041,4481,4536,5881,4637,3266,2928,2439
2,7,10,3,7,0,971,つきあい費,348,2.4,409,1357,263,340,457,1387,337,45,29
2,7,10,3,7,0,973,住宅関係負担費,3190,2.7,2634,3963,3761,3443,5008,2487,2764,2719,2275
2,7,10,4,7,0,972,他の負担費,375,-42,865,721,456,753,416,763,165,164,134
2,5,10,4,0,0,0,仕送り金,1773,-40.3,-,-,483,7350,4682,-,837,985,1735
2,6,10,4,0,0,980,国内遊学仕送り金,351,-82.8,-,-,-,-,3262,-,-,-,-
2,6,10,4,0,0,981,他の仕送り金,1422,52.6,-,-,483,7350,1420,-,837,985,1735
2,3,0,0,0,0,0,土地家屋購入,-,-100,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,
東京都生計分析調査　令和元年 8月,,,,,,,,,,,,,,,,,,
第２表　世帯主年齢階層別１世帯当たり１か月間の品目別生計支出　―　全　世　帯　―,,,,,,,,,,,,,,,,,,
項目階層（0：世帯数等　2：生計支出）,,,,,,,,,,,,,,,,,,
